"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03486
CalibrationParameters_A12,0.04684
CalibrationParameters_A13,0.04211
CalibrationParameters_A21,0.00411
CalibrationParameters_A22,-1.06564
CalibrationParameters_A23,0.08113
CalibrationParameters_A31,0.00086
CalibrationParameters_A32,-0.00107
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,-0.00010
CalibrationParameters_E22,0.20001
CalibrationParameters_X,-3.21141
CalibrationParameters_Y,23.45846
CalibrationParameters_Rpc,67.92522
CalibrationParameters_MeanX,186.81317
CalibrationParameters_MeanY,90.37828
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,2.433,21.542,0.23,2.01,0.23,2.01,INF,-1,0,7,0
40,1,1,4.398,22.737,0.41,2.12,0.41,2.12,INF,-1,0,7,0
60,1,1,2.964,22.997,0.28,2.15,0.28,2.15,INF,-1,0,7,0
80,1,1,2.457,22.287,0.23,2.08,0.23,2.08,INF,-1,0,7,0
100,1,1,1.302,23.609,0.12,2.21,0.12,2.21,INF,-1,0,7,0
120,1,1,2.246,23.028,0.21,2.15,0.21,2.15,INF,-1,0,7,0
140,1,1,2.546,22.798,0.24,2.13,0.24,2.13,INF,-1,0,7,0
160,1,1,3.133,23.531,0.29,2.20,0.29,2.20,INF,-1,0,7,0
180,1,1,2.983,23.636,0.28,2.21,0.28,2.21,INF,-1,0,7,0
200,1,1,1.974,21.383,0.18,2.00,0.18,2.00,INF,-1,0,7,0
220,1,1,0.167,20.109,0.02,1.88,0.02,1.88,INF,-1,0,7,0
240,1,1,4.382,20.772,0.41,1.94,0.41,1.94,INF,-1,0,7,0
260,1,1,1.176,20.189,0.11,1.89,0.11,1.89,INF,-1,0,7,0
280,1,1,1.861,22.481,0.17,2.10,0.17,2.10,INF,-1,0,7,0
300,1,1,6.514,10.680,0.61,1.00,0.61,1.00,INF,-1,1,7,0
320,1,1,3.202,-10.444,0.30,-0.98,0.30,-0.98,INF,-1,1,7,0
340,1,1,1.490,-11.685,0.14,-1.09,0.14,-1.09,INF,-1,0,7,0
360,1,1,2.810,-11.827,0.26,-1.11,0.26,-1.11,INF,-1,0,7,0
380,1,1,1.790,-11.421,0.17,-1.07,0.17,-1.07,INF,-1,0,7,0
400,1,1,3.909,-8.715,0.37,-0.81,0.37,-0.81,INF,-1,0,7,0
420,1,1,4.148,-10.857,0.39,-1.01,0.39,-1.01,INF,-1,0,7,0
440,1,1,2.833,-11.159,0.26,-1.04,0.26,-1.04,INF,-1,0,7,0
460,1,1,2.713,-10.943,0.25,-1.02,0.25,-1.02,INF,-1,0,7,0
480,1,1,2.482,-11.523,0.23,-1.08,0.23,-1.08,INF,-1,0,7,0
500,1,1,0.823,-12.898,0.08,-1.21,0.08,-1.21,INF,-1,0,7,0
520,1,1,3.965,-10.604,0.37,-0.99,0.37,-0.99,INF,-1,0,7,0
540,1,1,3.251,-11.239,0.30,-1.05,0.30,-1.05,INF,-1,0,7,0
560,1,1,1.267,-10.809,0.12,-1.01,0.12,-1.01,INF,-1,0,7,0
580,1,1,2.381,-10.149,0.22,-0.95,0.22,-0.95,INF,-1,0,7,0
600,1,1,4.298,-10.806,0.40,-1.01,0.40,-1.01,INF,-1,1,7,0
620,1,1,1.719,-10.694,0.16,-1.00,0.16,-1.00,INF,-1,1,7,0
640,1,1,-4.848,-14.628,-0.45,-1.37,-0.45,-1.37,INF,-1,1,7,0
660,1,1,-26.758,-23.521,-2.50,-2.20,-2.50,-2.20,INF,-1,1,7,0
680,1,1,-24.812,-23.439,-2.32,-2.19,-2.32,-2.19,INF,-1,1,7,0
700,1,1,-26.626,-23.419,-2.49,-2.19,-2.49,-2.19,INF,-1,0,7,0
720,1,1,-25.561,-26.447,-2.39,-2.47,-2.39,-2.47,INF,-1,0,7,0
740,1,1,-22.213,-24.083,-2.08,-2.25,-2.07,-2.25,INF,-1,0,7,0
760,1,1,-26.798,-24.090,-2.50,-2.25,-2.50,-2.25,INF,-1,0,7,0
780,1,1,-20.620,-22.105,-1.93,-2.06,-1.93,-2.07,INF,-1,0,7,0
800,1,1,-26.968,-25.187,-2.52,-2.35,-2.52,-2.35,INF,-1,0,7,0
820,1,1,-23.069,-24.727,-2.16,-2.31,-2.15,-2.31,INF,-1,0,7,0
840,1,1,-23.857,-24.191,-2.23,-2.26,-2.23,-2.26,INF,-1,0,7,0
860,1,1,-23.294,-25.026,-2.18,-2.34,-2.17,-2.34,INF,-1,0,7,0
880,1,1,-24.733,-25.114,-2.31,-2.34,-2.31,-2.35,INF,-1,0,7,0
900,1,1,-21.687,-22.704,-2.03,-2.12,-2.02,-2.12,INF,-1,0,7,0
920,1,1,-22.537,-25.134,-2.11,-2.35,-2.10,-2.35,INF,-1,0,7,0
940,1,1,-21.894,-24.992,-2.05,-2.33,-2.04,-2.33,INF,-1,1,7,0
960,1,1,-21.434,-22.680,-2.00,-2.12,-2.00,-2.12,INF,-1,1,7,0
980,1,1,-22.422,-23.973,-2.09,-2.24,-2.09,-2.24,INF,-1,1,7,0
1000,1,1,-21.610,-23.980,-2.02,-2.24,-2.02,-2.24,INF,-1,1,7,0
1020,1,1,-21.036,-22.860,-1.97,-2.13,-1.96,-2.14,INF,-1,1,7,0
1040,1,1,-23.239,-22.588,-2.17,-2.11,-2.17,-2.11,INF,-1,1,7,0
1060,1,1,-23.868,-25.047,-2.23,-2.34,-2.23,-2.34,INF,-1,1,7,0
1080,1,1,-22.156,-24.261,-2.07,-2.26,-2.07,-2.27,INF,-1,1,7,0
1100,1,1,-19.575,-24.617,-1.83,-2.30,-1.83,-2.30,INF,-1,1,7,0
1120,1,1,25.324,-11.807,2.37,-1.10,2.37,-1.10,INF,-1,1,7,0
1140,1,1,58.335,-0.077,5.44,-0.01,5.44,-0.01,INF,-1,1,7,0
1160,1,1,54.180,-1.503,5.05,-0.14,5.05,-0.14,INF,-1,0,7,0
1180,1,1,58.524,-0.988,5.45,-0.09,5.45,-0.09,INF,-1,0,7,0
1200,1,1,54.562,-2.659,5.09,-0.25,5.09,-0.25,INF,-1,0,7,0
1220,1,1,53.202,-4.828,4.96,-0.45,4.96,-0.45,INF,-1,0,7,0
1240,1,1,57.232,-2.135,5.33,-0.20,5.33,-0.20,INF,-1,0,7,0
1260,1,1,54.286,-2.314,5.06,-0.22,5.06,-0.22,INF,-1,0,7,0
1280,1,1,53.925,-2.677,5.03,-0.25,5.03,-0.25,INF,-1,0,7,0
1300,1,1,54.145,-3.295,5.05,-0.31,5.05,-0.31,INF,-1,0,7,0
1320,1,1,53.994,-1.477,5.03,-0.14,5.03,-0.14,INF,-1,0,7,0
1340,1,1,54.836,-2.619,5.11,-0.24,5.11,-0.24,INF,-1,0,7,0
1360,1,1,53.892,-3.504,5.02,-0.33,5.02,-0.33,INF,-1,0,7,0
1380,1,1,55.782,-0.938,5.20,-0.09,5.20,-0.09,INF,-1,0,7,0
1400,1,1,59.759,-3.229,5.57,-0.30,5.57,-0.30,INF,-1,0,7,0
1420,1,1,62.544,0.007,5.83,0.00,5.83,0.00,INF,-1,1,7,0
1440,1,1,62.965,-0.428,5.86,-0.04,5.86,-0.04,INF,-1,1,7,0
1460,1,1,62.482,0.387,5.82,0.04,5.82,0.04,INF,-1,1,7,0
1480,1,1,60.052,-1.523,5.60,-0.14,5.60,-0.14,INF,-1,1,7,0
1500,1,1,61.195,-1.372,5.70,-0.13,5.70,-0.13,INF,-1,1,7,0
1520,1,1,62.047,-1.629,5.78,-0.15,5.78,-0.15,INF,-1,1,7,0
1540,1,1,59.699,0.471,5.56,0.04,5.56,0.04,INF,-1,1,7,0
1560,1,1,61.114,-0.725,5.69,-0.07,5.69,-0.07,INF,-1,1,7,0
1580,1,1,60.971,-1.376,5.68,-0.13,5.68,-0.13,INF,-1,1,7,0
1600,1,1,61.761,-1.241,5.75,-0.12,5.75,-0.12,INF,-1,1,7,0
1620,1,1,61.516,-1.402,5.73,-0.13,5.73,-0.13,INF,-1,1,7,0
1640,1,1,61.708,-2.316,5.75,-0.22,5.75,-0.22,INF,-1,1,7,0
1660,1,1,60.530,-3.820,5.64,-0.36,5.64,-0.36,INF,-1,1,7,0
1680,1,1,61.812,-1.934,5.76,-0.18,5.76,-0.18,INF,-1,1,7,0
1700,1,1,60.923,-3.963,5.68,-0.37,5.68,-0.37,INF,-1,1,7,0
1720,1,1,59.971,-2.713,5.59,-0.25,5.59,-0.25,INF,-1,1,7,0
1740,1,1,59.212,-1.935,5.52,-0.18,5.52,-0.18,INF,-1,1,7,0
1760,1,1,59.948,-0.961,5.59,-0.09,5.59,-0.09,INF,-1,1,7,0
1780,1,1,58.704,-5.967,5.47,-0.56,5.47,-0.56,INF,-1,1,7,0
1800,1,1,-2.347,-21.821,-0.22,-2.04,-0.22,-2.04,INF,-1,1,7,0
1820,1,1,-2.964,-19.944,-0.28,-1.86,-0.28,-1.86,INF,-1,1,7,0
1840,1,1,-4.740,-20.342,-0.44,-1.90,-0.44,-1.90,INF,-1,0,7,0
1860,1,1,-7.396,-24.172,-0.69,-2.26,-0.69,-2.26,INF,-1,0,7,0
1880,1,1,-5.011,-21.900,-0.47,-2.05,-0.47,-2.05,INF,-1,0,7,0
1900,1,1,-5.502,-22.606,-0.51,-2.11,-0.51,-2.11,INF,-1,0,7,0
1920,1,1,-6.332,-24.020,-0.59,-2.24,-0.59,-2.24,INF,-1,0,7,0
