"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.33765
CalibrationParameters_A12,0.01434
CalibrationParameters_A13,-0.02001
CalibrationParameters_A21,0.06371
CalibrationParameters_A22,-1.32020
CalibrationParameters_A23,-0.01638
CalibrationParameters_A31,0.00025
CalibrationParameters_A32,0.00085
CalibrationParameters_E11,-0.18004
CalibrationParameters_E12,-0.00011
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19993
CalibrationParameters_X,87.94159
CalibrationParameters_Y,62.45162
CalibrationParameters_Rpc,69.66090
CalibrationParameters_MeanX,115.23775
CalibrationParameters_MeanY,149.07160
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-15.584,9.271,-1.46,0.87,-1.46,0.87,INF,-1,0,7,0
20,1,1,-15.238,10.397,-1.42,0.97,-1.42,0.97,INF,-1,0,7,0
40,1,1,-17.072,10.875,-1.60,1.02,-1.60,1.02,INF,-1,0,7,0
60,1,1,-16.404,9.005,-1.53,0.84,-1.53,0.84,INF,-1,0,7,0
80,1,1,-17.030,10.366,-1.59,0.97,-1.59,0.97,INF,-1,0,7,0
100,1,1,-15.202,9.716,-1.42,0.91,-1.42,0.91,INF,-1,0,7,0
120,1,1,-16.051,11.167,-1.50,1.04,-1.50,1.04,INF,-1,0,7,0
140,1,1,-17.321,12.341,-1.62,1.15,-1.62,1.15,INF,-1,0,7,0
160,1,1,-17.176,11.947,-1.61,1.12,-1.60,1.12,INF,-1,0,7,0
180,1,1,-16.358,11.564,-1.53,1.08,-1.53,1.08,INF,-1,0,7,0
200,1,1,-16.747,12.472,-1.56,1.17,-1.56,1.17,INF,-1,0,7,0
220,1,1,-16.286,11.212,-1.52,1.05,-1.52,1.05,INF,-1,0,7,0
240,1,1,-16.153,9.766,-1.51,0.91,-1.51,0.91,INF,-1,0,7,0
260,1,1,-6.148,4.755,-0.57,0.44,-0.57,0.44,INF,-1,0,7,0
280,1,1,-3.615,2.362,-0.34,0.22,-0.34,0.22,INF,-1,1,7,0
300,1,1,-2.834,3.570,-0.26,0.33,-0.26,0.33,INF,-1,0,7,0
320,1,1,-2.464,1.172,-0.23,0.11,-0.23,0.11,INF,-1,0,7,0
340,1,1,-2.227,2.253,-0.21,0.21,-0.21,0.21,INF,-1,0,7,0
360,1,1,-4.314,2.712,-0.40,0.25,-0.40,0.25,INF,-1,0,7,0
380,1,1,-3.527,2.652,-0.33,0.25,-0.33,0.25,INF,-1,0,7,0
400,1,1,-3.036,1.984,-0.28,0.19,-0.28,0.19,INF,-1,0,7,0
420,1,1,-2.313,1.436,-0.22,0.13,-0.22,0.13,INF,-1,0,7,0
440,1,1,-32.812,-10.207,-3.06,-0.95,-3.06,-0.95,INF,-1,0,7,0
460,1,1,-30.266,-11.077,-2.83,-1.03,-2.83,-1.04,INF,-1,0,7,0
480,1,1,-31.156,-10.571,-2.91,-0.99,-2.91,-0.99,INF,-1,0,7,0
500,1,1,-30.694,-12.752,-2.87,-1.19,-2.87,-1.19,INF,-1,0,7,0
520,1,1,-31.667,-10.716,-2.96,-1.00,-2.96,-1.00,INF,-1,0,7,0
540,1,1,-30.205,-10.941,-2.82,-1.02,-2.82,-1.02,INF,-1,0,7,0
560,1,1,-30.839,-11.218,-2.88,-1.05,-2.88,-1.05,INF,-1,0,7,0
580,1,1,-29.960,-12.415,-2.80,-1.16,-2.80,-1.16,INF,-1,0,7,0
600,1,1,-29.953,-12.259,-2.80,-1.14,-2.80,-1.15,INF,-1,0,7,0
620,1,1,-29.025,-11.097,-2.71,-1.04,-2.71,-1.04,INF,-1,0,7,0
640,1,1,-38.796,-19.545,-3.62,-1.82,-3.62,-1.83,INF,-1,0,7,0
660,1,1,-37.442,-23.241,-3.50,-2.17,-3.49,-2.17,INF,-1,0,7,0
680,1,1,-36.745,-22.170,-3.43,-2.07,-3.43,-2.07,INF,-1,0,7,0
700,1,1,-37.133,-22.823,-3.47,-2.13,-3.46,-2.13,INF,-1,0,7,0
720,1,1,-38.768,-21.746,-3.62,-2.03,-3.62,-2.03,INF,-1,1,7,0
740,1,1,-39.451,-20.757,-3.68,-1.94,-3.68,-1.94,INF,-1,1,7,0
760,1,1,-36.999,-22.312,-3.45,-2.08,-3.45,-2.08,INF,-1,1,7,0
780,1,1,-36.313,-22.837,-3.39,-2.13,-3.39,-2.13,INF,-1,1,7,0
