"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.31387
CalibrationParameters_A12,0.00999
CalibrationParameters_A13,0.01760
CalibrationParameters_A21,0.07130
CalibrationParameters_A22,-1.31765
CalibrationParameters_A23,0.00920
CalibrationParameters_A31,0.00094
CalibrationParameters_A32,-0.00032
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,-0.00011
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.19997
CalibrationParameters_X,86.76721
CalibrationParameters_Y,57.64044
CalibrationParameters_Rpc,69.65566
CalibrationParameters_MeanX,112.42936
CalibrationParameters_MeanY,126.47160
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,457.120,-147.702,36.71,-10.93,35.94,-13.55,INF,-1,0,7,0
20,1,1,453.294,-151.983,36.48,-11.27,35.67,-13.92,INF,-1,0,7,0
40,1,1,460.380,-148.878,36.91,-10.99,36.12,-13.65,INF,-1,0,7,0
60,1,1,461.898,-150.541,37.00,-11.10,36.20,-13.80,INF,-1,0,7,0
80,1,1,459.882,-149.067,36.88,-11.01,36.09,-13.67,INF,-1,0,7,0
100,1,1,461.613,-154.628,36.98,-11.39,36.14,-14.16,INF,-1,0,7,0
120,1,1,446.824,-129.632,36.09,-9.70,35.49,-11.94,INF,-1,0,7,0
140,1,1,452.023,-123.195,36.40,-9.19,35.86,-11.36,INF,-1,0,7,0
160,1,1,446.098,-113.879,36.04,-8.54,35.58,-10.52,INF,-1,0,7,0
180,1,1,445.626,-120.914,36.02,-9.06,35.50,-11.16,INF,-1,0,7,0
200,1,1,444.335,-119.734,35.94,-8.99,35.43,-11.05,INF,-1,0,7,0
220,1,1,448.821,-118.470,36.21,-8.86,35.71,-10.94,INF,-1,0,7,0
240,1,1,441.850,-114.098,35.78,-8.59,35.32,-10.54,INF,-1,0,7,0
260,1,1,446.486,-115.014,36.07,-8.62,35.60,-10.63,INF,-1,0,7,0
280,1,1,448.871,-117.391,36.21,-8.78,35.72,-10.84,INF,-1,0,7,0
300,1,1,453.084,-120.994,36.47,-9.02,35.95,-11.17,INF,-1,0,7,0
320,1,1,448.828,-117.935,36.21,-8.82,35.72,-10.89,INF,-1,0,7,0
340,1,1,450.247,-119.561,36.30,-8.93,35.79,-11.04,INF,-1,0,7,0
360,1,1,429.073,-115.174,34.99,-8.75,34.52,-10.64,INF,-1,0,7,0
380,1,1,285.622,-76.575,24.98,-6.46,24.81,-7.12,INF,-1,0,7,0
