"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06142
CalibrationParameters_A12,0.03752
CalibrationParameters_A13,0.02738
CalibrationParameters_A21,0.02763
CalibrationParameters_A22,-1.11899
CalibrationParameters_A23,0.04918
CalibrationParameters_A31,0.00042
CalibrationParameters_A32,-0.00055
CalibrationParameters_E11,-0.17994
CalibrationParameters_E12,-0.00025
CalibrationParameters_E21,0.00004
CalibrationParameters_E22,0.20003
CalibrationParameters_X,-24.73254
CalibrationParameters_Y,28.48909
CalibrationParameters_Rpc,73.15429
CalibrationParameters_MeanX,216.68329
CalibrationParameters_MeanY,100.49095
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-13.607,13.366,-1.27,1.25,-1.27,1.25,INF,-1,0,7,0
20,1,1,-12.172,13.897,-1.14,1.30,-1.14,1.30,INF,-1,0,7,0
40,1,1,-8.090,14.393,-0.76,1.34,-0.76,1.35,INF,-1,0,7,0
60,1,1,-7.179,15.257,-0.67,1.43,-0.67,1.43,INF,-1,0,7,0
80,1,1,-7.759,15.546,-0.73,1.45,-0.72,1.45,INF,-1,0,7,0
100,1,1,-7.740,14.915,-0.72,1.39,-0.72,1.39,INF,-1,0,7,0
120,1,1,-7.953,14.297,-0.74,1.34,-0.74,1.34,INF,-1,0,7,0
140,1,1,-7.403,14.206,-0.69,1.33,-0.69,1.33,INF,-1,0,7,0
160,1,1,0.401,16.674,0.04,1.56,0.04,1.56,INF,-1,0,7,0
180,1,1,0.734,14.390,0.07,1.34,0.07,1.34,INF,-1,0,7,0
200,1,1,0.880,14.117,0.08,1.32,0.08,1.32,INF,-1,0,7,0
220,1,1,0.023,14.902,0.00,1.39,0.00,1.39,INF,-1,0,7,0
240,1,1,1.764,14.331,0.16,1.34,0.16,1.34,INF,-1,0,7,0
260,1,1,1.867,16.377,0.17,1.53,0.17,1.53,INF,-1,0,7,0
280,1,1,4.184,14.332,0.39,1.34,0.39,1.34,INF,-1,1,7,0
300,1,1,1.766,13.046,0.17,1.22,0.17,1.22,INF,-1,1,7,0
320,1,1,3.211,11.384,0.30,1.06,0.30,1.06,INF,-1,1,7,0
340,1,1,3.263,10.586,0.30,0.99,0.30,0.99,INF,-1,1,7,0
360,1,1,5.252,8.839,0.49,0.83,0.49,0.83,INF,-1,1,7,0
380,1,1,4.357,9.145,0.41,0.85,0.41,0.85,INF,-1,1,7,0
400,1,1,4.980,7.514,0.47,0.70,0.47,0.70,INF,-1,0,7,0
420,1,1,7.003,6.699,0.65,0.63,0.65,0.63,INF,-1,0,7,0
440,1,1,6.368,6.217,0.60,0.58,0.60,0.58,INF,-1,0,7,0
460,1,1,6.907,4.576,0.65,0.43,0.65,0.43,INF,-1,0,7,0
480,1,1,5.569,4.182,0.52,0.39,0.52,0.39,INF,-1,0,7,0
500,1,1,6.357,4.949,0.59,0.46,0.59,0.46,INF,-1,0,7,0
520,1,1,7.694,4.056,0.72,0.38,0.72,0.38,INF,-1,0,7,0
540,1,1,5.801,4.228,0.54,0.40,0.54,0.40,INF,-1,0,7,0
560,1,1,4.253,5.594,0.40,0.52,0.40,0.52,INF,-1,0,7,0
580,1,1,8.711,6.313,0.81,0.59,0.81,0.59,INF,-1,0,7,0
