"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.32959
CalibrationParameters_A12,0.02218
CalibrationParameters_A13,-0.00463
CalibrationParameters_A21,0.06020
CalibrationParameters_A22,-1.29901
CalibrationParameters_A23,-0.01979
CalibrationParameters_A31,0.00028
CalibrationParameters_A32,0.00106
CalibrationParameters_E11,-0.17995
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00006
CalibrationParameters_E22,0.19997
CalibrationParameters_X,85.17320
CalibrationParameters_Y,63.99345
CalibrationParameters_Rpc,68.73552
CalibrationParameters_MeanX,110.92818
CalibrationParameters_MeanY,154.44869
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-8.308,4.707,-0.78,0.44,-0.78,0.44,INF,-1,0,7,0
20,1,1,-9.164,5.606,-0.86,0.52,-0.86,0.52,INF,-1,0,7,0
40,1,1,-8.549,4.429,-0.80,0.41,-0.80,0.41,INF,-1,0,7,0
60,1,1,-7.836,2.837,-0.73,0.27,-0.73,0.27,INF,-1,0,7,0
80,1,1,-10.266,4.687,-0.96,0.44,-0.96,0.44,INF,-1,0,7,0
100,1,1,-10.539,5.674,-0.98,0.53,-0.98,0.53,INF,-1,0,7,0
120,1,1,-10.324,4.835,-0.96,0.45,-0.96,0.45,INF,-1,0,7,0
140,1,1,-10.702,6.274,-1.00,0.59,-1.00,0.59,INF,-1,0,7,0
160,1,1,-9.595,4.557,-0.90,0.43,-0.90,0.43,INF,-1,0,7,0
180,1,1,-11.077,4.560,-1.04,0.43,-1.04,0.43,INF,-1,0,7,0
200,1,1,-10.798,4.036,-1.01,0.38,-1.01,0.38,INF,-1,0,7,0
220,1,1,-10.715,3.941,-1.00,0.37,-1.00,0.37,INF,-1,0,7,0
240,1,1,-10.665,3.718,-1.00,0.35,-1.00,0.35,INF,-1,0,7,0
260,1,1,-8.113,4.914,-0.76,0.46,-0.76,0.46,INF,-1,0,7,0
280,1,1,-33.511,-0.744,-3.13,-0.07,-3.13,-0.07,INF,-1,1,7,0
300,1,1,-44.233,-2.220,-4.13,-0.21,-4.13,-0.21,INF,-1,1,7,0
320,1,1,-42.000,-3.080,-3.92,-0.29,-3.92,-0.29,INF,-1,0,7,0
340,1,1,-43.093,-3.261,-4.02,-0.30,-4.02,-0.30,INF,-1,0,7,0
360,1,1,-41.111,-3.617,-3.84,-0.34,-3.84,-0.34,INF,-1,0,7,0
380,1,1,-43.083,-3.749,-4.02,-0.35,-4.02,-0.35,INF,-1,0,7,0
400,1,1,-42.489,-2.433,-3.97,-0.23,-3.96,-0.23,INF,-1,0,7,0
420,1,1,-43.863,-2.539,-4.09,-0.24,-4.09,-0.24,INF,-1,0,7,0
440,1,1,-45.237,-2.708,-4.22,-0.25,-4.22,-0.25,INF,-1,0,7,0
460,1,1,-42.660,-2.436,-3.98,-0.23,-3.98,-0.23,INF,-1,0,7,0
480,1,1,-45.184,-4.542,-4.22,-0.42,-4.22,-0.42,INF,-1,0,7,0
500,1,1,1.056,0.733,0.10,0.07,0.10,0.07,INF,-1,0,7,0
520,1,1,30.674,4.948,2.86,0.46,2.86,0.46,INF,-1,0,7,0
540,1,1,31.656,4.408,2.96,0.41,2.96,0.41,INF,-1,0,7,0
560,1,1,29.933,6.083,2.80,0.57,2.80,0.57,INF,-1,0,7,0
580,1,1,32.799,3.946,3.06,0.37,3.06,0.37,INF,-1,0,7,0
600,1,1,31.054,4.836,2.90,0.45,2.90,0.45,INF,-1,0,7,0
620,1,1,33.753,3.834,3.15,0.36,3.15,0.36,INF,-1,0,7,0
640,1,1,32.064,3.835,2.99,0.36,2.99,0.36,INF,-1,0,7,0
660,1,1,33.585,5.555,3.14,0.52,3.14,0.52,INF,-1,0,7,0
680,1,1,33.236,4.403,3.10,0.41,3.10,0.41,INF,-1,0,7,0
700,1,1,35.490,3.642,3.31,0.34,3.31,0.34,INF,-1,0,7,0
720,1,1,43.753,1.567,4.08,0.15,4.08,0.15,INF,-1,0,7,0
740,1,1,41.244,2.600,3.85,0.24,3.85,0.24,INF,-1,0,7,0
760,1,1,41.925,0.608,3.91,0.06,3.91,0.06,INF,-1,0,7,0
780,1,1,42.222,0.705,3.94,0.07,3.94,0.07,INF,-1,1,7,0
800,1,1,41.143,1.980,3.84,0.18,3.84,0.19,INF,-1,1,7,0
820,1,1,40.497,2.388,3.78,0.22,3.78,0.22,INF,-1,1,7,0
840,1,1,41.803,1.171,3.90,0.11,3.90,0.11,INF,-1,1,7,0
860,1,1,41.038,3.035,3.83,0.28,3.83,0.28,INF,-1,1,7,0
880,1,1,41.164,2.025,3.84,0.19,3.84,0.19,INF,-1,1,7,0
900,1,1,41.079,1.660,3.83,0.15,3.83,0.16,INF,-1,1,7,0
920,1,1,41.334,1.951,3.86,0.18,3.86,0.18,INF,-1,1,7,0
940,1,1,41.229,1.055,3.85,0.10,3.85,0.10,INF,-1,1,7,0
960,1,1,44.593,-1.306,4.16,-0.12,4.16,-0.12,INF,-1,1,7,0
980,1,1,-24.884,11.581,-2.32,1.08,-2.32,1.08,INF,-1,1,7,0
1000,1,1,-49.678,13.348,-4.63,1.24,-4.63,1.25,INF,-1,0,7,0
1020,1,1,-47.118,14.044,-4.40,1.31,-4.39,1.31,INF,-1,0,7,0
1040,1,1,-46.983,13.723,-4.38,1.28,-4.38,1.28,INF,-1,0,7,0
1060,1,1,-48.282,13.615,-4.50,1.27,-4.50,1.27,INF,-1,0,7,0
1080,1,1,-46.498,14.257,-4.34,1.33,-4.34,1.33,INF,-1,0,7,0
1100,1,1,-44.819,12.789,-4.18,1.19,-4.18,1.20,INF,-1,0,7,0
1120,1,1,-48.033,13.558,-4.48,1.26,-4.48,1.27,INF,-1,0,7,0
1140,1,1,-45.965,13.332,-4.29,1.24,-4.29,1.25,INF,-1,0,7,0
1160,1,1,-48.042,13.016,-4.48,1.21,-4.48,1.22,INF,-1,0,7,0
1180,1,1,-49.671,13.505,-4.63,1.26,-4.63,1.26,INF,-1,0,7,0
1200,1,1,-49.213,15.296,-4.59,1.42,-4.59,1.43,INF,-1,0,7,0
1220,1,1,-48.292,13.596,-4.50,1.27,-4.50,1.27,INF,-1,0,7,0
1240,1,1,-47.170,13.935,-4.40,1.30,-4.40,1.30,INF,-1,0,7,0
1260,1,1,-47.918,14.405,-4.47,1.34,-4.47,1.35,INF,-1,0,7,0
1280,1,1,-46.484,13.936,-4.34,1.30,-4.34,1.30,INF,-1,1,7,0
1300,1,1,-47.050,14.767,-4.39,1.38,-4.39,1.38,INF,-1,1,7,0
1320,1,1,-48.374,14.732,-4.51,1.37,-4.51,1.38,INF,-1,1,7,0
1340,1,1,-47.670,14.594,-4.45,1.36,-4.45,1.36,INF,-1,1,7,0
1360,1,1,-42.725,11.520,-3.99,1.07,-3.99,1.08,INF,-1,1,7,0
1380,1,1,-40.953,11.647,-3.82,1.09,-3.82,1.09,INF,-1,1,7,0
1400,1,1,-41.217,12.379,-3.85,1.15,-3.85,1.16,INF,-1,1,7,0
1420,1,1,-41.238,10.044,-3.85,0.94,-3.85,0.94,INF,-1,1,7,0
1440,1,1,-41.569,10.759,-3.88,1.00,-3.88,1.01,INF,-1,1,7,0
1460,1,1,-42.132,13.078,-3.93,1.22,-3.93,1.22,INF,-1,1,7,0
1480,1,1,-42.708,11.861,-3.99,1.11,-3.98,1.11,INF,-1,1,7,0
1500,1,1,-42.314,12.103,-3.95,1.13,-3.95,1.13,INF,-1,1,7,0
1520,1,1,-40.415,11.827,-3.77,1.10,-3.77,1.11,INF,-1,1,7,0
1540,1,1,-39.370,7.024,-3.67,0.66,-3.67,0.66,INF,-1,1,7,0
1560,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1580,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1600,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1620,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1660,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1720,1,1,35.593,-0.974,3.32,-0.09,3.32,-0.09,INF,-1,0,7,0
1740,1,1,34.554,1.604,3.23,0.15,3.23,0.15,INF,-1,0,7,0
1760,1,1,35.230,-0.857,3.29,-0.08,3.29,-0.08,INF,-1,0,7,0
1780,1,1,36.083,-2.563,3.37,-0.24,3.37,-0.24,INF,-1,0,7,0
