"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.27217
CalibrationParameters_A12,0.02136
CalibrationParameters_A13,0.03978
CalibrationParameters_A21,0.06261
CalibrationParameters_A22,-1.27007
CalibrationParameters_A23,-0.00939
CalibrationParameters_A31,0.00086
CalibrationParameters_A32,0.00000
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,0.00003
CalibrationParameters_E21,-0.00007
CalibrationParameters_E22,0.19994
CalibrationParameters_X,81.54111
CalibrationParameters_Y,55.88424
CalibrationParameters_Rpc,67.86969
CalibrationParameters_MeanX,134.03146
CalibrationParameters_MeanY,126.53601
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,452.507,-96.037,36.43,-7.18,36.10,-8.90,INF,-1,0,7,0
20,1,1,450.223,-95.203,36.30,-7.13,35.97,-8.83,INF,-1,0,7,0
40,1,1,452.743,-103.552,36.45,-7.74,36.06,-9.59,INF,-1,0,7,0
60,1,1,456.464,-97.174,36.67,-7.25,36.33,-9.01,INF,-1,0,7,0
80,1,1,453.393,-104.844,36.49,-7.83,36.09,-9.71,INF,-1,0,7,0
100,1,1,455.639,-101.401,36.62,-7.56,36.25,-9.39,INF,-1,0,7,0
120,1,1,459.736,-102.800,36.87,-7.64,36.49,-9.52,INF,-1,0,7,0
140,1,1,460.793,-102.038,36.93,-7.58,36.56,-9.45,INF,-1,0,7,0
160,1,1,448.476,-105.140,36.19,-7.88,35.79,-9.73,INF,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
200,1,1,150.714,-34.206,13.81,-3.10,13.79,-3.19,INF,-1,0,7,0
220,1,1,42.256,-13.005,3.94,-1.21,3.94,-1.22,INF,-1,0,7,0
240,1,1,24.008,-0.740,2.24,-0.07,2.24,-0.07,INF,-1,0,7,0
260,1,1,22.535,-0.484,2.11,-0.05,2.11,-0.05,INF,-1,0,7,0
280,1,1,24.720,-3.836,2.31,-0.36,2.31,-0.36,INF,-1,0,7,0
300,1,1,23.494,-0.501,2.19,-0.05,2.19,-0.05,INF,-1,0,7,0
320,1,1,21.900,-2.025,2.05,-0.19,2.05,-0.19,INF,-1,0,7,0
340,1,1,24.916,-3.076,2.33,-0.29,2.33,-0.29,INF,-1,0,7,0
360,1,1,25.270,-4.282,2.36,-0.40,2.36,-0.40,INF,-1,0,7,0
380,1,1,22.426,-3.916,2.10,-0.37,2.10,-0.37,INF,-1,0,7,0
