"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06753
CalibrationParameters_A12,0.03467
CalibrationParameters_A13,0.04055
CalibrationParameters_A21,0.04710
CalibrationParameters_A22,-1.07400
CalibrationParameters_A23,0.05560
CalibrationParameters_A31,0.00075
CalibrationParameters_A32,-0.00062
CalibrationParameters_E11,-0.18010
CalibrationParameters_E12,-0.00012
CalibrationParameters_E21,-0.00010
CalibrationParameters_E22,0.19995
CalibrationParameters_X,-11.34656
CalibrationParameters_Y,28.47943
CalibrationParameters_Rpc,71.37389
CalibrationParameters_MeanX,165.12844
CalibrationParameters_MeanY,98.80681
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-1.958,31.486,-0.18,2.94,-0.18,2.94,INF,-1,0,7,0
20,1,1,-2.678,30.024,-0.25,2.80,-0.25,2.80,INF,-1,0,7,0
40,1,1,-1.335,30.363,-0.12,2.84,-0.12,2.84,INF,-1,0,7,0
60,1,1,-1.698,30.811,-0.16,2.88,-0.16,2.88,INF,-1,0,7,0
80,1,1,-1.274,30.615,-0.12,2.86,-0.12,2.86,INF,-1,0,7,0
100,1,1,-0.896,29.962,-0.08,2.80,-0.08,2.80,INF,-1,0,7,0
120,1,1,-2.084,29.772,-0.19,2.78,-0.19,2.78,INF,-1,0,7,0
140,1,1,-1.861,29.988,-0.17,2.80,-0.17,2.80,INF,-1,0,7,0
160,1,1,-0.551,31.400,-0.05,2.93,-0.05,2.93,INF,-1,0,7,0
180,1,1,-1.719,29.057,-0.16,2.71,-0.16,2.71,INF,-1,0,7,0
200,1,1,-0.370,28.845,-0.03,2.69,-0.03,2.69,INF,-1,0,7,0
220,1,1,-3.325,28.868,-0.31,2.70,-0.31,2.70,INF,-1,0,7,0
240,1,1,22.029,22.252,2.06,2.08,2.06,2.08,INF,-1,0,7,0
260,1,1,19.935,23.564,1.86,2.20,1.86,2.20,INF,-1,0,7,0
280,1,1,19.564,23.375,1.83,2.18,1.83,2.18,INF,-1,0,7,0
300,1,1,20.303,22.017,1.90,2.06,1.90,2.06,INF,-1,0,7,0
320,1,1,19.261,22.025,1.80,2.06,1.80,2.06,INF,-1,0,7,0
340,1,1,19.396,23.351,1.81,2.18,1.81,2.18,INF,-1,0,7,0
360,1,1,20.265,23.256,1.89,2.17,1.89,2.17,INF,-1,0,7,0
380,1,1,19.142,21.316,1.79,1.99,1.79,1.99,INF,-1,1,7,0
400,1,1,19.575,22.032,1.83,2.06,1.83,2.06,INF,-1,0,7,0
420,1,1,19.119,22.480,1.79,2.10,1.79,2.10,INF,-1,0,7,0
440,1,1,18.272,22.387,1.71,2.09,1.71,2.09,INF,-1,0,7,0
460,1,1,6.570,-3.260,0.61,-0.30,0.61,-0.30,INF,-1,0,7,0
480,1,1,6.398,-5.136,0.60,-0.48,0.60,-0.48,INF,-1,0,7,0
500,1,1,7.132,-5.147,0.67,-0.48,0.67,-0.48,INF,-1,0,7,0
520,1,1,5.930,-4.828,0.55,-0.45,0.55,-0.45,INF,-1,0,7,0
540,1,1,7.132,-5.919,0.67,-0.55,0.67,-0.55,INF,-1,0,7,0
560,1,1,6.591,-4.387,0.62,-0.41,0.62,-0.41,INF,-1,0,7,0
580,1,1,6.801,-4.045,0.64,-0.38,0.64,-0.38,INF,-1,0,7,0
600,1,1,6.599,-5.659,0.62,-0.53,0.62,-0.53,INF,-1,0,7,0
620,1,1,5.749,-6.336,0.54,-0.59,0.54,-0.59,INF,-1,0,7,0
640,1,1,6.336,-3.633,0.59,-0.34,0.59,-0.34,INF,-1,0,7,0
660,1,1,13.926,1.918,1.30,0.18,1.30,0.18,INF,-1,0,7,0
680,1,1,15.352,2.910,1.43,0.27,1.43,0.27,INF,-1,0,7,0
700,1,1,13.867,3.685,1.30,0.34,1.30,0.34,INF,-1,0,7,0
720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
740,1,1,14.599,2.061,1.36,0.19,1.36,0.19,INF,-1,1,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
780,1,1,14.772,0.717,1.38,0.07,1.38,0.07,INF,-1,1,7,0
800,1,1,14.376,1.582,1.34,0.15,1.34,0.15,INF,-1,1,7,0
820,1,1,14.337,0.962,1.34,0.09,1.34,0.09,INF,-1,1,7,0
840,1,1,14.767,1.594,1.38,0.15,1.38,0.15,INF,-1,1,7,0
860,1,1,14.895,1.023,1.39,0.10,1.39,0.10,INF,-1,1,7,0
880,1,1,14.871,2.415,1.39,0.23,1.39,0.23,INF,-1,1,7,0
900,1,1,14.569,-0.064,1.36,-0.01,1.36,-0.01,INF,-1,1,7,0
920,1,1,15.358,0.597,1.44,0.06,1.44,0.06,INF,-1,1,7,0
940,1,1,14.718,1.441,1.38,0.13,1.38,0.13,INF,-1,1,7,0
960,1,1,16.589,2.524,1.55,0.24,1.55,0.24,INF,-1,1,7,0
980,1,1,16.348,2.630,1.53,0.25,1.53,0.25,INF,-1,1,7,0
1000,1,1,17.266,1.048,1.61,0.10,1.61,0.10,INF,-1,0,7,0
1020,1,1,16.881,1.597,1.58,0.15,1.58,0.15,INF,-1,0,7,0
1040,1,1,17.600,2.019,1.64,0.19,1.64,0.19,INF,-1,0,7,0
1060,1,1,17.494,2.127,1.63,0.20,1.63,0.20,INF,-1,0,7,0
1080,1,1,17.165,1.516,1.60,0.14,1.60,0.14,INF,-1,0,7,0
1100,1,1,17.756,1.764,1.66,0.16,1.66,0.16,INF,-1,0,7,0
1120,1,1,18.511,1.280,1.73,0.12,1.73,0.12,INF,-1,0,7,0
1140,1,1,17.702,3.358,1.65,0.31,1.65,0.31,INF,-1,0,7,0
1160,1,1,14.412,-2.737,1.35,-0.26,1.35,-0.26,INF,-1,0,7,0
1180,1,1,3.424,-12.296,0.32,-1.15,0.32,-1.15,INF,-1,0,7,0
1200,1,1,2.097,-14.855,0.20,-1.39,0.20,-1.39,INF,-1,0,7,0
1220,1,1,1.689,-15.000,0.16,-1.40,0.16,-1.40,INF,-1,0,7,0
1240,1,1,4.288,-14.136,0.40,-1.32,0.40,-1.32,INF,-1,0,7,0
1260,1,1,3.626,-14.904,0.34,-1.39,0.34,-1.39,INF,-1,0,7,0
1280,1,1,2.582,-14.725,0.24,-1.38,0.24,-1.38,INF,-1,0,7,0
1300,1,1,3.618,-14.302,0.34,-1.34,0.34,-1.34,INF,-1,0,7,0
1320,1,1,2.061,-13.423,0.19,-1.25,0.19,-1.25,INF,-1,1,7,0
1340,1,1,3.917,-14.467,0.37,-1.35,0.37,-1.35,INF,-1,1,7,0
1360,1,1,2.816,-14.020,0.26,-1.31,0.26,-1.31,INF,-1,1,7,0
1380,1,1,3.142,-14.174,0.29,-1.32,0.29,-1.32,INF,-1,1,7,0
1400,1,1,4.050,-14.677,0.38,-1.37,0.38,-1.37,INF,-1,1,7,0
1420,1,1,2.779,-13.423,0.26,-1.25,0.26,-1.25,INF,-1,1,7,0
1440,1,1,4.098,-14.585,0.38,-1.36,0.38,-1.36,INF,-1,1,7,0
1460,1,1,2.231,-13.685,0.21,-1.28,0.21,-1.28,INF,-1,1,7,0
1480,1,1,3.115,-15.321,0.29,-1.43,0.29,-1.43,INF,-1,1,7,0
1500,1,1,2.891,-13.007,0.27,-1.22,0.27,-1.22,INF,-1,1,7,0
1520,1,1,2.824,-14.141,0.26,-1.32,0.26,-1.32,INF,-1,1,7,0
1540,1,1,3.898,-14.101,0.36,-1.32,0.36,-1.32,INF,-1,1,7,0
