"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.32953
CalibrationParameters_A12,0.01375
CalibrationParameters_A13,-0.01159
CalibrationParameters_A21,0.07233
CalibrationParameters_A22,-1.32791
CalibrationParameters_A23,0.03202
CalibrationParameters_A31,0.00076
CalibrationParameters_A32,0.00004
CalibrationParameters_E11,-0.17990
CalibrationParameters_E12,0.00006
CalibrationParameters_E21,-0.00004
CalibrationParameters_E22,0.19992
CalibrationParameters_X,85.67723
CalibrationParameters_Y,63.05992
CalibrationParameters_Rpc,69.88481
CalibrationParameters_MeanX,110.29572
CalibrationParameters_MeanY,139.11825
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.617,-11.253,-0.99,-1.05,-0.99,-1.05,INF,-1,0,7,0
20,1,1,-17.139,-11.426,-1.60,-1.07,-1.60,-1.07,INF,-1,0,7,0
40,1,1,-22.933,-0.389,-2.14,-0.04,-2.14,-0.04,INF,-1,0,7,0
60,1,1,-20.391,-7.061,-1.91,-0.66,-1.91,-0.66,INF,-1,0,7,0
80,1,1,-23.028,-4.009,-2.15,-0.37,-2.15,-0.37,INF,-1,0,7,0
100,1,1,-19.188,-7.449,-1.79,-0.70,-1.79,-0.70,INF,-1,0,7,0
120,1,1,-18.285,-7.106,-1.71,-0.66,-1.71,-0.66,INF,-1,0,7,0
140,1,1,-16.409,-6.246,-1.53,-0.58,-1.53,-0.58,INF,-1,0,7,0
160,1,1,-14.660,-7.791,-1.37,-0.73,-1.37,-0.73,INF,-1,0,7,0
180,1,1,-16.664,-8.060,-1.56,-0.75,-1.56,-0.75,INF,-1,0,7,0
200,1,1,-21.534,-8.627,-2.01,-0.81,-2.01,-0.81,INF,-1,0,7,0
220,1,1,-20.595,-7.213,-1.92,-0.67,-1.92,-0.67,INF,-1,0,7,0
240,1,1,-20.189,-10.751,-1.89,-1.00,-1.89,-1.00,INF,-1,0,7,0
260,1,1,-17.818,-8.252,-1.66,-0.77,-1.66,-0.77,INF,-1,0,7,0
280,1,1,-17.583,2.465,-1.64,0.23,-1.64,0.23,INF,-1,1,7,0
300,1,1,-28.090,12.760,-2.62,1.19,-2.62,1.19,INF,-1,1,7,0
320,1,1,-21.111,7.177,-1.97,0.67,-1.97,0.67,INF,-1,1,7,0
340,1,1,-29.917,6.109,-2.79,0.57,-2.79,0.57,INF,-1,0,7,0
360,1,1,-26.398,9.586,-2.47,0.90,-2.47,0.90,INF,-1,0,7,0
380,1,1,-27.701,7.297,-2.59,0.68,-2.59,0.68,INF,-1,0,7,0
400,1,1,-24.398,6.321,-2.28,0.59,-2.28,0.59,INF,-1,0,7,0
420,1,1,-28.896,14.126,-2.70,1.32,-2.70,1.32,INF,-1,0,7,0
440,1,1,-24.020,13.768,-2.24,1.29,-2.24,1.29,INF,-1,0,7,0
460,1,1,2.045,17.252,0.19,1.61,0.19,1.61,INF,-1,0,7,0
480,1,1,5.478,13.840,0.51,1.29,0.51,1.29,INF,-1,0,7,0
500,1,1,9.051,15.719,0.85,1.47,0.85,1.47,INF,-1,0,7,0
520,1,1,6.966,18.784,0.65,1.76,0.65,1.76,INF,-1,0,7,0
540,1,1,9.707,17.813,0.91,1.66,0.91,1.66,INF,-1,0,7,0
560,1,1,9.570,22.131,0.89,2.07,0.89,2.07,INF,-1,0,7,0
580,1,1,9.159,17.870,0.86,1.67,0.86,1.67,INF,-1,0,7,0
600,1,1,7.356,20.643,0.69,1.93,0.69,1.93,INF,-1,0,7,0
620,1,1,6.170,15.587,0.58,1.46,0.58,1.46,INF,-1,0,7,0
640,1,1,9.165,18.854,0.86,1.76,0.86,1.76,INF,-1,0,7,0
660,1,1,7.092,19.246,0.66,1.80,0.66,1.80,INF,-1,0,7,0
680,1,1,13.060,17.847,1.22,1.67,1.22,1.67,INF,-1,0,7,0
700,1,1,11.786,18.120,1.10,1.69,1.10,1.69,INF,-1,0,7,0
720,1,1,10.368,19.809,0.97,1.85,0.97,1.85,INF,-1,0,7,0
740,1,1,8.234,16.073,0.77,1.50,0.77,1.50,INF,-1,1,7,0
760,1,1,6.303,15.647,0.59,1.46,0.59,1.46,INF,-1,1,7,0
780,1,1,12.474,19.418,1.17,1.81,1.17,1.81,INF,-1,1,7,0
800,1,1,10.269,19.051,0.96,1.78,0.96,1.78,INF,-1,1,7,0
820,1,1,6.990,24.766,0.65,2.31,0.65,2.31,INF,-1,1,7,0
840,1,1,13.147,20.686,1.23,1.93,1.23,1.93,INF,-1,1,7,0
860,1,1,9.943,22.196,0.93,2.07,0.93,2.07,INF,-1,1,7,0
880,1,1,9.598,17.802,0.90,1.66,0.90,1.66,INF,-1,1,7,0
900,1,1,8.986,20.548,0.84,1.92,0.84,1.92,INF,-1,1,7,0
920,1,1,10.517,17.894,0.98,1.67,0.98,1.67,INF,-1,1,7,0
940,1,1,8.689,20.277,0.81,1.89,0.81,1.89,INF,-1,1,7,0
960,1,1,11.801,21.125,1.10,1.97,1.10,1.97,INF,-1,1,7,0
980,1,1,14.277,16.086,1.33,1.50,1.33,1.50,INF,-1,1,7,0
