"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05509
CalibrationParameters_A12,0.03241
CalibrationParameters_A13,0.04349
CalibrationParameters_A21,0.04109
CalibrationParameters_A22,-1.08899
CalibrationParameters_A23,-0.00293
CalibrationParameters_A31,0.00082
CalibrationParameters_A32,0.00012
CalibrationParameters_E11,-0.17983
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,-0.00004
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-9.95140
CalibrationParameters_Y,28.38685
CalibrationParameters_Rpc,73.12687
CalibrationParameters_MeanX,171.11242
CalibrationParameters_MeanY,92.20865
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.599,30.604,-0.99,2.86,-0.99,2.86,INF,-1,0,7,0
20,1,1,-9.962,29.425,-0.93,2.75,-0.93,2.75,INF,-1,0,7,0
40,1,1,-9.968,30.746,-0.93,2.87,-0.93,2.87,INF,-1,0,7,0
60,1,1,-9.615,28.805,-0.90,2.69,-0.90,2.69,INF,-1,0,7,0
80,1,1,-9.304,29.134,-0.87,2.72,-0.87,2.72,INF,-1,0,7,0
100,1,1,-7.856,28.266,-0.73,2.64,-0.73,2.64,INF,-1,0,7,0
120,1,1,-8.353,28.398,-0.78,2.65,-0.78,2.65,INF,-1,0,7,0
140,1,1,-7.900,29.350,-0.74,2.74,-0.74,2.74,INF,-1,0,7,0
160,1,1,-8.989,28.754,-0.84,2.69,-0.84,2.69,INF,-1,0,7,0
180,1,1,-6.868,28.727,-0.64,2.68,-0.64,2.68,INF,-1,0,7,0
200,1,1,-6.846,29.357,-0.64,2.74,-0.64,2.74,INF,-1,0,7,0
220,1,1,-7.686,28.946,-0.72,2.70,-0.72,2.70,INF,-1,0,7,0
240,1,1,-7.592,27.846,-0.71,2.60,-0.71,2.60,INF,-1,0,7,0
260,1,1,-6.847,27.655,-0.64,2.58,-0.64,2.58,INF,-1,0,7,0
280,1,1,-8.358,29.098,-0.78,2.72,-0.78,2.72,INF,-1,1,7,0
300,1,1,14.035,17.496,1.31,1.63,1.31,1.63,INF,-1,1,7,0
320,1,1,11.949,18.328,1.12,1.71,1.12,1.71,INF,-1,1,7,0
340,1,1,13.885,17.759,1.30,1.66,1.30,1.66,INF,-1,0,7,0
360,1,1,12.818,18.110,1.20,1.69,1.20,1.69,INF,-1,0,7,0
380,1,1,14.204,18.908,1.33,1.77,1.33,1.77,INF,-1,0,7,0
400,1,1,13.808,19.789,1.29,1.85,1.29,1.85,INF,-1,0,7,0
420,1,1,14.230,18.923,1.33,1.77,1.33,1.77,INF,-1,0,7,0
440,1,1,13.562,18.880,1.27,1.76,1.27,1.76,INF,-1,0,7,0
460,1,1,14.831,20.343,1.39,1.90,1.39,1.90,INF,-1,0,7,0
480,1,1,13.268,19.862,1.24,1.86,1.24,1.86,INF,-1,0,7,0
500,1,1,14.924,18.290,1.39,1.71,1.39,1.71,INF,-1,0,7,0
520,1,1,13.733,19.231,1.28,1.80,1.28,1.80,INF,-1,0,7,0
540,1,1,13.315,19.174,1.24,1.79,1.24,1.79,INF,-1,0,7,0
560,1,1,15.209,20.493,1.42,1.91,1.42,1.91,INF,-1,0,7,0
580,1,1,15.078,18.731,1.41,1.75,1.41,1.75,INF,-1,1,7,0
600,1,1,14.816,20.129,1.38,1.88,1.38,1.88,INF,-1,1,7,0
620,1,1,14.071,24.468,1.31,2.29,1.31,2.29,INF,-1,1,7,0
640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
660,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
780,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
800,1,1,37.431,-14.966,3.49,-1.40,3.49,-1.40,INF,-1,0,7,0
820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
840,1,1,16.271,30.628,1.52,2.86,1.52,2.86,INF,-1,0,7,0
860,1,1,16.050,30.907,1.50,2.89,1.50,2.89,INF,-1,0,7,0
880,1,1,13.190,34.448,1.23,3.22,1.23,3.22,INF,-1,0,7,0
900,1,1,12.937,32.021,1.21,2.99,1.21,2.99,INF,-1,0,7,0
920,1,1,14.297,30.673,1.34,2.86,1.33,2.86,INF,-1,0,7,0
940,1,1,15.951,30.454,1.49,2.84,1.49,2.84,INF,-1,0,7,0
960,1,1,15.824,30.963,1.48,2.89,1.48,2.89,INF,-1,0,7,0
980,1,1,16.118,28.988,1.51,2.71,1.50,2.71,INF,-1,0,7,0
1000,1,1,16.852,31.227,1.57,2.92,1.57,2.92,INF,-1,0,7,0
1020,1,1,14.565,30.987,1.36,2.89,1.36,2.89,INF,-1,0,7,0
1040,1,1,16.147,29.967,1.51,2.80,1.51,2.80,INF,-1,0,7,0
1060,1,1,15.332,30.384,1.43,2.84,1.43,2.84,INF,-1,0,7,0
1080,1,1,16.336,30.826,1.53,2.88,1.52,2.88,INF,-1,0,7,0
1100,1,1,15.524,29.919,1.45,2.79,1.45,2.79,INF,-1,0,7,0
1120,1,1,15.300,30.402,1.43,2.84,1.43,2.84,INF,-1,1,7,0
1140,1,1,16.106,30.042,1.51,2.80,1.50,2.81,INF,-1,1,7,0
1160,1,1,14.780,31.227,1.38,2.92,1.38,2.92,INF,-1,1,7,0
1180,1,1,15.214,29.769,1.42,2.78,1.42,2.78,INF,-1,1,7,0
1200,1,1,15.662,29.224,1.46,2.73,1.46,2.73,INF,-1,1,7,0
1220,1,1,14.632,28.023,1.37,2.62,1.37,2.62,INF,-1,1,7,0
1240,1,1,9.636,20.212,0.90,1.89,0.90,1.89,INF,-1,1,7,0
1260,1,1,11.124,20.327,1.04,1.90,1.04,1.90,INF,-1,1,7,0
1280,1,1,11.446,19.570,1.07,1.83,1.07,1.83,INF,-1,0,7,0
1300,1,1,11.327,17.650,1.06,1.65,1.06,1.65,INF,-1,0,7,0
1320,1,1,11.700,20.082,1.09,1.88,1.09,1.88,INF,-1,0,7,0
1340,1,1,11.420,19.788,1.07,1.85,1.07,1.85,INF,-1,0,7,0
1360,1,1,12.397,20.975,1.16,1.96,1.16,1.96,INF,-1,0,7,0
1380,1,1,11.641,20.656,1.09,1.93,1.09,1.93,INF,-1,0,7,0
1400,1,1,11.699,19.294,1.09,1.80,1.09,1.80,INF,-1,0,7,0
1420,1,1,11.407,19.819,1.07,1.85,1.07,1.85,INF,-1,0,7,0
1440,1,1,11.391,18.878,1.06,1.76,1.06,1.76,INF,-1,0,7,0
1460,1,1,10.919,19.473,1.02,1.82,1.02,1.82,INF,-1,0,7,0
1480,1,1,11.308,19.250,1.06,1.80,1.06,1.80,INF,-1,0,7,0
1500,1,1,10.469,20.375,0.98,1.90,0.98,1.90,INF,-1,0,7,0
1520,1,1,10.506,18.350,0.98,1.71,0.98,1.71,INF,-1,1,7,0
1540,1,1,11.660,19.566,1.09,1.83,1.09,1.83,INF,-1,1,7,0
1560,1,1,12.598,20.623,1.18,1.93,1.18,1.93,INF,-1,1,7,0
1580,1,1,11.236,19.717,1.05,1.84,1.05,1.84,INF,-1,1,7,0
1600,1,1,12.109,20.393,1.13,1.90,1.13,1.91,INF,-1,1,7,0
