"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06356
CalibrationParameters_A12,0.03172
CalibrationParameters_A13,0.01897
CalibrationParameters_A21,0.03085
CalibrationParameters_A22,-1.09058
CalibrationParameters_A23,-0.01633
CalibrationParameters_A31,0.00036
CalibrationParameters_A32,0.00026
CalibrationParameters_E11,-0.18000
CalibrationParameters_E12,-0.00001
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.20002
CalibrationParameters_X,-16.63329
CalibrationParameters_Y,30.54529
CalibrationParameters_Rpc,71.49482
CalibrationParameters_MeanX,156.42200
CalibrationParameters_MeanY,104.56019
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,9.937,-151.255,0.93,-13.86,0.90,-13.86,INF,-1,0,7,0
60,1,1,10.505,-149.665,0.98,-13.72,0.95,-13.72,INF,-1,0,7,0
80,1,1,12.154,-152.632,1.14,-13.98,1.10,-13.98,INF,-1,0,7,0
100,1,1,10.799,-152.427,1.01,-13.96,0.98,-13.96,INF,-1,0,7,0
120,1,1,11.290,-152.112,1.06,-13.93,1.02,-13.94,INF,-1,0,7,0
140,1,1,10.636,-152.757,0.99,-13.99,0.96,-13.99,INF,-1,0,7,0
160,1,1,10.080,-153.285,0.94,-14.04,0.91,-14.04,INF,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,1,1,19.312,-20.003,1.80,-1.87,1.80,-1.87,INF,-1,0,7,0
220,1,1,2.302,7.875,0.22,0.74,0.22,0.74,INF,-1,0,7,0
240,1,1,5.846,3.498,0.55,0.33,0.55,0.33,INF,-1,0,7,0
260,1,1,6.591,3.697,0.62,0.35,0.62,0.35,INF,-1,0,7,0
280,1,1,9.021,3.860,0.84,0.36,0.84,0.36,INF,-1,0,7,0
300,1,1,9.581,1.268,0.90,0.12,0.90,0.12,INF,-1,0,7,0
320,1,1,8.991,2.789,0.84,0.26,0.84,0.26,INF,-1,0,7,0
340,1,1,9.112,1.558,0.85,0.15,0.85,0.15,INF,-1,0,7,0
360,1,1,9.726,1.809,0.91,0.17,0.91,0.17,INF,-1,0,7,0
380,1,1,8.352,0.531,0.78,0.05,0.78,0.05,INF,-1,0,7,0
400,1,1,8.825,0.547,0.82,0.05,0.82,0.05,INF,-1,0,7,0
420,1,1,9.558,0.445,0.89,0.04,0.89,0.04,INF,-1,0,7,0
440,1,1,8.967,0.969,0.84,0.09,0.84,0.09,INF,-1,0,7,0
460,1,1,9.085,0.445,0.85,0.04,0.85,0.04,INF,-1,0,7,0
480,1,1,-30.398,21.402,-2.84,2.00,-2.84,2.00,INF,-1,0,7,0
500,1,1,-25.949,18.606,-2.42,1.74,-2.42,1.74,INF,-1,1,7,0
520,1,1,-26.666,17.760,-2.49,1.66,-2.49,1.66,INF,-1,0,7,0
540,1,1,-26.693,18.024,-2.49,1.68,-2.49,1.68,INF,-1,0,7,0
560,1,1,-27.211,16.701,-2.54,1.56,-2.54,1.56,INF,-1,0,7,0
580,1,1,-25.947,15.799,-2.42,1.48,-2.42,1.48,INF,-1,0,7,0
600,1,1,-27.896,16.007,-2.61,1.49,-2.60,1.50,INF,-1,0,7,0
620,1,1,-27.270,14.871,-2.55,1.39,-2.55,1.39,INF,-1,0,7,0
640,1,1,-26.119,17.425,-2.44,1.63,-2.44,1.63,INF,-1,0,7,0
660,1,1,-26.181,16.564,-2.45,1.55,-2.44,1.55,INF,-1,0,7,0
680,1,1,-26.554,16.017,-2.48,1.50,-2.48,1.50,INF,-1,0,7,0
700,1,1,-26.613,16.074,-2.49,1.50,-2.49,1.50,INF,-1,0,7,0
720,1,1,-25.691,15.915,-2.40,1.49,-2.40,1.49,INF,-1,0,7,0
740,1,1,-25.749,15.597,-2.41,1.46,-2.40,1.46,INF,-1,0,7,0
760,1,1,-25.582,16.092,-2.39,1.50,-2.39,1.50,INF,-1,1,7,0
780,1,1,-25.510,15.376,-2.38,1.44,-2.38,1.44,INF,-1,1,7,0
800,1,1,-26.259,13.955,-2.45,1.30,-2.45,1.30,INF,-1,1,7,0
820,1,1,-25.154,15.523,-2.35,1.45,-2.35,1.45,INF,-1,1,7,0
840,1,1,-24.441,15.029,-2.28,1.40,-2.28,1.40,INF,-1,1,7,0
860,1,1,-2.874,12.482,-0.27,1.17,-0.27,1.17,INF,-1,1,7,0
880,1,1,43.377,22.805,4.05,2.13,4.04,2.13,INF,-1,1,7,0
900,1,1,36.044,19.748,3.37,1.84,3.36,1.85,INF,-1,0,7,0
920,1,1,39.336,19.496,3.67,1.82,3.67,1.82,INF,-1,0,7,0
940,1,1,39.795,19.055,3.71,1.78,3.71,1.78,INF,-1,0,7,0
960,1,1,39.519,20.700,3.69,1.93,3.69,1.93,INF,-1,0,7,0
980,1,1,40.235,21.575,3.76,2.01,3.75,2.02,INF,-1,0,7,0
1000,1,1,40.354,21.039,3.77,1.96,3.76,1.97,INF,-1,0,7,0
1020,1,1,40.246,20.951,3.76,1.95,3.75,1.96,INF,-1,0,7,0
1040,1,1,38.366,20.383,3.58,1.90,3.58,1.90,INF,-1,0,7,0
1060,1,1,38.616,19.645,3.60,1.83,3.60,1.84,INF,-1,0,7,0
1080,1,1,38.938,19.350,3.63,1.80,3.63,1.81,INF,-1,0,7,0
1100,1,1,38.067,19.239,3.55,1.79,3.55,1.80,INF,-1,0,7,0
1120,1,1,38.981,19.992,3.64,1.86,3.64,1.87,INF,-1,0,7,0
1140,1,1,38.379,18.605,3.58,1.74,3.58,1.74,INF,-1,0,7,0
1160,1,1,41.786,17.674,3.90,1.65,3.90,1.65,INF,-1,1,7,0
1180,1,1,-26.450,14.576,-2.47,1.36,-2.47,1.36,INF,-1,1,7,0
1200,1,1,-24.080,18.377,-2.25,1.72,-2.25,1.72,INF,-1,1,7,0
1220,1,1,-24.743,17.978,-2.31,1.68,-2.31,1.68,INF,-1,0,7,0
1240,1,1,-24.390,19.076,-2.28,1.78,-2.28,1.78,INF,-1,0,7,0
1260,1,1,-24.189,18.793,-2.26,1.75,-2.26,1.76,INF,-1,0,7,0
1280,1,1,-25.091,17.612,-2.34,1.64,-2.34,1.65,INF,-1,0,7,0
1300,1,1,-25.313,17.793,-2.36,1.66,-2.36,1.66,INF,-1,0,7,0
1320,1,1,-24.737,17.288,-2.31,1.61,-2.31,1.62,INF,-1,0,7,0
1340,1,1,-25.253,18.062,-2.36,1.69,-2.36,1.69,INF,-1,0,7,0
1360,1,1,-24.681,18.928,-2.31,1.77,-2.30,1.77,INF,-1,0,7,0
1380,1,1,-24.070,17.846,-2.25,1.67,-2.25,1.67,INF,-1,0,7,0
1400,1,1,-25.390,17.685,-2.37,1.65,-2.37,1.65,INF,-1,0,7,0
