"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.32953
CalibrationParameters_A12,0.01375
CalibrationParameters_A13,-0.01159
CalibrationParameters_A21,0.07233
CalibrationParameters_A22,-1.32791
CalibrationParameters_A23,0.03202
CalibrationParameters_A31,0.00076
CalibrationParameters_A32,0.00004
CalibrationParameters_E11,-0.17990
CalibrationParameters_E12,0.00006
CalibrationParameters_E21,-0.00004
CalibrationParameters_E22,0.19992
CalibrationParameters_X,85.67723
CalibrationParameters_Y,63.05992
CalibrationParameters_Rpc,69.88481
CalibrationParameters_MeanX,110.29572
CalibrationParameters_MeanY,139.11825
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-31.176,-6.377,-2.91,-0.60,-2.91,-0.60,INF,-1,0,7,0
20,1,1,-9.890,3.548,-0.92,0.33,-0.92,0.33,INF,-1,0,7,0
40,1,1,-7.080,2.557,-0.66,0.24,-0.66,0.24,INF,-1,0,7,0
60,1,1,-8.346,4.825,-0.78,0.45,-0.78,0.45,INF,-1,0,7,0
80,1,1,-8.279,2.399,-0.77,0.22,-0.77,0.22,INF,-1,0,7,0
100,1,1,-6.587,3.006,-0.62,0.28,-0.62,0.28,INF,-1,0,7,0
120,1,1,-7.917,3.609,-0.74,0.34,-0.74,0.34,INF,-1,0,7,0
140,1,1,-8.277,2.501,-0.77,0.23,-0.77,0.23,INF,-1,0,7,0
160,1,1,-8.965,1.972,-0.84,0.18,-0.84,0.18,INF,-1,0,7,0
180,1,1,-6.307,-1.314,-0.59,-0.12,-0.59,-0.12,INF,-1,0,7,0
200,1,1,-7.771,-0.687,-0.73,-0.06,-0.73,-0.06,INF,-1,0,7,0
220,1,1,-10.795,1.048,-1.01,0.10,-1.01,0.10,INF,-1,0,7,0
240,1,1,-11.176,2.152,-1.04,0.20,-1.04,0.20,INF,-1,0,7,0
260,1,1,-10.927,3.465,-1.02,0.32,-1.02,0.32,INF,-1,0,7,0
280,1,1,14.134,-7.579,1.32,-0.71,1.32,-0.71,INF,-1,0,7,0
300,1,1,17.851,-11.429,1.67,-1.07,1.67,-1.07,INF,-1,1,7,0
320,1,1,17.283,-9.282,1.61,-0.87,1.61,-0.87,INF,-1,0,7,0
340,1,1,13.256,-8.867,1.24,-0.83,1.24,-0.83,INF,-1,0,7,0
360,1,1,10.220,-7.584,0.96,-0.71,0.96,-0.71,INF,-1,0,7,0
380,1,1,16.847,-12.822,1.57,-1.20,1.57,-1.20,INF,-1,0,7,0
400,1,1,13.107,-10.624,1.22,-0.99,1.22,-0.99,INF,-1,0,7,0
420,1,1,10.497,-7.425,0.98,-0.69,0.98,-0.69,INF,-1,0,7,0
440,1,1,11.416,-9.544,1.07,-0.89,1.07,-0.89,INF,-1,0,7,0
460,1,1,16.118,-8.911,1.51,-0.83,1.51,-0.83,INF,-1,0,7,0
480,1,1,13.381,-7.969,1.25,-0.74,1.25,-0.74,INF,-1,0,7,0
500,1,1,12.141,-8.459,1.13,-0.79,1.13,-0.79,INF,-1,0,7,0
520,1,1,14.224,-8.517,1.33,-0.80,1.33,-0.80,INF,-1,0,7,0
540,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
560,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
580,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
600,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
620,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
660,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
720,1,1,10.934,-32.116,1.02,-3.00,1.02,-3.00,INF,-1,0,7,0
740,1,1,16.620,-18.873,1.55,-1.76,1.55,-1.76,INF,-1,0,7,0
760,1,1,13.057,-13.638,1.22,-1.27,1.22,-1.27,INF,-1,0,7,0
780,1,1,10.896,-8.815,1.02,-0.82,1.02,-0.82,INF,-1,0,7,0
800,1,1,16.467,-12.999,1.54,-1.21,1.54,-1.21,INF,-1,0,7,0
820,1,1,10.372,-10.985,0.97,-1.03,0.97,-1.03,INF,-1,0,7,0
840,1,1,14.138,-9.706,1.32,-0.91,1.32,-0.91,INF,-1,0,7,0
860,1,1,11.905,-12.087,1.11,-1.13,1.11,-1.13,INF,-1,0,7,0
880,1,1,14.607,-11.841,1.37,-1.11,1.36,-1.11,INF,-1,0,7,0
900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
