"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03486
CalibrationParameters_A12,0.04684
CalibrationParameters_A13,0.04211
CalibrationParameters_A21,0.00411
CalibrationParameters_A22,-1.06564
CalibrationParameters_A23,0.08113
CalibrationParameters_A31,0.00086
CalibrationParameters_A32,-0.00107
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,-0.00010
CalibrationParameters_E22,0.20001
CalibrationParameters_X,-3.21141
CalibrationParameters_Y,23.45846
CalibrationParameters_Rpc,67.92522
CalibrationParameters_MeanX,186.81317
CalibrationParameters_MeanY,90.37828
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,33.774,52.757,3.15,4.91,3.14,4.92,INF,-1,0,7,0
20,1,1,35.031,53.898,3.27,5.02,3.26,5.02,INF,-1,0,7,0
40,1,1,34.240,53.449,3.20,4.98,3.18,4.98,INF,-1,0,7,0
60,1,1,37.325,54.666,3.48,5.09,3.47,5.10,INF,-1,0,7,0
80,1,1,33.914,54.504,3.17,5.07,3.15,5.08,INF,-1,0,7,0
100,1,1,35.187,54.727,3.29,5.09,3.27,5.10,INF,-1,0,7,0
120,1,1,34.636,54.625,3.23,5.08,3.22,5.09,INF,-1,0,7,0
140,1,1,36.585,53.252,3.42,4.96,3.40,4.96,INF,-1,0,7,0
160,1,1,35.816,53.958,3.34,5.02,3.33,5.03,INF,-1,0,7,0
180,1,1,36.000,53.403,3.36,4.97,3.35,4.98,INF,-1,0,7,0
200,1,1,18.071,25.740,1.69,2.40,1.69,2.40,INF,-1,0,7,0
220,1,1,16.890,23.568,1.58,2.20,1.58,2.20,INF,-1,0,7,0
240,1,1,17.936,23.843,1.68,2.23,1.67,2.23,INF,-1,0,7,0
260,1,1,17.081,22.961,1.60,2.14,1.60,2.15,INF,-1,0,7,0
280,1,1,16.236,24.345,1.52,2.27,1.52,2.27,INF,-1,0,7,0
300,1,1,17.323,23.831,1.62,2.23,1.62,2.23,INF,-1,0,7,0
320,1,1,17.362,23.740,1.62,2.22,1.62,2.22,INF,-1,0,7,0
340,1,1,14.183,22.558,1.33,2.11,1.32,2.11,INF,-1,0,7,0
360,1,1,16.195,23.996,1.51,2.24,1.51,2.24,INF,-1,0,7,0
380,1,1,17.080,23.769,1.60,2.22,1.59,2.22,INF,-1,0,7,0
400,1,1,14.530,25.615,1.36,2.39,1.36,2.39,INF,-1,0,7,0
420,1,1,-0.483,24.226,-0.05,2.26,-0.05,2.26,INF,-1,0,7,0
440,1,1,-0.638,21.214,-0.06,1.98,-0.06,1.98,INF,-1,0,7,0
460,1,1,-0.438,21.903,-0.04,2.05,-0.04,2.05,INF,-1,0,7,0
480,1,1,-1.415,22.329,-0.13,2.09,-0.13,2.09,INF,-1,0,7,0
500,1,1,2.602,23.176,0.24,2.17,0.24,2.17,INF,-1,0,7,0
520,1,1,0.476,22.839,0.04,2.13,0.04,2.13,INF,-1,0,7,0
540,1,1,0.066,22.539,0.01,2.11,0.01,2.11,INF,-1,1,7,0
560,1,1,2.063,23.160,0.19,2.16,0.19,2.16,INF,-1,1,7,0
580,1,1,-2.665,21.905,-0.25,2.05,-0.25,2.05,INF,-1,1,7,0
600,1,1,-0.741,20.912,-0.07,1.95,-0.07,1.95,INF,-1,1,7,0
620,1,1,0.505,21.175,0.05,1.98,0.05,1.98,INF,-1,1,7,0
640,1,1,-2.306,21.415,-0.22,2.00,-0.22,2.00,INF,-1,1,7,0
660,1,1,-1.548,20.294,-0.14,1.90,-0.14,1.90,INF,-1,1,7,0
680,1,1,-4.289,19.150,-0.40,1.79,-0.40,1.79,INF,-1,0,7,0
700,1,1,-3.407,19.868,-0.32,1.86,-0.32,1.86,INF,-1,0,7,0
720,1,1,-3.681,21.125,-0.34,1.97,-0.34,1.97,INF,-1,0,7,0
740,1,1,-3.298,19.680,-0.31,1.84,-0.31,1.84,INF,-1,0,7,0
760,1,1,-1.004,20.136,-0.09,1.88,-0.09,1.88,INF,-1,0,7,0
780,1,1,-2.268,20.663,-0.21,1.93,-0.21,1.93,INF,-1,0,7,0
800,1,1,-2.053,21.021,-0.19,1.96,-0.19,1.96,INF,-1,0,7,0
820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
840,1,1,4.064,-18.394,0.38,-1.72,0.38,-1.72,INF,-1,0,7,0
860,1,1,0.628,-19.109,0.06,-1.79,0.06,-1.79,INF,-1,0,7,0
880,1,1,2.299,-19.487,0.21,-1.82,0.21,-1.82,INF,-1,0,7,0
900,1,1,1.735,-19.186,0.16,-1.79,0.16,-1.79,INF,-1,0,7,0
920,1,1,-0.730,-19.917,-0.07,-1.86,-0.07,-1.86,INF,-1,0,7,0
940,1,1,1.132,-20.345,0.11,-1.90,0.11,-1.90,INF,-1,0,7,0
960,1,1,4.319,-19.493,0.40,-1.82,0.40,-1.82,INF,-1,0,7,0
980,1,1,2.279,-19.203,0.21,-1.79,0.21,-1.79,INF,-1,0,7,0
1000,1,1,0.860,-20.878,0.08,-1.95,0.08,-1.95,INF,-1,0,7,0
1020,1,1,4.851,-17.046,0.45,-1.59,0.45,-1.59,INF,-1,0,7,0
1040,1,1,-0.093,-18.652,-0.01,-1.74,-0.01,-1.74,INF,-1,0,7,0
1060,1,1,2.765,-17.673,0.26,-1.65,0.26,-1.65,INF,-1,0,7,0
1080,1,1,30.985,4.624,2.89,0.43,2.89,0.43,INF,-1,0,7,0
1100,1,1,41.795,30.751,3.90,2.87,3.90,2.87,INF,-1,0,7,0
1120,1,1,41.366,28.509,3.86,2.66,3.86,2.66,INF,-1,0,7,0
1140,1,1,37.581,27.591,3.51,2.57,3.50,2.58,INF,-1,0,7,0
1160,1,1,40.281,26.954,3.76,2.51,3.76,2.52,INF,-1,0,7,0
1180,1,1,39.595,26.780,3.70,2.50,3.69,2.50,INF,-1,0,7,0
1200,1,1,39.703,28.280,3.71,2.64,3.70,2.64,INF,-1,0,7,0
1220,1,1,39.563,27.315,3.69,2.55,3.69,2.55,INF,-1,0,7,0
1240,1,1,38.831,29.093,3.62,2.71,3.62,2.72,INF,-1,0,7,0
1260,1,1,37.915,27.862,3.54,2.60,3.54,2.60,INF,-1,0,7,0
1280,1,1,38.588,26.546,3.60,2.47,3.60,2.48,INF,-1,0,7,0
1300,1,1,40.216,28.279,3.75,2.64,3.75,2.64,INF,-1,0,7,0
1320,1,1,40.941,29.508,3.82,2.75,3.82,2.76,INF,-1,1,7,0
1340,1,1,36.089,27.274,3.37,2.54,3.37,2.55,INF,-1,1,7,0
1360,1,1,39.846,28.337,3.72,2.64,3.72,2.65,INF,-1,1,7,0
1380,1,1,38.986,26.119,3.64,2.43,3.64,2.44,INF,-1,1,7,0
1400,1,1,40.592,29.787,3.79,2.78,3.78,2.78,INF,-1,1,7,0
1420,1,1,39.444,27.913,3.68,2.60,3.68,2.61,INF,-1,1,7,0
1440,1,1,44.506,31.943,4.15,2.98,4.15,2.98,INF,-1,1,7,0
1460,1,1,40.937,28.135,3.82,2.62,3.82,2.63,INF,-1,1,7,0
1480,1,1,42.218,29.512,3.94,2.75,3.94,2.76,INF,-1,0,7,0
1500,1,1,41.365,29.708,3.86,2.77,3.86,2.77,INF,-1,0,7,0
1520,1,1,37.658,27.064,3.52,2.52,3.51,2.53,INF,-1,0,7,0
1540,1,1,39.619,27.355,3.70,2.55,3.69,2.56,INF,-1,0,7,0
1560,1,1,39.371,28.785,3.67,2.68,3.67,2.69,INF,-1,0,7,0
1580,1,1,40.588,26.523,3.79,2.47,3.78,2.48,INF,-1,0,7,0
1600,1,1,16.507,19.641,1.54,1.83,1.54,1.84,INF,-1,0,7,0
