"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.33765
CalibrationParameters_A12,0.01434
CalibrationParameters_A13,-0.02001
CalibrationParameters_A21,0.06371
CalibrationParameters_A22,-1.32020
CalibrationParameters_A23,-0.01638
CalibrationParameters_A31,0.00025
CalibrationParameters_A32,0.00085
CalibrationParameters_E11,-0.18004
CalibrationParameters_E12,-0.00011
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19993
CalibrationParameters_X,87.94159
CalibrationParameters_Y,62.45162
CalibrationParameters_Rpc,69.66090
CalibrationParameters_MeanX,115.23775
CalibrationParameters_MeanY,149.07160
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,169.949,-95.654,15.50,-8.55,15.32,-8.87,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,1,1,367.299,-91.149,30.93,-7.27,30.65,-8.46,INF,-1,0,7,0
80,1,1,441.375,-110.526,35.75,-8.32,35.32,-10.22,INF,-1,0,7,0
100,1,1,447.336,-113.842,36.12,-8.53,35.66,-10.52,INF,-1,0,7,0
120,1,1,446.414,-114.638,36.06,-8.60,35.60,-10.59,INF,-1,0,7,0
140,1,1,449.231,-113.168,36.24,-8.47,35.78,-10.46,INF,-1,0,7,0
160,1,1,449.089,-115.119,36.23,-8.61,35.75,-10.64,INF,-1,0,7,0
180,1,1,447.421,-113.850,36.13,-8.53,35.66,-10.52,INF,-1,0,7,0
200,1,1,449.916,-115.742,36.28,-8.65,35.80,-10.69,INF,-1,0,7,0
220,1,1,448.539,-115.180,36.19,-8.62,35.72,-10.64,INF,-1,0,7,0
240,1,1,447.514,-115.007,36.13,-8.62,35.66,-10.63,INF,-1,0,7,0
260,1,1,445.973,-114.571,36.04,-8.59,35.57,-10.59,INF,-1,0,7,0
280,1,1,447.880,-113.557,36.15,-8.51,35.69,-10.49,INF,-1,0,7,0
300,1,1,447.622,-115.296,36.14,-8.64,35.66,-10.65,INF,-1,0,7,0
320,1,1,449.854,-116.296,36.27,-8.70,35.79,-10.74,INF,-1,0,7,0
340,1,1,447.646,-112.684,36.14,-8.44,35.69,-10.42,INF,-1,0,7,0
360,1,1,449.880,-113.843,36.27,-8.52,35.81,-10.52,INF,-1,1,7,0
380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,1,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,1,7,0
420,1,1,41.714,-55.643,3.89,-5.17,3.88,-5.19,INF,-1,1,7,0
440,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
460,1,1,-8.100,-28.416,-0.76,-2.65,-0.76,-2.65,INF,-1,0,7,0
480,1,1,-16.229,-12.142,-1.52,-1.13,-1.52,-1.13,INF,-1,0,7,0
500,1,1,-13.973,-12.064,-1.31,-1.13,-1.31,-1.13,INF,-1,0,7,0
520,1,1,-15.049,-11.287,-1.41,-1.05,-1.41,-1.05,INF,-1,0,7,0
540,1,1,-15.925,-13.855,-1.49,-1.29,-1.49,-1.29,INF,-1,0,7,0
560,1,1,-18.232,-13.504,-1.70,-1.26,-1.70,-1.26,INF,-1,0,7,0
580,1,1,-17.883,-11.995,-1.67,-1.12,-1.67,-1.12,INF,-1,0,7,0
600,1,1,-16.981,-13.572,-1.59,-1.27,-1.59,-1.27,INF,-1,0,7,0
620,1,1,-16.988,-13.631,-1.59,-1.27,-1.59,-1.27,INF,-1,0,7,0
640,1,1,-15.110,-10.737,-1.41,-1.00,-1.41,-1.00,INF,-1,0,7,0
660,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
780,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
820,1,1,-19.894,0.604,-1.86,0.06,-1.86,0.06,INF,-1,0,7,0
840,1,1,-16.923,0.874,-1.58,0.08,-1.58,0.08,INF,-1,0,7,0
860,1,1,-21.050,-1.049,-1.97,-0.10,-1.97,-0.10,INF,-1,0,7,0
880,1,1,-19.965,0.969,-1.87,0.09,-1.87,0.09,INF,-1,0,7,0
900,1,1,-17.773,-0.425,-1.66,-0.04,-1.66,-0.04,INF,-1,0,7,0
920,1,1,-21.024,2.202,-1.96,0.21,-1.96,0.21,INF,-1,0,7,0
940,1,1,-46.324,8.631,-4.32,0.80,-4.32,0.81,INF,-1,0,7,0
960,1,1,-52.595,11.489,-4.90,1.07,-4.90,1.07,INF,-1,0,7,0
980,1,1,-49.598,11.430,-4.63,1.06,-4.62,1.07,INF,-1,0,7,0
1000,1,1,-48.564,12.502,-4.53,1.16,-4.53,1.17,INF,-1,0,7,0
1020,1,1,-49.464,9.964,-4.61,0.93,-4.61,0.93,INF,-1,0,7,0
1040,1,1,-49.410,11.647,-4.61,1.08,-4.61,1.09,INF,-1,0,7,0
