"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07055
CalibrationParameters_A12,0.04016
CalibrationParameters_A13,0.05614
CalibrationParameters_A21,0.04284
CalibrationParameters_A22,-1.10246
CalibrationParameters_A23,0.02266
CalibrationParameters_A31,0.00104
CalibrationParameters_A32,-0.00012
CalibrationParameters_E11,-0.17996
CalibrationParameters_E12,-0.00018
CalibrationParameters_E21,-0.00011
CalibrationParameters_E22,0.19996
CalibrationParameters_X,-15.51347
CalibrationParameters_Y,30.59629
CalibrationParameters_Rpc,72.66223
CalibrationParameters_MeanX,173.16462
CalibrationParameters_MeanY,102.89541
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-12.672,22.684,-1.18,2.12,-1.18,2.12,INF,-1,0,7,0
20,1,1,-12.384,24.451,-1.16,2.28,-1.16,2.28,INF,-1,0,7,0
40,1,1,-12.595,25.163,-1.18,2.35,-1.18,2.35,INF,-1,0,7,0
60,1,1,-7.961,-5.709,-0.74,-0.53,-0.74,-0.53,INF,-1,0,7,0
80,1,1,-10.433,-5.419,-0.98,-0.51,-0.98,-0.51,INF,-1,0,7,0
100,1,1,-9.291,-3.461,-0.87,-0.32,-0.87,-0.32,INF,-1,0,7,0
120,1,1,-9.450,-4.261,-0.88,-0.40,-0.88,-0.40,INF,-1,0,7,0
140,1,1,-9.761,-3.812,-0.91,-0.36,-0.91,-0.36,INF,-1,0,7,0
160,1,1,-11.351,-3.367,-1.06,-0.31,-1.06,-0.31,INF,-1,0,7,0
180,1,1,-9.500,-4.464,-0.89,-0.42,-0.89,-0.42,INF,-1,0,7,0
200,1,1,-11.706,-5.780,-1.09,-0.54,-1.09,-0.54,INF,-1,0,7,0
220,1,1,-9.669,-4.542,-0.90,-0.42,-0.90,-0.42,INF,-1,0,7,0
240,1,1,-10.473,-4.624,-0.98,-0.43,-0.98,-0.43,INF,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,1,1,-8.806,-3.496,-0.82,-0.33,-0.82,-0.33,INF,-1,0,7,0
300,1,1,-9.151,-5.720,-0.86,-0.53,-0.86,-0.53,INF,-1,0,7,0
320,1,1,-9.699,-4.210,-0.91,-0.39,-0.91,-0.39,INF,-1,0,7,0
