"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.32959
CalibrationParameters_A12,0.02218
CalibrationParameters_A13,-0.00463
CalibrationParameters_A21,0.06020
CalibrationParameters_A22,-1.29901
CalibrationParameters_A23,-0.01979
CalibrationParameters_A31,0.00028
CalibrationParameters_A32,0.00106
CalibrationParameters_E11,-0.17995
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00006
CalibrationParameters_E22,0.19997
CalibrationParameters_X,85.17320
CalibrationParameters_Y,63.99345
CalibrationParameters_Rpc,68.73552
CalibrationParameters_MeanX,110.92818
CalibrationParameters_MeanY,154.44869
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-9.035,8.032,-0.84,0.75,-0.84,0.75,INF,-1,0,7,0
20,1,1,-10.774,8.114,-1.01,0.76,-1.01,0.76,INF,-1,0,7,0
40,1,1,-9.725,10.435,-0.91,0.98,-0.91,0.98,INF,-1,0,7,0
60,1,1,-9.074,9.181,-0.85,0.86,-0.85,0.86,INF,-1,0,7,0
80,1,1,-10.274,9.323,-0.96,0.87,-0.96,0.87,INF,-1,0,7,0
100,1,1,-10.338,8.732,-0.97,0.82,-0.97,0.82,INF,-1,0,7,0
120,1,1,-10.300,9.161,-0.96,0.86,-0.96,0.86,INF,-1,0,7,0
140,1,1,-12.165,9.771,-1.14,0.91,-1.14,0.91,INF,-1,0,7,0
160,1,1,-9.345,9.526,-0.87,0.89,-0.87,0.89,INF,-1,0,7,0
180,1,1,11.609,-11.866,1.08,-1.11,1.08,-1.11,INF,-1,0,7,0
200,1,1,6.926,-11.191,0.65,-1.05,0.65,-1.05,INF,-1,0,7,0
220,1,1,-16.407,-20.852,-1.53,-1.95,-1.53,-1.95,INF,-1,0,7,0
240,1,1,-23.194,-27.819,-2.17,-2.60,-2.16,-2.60,INF,-1,0,7,0
260,1,1,-20.133,-28.248,-1.88,-2.64,-1.88,-2.64,INF,-1,0,7,0
280,1,1,-20.942,-27.449,-1.96,-2.56,-1.95,-2.56,INF,-1,0,7,0
300,1,1,-20.913,-28.331,-1.95,-2.64,-1.95,-2.65,INF,-1,0,7,0
320,1,1,-22.605,-29.143,-2.11,-2.72,-2.11,-2.72,INF,-1,0,7,0
340,1,1,-22.945,-28.464,-2.14,-2.66,-2.14,-2.66,INF,-1,0,7,0
360,1,1,-22.158,-27.676,-2.07,-2.58,-2.07,-2.59,INF,-1,0,7,0
380,1,1,-21.648,-30.028,-2.02,-2.80,-2.02,-2.80,INF,-1,0,7,0
400,1,1,-24.504,-30.570,-2.29,-2.85,-2.29,-2.85,INF,-1,0,7,0
420,1,1,-23.668,-30.362,-2.21,-2.83,-2.21,-2.84,INF,-1,0,7,0
440,1,1,-24.170,-29.511,-2.26,-2.75,-2.26,-2.76,INF,-1,0,7,0
460,1,1,-22.314,-29.990,-2.08,-2.80,-2.08,-2.80,INF,-1,0,7,0
480,1,1,-21.795,-30.703,-2.04,-2.87,-2.03,-2.87,INF,-1,0,7,0
500,1,1,-21.903,-33.087,-2.05,-3.09,-2.04,-3.09,INF,-1,1,7,0
520,1,1,-20.877,-31.228,-1.95,-2.91,-1.95,-2.92,INF,-1,1,7,0
540,1,1,-20.672,-31.138,-1.93,-2.91,-1.93,-2.91,INF,-1,1,7,0
560,1,1,-21.140,-31.054,-1.98,-2.90,-1.97,-2.90,INF,-1,1,7,0
580,1,1,-21.735,-31.268,-2.03,-2.92,-2.03,-2.92,INF,-1,1,7,0
600,1,1,-20.324,-31.238,-1.90,-2.92,-1.90,-2.92,INF,-1,1,7,0
620,1,1,-23.283,-30.493,-2.18,-2.85,-2.17,-2.85,INF,-1,1,7,0
640,1,1,-23.043,-30.480,-2.15,-2.84,-2.15,-2.85,INF,-1,1,7,0
660,1,1,-22.937,-34.004,-2.14,-3.17,-2.14,-3.18,INF,-1,1,7,0
680,1,1,17.841,0.004,1.67,0.00,1.67,0.00,INF,-1,1,7,0
700,1,1,25.221,-2.029,2.36,-0.19,2.36,-0.19,INF,-1,1,7,0
720,1,1,22.762,-1.235,2.13,-0.12,2.13,-0.12,INF,-1,0,7,0
