"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06437
CalibrationParameters_A12,0.03775
CalibrationParameters_A13,-0.03907
CalibrationParameters_A21,0.01047
CalibrationParameters_A22,-1.08490
CalibrationParameters_A23,0.01242
CalibrationParameters_A31,-0.00072
CalibrationParameters_A32,-0.00019
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,0.00008
CalibrationParameters_E21,-0.00002
CalibrationParameters_E22,0.19988
CalibrationParameters_X,-14.92843
CalibrationParameters_Y,28.63618
CalibrationParameters_Rpc,70.05909
CalibrationParameters_MeanX,194.45848
CalibrationParameters_MeanY,99.57356
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-76.707,-102.393,-7.13,-9.41,-7.04,-9.48,INF,-1,0,7,0
40,1,1,-19.716,23.674,-1.84,2.21,-1.84,2.21,INF,-1,0,7,0
60,1,1,-21.161,23.923,-1.98,2.23,-1.98,2.23,INF,-1,0,7,0
80,1,1,-20.171,24.242,-1.88,2.26,-1.88,2.26,INF,-1,0,7,0
100,1,1,-19.083,25.047,-1.78,2.34,-1.78,2.34,INF,-1,0,7,0
120,1,1,-19.439,24.195,-1.82,2.26,-1.81,2.26,INF,-1,0,7,0
140,1,1,-19.383,25.346,-1.81,2.37,-1.81,2.37,INF,-1,0,7,0
160,1,1,-17.784,25.312,-1.66,2.36,-1.66,2.36,INF,-1,0,7,0
180,1,1,-19.593,24.859,-1.83,2.32,-1.83,2.32,INF,-1,0,7,0
200,1,1,-19.772,23.263,-1.85,2.17,-1.85,2.17,INF,-1,0,7,0
220,1,1,-17.641,23.375,-1.65,2.18,-1.65,2.18,INF,-1,0,7,0
240,1,1,39.083,25.446,3.65,2.37,3.64,2.38,INF,-1,0,7,0
260,1,1,33.465,21.287,3.12,1.99,3.12,1.99,INF,-1,0,7,0
280,1,1,34.156,21.596,3.19,2.01,3.19,2.02,INF,-1,0,7,0
300,1,1,35.532,21.506,3.32,2.01,3.32,2.01,INF,-1,0,7,0
320,1,1,31.927,19.943,2.98,1.86,2.98,1.86,INF,-1,0,7,0
340,1,1,29.380,19.980,2.74,1.86,2.74,1.87,INF,-1,0,7,0
360,1,1,33.584,20.726,3.14,1.93,3.13,1.94,INF,-1,0,7,0
380,1,1,31.863,20.611,2.98,1.92,2.97,1.93,INF,-1,0,7,0
400,1,1,32.173,21.463,3.00,2.00,3.00,2.01,INF,-1,0,7,0
420,1,1,31.589,20.773,2.95,1.94,2.95,1.94,INF,-1,0,7,0
440,1,1,32.755,22.357,3.06,2.09,3.06,2.09,INF,-1,0,7,0
460,1,1,31.247,20.911,2.92,1.95,2.92,1.95,INF,-1,0,7,0
480,1,1,29.318,20.512,2.74,1.91,2.74,1.92,INF,-1,0,7,0
500,1,1,36.586,22.539,3.42,2.10,3.41,2.11,INF,-1,0,7,0
520,1,1,31.567,20.289,2.95,1.89,2.95,1.90,INF,-1,1,7,0
540,1,1,35.943,22.548,3.36,2.10,3.35,2.11,INF,-1,1,7,0
560,1,1,21.670,5.541,2.02,0.52,2.02,0.52,INF,-1,1,7,0
580,1,1,13.588,0.389,1.27,0.04,1.27,0.04,INF,-1,1,7,0
600,1,1,12.560,0.676,1.17,0.06,1.17,0.06,INF,-1,0,7,0
620,1,1,13.029,0.625,1.22,0.06,1.22,0.06,INF,-1,0,7,0
640,1,1,12.637,-3.788,1.18,-0.35,1.18,-0.35,INF,-1,0,7,0
660,1,1,13.431,-1.455,1.26,-0.14,1.26,-0.14,INF,-1,0,7,0
680,1,1,13.714,-1.729,1.28,-0.16,1.28,-0.16,INF,-1,0,7,0
700,1,1,13.003,-0.629,1.22,-0.06,1.22,-0.06,INF,-1,0,7,0
720,1,1,15.638,0.090,1.46,0.01,1.46,0.01,INF,-1,0,7,0
740,1,1,15.405,-1.851,1.44,-0.17,1.44,-0.17,INF,-1,0,7,0
760,1,1,13.982,-2.216,1.31,-0.21,1.31,-0.21,INF,-1,0,7,0
780,1,1,14.036,-2.035,1.31,-0.19,1.31,-0.19,INF,-1,0,7,0
800,1,1,16.664,-0.601,1.56,-0.06,1.56,-0.06,INF,-1,0,7,0
820,1,1,14.934,-0.353,1.40,-0.03,1.40,-0.03,INF,-1,0,7,0
840,1,1,15.494,-0.452,1.45,-0.04,1.45,-0.04,INF,-1,1,7,0
860,1,1,14.734,-0.515,1.38,-0.05,1.38,-0.05,INF,-1,1,7,0
880,1,1,14.351,0.267,1.34,0.02,1.34,0.03,INF,-1,1,7,0
900,1,1,14.721,-0.664,1.38,-0.06,1.38,-0.06,INF,-1,1,7,0
920,1,1,-11.692,0.475,-1.09,0.04,-1.09,0.04,INF,-1,1,7,0
940,1,1,-28.439,5.177,-2.66,0.48,-2.66,0.48,INF,-1,1,7,0
960,1,1,-27.571,4.430,-2.58,0.41,-2.58,0.41,INF,-1,0,7,0
980,1,1,-27.062,3.098,-2.53,0.29,-2.53,0.29,INF,-1,0,7,0
1000,1,1,-28.291,3.395,-2.64,0.32,-2.64,0.32,INF,-1,0,7,0
1020,1,1,-28.485,3.663,-2.66,0.34,-2.66,0.34,INF,-1,0,7,0
1040,1,1,-27.724,4.042,-2.59,0.38,-2.59,0.38,INF,-1,0,7,0
1060,1,1,-28.628,3.302,-2.67,0.31,-2.67,0.31,INF,-1,0,7,0
1080,1,1,-26.848,1.681,-2.51,0.16,-2.51,0.16,INF,-1,0,7,0
1100,1,1,-26.988,3.674,-2.52,0.34,-2.52,0.34,INF,-1,0,7,0
1120,1,1,-28.208,2.738,-2.63,0.26,-2.63,0.26,INF,-1,0,7,0
1140,1,1,-27.415,2.614,-2.56,0.24,-2.56,0.24,INF,-1,0,7,0
1160,1,1,-26.232,4.730,-2.45,0.44,-2.45,0.44,INF,-1,0,7,0
1180,1,1,-26.919,2.483,-2.51,0.23,-2.51,0.23,INF,-1,0,7,0
1200,1,1,-27.517,1.768,-2.57,0.17,-2.57,0.17,INF,-1,0,7,0
1220,1,1,-25.905,4.659,-2.42,0.44,-2.42,0.44,INF,-1,1,7,0
1240,1,1,-29.285,1.821,-2.74,0.17,-2.74,0.17,INF,-1,1,7,0
1260,1,1,-28.686,2.413,-2.68,0.23,-2.68,0.23,INF,-1,1,7,0
