"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.27217
CalibrationParameters_A12,0.02136
CalibrationParameters_A13,0.03978
CalibrationParameters_A21,0.06261
CalibrationParameters_A22,-1.27007
CalibrationParameters_A23,-0.00939
CalibrationParameters_A31,0.00086
CalibrationParameters_A32,0.00000
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,0.00003
CalibrationParameters_E21,-0.00007
CalibrationParameters_E22,0.19994
CalibrationParameters_X,81.54111
CalibrationParameters_Y,55.88424
CalibrationParameters_Rpc,67.86969
CalibrationParameters_MeanX,134.03146
CalibrationParameters_MeanY,126.53601
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,1.784,14.198,0.17,1.33,0.17,1.33,INF,-1,0,7,0
20,1,1,2.708,14.704,0.25,1.37,0.25,1.37,INF,-1,0,7,0
40,1,1,1.948,17.254,0.18,1.61,0.18,1.61,INF,-1,0,7,0
60,1,1,1.303,16.300,0.12,1.52,0.12,1.52,INF,-1,0,7,0
80,1,1,2.901,14.780,0.27,1.38,0.27,1.38,INF,-1,0,7,0
100,1,1,-0.210,17.039,-0.02,1.59,-0.02,1.59,INF,-1,0,7,0
120,1,1,-0.318,17.401,-0.03,1.63,-0.03,1.63,INF,-1,0,7,0
140,1,1,2.181,16.698,0.20,1.56,0.20,1.56,INF,-1,0,7,0
160,1,1,1.581,15.721,0.15,1.47,0.15,1.47,INF,-1,0,7,0
180,1,1,1.166,16.578,0.11,1.55,0.11,1.55,INF,-1,0,7,0
200,1,1,2.764,14.075,0.26,1.32,0.26,1.32,INF,-1,0,7,0
220,1,1,-2.780,16.562,-0.26,1.55,-0.26,1.55,INF,-1,0,7,0
240,1,1,-0.020,14.650,0.00,1.37,0.00,1.37,INF,-1,0,7,0
260,1,1,-39.723,4.970,-3.71,0.46,-3.71,0.46,INF,-1,0,7,0
280,1,1,-33.218,8.306,-3.10,0.78,-3.10,0.78,INF,-1,1,7,0
300,1,1,-33.660,7.935,-3.14,0.74,-3.14,0.74,INF,-1,0,7,0
320,1,1,-34.064,7.704,-3.18,0.72,-3.18,0.72,INF,-1,0,7,0
340,1,1,-35.702,6.671,-3.33,0.62,-3.33,0.62,INF,-1,0,7,0
360,1,1,-34.030,6.922,-3.18,0.65,-3.18,0.65,INF,-1,0,7,0
380,1,1,-35.085,5.869,-3.28,0.55,-3.28,0.55,INF,-1,0,7,0
400,1,1,-33.536,4.084,-3.13,0.38,-3.13,0.38,INF,-1,0,7,0
420,1,1,-34.362,6.019,-3.21,0.56,-3.21,0.56,INF,-1,0,7,0
440,1,1,-34.957,5.220,-3.26,0.49,-3.26,0.49,INF,-1,0,7,0
460,1,1,-29.104,-0.043,-2.72,0.00,-2.72,0.00,INF,-1,0,7,0
480,1,1,5.337,3.792,0.50,0.35,0.50,0.35,INF,-1,0,7,0
500,1,1,2.192,4.938,0.20,0.46,0.20,0.46,INF,-1,0,7,0
520,1,1,3.853,2.458,0.36,0.23,0.36,0.23,INF,-1,0,7,0
540,1,1,1.641,4.511,0.15,0.42,0.15,0.42,INF,-1,0,7,0
560,1,1,3.028,3.506,0.28,0.33,0.28,0.33,INF,-1,0,7,0
580,1,1,0.941,3.229,0.09,0.30,0.09,0.30,INF,-1,0,7,0
600,1,1,2.709,1.767,0.25,0.17,0.25,0.17,INF,-1,0,7,0
620,1,1,1.677,2.420,0.16,0.23,0.16,0.23,INF,-1,0,7,0
640,1,1,1.529,4.880,0.14,0.46,0.14,0.46,INF,-1,0,7,0
660,1,1,3.694,2.540,0.35,0.24,0.35,0.24,INF,-1,0,7,0
680,1,1,1.031,3.389,0.10,0.32,0.10,0.32,INF,-1,1,7,0
700,1,1,14.673,-1.265,1.37,-0.12,1.37,-0.12,INF,-1,1,7,0
720,1,1,19.574,0.389,1.83,0.04,1.83,0.04,INF,-1,1,7,0
740,1,1,20.266,2.548,1.89,0.24,1.89,0.24,INF,-1,0,7,0
760,1,1,17.298,4.153,1.62,0.39,1.62,0.39,INF,-1,0,7,0
780,1,1,21.845,1.462,2.04,0.14,2.04,0.14,INF,-1,0,7,0
800,1,1,19.176,2.187,1.79,0.20,1.79,0.20,INF,-1,0,7,0
820,1,1,20.553,2.761,1.92,0.26,1.92,0.26,INF,-1,0,7,0
840,1,1,21.110,1.666,1.97,0.16,1.97,0.16,INF,-1,0,7,0
860,1,1,21.370,0.733,2.00,0.07,2.00,0.07,INF,-1,0,7,0
880,1,1,24.612,-1.048,2.30,-0.10,2.30,-0.10,INF,-1,0,7,0
900,1,1,28.135,0.836,2.63,0.08,2.63,0.08,INF,-1,0,7,0
920,1,1,24.274,-1.111,2.27,-0.10,2.27,-0.10,INF,-1,0,7,0
940,1,1,23.528,-0.193,2.20,-0.02,2.20,-0.02,INF,-1,0,7,0
960,1,1,25.615,-1.371,2.39,-0.13,2.39,-0.13,INF,-1,0,7,0
980,1,1,24.492,-0.880,2.29,-0.08,2.29,-0.08,INF,-1,1,7,0
1000,1,1,23.122,-1.580,2.16,-0.15,2.16,-0.15,INF,-1,1,7,0
1020,1,1,27.220,-1.701,2.54,-0.16,2.54,-0.16,INF,-1,1,7,0
1040,1,1,27.351,2.090,2.55,0.20,2.55,0.20,INF,-1,1,7,0
1060,1,1,27.191,-2.498,2.54,-0.23,2.54,-0.23,INF,-1,1,7,0
1080,1,1,24.869,-1.792,2.32,-0.17,2.32,-0.17,INF,-1,1,7,0
1100,1,1,24.678,-2.196,2.31,-0.21,2.31,-0.21,INF,-1,1,7,0
1120,1,1,25.390,-0.978,2.37,-0.09,2.37,-0.09,INF,-1,1,7,0
1140,1,1,26.770,-1.713,2.50,-0.16,2.50,-0.16,INF,-1,1,7,0
1160,1,1,23.993,-1.080,2.24,-0.10,2.24,-0.10,INF,-1,1,7,0
1180,1,1,24.727,-1.345,2.31,-0.13,2.31,-0.13,INF,-1,1,7,0
1200,1,1,28.267,-0.977,2.64,-0.09,2.64,-0.09,INF,-1,1,7,0
1220,1,1,25.199,-1.020,2.35,-0.10,2.35,-0.10,INF,-1,1,7,0
1240,1,1,27.072,-0.769,2.53,-0.07,2.53,-0.07,INF,-1,1,7,0
1260,1,1,25.958,-1.417,2.42,-0.13,2.42,-0.13,INF,-1,1,7,0
1280,1,1,25.414,0.269,2.37,0.03,2.37,0.03,INF,-1,1,7,0
1300,1,1,26.248,1.371,2.45,0.13,2.45,0.13,INF,-1,1,7,0
1320,1,1,24.737,0.169,2.31,0.02,2.31,0.02,INF,-1,1,7,0
1340,1,1,23.508,1.845,2.20,0.17,2.20,0.17,INF,-1,1,7,0
1360,1,1,24.697,1.664,2.31,0.16,2.31,0.16,INF,-1,1,7,0
1380,1,1,24.529,0.144,2.29,0.01,2.29,0.01,INF,-1,1,7,0
1400,1,1,23.710,-0.892,2.21,-0.08,2.21,-0.08,INF,-1,1,7,0
1420,1,1,25.115,3.112,2.35,0.29,2.35,0.29,INF,-1,1,7,0
1440,1,1,22.431,1.854,2.10,0.17,2.10,0.17,INF,-1,1,7,0
1460,1,1,25.778,0.723,2.41,0.07,2.41,0.07,INF,-1,1,7,0
1480,1,1,25.221,0.660,2.36,0.06,2.36,0.06,INF,-1,1,7,0
1500,1,1,26.926,-0.466,2.52,-0.04,2.52,-0.04,INF,-1,1,7,0
1520,1,1,26.941,3.518,2.52,0.33,2.52,0.33,INF,-1,1,7,0
1540,1,1,23.914,0.270,2.23,0.03,2.23,0.03,INF,-1,1,7,0
1560,1,1,26.128,-0.018,2.44,0.00,2.44,0.00,INF,-1,1,7,0
1580,1,1,23.529,0.062,2.20,0.01,2.20,0.01,INF,-1,1,7,0
1600,1,1,26.913,1.242,2.51,0.12,2.51,0.12,INF,-1,1,7,0
1620,1,1,27.755,-0.964,2.59,-0.09,2.59,-0.09,INF,-1,1,7,0
1640,1,1,28.206,1.462,2.63,0.14,2.63,0.14,INF,-1,1,7,0
1660,1,1,27.707,-16.160,2.59,-1.51,2.59,-1.51,INF,-1,1,7,0
1680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1780,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1920,1,1,4.314,-9.006,0.40,-0.84,0.40,-0.84,INF,-1,0,7,0
1940,1,1,6.129,-0.965,0.57,-0.09,0.57,-0.09,INF,-1,0,7,0
1960,1,1,6.054,-1.643,0.57,-0.15,0.57,-0.15,INF,-1,0,7,0
1980,1,1,6.598,-2.793,0.62,-0.26,0.62,-0.26,INF,-1,0,7,0
2000,1,1,6.569,-2.503,0.61,-0.23,0.61,-0.23,INF,-1,0,7,0
2020,1,1,5.517,-0.861,0.52,-0.08,0.52,-0.08,INF,-1,0,7,0
2040,1,1,5.377,-3.463,0.50,-0.32,0.50,-0.32,INF,-1,0,7,0
2060,1,1,5.655,-2.206,0.53,-0.21,0.53,-0.21,INF,-1,0,7,0
2080,1,1,1.401,-4.335,0.13,-0.41,0.13,-0.41,INF,-1,0,7,0
2100,1,1,1.325,-3.565,0.12,-0.33,0.12,-0.33,INF,-1,0,7,0
2120,1,1,1.873,-3.803,0.18,-0.36,0.18,-0.36,INF,-1,0,7,0
2140,1,1,1.954,-1.401,0.18,-0.13,0.18,-0.13,INF,-1,0,7,0
2160,1,1,3.495,-3.400,0.33,-0.32,0.33,-0.32,INF,-1,0,7,0
2180,1,1,2.273,-4.813,0.21,-0.45,0.21,-0.45,INF,-1,0,7,0
2200,1,1,5.496,-5.416,0.51,-0.51,0.51,-0.51,INF,-1,1,7,0
2220,1,1,2.275,-1.600,0.21,-0.15,0.21,-0.15,INF,-1,1,7,0
2240,1,1,4.702,-4.013,0.44,-0.38,0.44,-0.38,INF,-1,1,7,0
2260,1,1,2.618,-3.736,0.24,-0.35,0.24,-0.35,INF,-1,1,7,0
2280,1,1,5.496,-5.852,0.51,-0.55,0.51,-0.55,INF,-1,1,7,0
2300,1,1,4.852,-4.139,0.45,-0.39,0.45,-0.39,INF,-1,1,7,0
2320,1,1,1.585,-4.182,0.15,-0.39,0.15,-0.39,INF,-1,1,7,0
2340,1,1,2.380,-4.552,0.22,-0.43,0.22,-0.43,INF,-1,1,7,0
2360,1,1,4.341,-5.398,0.41,-0.50,0.41,-0.50,INF,-1,1,7,0
2380,1,1,4.912,-4.210,0.46,-0.39,0.46,-0.39,INF,-1,1,7,0
2400,1,1,8.239,-3.710,0.77,-0.35,0.77,-0.35,INF,-1,1,7,0
2420,1,1,4.610,-4.699,0.43,-0.44,0.43,-0.44,INF,-1,1,7,0
2440,1,1,3.601,-5.214,0.34,-0.49,0.34,-0.49,INF,-1,1,7,0
