"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06142
CalibrationParameters_A12,0.03752
CalibrationParameters_A13,0.02738
CalibrationParameters_A21,0.02763
CalibrationParameters_A22,-1.11899
CalibrationParameters_A23,0.04918
CalibrationParameters_A31,0.00042
CalibrationParameters_A32,-0.00055
CalibrationParameters_E11,-0.17994
CalibrationParameters_E12,-0.00025
CalibrationParameters_E21,0.00004
CalibrationParameters_E22,0.20003
CalibrationParameters_X,-24.73254
CalibrationParameters_Y,28.48909
CalibrationParameters_Rpc,73.15429
CalibrationParameters_MeanX,216.68329
CalibrationParameters_MeanY,100.49095
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,88.176,-51.158,8.19,-4.72,8.16,-4.77,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
440,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
460,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
480,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
500,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
520,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
540,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
560,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
580,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
600,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
620,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
660,1,1,5.123,-5.437,0.48,-0.51,0.48,-0.51,INF,-1,0,7,0
680,1,1,8.115,-4.715,0.76,-0.44,0.76,-0.44,INF,-1,0,7,0
700,1,1,10.501,-1.133,0.98,-0.11,0.98,-0.11,INF,-1,0,7,0
720,1,1,10.683,-3.715,1.00,-0.35,1.00,-0.35,INF,-1,0,7,0
740,1,1,11.944,-2.441,1.12,-0.23,1.12,-0.23,INF,-1,0,7,0
760,1,1,12.635,-3.531,1.18,-0.33,1.18,-0.33,INF,-1,0,7,0
780,1,1,11.707,-4.318,1.09,-0.40,1.09,-0.40,INF,-1,0,7,0
800,1,1,13.577,-3.854,1.27,-0.36,1.27,-0.36,INF,-1,0,7,0
820,1,1,10.453,-7.256,0.98,-0.68,0.98,-0.68,INF,-1,0,7,0
840,1,1,12.684,-3.484,1.19,-0.33,1.19,-0.33,INF,-1,0,7,0
860,1,1,11.404,-3.706,1.07,-0.35,1.07,-0.35,INF,-1,0,7,0
880,1,1,11.894,-6.004,1.11,-0.56,1.11,-0.56,INF,-1,0,7,0
900,1,1,9.550,-8.211,0.89,-0.77,0.89,-0.77,INF,-1,0,7,0
920,1,1,11.376,-6.526,1.06,-0.61,1.06,-0.61,INF,-1,0,7,0
940,1,1,14.194,-8.069,1.33,-0.75,1.33,-0.75,INF,-1,1,7,0
960,1,1,12.609,-8.268,1.18,-0.77,1.18,-0.77,INF,-1,1,7,0
980,1,1,11.009,-8.802,1.03,-0.82,1.03,-0.82,INF,-1,1,7,0
1000,1,1,12.566,-7.913,1.17,-0.74,1.17,-0.74,INF,-1,1,7,0
1020,1,1,12.581,-8.532,1.18,-0.80,1.18,-0.80,INF,-1,1,7,0
1040,1,1,12.064,-7.580,1.13,-0.71,1.13,-0.71,INF,-1,1,7,0
1060,1,1,12.566,-7.136,1.17,-0.67,1.17,-0.67,INF,-1,1,7,0
1080,1,1,12.028,-8.126,1.12,-0.76,1.12,-0.76,INF,-1,1,7,0
1100,1,1,12.339,-6.823,1.15,-0.64,1.15,-0.64,INF,-1,1,7,0
1120,1,1,13.104,-6.286,1.22,-0.59,1.22,-0.59,INF,-1,1,7,0
1140,1,1,14.690,-6.789,1.37,-0.63,1.37,-0.63,INF,-1,1,7,0
1160,1,1,12.485,-5.971,1.17,-0.56,1.17,-0.56,INF,-1,1,7,0
1180,1,1,14.540,-7.105,1.36,-0.66,1.36,-0.66,INF,-1,1,7,0
1200,1,1,14.367,-6.938,1.34,-0.65,1.34,-0.65,INF,-1,1,7,0
1220,1,1,13.606,-5.239,1.27,-0.49,1.27,-0.49,INF,-1,1,7,0
1240,1,1,29.733,14.707,2.78,1.37,2.78,1.37,INF,-1,1,7,0
1260,1,1,28.207,20.073,2.63,1.87,2.63,1.88,INF,-1,1,7,0
1280,1,1,29.593,17.843,2.76,1.67,2.76,1.67,INF,-1,0,7,0
1300,1,1,31.122,19.016,2.91,1.77,2.91,1.78,INF,-1,0,7,0
