"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.42920
CalibrationParameters_A12,0.07987
CalibrationParameters_A13,0.00335
CalibrationParameters_A21,0.08169
CalibrationParameters_A22,-1.37606
CalibrationParameters_A23,-0.04287
CalibrationParameters_A31,-0.00021
CalibrationParameters_A32,0.02418
CalibrationParameters_E11,-0.17987
CalibrationParameters_E12,0.00048
CalibrationParameters_E21,0.00010
CalibrationParameters_E22,0.19969
CalibrationParameters_X,9.01134
CalibrationParameters_Y,62.12150
CalibrationParameters_Rpc,90.12515
CalibrationParameters_MeanX,176.62118
CalibrationParameters_MeanY,97.82045
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-7.638,23.331,-0.71,2.18,-0.71,2.18,INF,-1,0,7,0
40,1,1,-7.254,22.725,-0.68,2.12,-0.68,2.12,INF,-1,0,7,0
60,1,1,-6.898,22.521,-0.64,2.10,-0.64,2.10,INF,-1,0,7,0
80,1,1,-6.479,22.788,-0.61,2.13,-0.61,2.13,INF,-1,0,7,0
100,1,1,-6.820,22.562,-0.64,2.11,-0.64,2.11,INF,-1,0,7,0
120,1,1,-9.429,21.752,-0.88,2.03,-0.88,2.03,INF,-1,0,7,0
140,1,1,-9.833,20.197,-0.92,1.89,-0.92,1.89,INF,-1,0,7,0
160,1,1,-5.233,24.163,-0.49,2.26,-0.49,2.26,INF,-1,0,7,0
180,1,1,-10.092,22.614,-0.94,2.11,-0.94,2.11,INF,-1,0,7,0
200,1,1,-6.922,20.550,-0.65,1.92,-0.65,1.92,INF,-1,0,7,0
220,1,1,-8.711,23.415,-0.81,2.19,-0.81,2.19,INF,-1,0,7,0
240,1,1,-2.338,19.099,-0.22,1.78,-0.22,1.78,INF,-1,0,7,0
260,1,1,9.849,-2.081,0.92,-0.19,0.92,-0.19,INF,-1,0,7,0
280,1,1,9.960,-1.181,0.93,-0.11,0.93,-0.11,INF,-1,0,7,0
300,1,1,8.133,-0.002,0.76,0.00,0.76,0.00,INF,-1,0,7,0
320,1,1,8.009,0.702,0.75,0.07,0.75,0.07,INF,-1,0,7,0
340,1,1,6.333,-0.565,0.59,-0.05,0.59,-0.05,INF,-1,0,7,0
360,1,1,12.562,0.558,1.17,0.05,1.17,0.05,INF,-1,0,7,0
