"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.32449
CalibrationParameters_A12,0.03303
CalibrationParameters_A13,0.00324
CalibrationParameters_A21,0.05290
CalibrationParameters_A22,-1.42178
CalibrationParameters_A23,-0.04193
CalibrationParameters_A31,-0.00080
CalibrationParameters_A32,0.02327
CalibrationParameters_E11,-0.18036
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,-0.00028
CalibrationParameters_E22,0.19997
CalibrationParameters_X,1.81218
CalibrationParameters_Y,60.77456
CalibrationParameters_Rpc,84.67364
CalibrationParameters_MeanX,214.30557
CalibrationParameters_MeanY,87.57338
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,2.855,-4.704,0.27,-0.44,0.27,-0.44,INF,-1,0,7,0
20,1,1,2.366,-3.459,0.22,-0.32,0.22,-0.32,INF,-1,0,7,0
40,1,1,4.226,-1.177,0.39,-0.11,0.39,-0.11,INF,-1,0,7,0
60,1,1,2.599,-4.871,0.24,-0.46,0.24,-0.46,INF,-1,0,7,0
80,1,1,1.634,-4.405,0.15,-0.41,0.15,-0.41,INF,-1,0,7,0
100,1,1,1.103,-7.207,0.10,-0.67,0.10,-0.67,INF,-1,0,7,0
120,1,1,1.047,-5.262,0.10,-0.49,0.10,-0.49,INF,-1,0,7,0
140,1,1,1.232,-7.648,0.12,-0.71,0.12,-0.71,INF,-1,0,7,0
160,1,1,0.364,-7.159,0.03,-0.67,0.03,-0.67,INF,-1,0,7,0
180,1,1,0.444,-5.421,0.04,-0.51,0.04,-0.51,INF,-1,0,7,0
200,1,1,1.249,-6.740,0.12,-0.63,0.12,-0.63,INF,-1,0,7,0
220,1,1,1.646,-6.693,0.15,-0.63,0.15,-0.63,INF,-1,0,7,0
240,1,1,-0.271,-8.528,-0.03,-0.80,-0.03,-0.80,INF,-1,0,7,0
260,1,1,10.586,-1.998,0.99,-0.19,0.99,-0.19,INF,-1,0,7,0
280,1,1,14.225,1.673,1.33,0.16,1.33,0.16,INF,-1,1,7,0
300,1,1,12.842,2.792,1.20,0.26,1.20,0.26,INF,-1,1,7,0
320,1,1,14.701,1.042,1.37,0.10,1.37,0.10,INF,-1,0,7,0
340,1,1,14.883,4.363,1.39,0.41,1.39,0.41,INF,-1,0,7,0
360,1,1,13.996,1.618,1.31,0.15,1.31,0.15,INF,-1,0,7,0
380,1,1,13.787,0.356,1.29,0.03,1.29,0.03,INF,-1,0,7,0
400,1,1,13.170,-0.974,1.23,-0.09,1.23,-0.09,INF,-1,0,7,0
420,1,1,15.825,2.738,1.48,0.26,1.48,0.26,INF,-1,0,7,0
440,1,1,15.472,0.065,1.45,0.01,1.45,0.01,INF,-1,0,7,0
460,1,1,13.865,0.942,1.30,0.09,1.30,0.09,INF,-1,0,7,0
480,1,1,13.821,1.046,1.29,0.10,1.29,0.10,INF,-1,0,7,0
500,1,1,16.076,1.403,1.50,0.13,1.50,0.13,INF,-1,0,7,0
520,1,1,13.881,0.488,1.30,0.05,1.30,0.05,INF,-1,0,7,0
540,1,1,13.191,1.464,1.23,0.14,1.23,0.14,INF,-1,0,7,0
560,1,1,14.598,1.374,1.36,0.13,1.36,0.13,INF,-1,1,7,0
580,1,1,13.213,0.927,1.23,0.09,1.23,0.09,INF,-1,1,7,0
600,1,1,14.248,0.209,1.33,0.02,1.33,0.02,INF,-1,1,7,0
620,1,1,15.378,2.765,1.44,0.26,1.44,0.26,INF,-1,1,7,0
640,1,1,13.446,0.094,1.26,0.01,1.26,0.01,INF,-1,1,7,0
660,1,1,12.877,-0.776,1.20,-0.07,1.20,-0.07,INF,-1,1,7,0
680,1,1,11.878,0.736,1.11,0.07,1.11,0.07,INF,-1,1,7,0
700,1,1,14.058,3.464,1.31,0.32,1.31,0.32,INF,-1,1,7,0
720,1,1,13.385,1.311,1.25,0.12,1.25,0.12,INF,-1,1,7,0
740,1,1,13.736,0.153,1.28,0.01,1.28,0.01,INF,-1,1,7,0
760,1,1,11.727,0.616,1.10,0.06,1.10,0.06,INF,-1,1,7,0
780,1,1,13.056,-0.568,1.22,-0.05,1.22,-0.05,INF,-1,1,7,0
800,1,1,15.903,3.217,1.49,0.30,1.49,0.30,INF,-1,1,7,0
820,1,1,18.197,6.486,1.70,0.61,1.70,0.61,INF,-1,1,7,0
840,1,1,16.462,5.151,1.54,0.48,1.54,0.48,INF,-1,1,7,0
860,1,1,19.235,8.087,1.80,0.76,1.80,0.76,INF,-1,1,7,0
880,1,1,18.953,8.020,1.77,0.75,1.77,0.75,INF,-1,1,7,0
900,1,1,15.707,6.355,1.47,0.59,1.47,0.59,INF,-1,1,7,0
920,1,1,17.683,7.131,1.65,0.67,1.65,0.67,INF,-1,1,7,0
940,1,1,16.148,4.800,1.51,0.45,1.51,0.45,INF,-1,1,7,0
960,1,1,17.722,6.538,1.66,0.61,1.66,0.61,INF,-1,1,7,0
980,1,1,19.205,9.267,1.79,0.87,1.79,0.87,INF,-1,1,7,0
1000,1,1,18.505,10.517,1.73,0.98,1.73,0.98,INF,-1,1,7,0
1020,1,1,18.909,10.172,1.77,0.95,1.77,0.95,INF,-1,1,7,0
1040,1,1,17.752,6.687,1.66,0.62,1.66,0.63,INF,-1,1,7,0
1060,1,1,17.382,6.998,1.62,0.65,1.62,0.65,INF,-1,1,7,0
1080,1,1,19.222,6.892,1.80,0.64,1.80,0.64,INF,-1,1,7,0
1100,1,1,17.845,7.212,1.67,0.67,1.67,0.67,INF,-1,1,7,0
1120,1,1,18.095,9.241,1.69,0.86,1.69,0.86,INF,-1,1,7,0
1140,1,1,19.108,6.579,1.79,0.61,1.79,0.61,INF,-1,1,7,0
1160,1,1,18.502,6.582,1.73,0.61,1.73,0.62,INF,-1,1,7,0
1180,1,1,19.842,8.923,1.85,0.83,1.85,0.83,INF,-1,1,7,0
1200,1,1,14.123,15.048,1.32,1.41,1.32,1.41,INF,-1,1,7,0
1220,1,1,13.894,13.837,1.30,1.29,1.30,1.29,INF,-1,1,7,0
1240,1,1,15.273,15.734,1.43,1.47,1.43,1.47,INF,-1,0,7,0
1260,1,1,13.387,13.972,1.25,1.31,1.25,1.31,INF,-1,0,7,0
