"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.31882
CalibrationParameters_A12,0.08167
CalibrationParameters_A13,0.00395
CalibrationParameters_A21,0.08318
CalibrationParameters_A22,-1.41307
CalibrationParameters_A23,-0.05562
CalibrationParameters_A31,-0.00062
CalibrationParameters_A32,0.01824
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,0.00028
CalibrationParameters_E22,0.20002
CalibrationParameters_X,15.06097
CalibrationParameters_Y,60.38959
CalibrationParameters_Rpc,85.02330
CalibrationParameters_MeanX,152.32225
CalibrationParameters_MeanY,103.47432
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-110.598,19.736,-10.23,1.81,-10.22,1.84,INF,-1,0,7,0
20,1,1,-109.623,18.208,-10.14,1.67,-10.13,1.70,INF,-1,0,7,0
40,1,1,-108.782,19.381,-10.06,1.78,-10.06,1.81,INF,-1,0,7,0
60,1,1,-108.154,19.049,-10.01,1.75,-10.00,1.78,INF,-1,0,7,0
80,1,1,-76.722,16.565,-7.13,1.54,-7.13,1.55,INF,-1,0,7,0
100,1,1,-51.803,20.671,-4.83,1.92,-4.83,1.93,INF,-1,0,7,0
120,1,1,-54.172,19.054,-5.05,1.77,-5.05,1.78,INF,-1,0,7,0
140,1,1,-51.878,17.009,-4.84,1.58,-4.84,1.59,INF,-1,0,7,0
160,1,1,-32.121,16.414,-3.00,1.53,-3.00,1.53,INF,-1,0,7,0
180,1,1,-32.925,15.869,-3.07,1.48,-3.07,1.48,INF,-1,0,7,0
200,1,1,-30.517,14.004,-2.85,1.31,-2.85,1.31,INF,-1,0,7,0
220,1,1,-28.761,13.654,-2.69,1.27,-2.69,1.28,INF,-1,0,7,0
240,1,1,-29.044,12.001,-2.71,1.12,-2.71,1.12,INF,-1,0,7,0
260,1,1,-28.601,12.598,-2.67,1.18,-2.67,1.18,INF,-1,0,7,0
280,1,1,-29.253,10.833,-2.73,1.01,-2.73,1.01,INF,-1,0,7,0
300,1,1,-27.847,11.560,-2.60,1.08,-2.60,1.08,INF,-1,0,7,0
320,1,1,-27.919,10.014,-2.61,0.93,-2.61,0.94,INF,-1,0,7,0
340,1,1,-27.712,10.377,-2.59,0.97,-2.59,0.97,INF,-1,0,7,0
360,1,1,-27.862,10.360,-2.60,0.97,-2.60,0.97,INF,-1,0,7,0
380,1,1,-28.226,11.185,-2.64,1.04,-2.64,1.05,INF,-1,1,7,0
400,1,1,-28.879,9.723,-2.70,0.91,-2.70,0.91,INF,-1,1,7,0
420,1,1,-28.851,9.489,-2.69,0.89,-2.69,0.89,INF,-1,1,7,0
440,1,1,-29.935,9.106,-2.80,0.85,-2.80,0.85,INF,-1,1,7,0
460,1,1,-29.054,8.125,-2.71,0.76,-2.71,0.76,INF,-1,1,7,0
480,1,1,-30.279,8.723,-2.83,0.81,-2.83,0.82,INF,-1,1,7,0
500,1,1,-29.870,7.928,-2.79,0.74,-2.79,0.74,INF,-1,1,7,0
520,1,1,-29.618,7.259,-2.77,0.68,-2.77,0.68,INF,-1,1,7,0
540,1,1,-30.352,8.196,-2.83,0.77,-2.83,0.77,INF,-1,1,7,0
560,1,1,-29.377,6.713,-2.74,0.63,-2.74,0.63,INF,-1,1,7,0
580,1,1,-36.495,5.752,-3.41,0.54,-3.41,0.54,INF,-1,1,7,0
600,1,1,-36.792,4.509,-3.43,0.42,-3.43,0.42,INF,-1,1,7,0
620,1,1,-36.834,4.804,-3.44,0.45,-3.44,0.45,INF,-1,1,7,0
640,1,1,-36.410,4.193,-3.40,0.39,-3.40,0.39,INF,-1,1,7,0
660,1,1,-38.126,4.606,-3.56,0.43,-3.56,0.43,INF,-1,1,7,0
680,1,1,-36.581,4.233,-3.42,0.39,-3.41,0.40,INF,-1,1,7,0
700,1,1,-37.712,4.946,-3.52,0.46,-3.52,0.46,INF,-1,1,7,0
720,1,1,-39.156,5.169,-3.65,0.48,-3.65,0.48,INF,-1,1,7,0
740,1,1,-38.131,4.085,-3.56,0.38,-3.56,0.38,INF,-1,1,7,0
760,1,1,-38.853,4.358,-3.63,0.41,-3.63,0.41,INF,-1,0,7,0
780,1,1,-37.346,4.743,-3.49,0.44,-3.49,0.44,INF,-1,0,7,0
800,1,1,-38.392,2.575,-3.58,0.24,-3.58,0.24,INF,-1,0,7,0
820,1,1,-37.929,4.329,-3.54,0.40,-3.54,0.40,INF,-1,0,7,0
840,1,1,-38.272,4.643,-3.57,0.43,-3.57,0.43,INF,-1,0,7,0
860,1,1,-37.614,5.020,-3.51,0.47,-3.51,0.47,INF,-1,0,7,0
880,1,1,-38.076,3.880,-3.55,0.36,-3.55,0.36,INF,-1,0,7,0
900,1,1,-37.177,4.520,-3.47,0.42,-3.47,0.42,INF,-1,0,7,0
920,1,1,-37.934,3.960,-3.54,0.37,-3.54,0.37,INF,-1,0,7,0
940,1,1,-37.116,3.899,-3.46,0.36,-3.46,0.36,INF,-1,0,7,0
960,1,1,-31.568,4.525,-2.95,0.42,-2.95,0.42,INF,-1,0,7,0
980,1,1,-30.734,5.588,-2.87,0.52,-2.87,0.52,INF,-1,0,7,0
1000,1,1,-31.315,5.368,-2.92,0.50,-2.92,0.50,INF,-1,1,7,0
1020,1,1,-30.878,4.849,-2.88,0.45,-2.88,0.45,INF,-1,1,7,0
1040,1,1,-29.862,6.765,-2.79,0.63,-2.79,0.63,INF,-1,1,7,0
1060,1,1,-29.877,5.306,-2.79,0.50,-2.79,0.50,INF,-1,1,7,0
1080,1,1,-28.129,5.638,-2.63,0.53,-2.63,0.53,INF,-1,1,7,0
1100,1,1,-28.908,7.866,-2.70,0.73,-2.70,0.74,INF,-1,1,7,0
1120,1,1,-29.406,6.529,-2.75,0.61,-2.75,0.61,INF,-1,1,7,0
1140,1,1,-29.380,6.712,-2.74,0.63,-2.74,0.63,INF,-1,1,7,0
1160,1,1,-28.202,6.256,-2.63,0.58,-2.63,0.58,INF,-1,1,7,0
1180,1,1,-29.098,5.864,-2.72,0.55,-2.72,0.55,INF,-1,1,7,0
1200,1,1,-27.803,6.387,-2.60,0.60,-2.60,0.60,INF,-1,1,7,0
1220,1,1,-28.921,6.381,-2.70,0.60,-2.70,0.60,INF,-1,1,7,0
1240,1,1,-28.518,6.432,-2.66,0.60,-2.66,0.60,INF,-1,1,7,0
1260,1,1,-27.832,6.885,-2.60,0.64,-2.60,0.64,INF,-1,1,7,0
1280,1,1,-26.715,6.949,-2.50,0.65,-2.50,0.65,INF,-1,1,7,0
1300,1,1,-28.431,6.521,-2.66,0.61,-2.66,0.61,INF,-1,1,7,0
1320,1,1,-27.516,6.167,-2.57,0.58,-2.57,0.58,INF,-1,1,7,0
1340,1,1,-27.791,5.344,-2.60,0.50,-2.60,0.50,INF,-1,1,7,0
1360,1,1,-28.074,5.326,-2.62,0.50,-2.62,0.50,INF,-1,1,7,0
1380,1,1,-30.574,5.417,-2.86,0.51,-2.86,0.51,INF,-1,1,7,0
1400,1,1,-36.627,4.556,-3.42,0.43,-3.42,0.43,INF,-1,1,7,0
1420,1,1,-35.751,3.433,-3.34,0.32,-3.34,0.32,INF,-1,1,7,0
1440,1,1,-36.062,3.815,-3.37,0.36,-3.37,0.36,INF,-1,1,7,0
1460,1,1,-36.991,2.904,-3.45,0.27,-3.45,0.27,INF,-1,1,7,0
1480,1,1,-36.649,4.032,-3.42,0.38,-3.42,0.38,INF,-1,1,7,0
1500,1,1,-38.455,2.706,-3.59,0.25,-3.59,0.25,INF,-1,1,7,0
1520,1,1,-38.046,2.556,-3.55,0.24,-3.55,0.24,INF,-1,1,7,0
1540,1,1,-40.213,2.320,-3.75,0.22,-3.75,0.22,INF,-1,1,7,0
1560,1,1,-37.760,2.410,-3.52,0.22,-3.52,0.23,INF,-1,1,7,0
1580,1,1,-39.283,2.423,-3.67,0.23,-3.67,0.23,INF,-1,1,7,0
1600,1,1,-39.101,1.947,-3.65,0.18,-3.65,0.18,INF,-1,1,7,0
1620,1,1,-38.652,2.427,-3.61,0.23,-3.61,0.23,INF,-1,1,7,0
1640,1,1,-37.747,1.490,-3.52,0.14,-3.52,0.14,INF,-1,1,7,0
1660,1,1,-37.405,1.926,-3.49,0.18,-3.49,0.18,INF,-1,1,7,0
1680,1,1,-37.578,0.562,-3.51,0.05,-3.51,0.05,INF,-1,1,7,0
1700,1,1,-39.107,0.742,-3.65,0.07,-3.65,0.07,INF,-1,1,7,0
1720,1,1,-37.930,1.055,-3.54,0.10,-3.54,0.10,INF,-1,1,7,0
1740,1,1,-38.679,1.308,-3.61,0.12,-3.61,0.12,INF,-1,1,7,0
