"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.40444
CalibrationParameters_A12,0.09433
CalibrationParameters_A13,0.00523
CalibrationParameters_A21,0.07086
CalibrationParameters_A22,-1.39376
CalibrationParameters_A23,-0.05251
CalibrationParameters_A31,-0.00031
CalibrationParameters_A32,0.02533
CalibrationParameters_E11,-0.18000
CalibrationParameters_E12,0.00030
CalibrationParameters_E21,-0.00020
CalibrationParameters_E22,0.19980
CalibrationParameters_X,8.55371
CalibrationParameters_Y,61.81512
CalibrationParameters_Rpc,88.47975
CalibrationParameters_MeanX,173.91461
CalibrationParameters_MeanY,100.39381
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,0.819,31.286,0.08,2.92,0.08,2.92,INF,-1,0,7,0
20,1,1,2.050,32.734,0.19,3.06,0.19,3.06,INF,-1,0,7,0
40,1,1,2.144,33.589,0.20,3.14,0.20,3.14,INF,-1,0,7,0
60,1,1,1.821,33.221,0.17,3.10,0.17,3.10,INF,-1,0,7,0
80,1,1,1.426,32.727,0.13,3.06,0.13,3.06,INF,-1,0,7,0
100,1,1,1.422,32.337,0.13,3.02,0.13,3.02,INF,-1,0,7,0
120,1,1,2.578,31.267,0.24,2.92,0.24,2.92,INF,-1,0,7,0
140,1,1,0.794,29.606,0.07,2.77,0.07,2.77,INF,-1,0,7,0
160,1,1,0.455,29.931,0.04,2.80,0.04,2.80,INF,-1,0,7,0
180,1,1,9.905,10.389,0.93,0.97,0.93,0.97,INF,-1,0,7,0
200,1,1,7.116,11.713,0.67,1.09,0.66,1.09,INF,-1,0,7,0
220,1,1,6.847,12.894,0.64,1.20,0.64,1.21,INF,-1,0,7,0
240,1,1,-10.257,10.440,-0.96,0.98,-0.96,0.98,INF,-1,0,7,0
260,1,1,-8.011,10.337,-0.75,0.97,-0.75,0.97,INF,-1,0,7,0
280,1,1,-8.278,8.631,-0.77,0.81,-0.77,0.81,INF,-1,0,7,0
300,1,1,-7.891,8.892,-0.74,0.83,-0.74,0.83,INF,-1,0,7,0
320,1,1,-7.363,7.264,-0.69,0.68,-0.69,0.68,INF,-1,0,7,0
340,1,1,-6.339,6.653,-0.59,0.62,-0.59,0.62,INF,-1,0,7,0
360,1,1,-6.528,5.494,-0.61,0.51,-0.61,0.51,INF,-1,0,7,0
380,1,1,-10.041,2.224,-0.94,0.21,-0.94,0.21,INF,-1,1,7,0
400,1,1,-6.095,3.486,-0.57,0.33,-0.57,0.33,INF,-1,1,7,0
420,1,1,-6.284,3.403,-0.59,0.32,-0.59,0.32,INF,-1,0,7,0
440,1,1,-5.489,3.807,-0.51,0.36,-0.51,0.36,INF,-1,0,7,0
460,1,1,-7.728,1.630,-0.72,0.15,-0.72,0.15,INF,-1,0,7,0
480,1,1,-7.402,3.118,-0.69,0.29,-0.69,0.29,INF,-1,0,7,0
500,1,1,-8.085,3.367,-0.76,0.31,-0.76,0.31,INF,-1,0,7,0
520,1,1,-8.213,3.561,-0.77,0.33,-0.77,0.33,INF,-1,0,7,0
540,1,1,-6.236,5.452,-0.58,0.51,-0.58,0.51,INF,-1,0,7,0
560,1,1,-7.783,4.104,-0.73,0.38,-0.73,0.38,INF,-1,0,7,0
580,1,1,-7.371,3.716,-0.69,0.35,-0.69,0.35,INF,-1,0,7,0
600,1,1,-9.948,3.047,-0.93,0.28,-0.93,0.28,INF,-1,0,7,0
620,1,1,-7.660,3.613,-0.72,0.34,-0.72,0.34,INF,-1,0,7,0
640,1,1,-8.768,2.421,-0.82,0.23,-0.82,0.23,INF,-1,0,7,0
660,1,1,-8.614,3.044,-0.81,0.28,-0.81,0.28,INF,-1,1,7,0
680,1,1,-8.358,4.225,-0.78,0.39,-0.78,0.39,INF,-1,1,7,0
700,1,1,-9.441,2.979,-0.88,0.28,-0.88,0.28,INF,-1,1,7,0
720,1,1,-8.125,2.986,-0.76,0.28,-0.76,0.28,INF,-1,1,7,0
740,1,1,-9.014,1.992,-0.84,0.19,-0.84,0.19,INF,-1,1,7,0
760,1,1,-7.737,2.684,-0.72,0.25,-0.72,0.25,INF,-1,1,7,0
780,1,1,-7.252,2.922,-0.68,0.27,-0.68,0.27,INF,-1,1,7,0
