"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.32519
CalibrationParameters_A12,0.07730
CalibrationParameters_A13,0.01239
CalibrationParameters_A21,0.08630
CalibrationParameters_A22,-1.42983
CalibrationParameters_A23,-0.07040
CalibrationParameters_A31,-0.00069
CalibrationParameters_A32,0.02011
CalibrationParameters_E11,-0.17975
CalibrationParameters_E12,0.00011
CalibrationParameters_E21,0.00023
CalibrationParameters_E22,0.20033
CalibrationParameters_X,12.80909
CalibrationParameters_Y,60.85221
CalibrationParameters_Rpc,84.98081
CalibrationParameters_MeanX,159.22234
CalibrationParameters_MeanY,105.79417
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,1,1,15.454,-14.668,1.44,-1.37,1.44,-1.37,INF,-1,0,7,0
260,1,1,16.192,1.275,1.51,0.12,1.51,0.12,INF,-1,0,7,0
280,1,1,16.507,-3.114,1.54,-0.29,1.54,-0.29,INF,-1,0,7,0
300,1,1,16.452,-6.093,1.54,-0.57,1.54,-0.57,INF,-1,0,7,0
320,1,1,16.955,-7.005,1.58,-0.65,1.58,-0.65,INF,-1,0,7,0
340,1,1,16.653,-7.036,1.56,-0.66,1.56,-0.66,INF,-1,0,7,0
360,1,1,15.703,-5.846,1.47,-0.55,1.47,-0.55,INF,-1,0,7,0
380,1,1,14.791,-7.350,1.38,-0.69,1.38,-0.69,INF,-1,0,7,0
400,1,1,15.225,-8.137,1.42,-0.76,1.42,-0.76,INF,-1,0,7,0
420,1,1,15.668,-7.648,1.46,-0.71,1.46,-0.71,INF,-1,0,7,0
440,1,1,37.473,8.732,3.50,0.81,3.50,0.82,INF,-1,0,7,0
460,1,1,33.353,6.247,3.11,0.58,3.11,0.58,INF,-1,0,7,0
480,1,1,32.694,5.170,3.05,0.48,3.05,0.48,INF,-1,0,7,0
500,1,1,32.685,5.200,3.05,0.49,3.05,0.49,INF,-1,0,7,0
520,1,1,31.482,4.137,2.94,0.39,2.94,0.39,INF,-1,0,7,0
540,1,1,30.950,4.734,2.89,0.44,2.89,0.44,INF,-1,0,7,0
560,1,1,30.887,3.887,2.88,0.36,2.88,0.36,INF,-1,0,7,0
580,1,1,30.499,3.779,2.85,0.35,2.85,0.35,INF,-1,1,7,0
600,1,1,31.324,5.282,2.93,0.49,2.93,0.49,INF,-1,1,7,0
620,1,1,30.040,3.271,2.81,0.31,2.81,0.31,INF,-1,1,7,0
640,1,1,17.284,3.331,1.62,0.31,1.62,0.31,INF,-1,1,7,0
660,1,1,10.465,1.111,0.98,0.10,0.98,0.10,INF,-1,1,7,0
680,1,1,11.339,2.397,1.06,0.22,1.06,0.22,INF,-1,1,7,0
700,1,1,11.098,2.281,1.04,0.21,1.04,0.21,INF,-1,0,7,0
720,1,1,10.680,2.022,1.00,0.19,1.00,0.19,INF,-1,0,7,0
740,1,1,11.522,1.534,1.08,0.14,1.08,0.14,INF,-1,0,7,0
760,1,1,10.973,1.376,1.03,0.13,1.03,0.13,INF,-1,0,7,0
780,1,1,-4.847,-2.304,-0.45,-0.22,-0.45,-0.22,INF,-1,0,7,0
800,1,1,-1.657,-4.574,-0.15,-0.43,-0.15,-0.43,INF,-1,0,7,0
820,1,1,-0.049,-4.561,0.00,-0.43,0.00,-0.43,INF,-1,0,7,0
840,1,1,-0.492,-4.572,-0.05,-0.43,-0.05,-0.43,INF,-1,0,7,0
860,1,1,-2.561,-4.087,-0.24,-0.38,-0.24,-0.38,INF,-1,0,7,0
880,1,1,-1.146,-5.213,-0.11,-0.49,-0.11,-0.49,INF,-1,0,7,0
900,1,1,-0.868,-5.851,-0.08,-0.55,-0.08,-0.55,INF,-1,0,7,0
920,1,1,-1.616,-5.599,-0.15,-0.52,-0.15,-0.52,INF,-1,0,7,0
940,1,1,-0.545,-5.791,-0.05,-0.54,-0.05,-0.54,INF,-1,1,7,0
960,1,1,-1.182,-5.390,-0.11,-0.50,-0.11,-0.50,INF,-1,1,7,0
980,1,1,0.169,-6.195,0.02,-0.58,0.02,-0.58,INF,-1,1,7,0
1000,1,1,-0.037,-6.343,0.00,-0.59,0.00,-0.59,INF,-1,1,7,0
1020,1,1,-0.271,-6.258,-0.03,-0.58,-0.03,-0.58,INF,-1,1,7,0
1040,1,1,0.129,-6.863,0.01,-0.64,0.01,-0.64,INF,-1,1,7,0
1060,1,1,-38.758,-26.689,-3.62,-2.49,-3.61,-2.49,INF,-1,1,7,0
1080,1,1,-32.710,-25.949,-3.05,-2.42,-3.05,-2.42,INF,-1,1,7,0
1100,1,1,-33.020,-25.496,-3.08,-2.38,-3.08,-2.38,INF,-1,0,7,0
1120,1,1,-31.684,-24.650,-2.96,-2.30,-2.96,-2.30,INF,-1,0,7,0
1140,1,1,-32.158,-26.727,-3.00,-2.49,-3.00,-2.50,INF,-1,0,7,0
1160,1,1,-32.950,-26.169,-3.08,-2.44,-3.07,-2.44,INF,-1,0,7,0
1180,1,1,-32.948,-26.028,-3.08,-2.43,-3.07,-2.43,INF,-1,0,7,0
1200,1,1,-32.772,-24.778,-3.06,-2.31,-3.06,-2.31,INF,-1,0,7,0
1220,1,1,-31.716,-25.335,-2.96,-2.36,-2.96,-2.37,INF,-1,0,7,0
1240,1,1,-33.673,-26.580,-3.14,-2.48,-3.14,-2.48,INF,-1,0,7,0
1260,1,1,-32.731,-26.215,-3.06,-2.45,-3.05,-2.45,INF,-1,0,7,0
1280,1,1,-34.465,-25.956,-3.22,-2.42,-3.22,-2.42,INF,-1,0,7,0
1300,1,1,-35.187,-28.427,-3.29,-2.65,-3.28,-2.66,INF,-1,0,7,0
1320,1,1,-33.789,-27.016,-3.15,-2.52,-3.15,-2.52,INF,-1,0,7,0
1340,1,1,-32.068,-26.563,-2.99,-2.48,-2.99,-2.48,INF,-1,1,7,0
1360,1,1,-31.521,-25.820,-2.94,-2.41,-2.94,-2.41,INF,-1,1,7,0
