"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.32449
CalibrationParameters_A12,0.03303
CalibrationParameters_A13,0.00324
CalibrationParameters_A21,0.05290
CalibrationParameters_A22,-1.42178
CalibrationParameters_A23,-0.04193
CalibrationParameters_A31,-0.00080
CalibrationParameters_A32,0.02327
CalibrationParameters_E11,-0.18036
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,-0.00028
CalibrationParameters_E22,0.19997
CalibrationParameters_X,1.81218
CalibrationParameters_Y,60.77456
CalibrationParameters_Rpc,84.67364
CalibrationParameters_MeanX,214.30557
CalibrationParameters_MeanY,87.57338
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,1,1,-28.586,5.562,-2.67,0.52,-2.67,0.52,INF,-1,0,7,0
100,1,1,-27.000,7.295,-2.52,0.68,-2.52,0.68,INF,-1,0,7,0
120,1,1,-26.720,6.757,-2.50,0.63,-2.50,0.63,INF,-1,0,7,0
140,1,1,-27.721,6.766,-2.59,0.63,-2.59,0.63,INF,-1,0,7,0
160,1,1,-24.436,8.573,-2.28,0.80,-2.28,0.80,INF,-1,0,7,0
180,1,1,3.416,-12.049,0.32,-1.13,0.32,-1.13,INF,-1,0,7,0
200,1,1,3.660,-12.261,0.34,-1.15,0.34,-1.15,INF,-1,0,7,0
220,1,1,2.465,-10.989,0.23,-1.03,0.23,-1.03,INF,-1,0,7,0
240,1,1,1.351,-10.589,0.13,-0.99,0.13,-0.99,INF,-1,0,7,0
260,1,1,0.275,-10.727,0.03,-1.00,0.03,-1.00,INF,-1,0,7,0
280,1,1,2.045,-10.267,0.19,-0.96,0.19,-0.96,INF,-1,0,7,0
300,1,1,1.294,-11.050,0.12,-1.03,0.12,-1.03,INF,-1,0,7,0
320,1,1,0.367,-12.922,0.03,-1.21,0.03,-1.21,INF,-1,0,7,0
340,1,1,0.551,-13.197,0.05,-1.23,0.05,-1.23,INF,-1,0,7,0
360,1,1,0.393,-13.095,0.04,-1.22,0.04,-1.22,INF,-1,0,7,0
380,1,1,-0.834,-13.339,-0.08,-1.25,-0.08,-1.25,INF,-1,0,7,0
400,1,1,-1.300,-13.217,-0.12,-1.24,-0.12,-1.24,INF,-1,0,7,0
420,1,1,0.002,-14.382,0.00,-1.34,0.00,-1.34,INF,-1,0,7,0
440,1,1,0.464,-15.380,0.04,-1.44,0.04,-1.44,INF,-1,0,7,0
460,1,1,-0.225,-15.241,-0.02,-1.42,-0.02,-1.42,INF,-1,1,7,0
480,1,1,11.432,-11.825,1.07,-1.10,1.07,-1.11,INF,-1,1,7,0
500,1,1,9.093,-12.682,0.85,-1.19,0.85,-1.19,INF,-1,1,7,0
520,1,1,8.558,-13.638,0.80,-1.27,0.80,-1.27,INF,-1,1,7,0
540,1,1,5.963,-14.815,0.56,-1.38,0.56,-1.38,INF,-1,1,7,0
560,1,1,7.617,-13.564,0.71,-1.27,0.71,-1.27,INF,-1,1,7,0
580,1,1,8.602,-14.425,0.80,-1.35,0.80,-1.35,INF,-1,1,7,0
600,1,1,7.509,-15.276,0.70,-1.43,0.70,-1.43,INF,-1,1,7,0
620,1,1,8.734,-13.190,0.82,-1.23,0.82,-1.23,INF,-1,1,7,0
640,1,1,7.224,-13.871,0.68,-1.30,0.68,-1.30,INF,-1,1,7,0
660,1,1,7.269,-13.392,0.68,-1.25,0.68,-1.25,INF,-1,1,7,0
680,1,1,8.649,-13.761,0.81,-1.29,0.81,-1.29,INF,-1,1,7,0
700,1,1,9.444,-11.601,0.88,-1.08,0.88,-1.08,INF,-1,1,7,0
720,1,1,8.700,-15.699,0.81,-1.47,0.81,-1.47,INF,-1,1,7,0
740,1,1,8.792,-13.431,0.82,-1.26,0.82,-1.26,INF,-1,1,7,0
760,1,1,7.622,-16.560,0.71,-1.55,0.71,-1.55,INF,-1,1,7,0
780,1,1,9.832,-12.907,0.92,-1.21,0.92,-1.21,INF,-1,1,7,0
800,1,1,18.752,-16.484,1.75,-1.54,1.75,-1.54,INF,-1,1,7,0
820,1,1,16.372,-17.939,1.53,-1.68,1.53,-1.68,INF,-1,1,7,0
840,1,1,14.371,-13.148,1.34,-1.23,1.34,-1.23,INF,-1,0,7,0
860,1,1,17.082,-22.480,1.60,-2.10,1.60,-2.10,INF,-1,0,7,0
880,1,1,15.521,-23.567,1.45,-2.20,1.45,-2.20,INF,-1,0,7,0
900,1,1,18.535,-19.130,1.73,-1.79,1.73,-1.79,INF,-1,0,7,0
920,1,1,19.032,-23.919,1.78,-2.23,1.78,-2.23,INF,-1,0,7,0
940,1,1,17.972,-22.619,1.68,-2.11,1.68,-2.11,INF,-1,0,7,0
960,1,1,19.498,-21.968,1.82,-2.05,1.82,-2.05,INF,-1,0,7,0
980,1,1,17.914,-27.468,1.67,-2.56,1.67,-2.57,INF,-1,0,7,0
1000,1,1,18.574,-23.093,1.74,-2.16,1.73,-2.16,INF,-1,0,7,0
1020,1,1,18.097,-22.420,1.69,-2.09,1.69,-2.09,INF,-1,0,7,0
1040,1,1,20.146,-23.273,1.88,-2.17,1.88,-2.17,INF,-1,0,7,0
1060,1,1,18.672,-21.105,1.74,-1.97,1.74,-1.97,INF,-1,0,7,0
1080,1,1,18.992,-25.371,1.77,-2.37,1.77,-2.37,INF,-1,1,7,0
1100,1,1,18.273,-23.118,1.71,-2.16,1.71,-2.16,INF,-1,1,7,0
1120,1,1,18.892,-21.360,1.77,-1.99,1.76,-2.00,INF,-1,1,7,0
1140,1,1,16.589,-18.802,1.55,-1.76,1.55,-1.76,INF,-1,1,7,0
1160,1,1,12.228,-18.647,1.14,-1.74,1.14,-1.74,INF,-1,1,7,0
1180,1,1,15.521,-16.910,1.45,-1.58,1.45,-1.58,INF,-1,1,7,0
1200,1,1,15.230,-21.276,1.42,-1.99,1.42,-1.99,INF,-1,1,7,0
1220,1,1,17.942,-20.331,1.68,-1.90,1.68,-1.90,INF,-1,1,7,0
1240,1,1,24.079,-22.525,2.25,-2.10,2.25,-2.10,INF,-1,1,7,0
1260,1,1,21.766,-23.321,2.03,-2.18,2.03,-2.18,INF,-1,1,7,0
1280,1,1,21.865,-26.613,2.04,-2.48,2.04,-2.49,INF,-1,1,7,0
1300,1,1,22.060,-25.429,2.06,-2.37,2.06,-2.38,INF,-1,1,7,0
1320,1,1,22.214,-25.801,2.08,-2.41,2.07,-2.41,INF,-1,1,7,0
1340,1,1,24.282,-24.640,2.27,-2.30,2.27,-2.30,INF,-1,1,7,0
1360,1,1,22.838,-24.781,2.13,-2.31,2.13,-2.31,INF,-1,1,7,0
