"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.31882
CalibrationParameters_A12,0.08167
CalibrationParameters_A13,0.00395
CalibrationParameters_A21,0.08318
CalibrationParameters_A22,-1.41307
CalibrationParameters_A23,-0.05562
CalibrationParameters_A31,-0.00062
CalibrationParameters_A32,0.01824
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,0.00028
CalibrationParameters_E22,0.20002
CalibrationParameters_X,15.06097
CalibrationParameters_Y,60.38959
CalibrationParameters_Rpc,85.02330
CalibrationParameters_MeanX,152.32225
CalibrationParameters_MeanY,103.47432
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.658,16.467,-1.00,1.54,-1.00,1.54,INF,-1,0,7,0
20,1,1,-8.972,16.820,-0.84,1.57,-0.84,1.57,INF,-1,0,7,0
40,1,1,-9.035,17.848,-0.84,1.67,-0.84,1.67,INF,-1,0,7,0
60,1,1,2.539,23.575,0.24,2.20,0.24,2.20,INF,-1,0,7,0
80,1,1,-0.538,23.459,-0.05,2.19,-0.05,2.19,INF,-1,0,7,0
100,1,1,-1.001,23.551,-0.09,2.20,-0.09,2.20,INF,-1,0,7,0
120,1,1,-1.706,24.516,-0.16,2.29,-0.16,2.29,INF,-1,0,7,0
140,1,1,-1.059,22.307,-0.10,2.08,-0.10,2.08,INF,-1,0,7,0
160,1,1,-0.810,22.006,-0.08,2.06,-0.08,2.06,INF,-1,0,7,0
180,1,1,-0.476,22.558,-0.04,2.11,-0.04,2.11,INF,-1,0,7,0
200,1,1,-0.217,22.736,-0.02,2.12,-0.02,2.12,INF,-1,0,7,0
220,1,1,-0.964,23.009,-0.09,2.15,-0.09,2.15,INF,-1,0,7,0
240,1,1,-0.504,20.880,-0.05,1.95,-0.05,1.95,INF,-1,0,7,0
260,1,1,7.630,-5.447,0.71,-0.51,0.71,-0.51,INF,-1,0,7,0
280,1,1,9.176,-4.946,0.86,-0.46,0.86,-0.46,INF,-1,1,7,0
300,1,1,7.109,-1.921,0.66,-0.18,0.66,-0.18,INF,-1,0,7,0
320,1,1,9.500,-3.276,0.89,-0.31,0.89,-0.31,INF,-1,0,7,0
340,1,1,8.432,-2.703,0.79,-0.25,0.79,-0.25,INF,-1,0,7,0
360,1,1,6.335,-3.148,0.59,-0.29,0.59,-0.29,INF,-1,0,7,0
380,1,1,7.222,-2.950,0.67,-0.28,0.67,-0.28,INF,-1,0,7,0
400,1,1,7.615,-3.381,0.71,-0.32,0.71,-0.32,INF,-1,0,7,0
420,1,1,6.273,-4.386,0.59,-0.41,0.59,-0.41,INF,-1,0,7,0
440,1,1,7.171,-4.572,0.67,-0.43,0.67,-0.43,INF,-1,0,7,0
460,1,1,18.457,-5.875,1.72,-0.55,1.72,-0.55,INF,-1,0,7,0
480,1,1,19.047,-7.487,1.78,-0.70,1.78,-0.70,INF,-1,0,7,0
500,1,1,19.175,-7.838,1.79,-0.73,1.79,-0.73,INF,-1,0,7,0
520,1,1,18.641,-8.658,1.74,-0.81,1.74,-0.81,INF,-1,0,7,0
540,1,1,18.445,-9.699,1.72,-0.91,1.72,-0.91,INF,-1,1,7,0
560,1,1,18.456,-9.150,1.72,-0.85,1.72,-0.86,INF,-1,1,7,0
580,1,1,20.359,-9.401,1.90,-0.88,1.90,-0.88,INF,-1,1,7,0
600,1,1,19.553,-9.778,1.83,-0.91,1.83,-0.91,INF,-1,1,7,0
620,1,1,18.066,-8.723,1.69,-0.81,1.69,-0.82,INF,-1,1,7,0
640,1,1,27.268,-7.941,2.55,-0.74,2.55,-0.74,INF,-1,1,7,0
660,1,1,29.607,-9.575,2.77,-0.89,2.76,-0.89,INF,-1,1,7,0
680,1,1,28.851,-9.139,2.69,-0.85,2.69,-0.85,INF,-1,0,7,0
700,1,1,29.932,-8.847,2.80,-0.83,2.80,-0.83,INF,-1,0,7,0
720,1,1,29.981,-8.855,2.80,-0.83,2.80,-0.83,INF,-1,0,7,0
740,1,1,30.645,-9.151,2.86,-0.85,2.86,-0.86,INF,-1,0,7,0
760,1,1,29.467,-7.640,2.75,-0.71,2.75,-0.71,INF,-1,0,7,0
780,1,1,29.129,-8.501,2.72,-0.79,2.72,-0.79,INF,-1,0,7,0
800,1,1,29.085,-7.733,2.72,-0.72,2.72,-0.72,INF,-1,0,7,0
820,1,1,30.196,-9.502,2.82,-0.89,2.82,-0.89,INF,-1,0,7,0
840,1,1,29.687,-9.266,2.77,-0.86,2.77,-0.87,INF,-1,0,7,0
860,1,1,29.859,-9.288,2.79,-0.87,2.79,-0.87,INF,-1,0,7,0
880,1,1,30.194,-9.070,2.82,-0.85,2.82,-0.85,INF,-1,0,7,0
900,1,1,32.089,-9.007,3.00,-0.84,3.00,-0.84,INF,-1,0,7,0
920,1,1,32.140,-10.064,3.00,-0.94,3.00,-0.94,INF,-1,1,7,0
940,1,1,30.507,-10.599,2.85,-0.99,2.85,-0.99,INF,-1,1,7,0
960,1,1,30.594,-9.511,2.86,-0.89,2.86,-0.89,INF,-1,1,7,0
980,1,1,29.189,-9.930,2.73,-0.93,2.73,-0.93,INF,-1,1,7,0
1000,1,1,29.680,-10.271,2.77,-0.96,2.77,-0.96,INF,-1,1,7,0
1020,1,1,30.490,-10.291,2.85,-0.96,2.85,-0.96,INF,-1,1,7,0
1040,1,1,29.477,-9.775,2.75,-0.91,2.75,-0.91,INF,-1,1,7,0
1060,1,1,29.103,-10.548,2.72,-0.98,2.72,-0.99,INF,-1,1,7,0
1080,1,1,29.669,-10.131,2.77,-0.95,2.77,-0.95,INF,-1,1,7,0
1100,1,1,29.464,-9.937,2.75,-0.93,2.75,-0.93,INF,-1,1,7,0
1120,1,1,28.647,-8.680,2.68,-0.81,2.68,-0.81,INF,-1,1,7,0
1140,1,1,29.491,-9.243,2.75,-0.86,2.75,-0.86,INF,-1,1,7,0
1160,1,1,28.184,-9.143,2.63,-0.85,2.63,-0.85,INF,-1,1,7,0
1180,1,1,29.323,-11.129,2.74,-1.04,2.74,-1.04,INF,-1,1,7,0
1200,1,1,29.406,-10.816,2.75,-1.01,2.75,-1.01,INF,-1,1,7,0
1220,1,1,31.245,-9.638,2.92,-0.90,2.92,-0.90,INF,-1,1,7,0
1240,1,1,37.835,-12.042,3.53,-1.12,3.53,-1.13,INF,-1,1,7,0
1260,1,1,37.657,-11.081,3.52,-1.03,3.51,-1.04,INF,-1,1,7,0
1280,1,1,36.441,-12.397,3.40,-1.16,3.40,-1.16,INF,-1,1,7,0
1300,1,1,34.854,-11.157,3.25,-1.04,3.25,-1.04,INF,-1,1,7,0
1320,1,1,36.401,-11.251,3.40,-1.05,3.40,-1.05,INF,-1,1,7,0
1340,1,1,37.178,-12.476,3.47,-1.16,3.47,-1.17,INF,-1,1,7,0
1360,1,1,36.730,-12.230,3.43,-1.14,3.43,-1.14,INF,-1,1,7,0
1380,1,1,37.558,-12.454,3.51,-1.16,3.51,-1.16,INF,-1,1,7,0
1400,1,1,38.130,-14.152,3.56,-1.32,3.56,-1.32,INF,-1,1,7,0
1420,1,1,36.727,-14.128,3.43,-1.32,3.43,-1.32,INF,-1,1,7,0
1440,1,1,35.906,-11.503,3.35,-1.07,3.35,-1.08,INF,-1,1,7,0
1460,1,1,36.030,-12.034,3.36,-1.12,3.36,-1.12,INF,-1,1,7,0
