"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.33170
CalibrationParameters_A12,0.07416
CalibrationParameters_A13,-0.02479
CalibrationParameters_A21,0.09122
CalibrationParameters_A22,-1.37613
CalibrationParameters_A23,-0.05846
CalibrationParameters_A31,-0.00108
CalibrationParameters_A32,0.01881
CalibrationParameters_E11,-0.18008
CalibrationParameters_E12,0.00028
CalibrationParameters_E21,0.00002
CalibrationParameters_E22,0.19999
CalibrationParameters_X,11.91260
CalibrationParameters_Y,60.20174
CalibrationParameters_Rpc,85.08622
CalibrationParameters_MeanX,161.98623
CalibrationParameters_MeanY,112.32241
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,15.138,18.335,1.41,1.71,1.41,1.71,INF,-1,0,7,0
20,1,1,16.289,17.885,1.52,1.67,1.52,1.67,INF,-1,0,7,0
40,1,1,15.780,18.310,1.47,1.71,1.47,1.71,INF,-1,0,7,0
60,1,1,16.949,16.967,1.58,1.58,1.58,1.59,INF,-1,0,7,0
80,1,1,16.136,18.302,1.51,1.71,1.51,1.71,INF,-1,0,7,0
100,1,1,16.530,17.464,1.54,1.63,1.54,1.63,INF,-1,0,7,0
120,1,1,15.246,17.808,1.42,1.66,1.42,1.66,INF,-1,0,7,0
140,1,1,17.228,18.341,1.61,1.71,1.61,1.71,INF,-1,0,7,0
160,1,1,16.160,18.002,1.51,1.68,1.51,1.68,INF,-1,0,7,0
180,1,1,15.162,16.212,1.42,1.51,1.42,1.51,INF,-1,0,7,0
200,1,1,15.448,17.508,1.44,1.64,1.44,1.64,INF,-1,0,7,0
220,1,1,17.023,17.471,1.59,1.63,1.59,1.63,INF,-1,0,7,0
240,1,1,16.403,17.552,1.53,1.64,1.53,1.64,INF,-1,0,7,0
260,1,1,16.390,18.336,1.53,1.71,1.53,1.71,INF,-1,0,7,0
280,1,1,16.809,17.915,1.57,1.67,1.57,1.67,INF,-1,1,7,0
300,1,1,15.909,17.725,1.49,1.66,1.49,1.66,INF,-1,1,7,0
320,1,1,2.565,18.408,0.24,1.72,0.24,1.72,INF,-1,1,7,0
340,1,1,4.251,17.741,0.40,1.66,0.40,1.66,INF,-1,1,7,0
360,1,1,4.082,16.865,0.38,1.58,0.38,1.58,INF,-1,0,7,0
380,1,1,4.407,17.136,0.41,1.60,0.41,1.60,INF,-1,0,7,0
400,1,1,5.071,18.967,0.47,1.77,0.47,1.77,INF,-1,0,7,0
420,1,1,5.092,18.525,0.48,1.73,0.48,1.73,INF,-1,0,7,0
440,1,1,4.122,17.563,0.39,1.64,0.39,1.64,INF,-1,0,7,0
460,1,1,4.480,17.182,0.42,1.61,0.42,1.61,INF,-1,0,7,0
480,1,1,4.504,15.381,0.42,1.44,0.42,1.44,INF,-1,0,7,0
500,1,1,12.986,3.944,1.21,0.37,1.21,0.37,INF,-1,0,7,0
520,1,1,12.156,4.624,1.14,0.43,1.14,0.43,INF,-1,0,7,0
540,1,1,12.125,4.292,1.13,0.40,1.13,0.40,INF,-1,0,7,0
560,1,1,12.175,5.143,1.14,0.48,1.14,0.48,INF,-1,0,7,0
580,1,1,11.390,2.725,1.06,0.25,1.06,0.25,INF,-1,0,7,0
600,1,1,12.607,2.472,1.18,0.23,1.18,0.23,INF,-1,1,7,0
620,1,1,12.124,2.891,1.13,0.27,1.13,0.27,INF,-1,0,7,0
640,1,1,10.888,3.407,1.02,0.32,1.02,0.32,INF,-1,0,7,0
660,1,1,12.260,2.562,1.15,0.24,1.15,0.24,INF,-1,0,7,0
680,1,1,12.638,2.114,1.18,0.20,1.18,0.20,INF,-1,0,7,0
700,1,1,12.241,2.990,1.14,0.28,1.14,0.28,INF,-1,0,7,0
720,1,1,12.933,2.856,1.21,0.27,1.21,0.27,INF,-1,0,7,0
740,1,1,13.238,2.356,1.24,0.22,1.24,0.22,INF,-1,0,7,0
760,1,1,12.056,2.266,1.13,0.21,1.13,0.21,INF,-1,0,7,0
780,1,1,13.074,3.364,1.22,0.31,1.22,0.31,INF,-1,0,7,0
800,1,1,11.472,3.017,1.07,0.28,1.07,0.28,INF,-1,0,7,0
820,1,1,12.271,1.998,1.15,0.19,1.15,0.19,INF,-1,0,7,0
840,1,1,15.178,15.626,1.42,1.46,1.42,1.46,INF,-1,0,7,0
860,1,1,14.489,18.998,1.35,1.77,1.35,1.78,INF,-1,1,7,0
880,1,1,13.372,17.283,1.25,1.61,1.25,1.62,INF,-1,0,7,0
900,1,1,14.372,17.815,1.34,1.66,1.34,1.66,INF,-1,0,7,0
920,1,1,13.438,18.483,1.26,1.73,1.26,1.73,INF,-1,0,7,0
940,1,1,14.652,18.766,1.37,1.75,1.37,1.75,INF,-1,0,7,0
960,1,1,13.896,18.101,1.30,1.69,1.30,1.69,INF,-1,0,7,0
980,1,1,13.676,18.508,1.28,1.73,1.28,1.73,INF,-1,0,7,0
1000,1,1,13.904,19.233,1.30,1.80,1.30,1.80,INF,-1,0,7,0
1020,1,1,15.070,19.027,1.41,1.78,1.41,1.78,INF,-1,0,7,0
1040,1,1,14.650,18.533,1.37,1.73,1.37,1.73,INF,-1,0,7,0
1060,1,1,14.066,18.957,1.31,1.77,1.31,1.77,INF,-1,0,7,0
1080,1,1,14.699,18.137,1.37,1.69,1.37,1.69,INF,-1,0,7,0
1100,1,1,13.364,18.912,1.25,1.77,1.25,1.77,INF,-1,0,7,0
1120,1,1,14.465,17.334,1.35,1.62,1.35,1.62,INF,-1,1,7,0
1140,1,1,13.398,18.528,1.25,1.73,1.25,1.73,INF,-1,1,7,0
1160,1,1,14.117,17.605,1.32,1.64,1.32,1.65,INF,-1,1,7,0
1180,1,1,16.205,18.136,1.51,1.69,1.51,1.69,INF,-1,1,7,0
1200,1,1,14.470,18.188,1.35,1.70,1.35,1.70,INF,-1,1,7,0
1220,1,1,14.430,19.926,1.35,1.86,1.35,1.86,INF,-1,1,7,0
1240,1,1,11.596,31.353,1.08,2.93,1.08,2.93,INF,-1,1,7,0
1260,1,1,9.822,32.986,0.92,3.08,0.92,3.08,INF,-1,1,7,0
1280,1,1,9.647,33.439,0.90,3.12,0.90,3.12,INF,-1,0,7,0
