"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.40444
CalibrationParameters_A12,0.09433
CalibrationParameters_A13,0.00523
CalibrationParameters_A21,0.07086
CalibrationParameters_A22,-1.39376
CalibrationParameters_A23,-0.05251
CalibrationParameters_A31,-0.00031
CalibrationParameters_A32,0.02533
CalibrationParameters_E11,-0.18000
CalibrationParameters_E12,0.00030
CalibrationParameters_E21,-0.00020
CalibrationParameters_E22,0.19980
CalibrationParameters_X,8.55371
CalibrationParameters_Y,61.81512
CalibrationParameters_Rpc,88.47975
CalibrationParameters_MeanX,173.91461
CalibrationParameters_MeanY,100.39381
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,11.393,-5.170,1.06,-0.48,1.06,-0.48,INF,-1,0,7,0
20,1,1,10.959,-4.568,1.02,-0.43,1.02,-0.43,INF,-1,0,7,0
40,1,1,10.749,-5.112,1.00,-0.48,1.00,-0.48,INF,-1,0,7,0
60,1,1,10.221,-6.894,0.96,-0.64,0.96,-0.64,INF,-1,0,7,0
80,1,1,10.699,-7.324,1.00,-0.68,1.00,-0.68,INF,-1,0,7,0
100,1,1,10.326,-6.771,0.97,-0.63,0.96,-0.63,INF,-1,0,7,0
120,1,1,12.257,-6.812,1.15,-0.64,1.15,-0.64,INF,-1,0,7,0
140,1,1,10.006,-8.272,0.94,-0.77,0.94,-0.77,INF,-1,0,7,0
160,1,1,10.636,-7.724,0.99,-0.72,0.99,-0.72,INF,-1,0,7,0
180,1,1,10.253,-8.758,0.96,-0.82,0.96,-0.82,INF,-1,0,7,0
200,1,1,10.709,-7.252,1.00,-0.68,1.00,-0.68,INF,-1,0,7,0
220,1,1,7.944,-9.159,0.74,-0.86,0.74,-0.86,INF,-1,0,7,0
240,1,1,7.421,-9.407,0.69,-0.88,0.69,-0.88,INF,-1,0,7,0
260,1,1,9.411,-8.689,0.88,-0.81,0.88,-0.81,INF,-1,0,7,0
280,1,1,9.240,-9.008,0.86,-0.84,0.86,-0.84,INF,-1,1,7,0
300,1,1,6.625,-11.642,0.62,-1.09,0.62,-1.09,INF,-1,1,7,0
320,1,1,7.029,-9.975,0.66,-0.93,0.66,-0.93,INF,-1,1,7,0
340,1,1,6.484,-12.789,0.61,-1.20,0.61,-1.20,INF,-1,1,7,0
360,1,1,4.950,-11.489,0.46,-1.07,0.46,-1.07,INF,-1,1,7,0
380,1,1,5.513,-11.048,0.52,-1.03,0.52,-1.03,INF,-1,1,7,0
400,1,1,5.417,-2.703,0.51,-0.25,0.51,-0.25,INF,-1,1,7,0
420,1,1,-2.247,17.761,-0.21,1.66,-0.21,1.66,INF,-1,1,7,0
440,1,1,-3.663,14.408,-0.34,1.35,-0.34,1.35,INF,-1,1,7,0
460,1,1,-2.114,15.024,-0.20,1.40,-0.20,1.40,INF,-1,0,7,0
480,1,1,-1.258,15.810,-0.12,1.48,-0.12,1.48,INF,-1,0,7,0
500,1,1,-3.219,13.864,-0.30,1.30,-0.30,1.30,INF,-1,0,7,0
520,1,1,-3.980,15.326,-0.37,1.43,-0.37,1.43,INF,-1,0,7,0
540,1,1,-2.538,15.359,-0.24,1.44,-0.24,1.44,INF,-1,0,7,0
560,1,1,-3.353,13.727,-0.31,1.28,-0.31,1.28,INF,-1,0,7,0
580,1,1,-2.664,13.141,-0.25,1.23,-0.25,1.23,INF,-1,0,7,0
600,1,1,-2.309,13.891,-0.22,1.30,-0.22,1.30,INF,-1,0,7,0
620,1,1,-2.211,15.348,-0.21,1.43,-0.21,1.43,INF,-1,0,7,0
640,1,1,-0.890,16.175,-0.08,1.51,-0.08,1.51,INF,-1,0,7,0
