"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.29451
CalibrationParameters_A12,0.09630
CalibrationParameters_A13,-0.02182
CalibrationParameters_A21,0.07584
CalibrationParameters_A22,-1.40442
CalibrationParameters_A23,-0.04705
CalibrationParameters_A31,-0.00080
CalibrationParameters_A32,0.01743
CalibrationParameters_E11,-0.18017
CalibrationParameters_E12,-0.00047
CalibrationParameters_E21,-0.00034
CalibrationParameters_E22,0.19999
CalibrationParameters_X,11.63433
CalibrationParameters_Y,59.97371
CalibrationParameters_Rpc,85.26705
CalibrationParameters_MeanX,165.27144
CalibrationParameters_MeanY,103.75512
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-7.584,10.438,-0.71,0.98,-0.71,0.98,INF,-1,0,7,0
20,1,1,-6.675,8.553,-0.62,0.80,-0.62,0.80,INF,-1,0,7,0
40,1,1,-8.886,9.439,-0.83,0.88,-0.83,0.88,INF,-1,0,7,0
60,1,1,-7.605,8.379,-0.71,0.78,-0.71,0.78,INF,-1,0,7,0
80,1,1,-7.639,7.265,-0.71,0.68,-0.71,0.68,INF,-1,0,7,0
100,1,1,-8.451,5.366,-0.79,0.50,-0.79,0.50,INF,-1,0,7,0
120,1,1,-8.594,5.636,-0.80,0.53,-0.80,0.53,INF,-1,0,7,0
140,1,1,-8.269,4.042,-0.77,0.38,-0.77,0.38,INF,-1,0,7,0
160,1,1,-10.168,2.521,-0.95,0.24,-0.95,0.24,INF,-1,0,7,0
180,1,1,-10.991,3.188,-1.03,0.30,-1.03,0.30,INF,-1,0,7,0
200,1,1,-11.681,0.892,-1.09,0.08,-1.09,0.08,INF,-1,0,7,0
220,1,1,-9.659,-0.854,-0.90,-0.08,-0.90,-0.08,INF,-1,0,7,0
240,1,1,-11.090,-0.573,-1.04,-0.05,-1.04,-0.05,INF,-1,0,7,0
260,1,1,-10.771,-1.794,-1.01,-0.17,-1.01,-0.17,INF,-1,0,7,0
280,1,1,-12.520,-2.434,-1.17,-0.23,-1.17,-0.23,INF,-1,1,7,0
300,1,1,-11.885,-3.836,-1.11,-0.36,-1.11,-0.36,INF,-1,1,7,0
320,1,1,-13.382,-4.771,-1.25,-0.45,-1.25,-0.45,INF,-1,1,7,0
340,1,1,-12.851,-5.556,-1.20,-0.52,-1.20,-0.52,INF,-1,1,7,0
360,1,1,-12.793,-7.948,-1.20,-0.74,-1.20,-0.74,INF,-1,1,7,0
380,1,1,-12.589,-8.505,-1.18,-0.79,-1.18,-0.79,INF,-1,0,7,0
400,1,1,-13.888,-7.364,-1.30,-0.69,-1.30,-0.69,INF,-1,0,7,0
420,1,1,-13.604,-7.016,-1.27,-0.66,-1.27,-0.66,INF,-1,0,7,0
440,1,1,-15.493,-7.266,-1.45,-0.68,-1.45,-0.68,INF,-1,0,7,0
460,1,1,-15.210,-8.826,-1.42,-0.82,-1.42,-0.82,INF,-1,0,7,0
480,1,1,-13.587,-7.742,-1.27,-0.72,-1.27,-0.72,INF,-1,0,7,0
500,1,1,-13.822,-8.810,-1.29,-0.82,-1.29,-0.82,INF,-1,0,7,0
520,1,1,-12.974,-9.980,-1.21,-0.93,-1.21,-0.93,INF,-1,0,7,0
540,1,1,-12.265,-8.571,-1.15,-0.80,-1.15,-0.80,INF,-1,0,7,0
560,1,1,-12.990,-8.406,-1.21,-0.79,-1.21,-0.79,INF,-1,0,7,0
580,1,1,-12.832,-10.471,-1.20,-0.98,-1.20,-0.98,INF,-1,0,7,0
600,1,1,-13.215,-10.938,-1.23,-1.02,-1.23,-1.02,INF,-1,0,7,0
620,1,1,-11.905,-10.915,-1.11,-1.02,-1.11,-1.02,INF,-1,1,7,0
640,1,1,-13.468,-10.951,-1.26,-1.02,-1.26,-1.02,INF,-1,1,7,0
660,1,1,-8.703,-11.320,-0.81,-1.06,-0.81,-1.06,INF,-1,1,7,0
680,1,1,-2.920,-13.638,-0.27,-1.27,-0.27,-1.27,INF,-1,1,7,0
700,1,1,-2.709,-13.230,-0.25,-1.24,-0.25,-1.24,INF,-1,1,7,0
720,1,1,-1.480,-12.896,-0.14,-1.21,-0.14,-1.21,INF,-1,0,7,0
740,1,1,-2.725,-13.953,-0.25,-1.30,-0.25,-1.30,INF,-1,0,7,0
760,1,1,-2.214,-13.952,-0.21,-1.30,-0.21,-1.30,INF,-1,0,7,0
780,1,1,-1.817,-13.562,-0.17,-1.27,-0.17,-1.27,INF,-1,0,7,0
800,1,1,-2.000,-13.572,-0.19,-1.27,-0.19,-1.27,INF,-1,0,7,0
820,1,1,-1.883,-15.691,-0.18,-1.47,-0.18,-1.47,INF,-1,0,7,0
