"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22883
CalibrationParameters_A12,0.10253
CalibrationParameters_A13,-0.00991
CalibrationParameters_A21,0.07165
CalibrationParameters_A22,-1.23589
CalibrationParameters_A23,-0.00314
CalibrationParameters_A31,-0.00019
CalibrationParameters_A32,0.00377
CalibrationParameters_E11,-0.17975
CalibrationParameters_E12,-0.00014
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.19984
CalibrationParameters_X,-19.25631
CalibrationParameters_Y,48.35464
CalibrationParameters_Rpc,84.32902
CalibrationParameters_MeanX,136.73164
CalibrationParameters_MeanY,116.02582
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-3.600,6.880,-0.34,0.64,-0.34,0.64,INF,-1,0,7,0
20,1,1,-4.067,6.550,-0.38,0.61,-0.38,0.61,INF,-1,0,7,0
40,1,1,-4.268,5.722,-0.40,0.53,-0.40,0.53,INF,-1,0,7,0
60,1,1,-3.805,5.152,-0.36,0.48,-0.36,0.48,INF,-1,0,7,0
80,1,1,-4.305,4.220,-0.40,0.39,-0.40,0.39,INF,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
320,1,1,-28.170,-32.991,-2.63,-3.08,-2.63,-3.08,INF,-1,0,7,0
340,1,1,-27.354,-31.689,-2.56,-2.96,-2.55,-2.96,INF,-1,0,7,0
360,1,1,-27.436,-30.968,-2.56,-2.89,-2.56,-2.89,INF,-1,0,7,0
380,1,1,-26.121,-31.515,-2.44,-2.94,-2.44,-2.94,INF,-1,0,7,0
400,1,1,-26.637,-30.478,-2.49,-2.84,-2.49,-2.85,INF,-1,0,7,0
420,1,1,-28.617,-30.500,-2.67,-2.85,-2.67,-2.85,INF,-1,0,7,0
440,1,1,-28.207,-30.565,-2.63,-2.85,-2.63,-2.85,INF,-1,0,7,0
460,1,1,-27.913,-30.267,-2.61,-2.82,-2.60,-2.83,INF,-1,0,7,0
480,1,1,-28.554,-31.338,-2.67,-2.92,-2.66,-2.93,INF,-1,0,7,0
500,1,1,-28.815,-31.247,-2.69,-2.91,-2.69,-2.92,INF,-1,0,7,0
520,1,1,-28.035,-30.443,-2.62,-2.84,-2.62,-2.84,INF,-1,0,7,0
540,1,1,-28.766,-31.355,-2.69,-2.92,-2.68,-2.93,INF,-1,0,7,0
560,1,1,-29.485,-31.281,-2.75,-2.92,-2.75,-2.92,INF,-1,0,7,0
580,1,1,-28.459,-30.776,-2.66,-2.87,-2.65,-2.87,INF,-1,0,7,0
600,1,1,-30.207,-31.086,-2.82,-2.90,-2.82,-2.90,INF,-1,1,7,0
620,1,1,-29.765,-34.621,-2.78,-3.23,-2.78,-3.23,INF,-1,1,7,0
640,1,1,13.110,-25.799,1.23,-2.41,1.22,-2.41,INF,-1,1,7,0
660,1,1,11.025,-24.407,1.03,-2.28,1.03,-2.28,INF,-1,1,7,0
680,1,1,10.731,-24.417,1.00,-2.28,1.00,-2.28,INF,-1,0,7,0
700,1,1,12.439,-25.923,1.16,-2.42,1.16,-2.42,INF,-1,0,7,0
720,1,1,11.402,-25.631,1.07,-2.39,1.06,-2.39,INF,-1,0,7,0
740,1,1,11.151,-25.555,1.04,-2.39,1.04,-2.39,INF,-1,0,7,0
760,1,1,10.913,-24.631,1.02,-2.30,1.02,-2.30,INF,-1,0,7,0
780,1,1,11.646,-24.959,1.09,-2.33,1.09,-2.33,INF,-1,0,7,0
800,1,1,11.261,-23.730,1.05,-2.22,1.05,-2.22,INF,-1,0,7,0
820,1,1,11.993,-25.770,1.12,-2.41,1.12,-2.41,INF,-1,0,7,0
840,1,1,12.429,-26.625,1.16,-2.49,1.16,-2.49,INF,-1,0,7,0
860,1,1,-13.325,10.174,-1.25,0.95,-1.25,0.95,INF,-1,0,7,0
880,1,1,-16.899,11.682,-1.58,1.09,-1.58,1.09,INF,-1,0,7,0
900,1,1,-16.513,11.795,-1.54,1.10,-1.54,1.10,INF,-1,0,7,0
920,1,1,-17.712,11.476,-1.66,1.07,-1.65,1.07,INF,-1,0,7,0
940,1,1,-17.243,13.265,-1.61,1.24,-1.61,1.24,INF,-1,0,7,0
960,1,1,-16.694,12.282,-1.56,1.15,-1.56,1.15,INF,-1,0,7,0
980,1,1,-17.306,13.944,-1.62,1.30,-1.62,1.30,INF,-1,0,7,0
1000,1,1,-17.239,14.093,-1.61,1.32,-1.61,1.32,INF,-1,0,7,0
1020,1,1,-16.875,12.890,-1.58,1.20,-1.58,1.20,INF,-1,0,7,0
1040,1,1,-18.104,12.914,-1.69,1.21,-1.69,1.21,INF,-1,0,7,0
1060,1,1,-17.475,12.826,-1.63,1.20,-1.63,1.20,INF,-1,0,7,0
1080,1,1,-17.747,13.592,-1.66,1.27,-1.66,1.27,INF,-1,0,7,0
1100,1,1,-16.362,12.708,-1.53,1.19,-1.53,1.19,INF,-1,0,7,0
1120,1,1,-16.778,14.115,-1.57,1.32,-1.57,1.32,INF,-1,0,7,0
1140,1,1,-16.144,13.175,-1.51,1.23,-1.51,1.23,INF,-1,1,7,0
1160,1,1,-18.624,8.059,-1.74,0.75,-1.74,0.75,INF,-1,1,7,0
1180,1,1,41.465,13.088,3.87,1.22,3.87,1.22,INF,-1,1,7,0
1200,1,1,37.681,13.505,3.52,1.26,3.52,1.26,INF,-1,1,7,0
1220,1,1,38.623,13.258,3.61,1.24,3.60,1.24,INF,-1,0,7,0
1240,1,1,37.873,12.616,3.54,1.18,3.53,1.18,INF,-1,0,7,0
1260,1,1,38.148,11.654,3.56,1.09,3.56,1.09,INF,-1,0,7,0
1280,1,1,36.817,9.608,3.44,0.90,3.44,0.90,INF,-1,0,7,0
1300,1,1,37.781,11.154,3.53,1.04,3.53,1.04,INF,-1,0,7,0
1320,1,1,36.919,9.974,3.45,0.93,3.45,0.93,INF,-1,0,7,0
1340,1,1,37.154,9.220,3.47,0.86,3.47,0.86,INF,-1,0,7,0
1360,1,1,36.518,9.397,3.41,0.88,3.41,0.88,INF,-1,0,7,0
1380,1,1,36.051,7.748,3.37,0.72,3.37,0.72,INF,-1,0,7,0
1400,1,1,35.761,10.481,3.34,0.98,3.34,0.98,INF,-1,0,7,0
1420,1,1,36.611,9.706,3.42,0.91,3.42,0.91,INF,-1,0,7,0
1440,1,1,34.992,8.532,3.27,0.80,3.27,0.80,INF,-1,0,7,0
1460,1,1,34.390,8.942,3.21,0.83,3.21,0.84,INF,-1,1,7,0
1480,1,1,34.295,8.881,3.20,0.83,3.20,0.83,INF,-1,1,7,0
1500,1,1,33.412,9.778,3.12,0.91,3.12,0.91,INF,-1,1,7,0
1520,1,1,33.497,9.911,3.13,0.92,3.13,0.93,INF,-1,1,7,0
1540,1,1,33.511,9.987,3.13,0.93,3.13,0.93,INF,-1,1,7,0
1560,1,1,52.481,-4.342,4.89,-0.40,4.89,-0.41,INF,-1,1,7,0
1580,1,1,51.282,-4.633,4.78,-0.43,4.78,-0.43,INF,-1,1,7,0
1600,1,1,51.743,-3.033,4.82,-0.28,4.82,-0.28,INF,-1,0,7,0
1620,1,1,51.363,-2.651,4.79,-0.25,4.79,-0.25,INF,-1,0,7,0
1640,1,1,52.382,-1.880,4.88,-0.18,4.88,-0.18,INF,-1,0,7,0
1660,1,1,51.007,-1.141,4.76,-0.11,4.76,-0.11,INF,-1,0,7,0
1680,1,1,51.428,-2.632,4.80,-0.25,4.80,-0.25,INF,-1,0,7,0
1700,1,1,50.594,-4.215,4.72,-0.39,4.72,-0.39,INF,-1,0,7,0
1720,1,1,52.572,-2.704,4.90,-0.25,4.90,-0.25,INF,-1,0,7,0
1740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
1760,1,1,-34.017,-19.946,-3.18,-1.86,-3.17,-1.86,INF,-1,0,7,0
