"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.23881
CalibrationParameters_A12,0.07251
CalibrationParameters_A13,0.03996
CalibrationParameters_A21,0.07935
CalibrationParameters_A22,-1.22892
CalibrationParameters_A23,-0.04294
CalibrationParameters_A31,0.00047
CalibrationParameters_A32,0.00236
CalibrationParameters_E11,-0.17977
CalibrationParameters_E12,-0.00021
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-32.54569
CalibrationParameters_Y,44.43616
CalibrationParameters_Rpc,76.57845
CalibrationParameters_MeanX,183.10235
CalibrationParameters_MeanY,118.36898
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,3.053,-4.222,0.29,-0.39,0.29,-0.39,INF,-1,0,7,0
20,1,1,2.577,-5.817,0.24,-0.54,0.24,-0.54,INF,-1,0,7,0
40,1,1,0.815,-4.143,0.08,-0.39,0.08,-0.39,INF,-1,0,7,0
60,1,1,1.984,-3.178,0.19,-0.30,0.19,-0.30,INF,-1,0,7,0
80,1,1,1.567,-3.901,0.15,-0.36,0.15,-0.36,INF,-1,0,7,0
100,1,1,1.756,-5.800,0.16,-0.54,0.16,-0.54,INF,-1,0,7,0
120,1,1,1.287,-4.358,0.12,-0.41,0.12,-0.41,INF,-1,0,7,0
140,1,1,2.276,-4.928,0.21,-0.46,0.21,-0.46,INF,-1,0,7,0
160,1,1,0.760,-4.418,0.07,-0.41,0.07,-0.41,INF,-1,0,7,0
180,1,1,1.198,-3.323,0.11,-0.31,0.11,-0.31,INF,-1,0,7,0
200,1,1,0.880,-3.318,0.08,-0.31,0.08,-0.31,INF,-1,0,7,0
220,1,1,0.125,-4.051,0.01,-0.38,0.01,-0.38,INF,-1,0,7,0
240,1,1,0.561,-4.709,0.05,-0.44,0.05,-0.44,INF,-1,0,7,0
260,1,1,-1.038,-4.467,-0.10,-0.42,-0.10,-0.42,INF,-1,0,7,0
280,1,1,0.847,-4.935,0.08,-0.46,0.08,-0.46,INF,-1,1,7,0
300,1,1,5.446,-0.505,0.51,-0.05,0.51,-0.05,INF,-1,1,7,0
320,1,1,10.977,7.873,1.03,0.74,1.03,0.74,INF,-1,1,7,0
340,1,1,10.387,7.881,0.97,0.74,0.97,0.74,INF,-1,1,7,0
360,1,1,10.568,7.068,0.99,0.66,0.99,0.66,INF,-1,0,7,0
380,1,1,11.163,6.029,1.04,0.56,1.04,0.56,INF,-1,0,7,0
400,1,1,9.625,6.395,0.90,0.60,0.90,0.60,INF,-1,0,7,0
420,1,1,10.522,5.136,0.98,0.48,0.98,0.48,INF,-1,0,7,0
440,1,1,10.648,5.161,1.00,0.48,1.00,0.48,INF,-1,0,7,0
460,1,1,9.216,5.339,0.86,0.50,0.86,0.50,INF,-1,0,7,0
480,1,1,9.904,6.373,0.93,0.60,0.93,0.60,INF,-1,0,7,0
500,1,1,10.397,6.265,0.97,0.59,0.97,0.59,INF,-1,0,7,0
520,1,1,9.976,6.082,0.93,0.57,0.93,0.57,INF,-1,0,7,0
540,1,1,9.886,6.312,0.92,0.59,0.92,0.59,INF,-1,0,7,0
560,1,1,11.273,6.628,1.05,0.62,1.05,0.62,INF,-1,0,7,0
580,1,1,11.111,7.846,1.04,0.73,1.04,0.73,INF,-1,0,7,0
600,1,1,10.393,6.825,0.97,0.64,0.97,0.64,INF,-1,1,7,0
620,1,1,11.362,6.939,1.06,0.65,1.06,0.65,INF,-1,1,7,0
640,1,1,10.540,5.795,0.99,0.54,0.98,0.54,INF,-1,1,7,0
660,1,1,9.527,5.203,0.89,0.49,0.89,0.49,INF,-1,1,7,0
680,1,1,10.257,4.184,0.96,0.39,0.96,0.39,INF,-1,1,7,0
700,1,1,10.605,6.730,0.99,0.63,0.99,0.63,INF,-1,1,7,0
720,1,1,11.909,7.294,1.11,0.68,1.11,0.68,INF,-1,1,7,0
740,1,1,11.605,6.702,1.08,0.63,1.08,0.63,INF,-1,1,7,0
760,1,1,10.836,6.117,1.01,0.57,1.01,0.57,INF,-1,1,7,0
780,1,1,12.265,6.839,1.15,0.64,1.15,0.64,INF,-1,1,7,0
800,1,1,11.829,6.291,1.11,0.59,1.11,0.59,INF,-1,1,7,0
820,1,1,11.749,6.346,1.10,0.59,1.10,0.59,INF,-1,1,7,0
840,1,1,11.087,5.349,1.04,0.50,1.04,0.50,INF,-1,1,7,0
860,1,1,11.155,6.945,1.04,0.65,1.04,0.65,INF,-1,1,7,0
880,1,1,12.165,4.489,1.14,0.42,1.14,0.42,INF,-1,1,7,0
900,1,1,10.403,6.284,0.97,0.59,0.97,0.59,INF,-1,1,7,0
920,1,1,11.668,5.540,1.09,0.52,1.09,0.52,INF,-1,1,7,0
940,1,1,11.156,5.500,1.04,0.51,1.04,0.51,INF,-1,1,7,0
960,1,1,11.695,6.028,1.09,0.56,1.09,0.56,INF,-1,1,7,0
980,1,1,11.771,4.772,1.10,0.45,1.10,0.45,INF,-1,1,7,0
1000,1,1,-9.435,14.285,-0.88,1.33,-0.88,1.33,INF,-1,1,7,0
1020,1,1,-7.241,15.196,-0.68,1.42,-0.68,1.42,INF,-1,1,7,0
1040,1,1,-8.332,13.616,-0.78,1.27,-0.78,1.27,INF,-1,0,7,0
1060,1,1,-9.224,12.284,-0.86,1.15,-0.86,1.15,INF,-1,0,7,0
1080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1120,1,1,-11.786,6.489,-1.10,0.61,-1.10,0.61,INF,-1,0,7,0
1140,1,1,-9.537,11.337,-0.89,1.06,-0.89,1.06,INF,-1,0,7,0
1160,1,1,-7.920,13.727,-0.74,1.28,-0.74,1.28,INF,-1,0,7,0
1180,1,1,-9.006,10.196,-0.84,0.95,-0.84,0.95,INF,-1,0,7,0
1200,1,1,-7.915,12.277,-0.74,1.15,-0.74,1.15,INF,-1,0,7,0
1220,1,1,-9.293,11.204,-0.87,1.05,-0.87,1.05,INF,-1,0,7,0
1240,1,1,-9.213,13.032,-0.86,1.22,-0.86,1.22,INF,-1,0,7,0
1260,1,1,-8.161,13.080,-0.76,1.22,-0.76,1.22,INF,-1,0,7,0
1280,1,1,-7.980,10.782,-0.75,1.01,-0.75,1.01,INF,-1,1,7,0
1300,1,1,-8.020,9.078,-0.75,0.85,-0.75,0.85,INF,-1,1,7,0
1320,1,1,-9.509,11.075,-0.89,1.03,-0.89,1.04,INF,-1,1,7,0
1340,1,1,-8.811,13.337,-0.82,1.25,-0.82,1.25,INF,-1,1,7,0
1360,1,1,-9.189,11.676,-0.86,1.09,-0.86,1.09,INF,-1,1,7,0
1380,1,1,-8.832,12.141,-0.83,1.13,-0.83,1.13,INF,-1,1,7,0
1400,1,1,-9.278,11.809,-0.87,1.10,-0.87,1.10,INF,-1,1,7,0
1420,1,1,-8.383,10.023,-0.78,0.94,-0.78,0.94,INF,-1,1,7,0
1440,1,1,-8.700,9.708,-0.81,0.91,-0.81,0.91,INF,-1,1,7,0
1460,1,1,8.472,9.845,0.79,0.92,0.79,0.92,INF,-1,1,7,0
1480,1,1,8.061,9.995,0.75,0.93,0.75,0.93,INF,-1,1,7,0
1500,1,1,9.139,8.911,0.85,0.83,0.85,0.83,INF,-1,0,7,0
1520,1,1,9.716,9.969,0.91,0.93,0.91,0.93,INF,-1,0,7,0
1540,1,1,9.013,9.213,0.84,0.86,0.84,0.86,INF,-1,0,7,0
1560,1,1,9.453,11.260,0.88,1.05,0.88,1.05,INF,-1,0,7,0
1580,1,1,9.658,8.818,0.90,0.82,0.90,0.82,INF,-1,0,7,0
1600,1,1,9.795,9.291,0.92,0.87,0.92,0.87,INF,-1,0,7,0
1620,1,1,9.526,9.180,0.89,0.86,0.89,0.86,INF,-1,0,7,0
1640,1,1,9.284,10.456,0.87,0.98,0.87,0.98,INF,-1,0,7,0
1660,1,1,8.533,9.106,0.80,0.85,0.80,0.85,INF,-1,0,7,0
1680,1,1,9.503,8.763,0.89,0.82,0.89,0.82,INF,-1,0,7,0
1700,1,1,12.844,8.166,1.20,0.76,1.20,0.76,INF,-1,0,7,0
1720,1,1,12.101,8.210,1.13,0.77,1.13,0.77,INF,-1,0,7,0
1740,1,1,11.458,8.219,1.07,0.77,1.07,0.77,INF,-1,1,7,0
1760,1,1,11.734,8.296,1.10,0.78,1.10,0.78,INF,-1,1,7,0
1780,1,1,11.397,7.366,1.07,0.69,1.07,0.69,INF,-1,1,7,0
1800,1,1,12.233,4.906,1.14,0.46,1.14,0.46,INF,-1,1,7,0
1820,1,1,11.289,4.311,1.06,0.40,1.05,0.40,INF,-1,1,7,0
1840,1,1,11.413,8.345,1.07,0.78,1.07,0.78,INF,-1,1,7,0
1860,1,1,11.629,6.744,1.09,0.63,1.09,0.63,INF,-1,1,7,0
1880,1,1,11.138,6.024,1.04,0.56,1.04,0.56,INF,-1,1,7,0
1900,1,1,11.150,6.309,1.04,0.59,1.04,0.59,INF,-1,1,7,0
1920,1,1,10.963,6.435,1.02,0.60,1.02,0.60,INF,-1,1,7,0
1940,1,1,11.451,5.727,1.07,0.54,1.07,0.54,INF,-1,1,7,0
1960,1,1,10.253,3.934,0.96,0.37,0.96,0.37,INF,-1,1,7,0
1980,1,1,10.116,6.690,0.95,0.63,0.95,0.63,INF,-1,1,7,0
2000,1,1,11.039,3.851,1.03,0.36,1.03,0.36,INF,-1,1,7,0
2020,1,1,9.969,4.119,0.93,0.38,0.93,0.38,INF,-1,1,7,0
2040,1,1,10.396,5.258,0.97,0.49,0.97,0.49,INF,-1,1,7,0
2060,1,1,8.758,3.965,0.82,0.37,0.82,0.37,INF,-1,1,7,0
2080,1,1,9.795,3.502,0.92,0.33,0.92,0.33,INF,-1,1,7,0
2100,1,1,8.467,4.920,0.79,0.46,0.79,0.46,INF,-1,1,7,0
2120,1,1,8.472,-0.651,0.79,-0.06,0.79,-0.06,INF,-1,1,7,0
2140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
2160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
2180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
2200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2220,1,1,6.294,-10.605,0.59,-0.99,0.59,-0.99,INF,-1,0,7,0
2240,1,1,6.569,1.935,0.61,0.18,0.61,0.18,INF,-1,0,7,0
2260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
2280,1,1,5.821,-8.812,0.54,-0.82,0.54,-0.82,INF,-1,0,7,0
2300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
