"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.23696
CalibrationParameters_A12,0.07971
CalibrationParameters_A13,0.07977
CalibrationParameters_A21,0.08378
CalibrationParameters_A22,-1.27376
CalibrationParameters_A23,-0.02820
CalibrationParameters_A31,0.00072
CalibrationParameters_A32,0.00572
CalibrationParameters_E11,-0.18010
CalibrationParameters_E12,0.00009
CalibrationParameters_E21,-0.00008
CalibrationParameters_E22,0.19973
CalibrationParameters_X,-21.97584
CalibrationParameters_Y,50.93804
CalibrationParameters_Rpc,84.03520
CalibrationParameters_MeanX,152.82118
CalibrationParameters_MeanY,124.47253
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-92.975,-95.910,-8.62,-8.79,-8.52,-8.89,INF,-1,0,7,0
20,1,1,11.543,10.323,1.08,0.96,1.08,0.96,INF,-1,0,7,0
40,1,1,10.820,11.247,1.01,1.05,1.01,1.05,INF,-1,0,7,0
60,1,1,11.342,11.250,1.06,1.05,1.06,1.05,INF,-1,0,7,0
80,1,1,12.068,10.685,1.13,1.00,1.13,1.00,INF,-1,0,7,0
100,1,1,11.979,10.874,1.12,1.02,1.12,1.02,INF,-1,0,7,0
120,1,1,11.713,11.730,1.09,1.10,1.09,1.10,INF,-1,0,7,0
140,1,1,12.029,10.203,1.12,0.95,1.12,0.95,INF,-1,0,7,0
160,1,1,11.075,9.494,1.04,0.89,1.03,0.89,INF,-1,0,7,0
180,1,1,13.236,10.015,1.24,0.94,1.24,0.94,INF,-1,0,7,0
200,1,1,10.457,10.430,0.98,0.97,0.98,0.97,INF,-1,0,7,0
220,1,1,11.155,10.644,1.04,0.99,1.04,0.99,INF,-1,0,7,0
240,1,1,11.900,12.046,1.11,1.13,1.11,1.13,INF,-1,0,7,0
260,1,1,13.842,26.050,1.29,2.43,1.29,2.43,INF,-1,0,7,0
280,1,1,13.698,23.415,1.28,2.19,1.28,2.19,INF,-1,0,7,0
300,1,1,13.052,23.770,1.22,2.22,1.22,2.22,INF,-1,0,7,0
320,1,1,13.698,24.520,1.28,2.29,1.28,2.29,INF,-1,1,7,0
340,1,1,11.788,23.209,1.10,2.17,1.10,2.17,INF,-1,1,7,0
360,1,1,12.801,22.891,1.20,2.14,1.20,2.14,INF,-1,1,7,0
380,1,1,13.703,25.140,1.28,2.35,1.28,2.35,INF,-1,1,7,0
400,1,1,14.903,23.689,1.39,2.21,1.39,2.21,INF,-1,1,7,0
420,1,1,14.002,24.257,1.31,2.27,1.31,2.27,INF,-1,1,7,0
440,1,1,14.010,24.358,1.31,2.27,1.31,2.28,INF,-1,1,7,0
460,1,1,14.637,24.230,1.37,2.26,1.37,2.26,INF,-1,0,7,0
480,1,1,15.708,23.770,1.47,2.22,1.47,2.22,INF,-1,0,7,0
500,1,1,15.744,24.157,1.47,2.26,1.47,2.26,INF,-1,0,7,0
520,1,1,15.193,24.062,1.42,2.25,1.42,2.25,INF,-1,0,7,0
540,1,1,14.571,25.361,1.36,2.37,1.36,2.37,INF,-1,0,7,0
560,1,1,14.843,24.596,1.39,2.30,1.39,2.30,INF,-1,0,7,0
580,1,1,-26.246,19.188,-2.45,1.79,-2.45,1.79,INF,-1,0,7,0
600,1,1,-31.656,17.961,-2.96,1.68,-2.95,1.68,INF,-1,0,7,0
620,1,1,-33.217,19.843,-3.10,1.85,-3.10,1.85,INF,-1,0,7,0
640,1,1,-33.068,19.050,-3.09,1.78,-3.09,1.78,INF,-1,0,7,0
660,1,1,-32.488,18.593,-3.03,1.73,-3.03,1.74,INF,-1,0,7,0
680,1,1,-33.095,19.961,-3.09,1.86,-3.09,1.87,INF,-1,0,7,0
700,1,1,-33.716,20.054,-3.15,1.87,-3.15,1.87,INF,-1,0,7,0
720,1,1,-33.192,18.874,-3.10,1.76,-3.10,1.76,INF,-1,0,7,0
740,1,1,-34.034,19.415,-3.18,1.81,-3.18,1.81,INF,-1,0,7,0
760,1,1,-34.178,18.492,-3.19,1.73,-3.19,1.73,INF,-1,0,7,0
780,1,1,-34.873,18.144,-3.26,1.69,-3.25,1.70,INF,-1,0,7,0
800,1,1,-41.175,16.801,-3.84,1.57,-3.84,1.57,INF,-1,0,7,0
820,1,1,-40.489,17.570,-3.78,1.64,-3.78,1.64,INF,-1,0,7,0
840,1,1,-41.076,17.076,-3.83,1.59,-3.83,1.60,INF,-1,0,7,0
860,1,1,-41.239,17.288,-3.85,1.61,-3.85,1.62,INF,-1,1,7,0
880,1,1,-41.432,17.201,-3.87,1.60,-3.87,1.61,INF,-1,1,7,0
900,1,1,-41.339,17.528,-3.86,1.63,-3.86,1.64,INF,-1,1,7,0
920,1,1,-39.901,16.745,-3.72,1.56,-3.72,1.56,INF,-1,1,7,0
940,1,1,-40.850,16.646,-3.81,1.55,-3.81,1.56,INF,-1,1,7,0
960,1,1,-41.196,16.212,-3.84,1.51,-3.84,1.51,INF,-1,1,7,0
980,1,1,-40.869,16.476,-3.81,1.54,-3.81,1.54,INF,-1,1,7,0
1000,1,1,-41.044,15.839,-3.83,1.48,-3.83,1.48,INF,-1,1,7,0
1020,1,1,-41.302,15.901,-3.85,1.48,-3.85,1.49,INF,-1,1,7,0
1040,1,1,-40.199,16.594,-3.75,1.55,-3.75,1.55,INF,-1,1,7,0
1060,1,1,-37.799,13.332,-3.53,1.24,-3.53,1.25,INF,-1,1,7,0
1080,1,1,13.110,27.262,1.23,2.55,1.22,2.55,INF,-1,1,7,0
1100,1,1,12.699,26.812,1.19,2.50,1.19,2.50,INF,-1,1,7,0
1120,1,1,12.327,26.894,1.15,2.51,1.15,2.51,INF,-1,0,7,0
1140,1,1,12.783,27.647,1.19,2.58,1.19,2.58,INF,-1,0,7,0
1160,1,1,13.126,26.310,1.23,2.46,1.23,2.46,INF,-1,0,7,0
1180,1,1,13.266,26.501,1.24,2.47,1.24,2.48,INF,-1,0,7,0
1200,1,1,13.103,26.535,1.22,2.48,1.22,2.48,INF,-1,0,7,0
1220,1,1,13.443,27.304,1.26,2.55,1.26,2.55,INF,-1,0,7,0
1240,1,1,13.220,26.824,1.24,2.50,1.23,2.51,INF,-1,0,7,0
1260,1,1,13.527,26.455,1.26,2.47,1.26,2.47,INF,-1,0,7,0
1280,1,1,17.664,26.370,1.65,2.46,1.65,2.46,INF,-1,0,7,0
1300,1,1,15.935,26.738,1.49,2.50,1.49,2.50,INF,-1,0,7,0
1320,1,1,18.007,25.035,1.68,2.34,1.68,2.34,INF,-1,0,7,0
1340,1,1,16.289,25.083,1.52,2.34,1.52,2.34,INF,-1,0,7,0
1360,1,1,17.136,24.960,1.60,2.33,1.60,2.33,INF,-1,1,7,0
1380,1,1,16.172,26.049,1.51,2.43,1.51,2.43,INF,-1,1,7,0
1400,1,1,17.628,25.000,1.65,2.33,1.65,2.34,INF,-1,1,7,0
1420,1,1,16.779,26.345,1.57,2.46,1.57,2.46,INF,-1,1,7,0
1440,1,1,16.752,25.534,1.57,2.38,1.56,2.39,INF,-1,1,7,0
1460,1,1,15.497,25.227,1.45,2.36,1.45,2.36,INF,-1,1,7,0
1480,1,1,17.263,25.981,1.61,2.43,1.61,2.43,INF,-1,1,7,0
1500,1,1,17.147,25.534,1.60,2.38,1.60,2.39,INF,-1,1,7,0
1520,1,1,16.666,24.514,1.56,2.29,1.56,2.29,INF,-1,1,7,0
1540,1,1,17.015,25.896,1.59,2.42,1.59,2.42,INF,-1,1,7,0
1560,1,1,15.591,24.247,1.46,2.26,1.46,2.27,INF,-1,1,7,0
1580,1,1,17.123,27.323,1.60,2.55,1.60,2.55,INF,-1,1,7,0
1600,1,1,16.056,26.532,1.50,2.48,1.50,2.48,INF,-1,1,7,0
1620,1,1,16.054,25.629,1.50,2.39,1.50,2.39,INF,-1,1,7,0
1640,1,1,17.177,25.117,1.61,2.35,1.60,2.35,INF,-1,1,7,0
1660,1,1,15.801,25.390,1.48,2.37,1.48,2.37,INF,-1,1,7,0
1680,1,1,16.207,25.097,1.51,2.34,1.51,2.34,INF,-1,1,7,0
1700,1,1,16.664,25.986,1.56,2.43,1.56,2.43,INF,-1,1,7,0
1720,1,1,16.746,25.433,1.56,2.37,1.56,2.38,INF,-1,1,7,0
1740,1,1,16.909,26.371,1.58,2.46,1.58,2.46,INF,-1,1,7,0
1760,1,1,17.414,25.596,1.63,2.39,1.63,2.39,INF,-1,1,7,0
1780,1,1,17.335,24.551,1.62,2.29,1.62,2.29,INF,-1,1,7,0
1800,1,1,17.612,26.038,1.65,2.43,1.64,2.43,INF,-1,1,7,0
1820,1,1,16.806,24.895,1.57,2.32,1.57,2.33,INF,-1,1,7,0
1840,1,1,16.964,25.808,1.59,2.41,1.58,2.41,INF,-1,1,7,0
1860,1,1,17.271,24.646,1.61,2.30,1.61,2.30,INF,-1,1,7,0
1880,1,1,16.565,24.935,1.55,2.33,1.55,2.33,INF,-1,1,7,0
1900,1,1,16.994,25.417,1.59,2.37,1.59,2.37,INF,-1,1,7,0
1920,1,1,16.367,25.665,1.53,2.40,1.53,2.40,INF,-1,1,7,0
1940,1,1,17.778,24.575,1.66,2.29,1.66,2.30,INF,-1,1,7,0
1960,1,1,16.981,25.978,1.59,2.43,1.59,2.43,INF,-1,1,7,0
1980,1,1,16.290,25.603,1.52,2.39,1.52,2.39,INF,-1,1,7,0
2000,1,1,16.141,26.343,1.51,2.46,1.51,2.46,INF,-1,1,7,0
2020,1,1,16.586,23.755,1.55,2.22,1.55,2.22,INF,-1,1,7,0
2040,1,1,17.220,27.806,1.61,2.60,1.61,2.60,INF,-1,1,7,0
2060,1,1,22.361,-2.633,2.09,-0.25,2.09,-0.25,INF,-1,1,7,0
2080,1,1,21.211,0.937,1.98,0.09,1.98,0.09,INF,-1,1,7,0
2100,1,1,21.449,-0.229,2.00,-0.02,2.00,-0.02,INF,-1,0,7,0
2120,1,1,21.411,0.187,2.00,0.02,2.00,0.02,INF,-1,0,7,0
2140,1,1,21.486,-1.125,2.01,-0.11,2.01,-0.11,INF,-1,0,7,0
2160,1,1,20.664,-0.662,1.93,-0.06,1.93,-0.06,INF,-1,0,7,0
2180,1,1,21.834,-0.886,2.04,-0.08,2.04,-0.08,INF,-1,0,7,0
2200,1,1,22.097,-0.892,2.06,-0.08,2.06,-0.08,INF,-1,0,7,0
2220,1,1,21.190,0.413,1.98,0.04,1.98,0.04,INF,-1,0,7,0
2240,1,1,22.020,-1.114,2.06,-0.10,2.06,-0.10,INF,-1,0,7,0
2260,1,1,21.063,-1.472,1.97,-0.14,1.97,-0.14,INF,-1,0,7,0
2280,1,1,20.911,-0.443,1.95,-0.04,1.95,-0.04,INF,-1,0,7,0
2300,1,1,21.830,-1.996,2.04,-0.19,2.04,-0.19,INF,-1,0,7,0
