"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22569
CalibrationParameters_A12,0.08071
CalibrationParameters_A13,0.00072
CalibrationParameters_A21,0.08981
CalibrationParameters_A22,-1.25390
CalibrationParameters_A23,-0.01185
CalibrationParameters_A31,-0.00013
CalibrationParameters_A32,0.00431
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00025
CalibrationParameters_E22,0.20009
CalibrationParameters_X,-21.81930
CalibrationParameters_Y,49.35743
CalibrationParameters_Rpc,84.18159
CalibrationParameters_MeanX,142.61969
CalibrationParameters_MeanY,119.70158
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-6.047,9.081,-0.57,0.85,-0.57,0.85,INF,-1,0,7,0
20,1,1,-6.094,9.308,-0.57,0.87,-0.57,0.87,INF,-1,0,7,0
40,1,1,-7.484,9.633,-0.70,0.90,-0.70,0.90,INF,-1,0,7,0
60,1,1,-5.472,10.138,-0.51,0.95,-0.51,0.95,INF,-1,0,7,0
80,1,1,16.074,7.372,1.50,0.69,1.50,0.69,INF,-1,0,7,0
100,1,1,11.524,8.363,1.08,0.78,1.08,0.78,INF,-1,0,7,0
120,1,1,11.886,8.439,1.11,0.79,1.11,0.79,INF,-1,0,7,0
140,1,1,10.721,7.528,1.00,0.70,1.00,0.70,INF,-1,0,7,0
160,1,1,12.610,8.074,1.18,0.75,1.18,0.75,INF,-1,0,7,0
180,1,1,12.882,7.146,1.20,0.67,1.20,0.67,INF,-1,0,7,0
200,1,1,12.233,6.200,1.14,0.58,1.14,0.58,INF,-1,0,7,0
220,1,1,12.293,7.368,1.15,0.69,1.15,0.69,INF,-1,0,7,0
240,1,1,12.636,8.173,1.18,0.76,1.18,0.76,INF,-1,0,7,0
260,1,1,12.904,7.993,1.21,0.75,1.21,0.75,INF,-1,0,7,0
280,1,1,13.011,7.438,1.22,0.70,1.22,0.70,INF,-1,0,7,0
300,1,1,12.188,6.881,1.14,0.64,1.14,0.64,INF,-1,0,7,0
320,1,1,12.980,7.642,1.21,0.71,1.21,0.71,INF,-1,0,7,0
340,1,1,14.492,6.955,1.35,0.65,1.35,0.65,INF,-1,0,7,0
360,1,1,13.334,6.971,1.25,0.65,1.25,0.65,INF,-1,1,7,0
380,1,1,13.212,7.808,1.23,0.73,1.23,0.73,INF,-1,1,7,0
400,1,1,-8.207,2.802,-0.77,0.26,-0.77,0.26,INF,-1,1,7,0
420,1,1,-23.930,1.583,-2.24,0.15,-2.24,0.15,INF,-1,1,7,0
440,1,1,-22.201,2.494,-2.07,0.23,-2.07,0.23,INF,-1,0,7,0
460,1,1,-23.660,3.433,-2.21,0.32,-2.21,0.32,INF,-1,0,7,0
480,1,1,-23.179,3.496,-2.17,0.33,-2.17,0.33,INF,-1,0,7,0
500,1,1,-23.935,4.380,-2.24,0.41,-2.24,0.41,INF,-1,0,7,0
520,1,1,-24.014,3.492,-2.24,0.33,-2.24,0.33,INF,-1,0,7,0
540,1,1,-23.383,4.444,-2.18,0.42,-2.18,0.42,INF,-1,0,7,0
560,1,1,-22.992,4.224,-2.15,0.39,-2.15,0.39,INF,-1,0,7,0
580,1,1,-23.627,1.952,-2.21,0.18,-2.21,0.18,INF,-1,0,7,0
600,1,1,-23.001,3.761,-2.15,0.35,-2.15,0.35,INF,-1,0,7,0
620,1,1,-23.676,5.095,-2.21,0.48,-2.21,0.48,INF,-1,0,7,0
640,1,1,-23.038,3.056,-2.15,0.29,-2.15,0.29,INF,-1,0,7,0
660,1,1,-25.091,4.002,-2.34,0.37,-2.34,0.37,INF,-1,0,7,0
680,1,1,-23.761,4.107,-2.22,0.38,-2.22,0.38,INF,-1,0,7,0
700,1,1,-22.702,4.003,-2.12,0.37,-2.12,0.37,INF,-1,1,7,0
720,1,1,-17.379,-0.371,-1.62,-0.03,-1.62,-0.03,INF,-1,1,7,0
740,1,1,14.655,3.888,1.37,0.36,1.37,0.36,INF,-1,1,7,0
760,1,1,11.666,4.472,1.09,0.42,1.09,0.42,INF,-1,1,7,0
780,1,1,12.210,4.452,1.14,0.42,1.14,0.42,INF,-1,0,7,0
800,1,1,11.863,4.642,1.11,0.43,1.11,0.43,INF,-1,0,7,0
820,1,1,12.103,4.393,1.13,0.41,1.13,0.41,INF,-1,0,7,0
840,1,1,13.170,3.537,1.23,0.33,1.23,0.33,INF,-1,0,7,0
860,1,1,13.025,4.687,1.22,0.44,1.22,0.44,INF,-1,0,7,0
880,1,1,13.112,5.126,1.23,0.48,1.23,0.48,INF,-1,0,7,0
900,1,1,13.561,5.432,1.27,0.51,1.27,0.51,INF,-1,0,7,0
920,1,1,12.568,4.649,1.17,0.43,1.17,0.43,INF,-1,0,7,0
940,1,1,18.344,2.706,1.71,0.25,1.71,0.25,INF,-1,0,7,0
960,1,1,-46.450,19.771,-4.33,1.84,-4.33,1.85,INF,-1,0,7,0
980,1,1,-39.993,19.647,-3.73,1.83,-3.73,1.84,INF,-1,0,7,0
1000,1,1,-41.003,21.041,-3.83,1.96,-3.82,1.97,INF,-1,0,7,0
1020,1,1,-41.807,19.486,-3.90,1.82,-3.90,1.82,INF,-1,0,7,0
1040,1,1,-41.121,19.364,-3.84,1.81,-3.84,1.81,INF,-1,0,7,0
1060,1,1,-41.450,19.900,-3.87,1.86,-3.87,1.86,INF,-1,0,7,0
1080,1,1,-41.183,19.189,-3.84,1.79,-3.84,1.79,INF,-1,0,7,0
1100,1,1,-41.568,19.008,-3.88,1.77,-3.88,1.78,INF,-1,0,7,0
1120,1,1,-42.157,19.917,-3.93,1.86,-3.93,1.86,INF,-1,0,7,0
1140,1,1,-42.278,20.147,-3.95,1.88,-3.94,1.88,INF,-1,0,7,0
1160,1,1,-41.943,18.840,-3.91,1.76,-3.91,1.76,INF,-1,0,7,0
1180,1,1,-14.920,23.902,-1.39,2.23,-1.39,2.23,INF,-1,0,7,0
1200,1,1,12.492,28.033,1.17,2.62,1.17,2.62,INF,-1,0,7,0
1220,1,1,12.209,26.864,1.14,2.51,1.14,2.51,INF,-1,0,7,0
1240,1,1,11.170,28.243,1.04,2.64,1.04,2.64,INF,-1,0,7,0
1260,1,1,10.464,27.697,0.98,2.59,0.98,2.59,INF,-1,0,7,0
1280,1,1,10.576,27.890,0.99,2.60,0.99,2.61,INF,-1,0,7,0
1300,1,1,10.356,26.655,0.97,2.49,0.97,2.49,INF,-1,0,7,0
1320,1,1,11.299,27.038,1.06,2.53,1.05,2.53,INF,-1,0,7,0
1340,1,1,10.874,27.383,1.02,2.56,1.02,2.56,INF,-1,0,7,0
