"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.26171
CalibrationParameters_A12,0.09914
CalibrationParameters_A13,0.00815
CalibrationParameters_A21,0.06521
CalibrationParameters_A22,-1.27983
CalibrationParameters_A23,-0.04464
CalibrationParameters_A31,0.00006
CalibrationParameters_A32,0.00626
CalibrationParameters_E11,-0.18022
CalibrationParameters_E12,0.00012
CalibrationParameters_E21,0.00024
CalibrationParameters_E22,0.19978
CalibrationParameters_X,-21.26561
CalibrationParameters_Y,51.65584
CalibrationParameters_Rpc,85.60533
CalibrationParameters_MeanX,154.09870
CalibrationParameters_MeanY,120.58861
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.782,-1.891,-1.01,-0.18,-1.01,-0.18,INF,-1,0,7,0
20,1,1,-10.074,-1.750,-0.94,-0.16,-0.94,-0.16,INF,-1,0,7,0
40,1,1,-10.062,-3.097,-0.94,-0.29,-0.94,-0.29,INF,-1,0,7,0
60,1,1,-10.279,-1.325,-0.96,-0.12,-0.96,-0.12,INF,-1,0,7,0
80,1,1,-9.584,-0.899,-0.90,-0.08,-0.90,-0.08,INF,-1,0,7,0
100,1,1,-9.933,-1.780,-0.93,-0.17,-0.93,-0.17,INF,-1,0,7,0
120,1,1,-9.219,-1.280,-0.86,-0.12,-0.86,-0.12,INF,-1,0,7,0
140,1,1,-10.272,-1.667,-0.96,-0.16,-0.96,-0.16,INF,-1,0,7,0
160,1,1,-11.124,-2.200,-1.04,-0.21,-1.04,-0.21,INF,-1,0,7,0
180,1,1,-10.207,-1.817,-0.95,-0.17,-0.95,-0.17,INF,-1,0,7,0
200,1,1,-11.320,-3.244,-1.06,-0.30,-1.06,-0.30,INF,-1,0,7,0
220,1,1,-11.243,-1.226,-1.05,-0.11,-1.05,-0.11,INF,-1,0,7,0
240,1,1,-10.414,-2.981,-0.97,-0.28,-0.97,-0.28,INF,-1,0,7,0
260,1,1,-11.389,-2.438,-1.06,-0.23,-1.06,-0.23,INF,-1,0,7,0
280,1,1,-10.190,-3.132,-0.95,-0.29,-0.95,-0.29,INF,-1,1,7,0
300,1,1,-10.921,-2.002,-1.02,-0.19,-1.02,-0.19,INF,-1,1,7,0
320,1,1,-11.481,-3.912,-1.07,-0.37,-1.07,-0.37,INF,-1,1,7,0
340,1,1,-10.355,-2.506,-0.97,-0.23,-0.97,-0.23,INF,-1,1,7,0
360,1,1,-10.660,-5.051,-1.00,-0.47,-1.00,-0.47,INF,-1,1,7,0
380,1,1,-10.352,-3.620,-0.97,-0.34,-0.97,-0.34,INF,-1,1,7,0
400,1,1,-10.005,-4.062,-0.94,-0.38,-0.94,-0.38,INF,-1,1,7,0
420,1,1,-9.368,-4.724,-0.88,-0.44,-0.88,-0.44,INF,-1,1,7,0
440,1,1,-9.714,-2.704,-0.91,-0.25,-0.91,-0.25,INF,-1,1,7,0
460,1,1,-10.352,-3.083,-0.97,-0.29,-0.97,-0.29,INF,-1,1,7,0
480,1,1,-10.069,-3.107,-0.94,-0.29,-0.94,-0.29,INF,-1,1,7,0
500,1,1,-9.220,-4.352,-0.86,-0.41,-0.86,-0.41,INF,-1,1,7,0
520,1,1,-1.086,-9.682,-0.10,-0.90,-0.10,-0.90,INF,-1,1,7,0
540,1,1,41.657,-19.907,3.89,-1.86,3.89,-1.86,INF,-1,1,7,0
560,1,1,40.571,-18.586,3.79,-1.73,3.78,-1.74,INF,-1,0,7,0
580,1,1,40.550,-17.686,3.78,-1.65,3.78,-1.65,INF,-1,0,7,0
600,1,1,40.275,-18.090,3.76,-1.69,3.76,-1.69,INF,-1,0,7,0
620,1,1,40.824,-17.601,3.81,-1.64,3.81,-1.64,INF,-1,0,7,0
640,1,1,42.108,-17.569,3.93,-1.64,3.93,-1.64,INF,-1,0,7,0
660,1,1,41.699,-19.055,3.89,-1.78,3.89,-1.78,INF,-1,0,7,0
680,1,1,40.580,-18.804,3.79,-1.75,3.79,-1.76,INF,-1,0,7,0
700,1,1,40.915,-18.452,3.82,-1.72,3.82,-1.72,INF,-1,0,7,0
720,1,1,41.742,-19.079,3.90,-1.78,3.89,-1.78,INF,-1,0,7,0
740,1,1,41.185,-19.707,3.84,-1.84,3.84,-1.84,INF,-1,0,7,0
760,1,1,41.128,-19.039,3.84,-1.77,3.84,-1.78,INF,-1,0,7,0
780,1,1,41.181,-18.281,3.84,-1.70,3.84,-1.71,INF,-1,0,7,0
800,1,1,40.288,-18.745,3.76,-1.75,3.76,-1.75,INF,-1,0,7,0
820,1,1,40.052,-20.148,3.74,-1.88,3.74,-1.88,INF,-1,1,7,0
840,1,1,39.828,-18.142,3.72,-1.69,3.72,-1.70,INF,-1,1,7,0
860,1,1,40.645,-18.739,3.79,-1.75,3.79,-1.75,INF,-1,1,7,0
880,1,1,40.439,-19.702,3.77,-1.84,3.77,-1.84,INF,-1,1,7,0
900,1,1,40.015,-18.881,3.73,-1.76,3.73,-1.76,INF,-1,1,7,0
920,1,1,40.283,-20.380,3.76,-1.90,3.76,-1.90,INF,-1,1,7,0
940,1,1,37.112,-20.481,3.46,-1.91,3.46,-1.91,INF,-1,1,7,0
960,1,1,15.878,-17.008,1.48,-1.59,1.48,-1.59,INF,-1,1,7,0
980,1,1,15.670,-15.695,1.46,-1.47,1.46,-1.47,INF,-1,1,7,0
1000,1,1,15.786,-16.962,1.48,-1.58,1.47,-1.58,INF,-1,0,7,0
1020,1,1,15.288,-16.966,1.43,-1.58,1.43,-1.59,INF,-1,0,7,0
1040,1,1,15.468,-17.924,1.45,-1.67,1.44,-1.67,INF,-1,0,7,0
1060,1,1,15.502,-18.435,1.45,-1.72,1.45,-1.72,INF,-1,0,7,0
1080,1,1,16.055,-17.565,1.50,-1.64,1.50,-1.64,INF,-1,0,7,0
1100,1,1,15.916,-18.827,1.49,-1.76,1.49,-1.76,INF,-1,0,7,0
1120,1,1,16.469,-18.618,1.54,-1.74,1.54,-1.74,INF,-1,0,7,0
1140,1,1,17.187,-18.504,1.61,-1.73,1.61,-1.73,INF,-1,0,7,0
1160,1,1,-38.765,-0.623,-3.62,-0.06,-3.62,-0.06,INF,-1,0,7,0
1180,1,1,-37.959,-1.050,-3.54,-0.10,-3.54,-0.10,INF,-1,0,7,0
1200,1,1,-37.214,1.263,-3.47,0.12,-3.47,0.12,INF,-1,0,7,0
1220,1,1,-38.270,-0.157,-3.57,-0.01,-3.57,-0.01,INF,-1,0,7,0
1240,1,1,-37.966,-0.857,-3.54,-0.08,-3.54,-0.08,INF,-1,0,7,0
1260,1,1,-38.266,-2.176,-3.57,-0.20,-3.57,-0.20,INF,-1,0,7,0
1280,1,1,-38.129,-1.983,-3.56,-0.18,-3.56,-0.19,INF,-1,0,7,0
1300,1,1,-38.136,-2.530,-3.56,-0.24,-3.56,-0.24,INF,-1,0,7,0
1320,1,1,-38.276,-2.666,-3.57,-0.25,-3.57,-0.25,INF,-1,0,7,0
1340,1,1,-37.268,-2.169,-3.48,-0.20,-3.48,-0.20,INF,-1,0,7,0
1360,1,1,-37.903,-2.357,-3.54,-0.22,-3.54,-0.22,INF,-1,0,7,0
1380,1,1,-37.950,-0.927,-3.54,-0.09,-3.54,-0.09,INF,-1,0,7,0
1400,1,1,-37.895,-0.934,-3.54,-0.09,-3.54,-0.09,INF,-1,0,7,0
1420,1,1,-38.476,-1.843,-3.59,-0.17,-3.59,-0.17,INF,-1,0,7,0
1440,1,1,-37.492,-1.748,-3.50,-0.16,-3.50,-0.16,INF,-1,1,7,0
1460,1,1,-38.267,-0.459,-3.57,-0.04,-3.57,-0.04,INF,-1,1,7,0
1480,1,1,-37.383,-1.704,-3.49,-0.16,-3.49,-0.16,INF,-1,1,7,0
1500,1,1,-47.236,-7.073,-4.41,-0.66,-4.41,-0.66,INF,-1,1,7,0
1520,1,1,-56.522,-10.720,-5.27,-1.00,-5.27,-1.00,INF,-1,1,7,0
1540,1,1,-54.880,-10.304,-5.12,-0.96,-5.12,-0.96,INF,-1,0,7,0
1560,1,1,-54.967,-11.295,-5.12,-1.05,-5.12,-1.06,INF,-1,0,7,0
1580,1,1,-56.754,-11.355,-5.29,-1.06,-5.29,-1.06,INF,-1,0,7,0
1600,1,1,-55.162,-11.610,-5.14,-1.08,-5.14,-1.09,INF,-1,0,7,0
1620,1,1,-55.149,-12.226,-5.14,-1.14,-5.14,-1.14,INF,-1,0,7,0
1640,1,1,-55.893,-12.700,-5.21,-1.18,-5.21,-1.19,INF,-1,0,7,0
1660,1,1,-55.920,-12.386,-5.21,-1.15,-5.21,-1.16,INF,-1,0,7,0
1680,1,1,-55.654,-12.757,-5.19,-1.19,-5.19,-1.19,INF,-1,0,7,0
1700,1,1,-56.435,-12.155,-5.26,-1.13,-5.26,-1.14,INF,-1,0,7,0
1720,1,1,-56.013,-12.780,-5.22,-1.19,-5.22,-1.19,INF,-1,0,7,0
1740,1,1,-56.311,-12.423,-5.25,-1.16,-5.25,-1.16,INF,-1,0,7,0
1760,1,1,-55.662,-13.134,-5.19,-1.22,-5.19,-1.23,INF,-1,0,7,0
1780,1,1,-55.837,-12.804,-5.20,-1.19,-5.20,-1.20,INF,-1,1,7,0
1800,1,1,-45.677,-8.628,-4.26,-0.80,-4.26,-0.81,INF,-1,1,7,0
1820,1,1,-43.174,-2.870,-4.03,-0.27,-4.03,-0.27,INF,-1,1,7,0
1840,1,1,-42.008,-2.471,-3.92,-0.23,-3.92,-0.23,INF,-1,0,7,0
1860,1,1,-41.477,-2.218,-3.87,-0.21,-3.87,-0.21,INF,-1,0,7,0
1880,1,1,-42.113,-2.937,-3.93,-0.27,-3.93,-0.27,INF,-1,0,7,0
1900,1,1,-42.420,-2.909,-3.96,-0.27,-3.96,-0.27,INF,-1,0,7,0
1920,1,1,-41.801,-2.661,-3.90,-0.25,-3.90,-0.25,INF,-1,0,7,0
1940,1,1,-41.796,-2.316,-3.90,-0.22,-3.90,-0.22,INF,-1,0,7,0
1960,1,1,-41.943,-1.720,-3.91,-0.16,-3.91,-0.16,INF,-1,0,7,0
1980,1,1,-41.877,-2.320,-3.91,-0.22,-3.91,-0.22,INF,-1,0,7,0
2000,1,1,-42.205,-2.636,-3.94,-0.25,-3.94,-0.25,INF,-1,0,7,0
2020,1,1,-41.982,-2.530,-3.92,-0.24,-3.92,-0.24,INF,-1,0,7,0
2040,1,1,-40.573,-3.213,-3.79,-0.30,-3.79,-0.30,INF,-1,0,7,0
2060,1,1,-43.438,-5.455,-4.05,-0.51,-4.05,-0.51,INF,-1,0,7,0
2080,1,1,-62.226,-17.274,-5.80,-1.61,-5.79,-1.61,INF,-1,1,7,0
2100,1,1,-60.415,-17.324,-5.63,-1.61,-5.63,-1.62,INF,-1,1,7,0
2120,1,1,-60.374,-16.080,-5.62,-1.50,-5.62,-1.50,INF,-1,0,7,0
2140,1,1,-60.462,-16.023,-5.63,-1.49,-5.63,-1.50,INF,-1,0,7,0
2160,1,1,-60.552,-16.847,-5.64,-1.57,-5.64,-1.57,INF,-1,0,7,0
2180,1,1,-61.078,-15.558,-5.69,-1.45,-5.69,-1.45,INF,-1,0,7,0
2200,1,1,-60.666,-16.659,-5.65,-1.55,-5.65,-1.56,INF,-1,0,7,0
2220,1,1,-61.086,-16.324,-5.69,-1.52,-5.69,-1.53,INF,-1,0,7,0
2240,1,1,-60.763,-17.780,-5.66,-1.65,-5.66,-1.66,INF,-1,0,7,0
2260,1,1,-59.944,-18.657,-5.59,-1.74,-5.58,-1.74,INF,-1,0,7,0
2280,1,1,-59.951,-18.684,-5.59,-1.74,-5.58,-1.75,INF,-1,0,7,0
2300,1,1,-60.166,-18.146,-5.61,-1.69,-5.60,-1.70,INF,-1,0,7,0
2320,1,1,-64.109,-19.153,-5.97,-1.78,-5.97,-1.79,INF,-1,0,7,0
2340,1,1,-4.053,-20.971,-0.38,-1.96,-0.38,-1.96,INF,-1,0,7,0
2360,1,1,-7.226,-19.064,-0.68,-1.78,-0.68,-1.78,INF,-1,0,7,0
2380,1,1,-6.817,-18.205,-0.64,-1.70,-0.64,-1.70,INF,-1,0,7,0
2400,1,1,-7.084,-18.970,-0.66,-1.77,-0.66,-1.77,INF,-1,0,7,0
2420,1,1,-6.858,-18.369,-0.64,-1.72,-0.64,-1.72,INF,-1,0,7,0
2440,1,1,-6.696,-18.716,-0.63,-1.75,-0.63,-1.75,INF,-1,0,7,0
2460,1,1,-7.638,-18.388,-0.71,-1.72,-0.71,-1.72,INF,-1,0,7,0
2480,1,1,-6.516,-18.576,-0.61,-1.74,-0.61,-1.74,INF,-1,0,7,0
2500,1,1,-5.954,-19.319,-0.56,-1.80,-0.56,-1.81,INF,-1,0,7,0
2520,1,1,-6.415,-19.834,-0.60,-1.85,-0.60,-1.85,INF,-1,0,7,0
2540,1,1,-6.304,-18.721,-0.59,-1.75,-0.59,-1.75,INF,-1,0,7,0
2560,1,1,-6.108,-18.229,-0.57,-1.70,-0.57,-1.70,INF,-1,0,7,0
2580,1,1,-7.030,-17.873,-0.66,-1.67,-0.66,-1.67,INF,-1,1,7,0
2600,1,1,-7.288,-18.204,-0.68,-1.70,-0.68,-1.70,INF,-1,1,7,0
2620,1,1,-6.017,-18.760,-0.56,-1.75,-0.56,-1.75,INF,-1,1,7,0
2640,1,1,-7.064,-18.246,-0.66,-1.70,-0.66,-1.70,INF,-1,1,7,0
2660,1,1,-5.979,-18.965,-0.56,-1.77,-0.56,-1.77,INF,-1,1,7,0
2680,1,1,-5.769,-18.821,-0.54,-1.76,-0.54,-1.76,INF,-1,1,7,0
2700,1,1,-5.707,-19.637,-0.53,-1.83,-0.53,-1.83,INF,-1,1,7,0
2720,1,1,-7.254,-23.587,-0.68,-2.20,-0.68,-2.20,INF,-1,1,7,0
2740,1,1,56.306,-23.655,5.25,-2.20,5.24,-2.21,INF,-1,1,7,0
2760,1,1,49.427,-23.054,4.61,-2.15,4.61,-2.15,INF,-1,1,7,0
2780,1,1,48.978,-23.504,4.57,-2.19,4.56,-2.20,INF,-1,0,7,0
2800,1,1,47.917,-24.900,4.47,-2.32,4.47,-2.33,INF,-1,0,7,0
2820,1,1,49.254,-24.750,4.59,-2.30,4.59,-2.31,INF,-1,0,7,0
2840,1,1,47.692,-23.114,4.45,-2.15,4.45,-2.16,INF,-1,0,7,0
2860,1,1,48.547,-23.628,4.53,-2.20,4.52,-2.21,INF,-1,0,7,0
2880,1,1,47.557,-24.014,4.44,-2.24,4.43,-2.24,INF,-1,0,7,0
2900,1,1,46.854,-23.501,4.37,-2.19,4.37,-2.20,INF,-1,0,7,0
2920,1,1,47.922,-23.146,4.47,-2.16,4.47,-2.16,INF,-1,0,7,0
2940,1,1,47.431,-24.416,4.42,-2.27,4.42,-2.28,INF,-1,0,7,0
2960,1,1,48.007,-23.812,4.48,-2.22,4.47,-2.22,INF,-1,0,7,0
2980,1,1,48.054,-24.494,4.48,-2.28,4.48,-2.29,INF,-1,0,7,0
3000,1,1,48.044,-24.579,4.48,-2.29,4.48,-2.30,INF,-1,0,7,0
3020,1,1,47.656,-23.612,4.45,-2.20,4.44,-2.21,INF,-1,1,7,0
3040,1,1,47.868,-24.628,4.47,-2.29,4.46,-2.30,INF,-1,1,7,0
3060,1,1,46.864,-24.674,4.37,-2.30,4.37,-2.30,INF,-1,1,7,0
3080,1,1,46.651,-23.918,4.35,-2.23,4.35,-2.23,INF,-1,1,7,0
3100,1,1,47.437,-23.692,4.43,-2.21,4.42,-2.21,INF,-1,1,7,0
3120,1,1,47.107,-23.436,4.39,-2.18,4.39,-2.19,INF,-1,1,7,0
3140,1,1,46.951,-23.034,4.38,-2.15,4.38,-2.15,INF,-1,1,7,0
3160,1,1,46.792,-23.227,4.37,-2.16,4.36,-2.17,INF,-1,1,7,0
3180,1,1,46.553,-24.282,4.34,-2.26,4.34,-2.27,INF,-1,1,7,0
3200,1,1,48.324,-26.632,4.51,-2.48,4.50,-2.49,INF,-1,1,7,0
3220,1,1,-13.788,-3.753,-1.29,-0.35,-1.29,-0.35,INF,-1,1,7,0
3240,1,1,-37.214,2.438,-3.47,0.23,-3.47,0.23,INF,-1,1,7,0
3260,1,1,-35.912,3.572,-3.35,0.33,-3.35,0.33,INF,-1,0,7,0
3280,1,1,-36.034,1.542,-3.36,0.14,-3.36,0.14,INF,-1,0,7,0
3300,1,1,-36.596,1.686,-3.42,0.16,-3.42,0.16,INF,-1,0,7,0
3320,1,1,-36.952,1.639,-3.45,0.15,-3.45,0.15,INF,-1,0,7,0
3340,1,1,-37.218,0.840,-3.47,0.08,-3.47,0.08,INF,-1,0,7,0
3360,1,1,-37.327,0.338,-3.48,0.03,-3.48,0.03,INF,-1,0,7,0
3380,1,1,-37.312,0.802,-3.48,0.07,-3.48,0.07,INF,-1,0,7,0
3400,1,1,-37.326,0.122,-3.48,0.01,-3.48,0.01,INF,-1,0,7,0
3420,1,1,-36.610,1.021,-3.42,0.10,-3.42,0.10,INF,-1,0,7,0
3440,1,1,-37.856,1.929,-3.53,0.18,-3.53,0.18,INF,-1,0,7,0
3460,1,1,-41.407,0.836,-3.86,0.08,-3.86,0.08,INF,-1,0,7,0
3480,1,1,-41.101,1.205,-3.84,0.11,-3.84,0.11,INF,-1,0,7,0
3500,1,1,-40.690,2.062,-3.80,0.19,-3.80,0.19,INF,-1,0,7,0
3520,1,1,-40.918,0.973,-3.82,0.09,-3.82,0.09,INF,-1,1,7,0
3540,1,1,-40.814,1.632,-3.81,0.15,-3.81,0.15,INF,-1,1,7,0
3560,1,1,-41.119,1.420,-3.84,0.13,-3.84,0.13,INF,-1,1,7,0
3580,1,1,-40.810,1.848,-3.81,0.17,-3.81,0.17,INF,-1,1,7,0
3600,1,1,-41.759,0.880,-3.90,0.08,-3.90,0.08,INF,-1,1,7,0
3620,1,1,-40.606,2.072,-3.79,0.19,-3.79,0.19,INF,-1,1,7,0
3640,1,1,-41.620,0.462,-3.88,0.04,-3.88,0.04,INF,-1,1,7,0
3660,1,1,-40.670,0.810,-3.80,0.08,-3.80,0.08,INF,-1,1,7,0
3680,1,1,-41.193,-0.961,-3.84,-0.09,-3.84,-0.09,INF,-1,1,7,0
3700,1,1,-41.235,-0.149,-3.85,-0.01,-3.85,-0.01,INF,-1,1,7,0
3720,1,1,-40.352,1.966,-3.77,0.18,-3.77,0.18,INF,-1,1,7,0
3740,1,1,-41.167,-0.545,-3.84,-0.05,-3.84,-0.05,INF,-1,1,7,0
3760,1,1,-18.636,-7.620,-1.74,-0.71,-1.74,-0.71,INF,-1,1,7,0
3780,1,1,-21.738,-8.549,-2.03,-0.80,-2.03,-0.80,INF,-1,1,7,0
3800,1,1,-20.918,-8.704,-1.95,-0.81,-1.95,-0.81,INF,-1,0,7,0
3820,1,1,-20.117,-8.421,-1.88,-0.79,-1.88,-0.79,INF,-1,0,7,0
3840,1,1,-20.418,-6.834,-1.91,-0.64,-1.91,-0.64,INF,-1,0,7,0
3860,1,1,-21.271,-9.239,-1.99,-0.86,-1.99,-0.86,INF,-1,0,7,0
3880,1,1,-19.795,-7.728,-1.85,-0.72,-1.85,-0.72,INF,-1,0,7,0
3900,1,1,-21.153,-9.107,-1.98,-0.85,-1.98,-0.85,INF,-1,0,7,0
3920,1,1,-21.037,-9.009,-1.97,-0.84,-1.97,-0.84,INF,-1,0,7,0
3940,1,1,-20.799,-9.632,-1.94,-0.90,-1.94,-0.90,INF,-1,0,7,0
3960,1,1,-20.044,-8.496,-1.87,-0.79,-1.87,-0.79,INF,-1,0,7,0
3980,1,1,-19.646,-9.010,-1.84,-0.84,-1.84,-0.84,INF,-1,0,7,0
4000,1,1,-20.003,-8.711,-1.87,-0.81,-1.87,-0.81,INF,-1,0,7,0
4020,1,1,-19.628,-9.069,-1.83,-0.85,-1.83,-0.85,INF,-1,0,7,0
4040,1,1,-20.357,-8.333,-1.90,-0.78,-1.90,-0.78,INF,-1,1,7,0
4060,1,1,-20.906,-9.084,-1.95,-0.85,-1.95,-0.85,INF,-1,1,7,0
4080,1,1,-19.864,-9.421,-1.86,-0.88,-1.86,-0.88,INF,-1,1,7,0
4100,1,1,-20.903,-8.738,-1.95,-0.82,-1.95,-0.82,INF,-1,1,7,0
4120,1,1,-19.958,-8.679,-1.86,-0.81,-1.86,-0.81,INF,-1,1,7,0
4140,1,1,-20.427,-10.063,-1.91,-0.94,-1.91,-0.94,INF,-1,1,7,0
4160,1,1,-20.658,-8.298,-1.93,-0.78,-1.93,-0.78,INF,-1,1,7,0
4180,1,1,-20.600,-8.764,-1.92,-0.82,-1.92,-0.82,INF,-1,1,7,0
4200,1,1,-38.028,-11.927,-3.55,-1.11,-3.55,-1.11,INF,-1,1,7,0
4220,1,1,-38.490,-10.233,-3.59,-0.95,-3.59,-0.96,INF,-1,1,7,0
4240,1,1,-37.684,-10.548,-3.52,-0.98,-3.52,-0.99,INF,-1,0,7,0
4260,1,1,-38.773,-10.525,-3.62,-0.98,-3.62,-0.98,INF,-1,0,7,0
4280,1,1,-37.355,-9.624,-3.49,-0.90,-3.49,-0.90,INF,-1,0,7,0
4300,1,1,-37.490,-9.884,-3.50,-0.92,-3.50,-0.92,INF,-1,0,7,0
4320,1,1,-38.500,-9.467,-3.59,-0.88,-3.59,-0.88,INF,-1,0,7,0
4340,1,1,-37.971,-10.538,-3.54,-0.98,-3.54,-0.98,INF,-1,0,7,0
4360,1,1,-37.045,-9.997,-3.46,-0.93,-3.46,-0.93,INF,-1,0,7,0
4380,1,1,-38.673,-9.381,-3.61,-0.88,-3.61,-0.88,INF,-1,0,7,0
4400,1,1,-38.386,-9.385,-3.58,-0.88,-3.58,-0.88,INF,-1,0,7,0
4420,1,1,-38.217,-10.057,-3.57,-0.94,-3.57,-0.94,INF,-1,0,7,0
4440,1,1,-38.200,-8.969,-3.57,-0.84,-3.57,-0.84,INF,-1,0,7,0
4460,1,1,-36.477,-9.342,-3.41,-0.87,-3.41,-0.87,INF,-1,0,7,0
4480,1,1,-38.278,-9.709,-3.57,-0.91,-3.57,-0.91,INF,-1,1,7,0
4500,1,1,-36.668,-9.599,-3.42,-0.90,-3.42,-0.90,INF,-1,1,7,0
4520,1,1,-37.522,-9.117,-3.50,-0.85,-3.50,-0.85,INF,-1,1,7,0
4540,1,1,-37.655,-8.981,-3.52,-0.84,-3.51,-0.84,INF,-1,1,7,0
4560,1,1,-37.643,-10.596,-3.51,-0.99,-3.51,-0.99,INF,-1,1,7,0
4580,1,1,-38.365,-9.362,-3.58,-0.87,-3.58,-0.87,INF,-1,1,7,0
4600,1,1,-37.736,-9.295,-3.52,-0.87,-3.52,-0.87,INF,-1,1,7,0
4620,1,1,-37.569,-10.631,-3.51,-0.99,-3.51,-0.99,INF,-1,1,7,0
4640,1,1,-37.009,-8.621,-3.45,-0.80,-3.45,-0.81,INF,-1,1,7,0
4660,1,1,-38.355,-9.008,-3.58,-0.84,-3.58,-0.84,INF,-1,1,7,0
4680,1,1,-36.573,-8.842,-3.41,-0.82,-3.41,-0.83,INF,-1,1,7,0
4700,1,1,-41.327,0.722,-3.86,0.07,-3.86,0.07,INF,-1,1,7,0
4720,1,1,-41.226,0.710,-3.85,0.07,-3.85,0.07,INF,-1,1,7,0
4740,1,1,-40.952,-0.209,-3.82,-0.02,-3.82,-0.02,INF,-1,0,7,0
4760,1,1,-40.182,-0.268,-3.75,-0.02,-3.75,-0.03,INF,-1,0,7,0
4780,1,1,-40.308,-0.630,-3.76,-0.06,-3.76,-0.06,INF,-1,0,7,0
4800,1,1,-40.824,0.403,-3.81,0.04,-3.81,0.04,INF,-1,0,7,0
4820,1,1,-41.341,-1.028,-3.86,-0.10,-3.86,-0.10,INF,-1,0,7,0
4840,1,1,-40.778,-1.119,-3.81,-0.10,-3.81,-0.10,INF,-1,0,7,0
4860,1,1,-40.527,-0.392,-3.78,-0.04,-3.78,-0.04,INF,-1,0,7,0
4880,1,1,-41.638,-1.232,-3.89,-0.11,-3.89,-0.12,INF,-1,0,7,0
4900,1,1,-41.494,-1.174,-3.87,-0.11,-3.87,-0.11,INF,-1,0,7,0
4920,1,1,-39.829,-0.193,-3.72,-0.02,-3.72,-0.02,INF,-1,0,7,0
4940,1,1,-39.552,-0.168,-3.69,-0.02,-3.69,-0.02,INF,-1,0,7,0
4960,1,1,-39.799,-0.670,-3.71,-0.06,-3.71,-0.06,INF,-1,0,7,0
4980,1,1,-40.078,-0.183,-3.74,-0.02,-3.74,-0.02,INF,-1,1,7,0
5000,1,1,-38.303,-1.127,-3.58,-0.11,-3.58,-0.11,INF,-1,1,7,0
5020,1,1,-39.672,-1.518,-3.70,-0.14,-3.70,-0.14,INF,-1,1,7,0
5040,1,1,-40.084,-0.563,-3.74,-0.05,-3.74,-0.05,INF,-1,1,7,0
5060,1,1,-16.626,-13.718,-1.55,-1.28,-1.55,-1.28,INF,-1,1,7,0
5080,1,1,-15.815,-14.429,-1.48,-1.35,-1.48,-1.35,INF,-1,1,7,0
5100,1,1,-17.545,-14.248,-1.64,-1.33,-1.64,-1.33,INF,-1,0,7,0
5120,1,1,-18.097,-12.911,-1.69,-1.21,-1.69,-1.21,INF,-1,0,7,0
5140,1,1,-17.625,-14.529,-1.65,-1.36,-1.65,-1.36,INF,-1,0,7,0
5160,1,1,-17.166,-13.444,-1.60,-1.26,-1.60,-1.26,INF,-1,0,7,0
5180,1,1,-17.213,-13.883,-1.61,-1.30,-1.61,-1.30,INF,-1,0,7,0
5200,1,1,-17.030,-14.130,-1.59,-1.32,-1.59,-1.32,INF,-1,0,7,0
5220,1,1,-17.106,-13.158,-1.60,-1.23,-1.60,-1.23,INF,-1,0,7,0
5240,1,1,-16.470,-13.604,-1.54,-1.27,-1.54,-1.27,INF,-1,0,7,0
5260,1,1,-17.323,-13.072,-1.62,-1.22,-1.62,-1.22,INF,-1,0,7,0
5280,1,1,-17.655,-14.204,-1.65,-1.33,-1.65,-1.33,INF,-1,0,7,0
5300,1,1,-15.523,-13.986,-1.45,-1.31,-1.45,-1.31,INF,-1,0,7,0
5320,1,1,-16.701,-14.439,-1.56,-1.35,-1.56,-1.35,INF,-1,0,7,0
5340,1,1,-16.647,-13.689,-1.56,-1.28,-1.56,-1.28,INF,-1,1,7,0
5360,1,1,-16.863,-13.395,-1.58,-1.25,-1.58,-1.25,INF,-1,1,7,0
5380,1,1,-15.930,-12.368,-1.49,-1.16,-1.49,-1.16,INF,-1,1,7,0
5400,1,1,-16.366,-14.284,-1.53,-1.33,-1.53,-1.33,INF,-1,1,7,0
