"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.17686
CalibrationParameters_A12,0.07611
CalibrationParameters_A13,0.00568
CalibrationParameters_A21,0.07208
CalibrationParameters_A22,-1.22559
CalibrationParameters_A23,-0.01035
CalibrationParameters_A31,0.00003
CalibrationParameters_A32,0.00179
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,-0.00024
CalibrationParameters_E22,0.19986
CalibrationParameters_X,-20.95215
CalibrationParameters_Y,43.67265
CalibrationParameters_Rpc,80.00542
CalibrationParameters_MeanX,133.15373
CalibrationParameters_MeanY,107.82073
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,17.482,-11.017,1.63,-1.03,1.63,-1.03,INF,-1,0,7,0
20,1,1,19.691,-10.130,1.84,-0.95,1.84,-0.95,INF,-1,0,7,0
40,1,1,18.403,-9.432,1.72,-0.88,1.72,-0.88,INF,-1,0,7,0
60,1,1,17.696,-11.023,1.65,-1.03,1.65,-1.03,INF,-1,0,7,0
80,1,1,17.646,-9.839,1.65,-0.92,1.65,-0.92,INF,-1,0,7,0
100,1,1,16.127,-11.167,1.51,-1.04,1.51,-1.04,INF,-1,0,7,0
120,1,1,17.238,-9.891,1.61,-0.92,1.61,-0.92,INF,-1,0,7,0
140,1,1,17.279,-10.424,1.61,-0.97,1.61,-0.97,INF,-1,0,7,0
160,1,1,18.500,-10.758,1.73,-1.00,1.73,-1.01,INF,-1,0,7,0
180,1,1,18.276,-9.894,1.71,-0.92,1.71,-0.92,INF,-1,0,7,0
200,1,1,17.386,-10.445,1.62,-0.98,1.62,-0.98,INF,-1,0,7,0
220,1,1,17.480,-9.330,1.63,-0.87,1.63,-0.87,INF,-1,0,7,0
240,1,1,18.273,-10.229,1.71,-0.96,1.71,-0.96,INF,-1,0,7,0
260,1,1,-3.177,21.919,-0.30,2.05,-0.30,2.05,INF,-1,0,7,0
280,1,1,-1.798,21.626,-0.17,2.02,-0.17,2.02,INF,-1,1,7,0
300,1,1,-1.677,21.580,-0.16,2.02,-0.16,2.02,INF,-1,0,7,0
320,1,1,-1.995,21.218,-0.19,1.98,-0.19,1.98,INF,-1,0,7,0
340,1,1,-1.847,21.727,-0.17,2.03,-0.17,2.03,INF,-1,0,7,0
360,1,1,-2.455,22.423,-0.23,2.09,-0.23,2.09,INF,-1,0,7,0
380,1,1,-2.370,21.961,-0.22,2.05,-0.22,2.05,INF,-1,0,7,0
400,1,1,-2.575,22.931,-0.24,2.14,-0.24,2.14,INF,-1,0,7,0
420,1,1,-3.239,21.559,-0.30,2.01,-0.30,2.01,INF,-1,0,7,0
440,1,1,-2.059,21.363,-0.19,2.00,-0.19,2.00,INF,-1,0,7,0
460,1,1,-1.972,22.314,-0.18,2.08,-0.18,2.08,INF,-1,0,7,0
480,1,1,-3.307,22.895,-0.31,2.14,-0.31,2.14,INF,-1,0,7,0
