"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.23696
CalibrationParameters_A12,0.07971
CalibrationParameters_A13,0.07977
CalibrationParameters_A21,0.08378
CalibrationParameters_A22,-1.27376
CalibrationParameters_A23,-0.02820
CalibrationParameters_A31,0.00072
CalibrationParameters_A32,0.00572
CalibrationParameters_E11,-0.18010
CalibrationParameters_E12,0.00009
CalibrationParameters_E21,-0.00008
CalibrationParameters_E22,0.19973
CalibrationParameters_X,-21.97584
CalibrationParameters_Y,50.93804
CalibrationParameters_Rpc,84.03520
CalibrationParameters_MeanX,152.82118
CalibrationParameters_MeanY,124.47253
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,2.492,8.295,0.23,0.78,0.23,0.78,INF,-1,0,7,0
20,1,1,3.306,10.282,0.31,0.96,0.31,0.96,INF,-1,0,7,0
40,1,1,4.138,8.357,0.39,0.78,0.39,0.78,INF,-1,0,7,0
60,1,1,13.684,15.522,1.28,1.45,1.28,1.45,INF,-1,0,7,0
80,1,1,13.685,22.198,1.28,2.07,1.28,2.07,INF,-1,0,7,0
100,1,1,14.268,21.944,1.33,2.05,1.33,2.05,INF,-1,0,7,0
120,1,1,14.882,22.029,1.39,2.06,1.39,2.06,INF,-1,0,7,0
140,1,1,13.725,20.976,1.28,1.96,1.28,1.96,INF,-1,0,7,0
160,1,1,14.926,19.238,1.39,1.80,1.39,1.80,INF,-1,0,7,0
180,1,1,15.482,18.402,1.45,1.72,1.45,1.72,INF,-1,0,7,0
200,1,1,15.905,19.445,1.49,1.82,1.49,1.82,INF,-1,0,7,0
220,1,1,14.435,18.427,1.35,1.72,1.35,1.72,INF,-1,0,7,0
240,1,1,15.825,18.892,1.48,1.76,1.48,1.77,INF,-1,0,7,0
260,1,1,14.354,18.589,1.34,1.74,1.34,1.74,INF,-1,0,7,0
280,1,1,15.050,18.292,1.41,1.71,1.41,1.71,INF,-1,0,7,0
300,1,1,-10.052,-6.517,-0.94,-0.61,-0.94,-0.61,INF,-1,0,7,0
320,1,1,-0.615,-2.200,-0.06,-0.21,-0.06,-0.21,INF,-1,0,7,0
340,1,1,-1.492,-2.573,-0.14,-0.24,-0.14,-0.24,INF,-1,0,7,0
360,1,1,-1.623,-2.129,-0.15,-0.20,-0.15,-0.20,INF,-1,0,7,0
380,1,1,-2.784,-2.035,-0.26,-0.19,-0.26,-0.19,INF,-1,0,7,0
400,1,1,-1.761,-2.497,-0.16,-0.23,-0.16,-0.23,INF,-1,0,7,0
420,1,1,-2.225,-2.357,-0.21,-0.22,-0.21,-0.22,INF,-1,0,7,0
440,1,1,-1.619,-3.044,-0.15,-0.28,-0.15,-0.28,INF,-1,0,7,0
460,1,1,-2.173,-4.622,-0.20,-0.43,-0.20,-0.43,INF,-1,0,7,0
480,1,1,-1.728,-4.245,-0.16,-0.40,-0.16,-0.40,INF,-1,1,7,0
500,1,1,-1.758,-4.411,-0.16,-0.41,-0.16,-0.41,INF,-1,1,7,0
520,1,1,-2.935,-3.581,-0.27,-0.33,-0.27,-0.33,INF,-1,1,7,0
540,1,1,-2.458,-4.275,-0.23,-0.40,-0.23,-0.40,INF,-1,1,7,0
560,1,1,-2.056,-5.840,-0.19,-0.55,-0.19,-0.55,INF,-1,1,7,0
580,1,1,-2.145,-4.699,-0.20,-0.44,-0.20,-0.44,INF,-1,0,7,0
600,1,1,-1.921,-4.537,-0.18,-0.42,-0.18,-0.42,INF,-1,0,7,0
620,1,1,-2.057,-4.094,-0.19,-0.38,-0.19,-0.38,INF,-1,0,7,0
640,1,1,-15.047,-8.815,-1.41,-0.82,-1.41,-0.82,INF,-1,0,7,0
660,1,1,-29.258,-15.786,-2.73,-1.47,-2.73,-1.48,INF,-1,0,7,0
680,1,1,-26.238,-16.146,-2.45,-1.51,-2.45,-1.51,INF,-1,0,7,0
700,1,1,-27.534,-14.519,-2.57,-1.36,-2.57,-1.36,INF,-1,0,7,0
720,1,1,-27.400,-14.165,-2.56,-1.32,-2.56,-1.32,INF,-1,0,7,0
740,1,1,-27.959,-14.827,-2.61,-1.38,-2.61,-1.39,INF,-1,0,7,0
760,1,1,-28.131,-14.511,-2.63,-1.35,-2.63,-1.36,INF,-1,0,7,0
780,1,1,-28.864,-15.813,-2.70,-1.48,-2.69,-1.48,INF,-1,0,7,0
800,1,1,-28.085,-15.819,-2.62,-1.48,-2.62,-1.48,INF,-1,0,7,0
820,1,1,-28.147,-16.630,-2.63,-1.55,-2.63,-1.55,INF,-1,0,7,0
840,1,1,-28.552,-15.463,-2.67,-1.44,-2.67,-1.45,INF,-1,0,7,0
860,1,1,-28.294,-15.178,-2.64,-1.42,-2.64,-1.42,INF,-1,0,7,0
880,1,1,-28.045,-16.124,-2.62,-1.51,-2.62,-1.51,INF,-1,0,7,0
900,1,1,-28.492,-17.160,-2.66,-1.60,-2.66,-1.60,INF,-1,0,7,0
920,1,1,-28.697,-15.968,-2.68,-1.49,-2.68,-1.49,INF,-1,1,7,0
940,1,1,-29.098,-15.436,-2.72,-1.44,-2.72,-1.44,INF,-1,1,7,0
960,1,1,-28.957,-16.731,-2.70,-1.56,-2.70,-1.56,INF,-1,1,7,0
980,1,1,5.187,-4.458,0.48,-0.42,0.48,-0.42,INF,-1,1,7,0
1000,1,1,45.707,10.888,4.26,1.01,4.26,1.02,INF,-1,1,7,0
1020,1,1,40.710,12.037,3.80,1.12,3.80,1.12,INF,-1,0,7,0
1040,1,1,42.313,11.802,3.95,1.10,3.95,1.10,INF,-1,0,7,0
1060,1,1,42.097,10.797,3.93,1.01,3.93,1.01,INF,-1,0,7,0
1080,1,1,42.312,12.058,3.95,1.12,3.95,1.13,INF,-1,0,7,0
1100,1,1,43.885,11.529,4.09,1.07,4.09,1.08,INF,-1,0,7,0
1120,1,1,43.322,12.718,4.04,1.19,4.04,1.19,INF,-1,0,7,0
1140,1,1,43.152,13.446,4.03,1.25,4.03,1.26,INF,-1,0,7,0
1160,1,1,43.994,12.126,4.10,1.13,4.10,1.13,INF,-1,0,7,0
1180,1,1,43.826,12.415,4.09,1.16,4.09,1.16,INF,-1,0,7,0
1200,1,1,45.076,10.722,4.21,1.00,4.20,1.00,INF,-1,0,7,0
1220,1,1,44.028,11.493,4.11,1.07,4.11,1.07,INF,-1,0,7,0
1240,1,1,44.318,13.085,4.14,1.22,4.13,1.22,INF,-1,0,7,0
1260,1,1,45.211,12.229,4.22,1.14,4.22,1.14,INF,-1,0,7,0
1280,1,1,45.650,11.443,4.26,1.07,4.26,1.07,INF,-1,1,7,0
1300,1,1,45.112,11.093,4.21,1.03,4.21,1.04,INF,-1,1,7,0
1320,1,1,44.098,11.545,4.11,1.08,4.11,1.08,INF,-1,1,7,0
1340,1,1,44.264,12.261,4.13,1.14,4.13,1.15,INF,-1,1,7,0
1360,1,1,45.056,10.128,4.20,0.94,4.20,0.95,INF,-1,1,7,0
1380,1,1,45.559,10.636,4.25,0.99,4.25,0.99,INF,-1,1,7,0
