"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20902
CalibrationParameters_A12,0.08622
CalibrationParameters_A13,0.00154
CalibrationParameters_A21,0.08813
CalibrationParameters_A22,-1.25016
CalibrationParameters_A23,-0.01947
CalibrationParameters_A31,-0.00009
CalibrationParameters_A32,0.00375
CalibrationParameters_E11,-0.17995
CalibrationParameters_E12,-0.00031
CalibrationParameters_E21,-0.00028
CalibrationParameters_E22,0.20013
CalibrationParameters_X,-19.64073
CalibrationParameters_Y,48.43812
CalibrationParameters_Rpc,84.39873
CalibrationParameters_MeanX,136.88068
CalibrationParameters_MeanY,115.38680
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-15.458,-148.563,-1.44,-13.62,-1.40,-13.62,INF,-1,0,7,0
20,1,1,12.639,10.222,1.18,0.96,1.18,0.96,INF,-1,0,7,0
40,1,1,12.009,9.950,1.12,0.93,1.12,0.93,INF,-1,0,7,0
60,1,1,12.163,10.154,1.14,0.95,1.14,0.95,INF,-1,0,7,0
80,1,1,13.557,8.991,1.27,0.84,1.27,0.84,INF,-1,0,7,0
100,1,1,11.571,11.204,1.08,1.05,1.08,1.05,INF,-1,0,7,0
120,1,1,12.147,9.115,1.14,0.85,1.14,0.85,INF,-1,0,7,0
140,1,1,12.789,9.195,1.20,0.86,1.20,0.86,INF,-1,0,7,0
160,1,1,13.740,7.870,1.28,0.74,1.28,0.74,INF,-1,0,7,0
180,1,1,14.452,6.771,1.35,0.63,1.35,0.63,INF,-1,0,7,0
200,1,1,14.084,6.591,1.32,0.62,1.32,0.62,INF,-1,0,7,0
220,1,1,14.010,7.546,1.31,0.71,1.31,0.71,INF,-1,0,7,0
240,1,1,15.591,6.610,1.46,0.62,1.46,0.62,INF,-1,0,7,0
260,1,1,15.609,6.660,1.46,0.62,1.46,0.62,INF,-1,0,7,0
280,1,1,21.014,-18.689,1.96,-1.75,1.96,-1.75,INF,-1,0,7,0
300,1,1,22.423,-14.184,2.09,-1.32,2.09,-1.33,INF,-1,1,7,0
320,1,1,21.110,-15.643,1.97,-1.46,1.97,-1.46,INF,-1,0,7,0
340,1,1,22.556,-15.657,2.11,-1.46,2.11,-1.46,INF,-1,0,7,0
360,1,1,21.401,-17.224,2.00,-1.61,2.00,-1.61,INF,-1,0,7,0
380,1,1,22.129,-15.798,2.07,-1.48,2.07,-1.48,INF,-1,0,7,0
400,1,1,21.899,-16.115,2.05,-1.50,2.05,-1.51,INF,-1,0,7,0
420,1,1,21.108,-17.406,1.97,-1.63,1.97,-1.63,INF,-1,0,7,0
440,1,1,21.778,-16.557,2.03,-1.55,2.03,-1.55,INF,-1,0,7,0
460,1,1,20.593,-16.115,1.92,-1.50,1.92,-1.51,INF,-1,0,7,0
480,1,1,20.694,-16.164,1.93,-1.51,1.93,-1.51,INF,-1,0,7,0
500,1,1,19.631,-12.262,1.83,-1.15,1.83,-1.15,INF,-1,0,7,0
520,1,1,17.781,-10.452,1.66,-0.98,1.66,-0.98,INF,-1,0,7,0
540,1,1,18.659,-10.880,1.74,-1.02,1.74,-1.02,INF,-1,0,7,0
560,1,1,19.125,-10.608,1.79,-0.99,1.79,-0.99,INF,-1,1,7,0
580,1,1,19.355,-9.660,1.81,-0.90,1.81,-0.90,INF,-1,1,7,0
600,1,1,18.160,-10.761,1.70,-1.01,1.70,-1.01,INF,-1,1,7,0
620,1,1,18.032,-9.719,1.68,-0.91,1.68,-0.91,INF,-1,1,7,0
640,1,1,17.811,-9.904,1.66,-0.93,1.66,-0.93,INF,-1,1,7,0
660,1,1,17.489,-9.937,1.63,-0.93,1.63,-0.93,INF,-1,1,7,0
680,1,1,17.353,-10.172,1.62,-0.95,1.62,-0.95,INF,-1,1,7,0
700,1,1,18.781,-9.349,1.75,-0.87,1.75,-0.87,INF,-1,1,7,0
720,1,1,18.593,-9.795,1.74,-0.92,1.74,-0.92,INF,-1,1,7,0
740,1,1,17.453,-9.265,1.63,-0.87,1.63,-0.87,INF,-1,1,7,0
760,1,1,17.526,-9.280,1.64,-0.87,1.64,-0.87,INF,-1,1,7,0
780,1,1,19.851,-9.663,1.85,-0.90,1.85,-0.90,INF,-1,1,7,0
800,1,1,-36.425,-4.696,-3.40,-0.44,-3.40,-0.44,INF,-1,1,7,0
820,1,1,-28.286,-6.174,-2.64,-0.58,-2.64,-0.58,INF,-1,1,7,0
840,1,1,-29.023,-5.850,-2.71,-0.55,-2.71,-0.55,INF,-1,0,7,0
860,1,1,-29.392,-6.014,-2.75,-0.56,-2.74,-0.56,INF,-1,0,7,0
880,1,1,-30.753,-5.562,-2.87,-0.52,-2.87,-0.52,INF,-1,0,7,0
900,1,1,-31.364,-5.213,-2.93,-0.49,-2.93,-0.49,INF,-1,0,7,0
920,1,1,-31.288,-3.979,-2.92,-0.37,-2.92,-0.37,INF,-1,0,7,0
940,1,1,-31.284,-4.835,-2.92,-0.45,-2.92,-0.45,INF,-1,0,7,0
960,1,1,-32.166,-4.693,-3.00,-0.44,-3.00,-0.44,INF,-1,0,7,0
980,1,1,-31.646,-4.930,-2.96,-0.46,-2.96,-0.46,INF,-1,0,7,0
1000,1,1,-31.697,-5.898,-2.96,-0.55,-2.96,-0.55,INF,-1,0,7,0
1020,1,1,-30.772,-6.828,-2.87,-0.64,-2.87,-0.64,INF,-1,0,7,0
1040,1,1,-32.163,-5.972,-3.00,-0.56,-3.00,-0.56,INF,-1,0,7,0
1060,1,1,-31.548,-5.446,-2.95,-0.51,-2.95,-0.51,INF,-1,0,7,0
1080,1,1,-31.611,-5.274,-2.95,-0.49,-2.95,-0.49,INF,-1,1,7,0
1100,1,1,-31.797,-5.640,-2.97,-0.53,-2.97,-0.53,INF,-1,1,7,0
1120,1,1,-31.120,-5.051,-2.91,-0.47,-2.91,-0.47,INF,-1,1,7,0
1140,1,1,-31.845,-5.186,-2.97,-0.48,-2.97,-0.48,INF,-1,1,7,0
1160,1,1,-31.476,-4.801,-2.94,-0.45,-2.94,-0.45,INF,-1,1,7,0
1180,1,1,-30.336,-6.325,-2.83,-0.59,-2.83,-0.59,INF,-1,1,7,0
1200,1,1,-30.764,-4.947,-2.87,-0.46,-2.87,-0.46,INF,-1,1,7,0
