"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22883
CalibrationParameters_A12,0.10253
CalibrationParameters_A13,-0.00991
CalibrationParameters_A21,0.07165
CalibrationParameters_A22,-1.23589
CalibrationParameters_A23,-0.00314
CalibrationParameters_A31,-0.00019
CalibrationParameters_A32,0.00377
CalibrationParameters_E11,-0.17975
CalibrationParameters_E12,-0.00014
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.19984
CalibrationParameters_X,-19.25631
CalibrationParameters_Y,48.35464
CalibrationParameters_Rpc,84.32902
CalibrationParameters_MeanX,136.73164
CalibrationParameters_MeanY,116.02582
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-39.075,-135.502,-3.65,-12.44,-3.56,-12.46,INF,-1,0,7,0
20,1,1,-7.306,7.043,-0.68,0.66,-0.68,0.66,INF,-1,0,7,0
40,1,1,-8.116,6.420,-0.76,0.60,-0.76,0.60,INF,-1,0,7,0
60,1,1,-7.758,7.503,-0.73,0.70,-0.73,0.70,INF,-1,0,7,0
80,1,1,-7.888,7.095,-0.74,0.66,-0.74,0.66,INF,-1,0,7,0
100,1,1,-8.104,6.375,-0.76,0.60,-0.76,0.60,INF,-1,0,7,0
120,1,1,-7.641,6.804,-0.71,0.64,-0.71,0.64,INF,-1,0,7,0
140,1,1,-8.562,6.144,-0.80,0.57,-0.80,0.57,INF,-1,0,7,0
160,1,1,-8.152,4.248,-0.76,0.40,-0.76,0.40,INF,-1,0,7,0
180,1,1,-9.328,4.590,-0.87,0.43,-0.87,0.43,INF,-1,0,7,0
200,1,1,-9.816,5.329,-0.92,0.50,-0.92,0.50,INF,-1,0,7,0
220,1,1,-7.531,4.415,-0.70,0.41,-0.70,0.41,INF,-1,0,7,0
240,1,1,-5.526,-0.227,-0.52,-0.02,-0.52,-0.02,INF,-1,0,7,0
260,1,1,30.066,6.850,2.81,0.64,2.81,0.64,INF,-1,0,7,0
280,1,1,30.748,10.866,2.87,1.01,2.87,1.02,INF,-1,0,7,0
300,1,1,28.951,9.264,2.70,0.86,2.70,0.87,INF,-1,0,7,0
320,1,1,32.705,13.510,3.05,1.26,3.05,1.26,INF,-1,0,7,0
340,1,1,31.127,12.042,2.91,1.12,2.91,1.13,INF,-1,0,7,0
360,1,1,30.523,12.235,2.85,1.14,2.85,1.14,INF,-1,0,7,0
380,1,1,31.629,15.643,2.95,1.46,2.95,1.46,INF,-1,0,7,0
400,1,1,32.053,13.602,2.99,1.27,2.99,1.27,INF,-1,0,7,0
420,1,1,32.764,17.117,3.06,1.60,3.06,1.60,INF,-1,0,7,0
440,1,1,32.475,12.840,3.03,1.20,3.03,1.20,INF,-1,0,7,0
460,1,1,37.580,14.763,3.51,1.38,3.51,1.38,INF,-1,0,7,0
480,1,1,36.548,16.526,3.41,1.54,3.41,1.54,INF,-1,1,7,0
500,1,1,35.192,9.990,3.29,0.93,3.29,0.93,INF,-1,0,7,0
520,1,1,35.846,13.166,3.35,1.23,3.35,1.23,INF,-1,0,7,0
540,1,1,32.954,8.017,3.08,0.75,3.08,0.75,INF,-1,0,7,0
560,1,1,36.287,12.489,3.39,1.17,3.39,1.17,INF,-1,0,7,0
580,1,1,34.904,12.348,3.26,1.15,3.26,1.15,INF,-1,0,7,0
600,1,1,36.799,17.753,3.44,1.66,3.43,1.66,INF,-1,0,7,0
620,1,1,0.117,10.191,0.01,0.95,0.01,0.95,INF,-1,0,7,0
640,1,1,-33.191,22.798,-3.10,2.13,-3.10,2.13,INF,-1,0,7,0
660,1,1,-27.754,22.341,-2.59,2.09,-2.59,2.09,INF,-1,0,7,0
680,1,1,-29.242,23.466,-2.73,2.19,-2.73,2.19,INF,-1,0,7,0
700,1,1,-28.593,23.360,-2.67,2.18,-2.67,2.18,INF,-1,0,7,0
720,1,1,-28.501,23.895,-2.66,2.23,-2.66,2.23,INF,-1,0,7,0
740,1,1,-28.545,22.902,-2.67,2.14,-2.66,2.14,INF,-1,0,7,0
760,1,1,-29.705,24.338,-2.77,2.27,-2.77,2.27,INF,-1,0,7,0
780,1,1,-29.694,23.534,-2.77,2.20,-2.77,2.20,INF,-1,0,7,0
800,1,1,-30.169,23.146,-2.82,2.16,-2.82,2.16,INF,-1,0,7,0
820,1,1,-29.563,22.541,-2.76,2.10,-2.76,2.11,INF,-1,0,7,0
840,1,1,-29.154,23.267,-2.72,2.17,-2.72,2.17,INF,-1,0,7,0
860,1,1,-28.428,22.832,-2.66,2.13,-2.65,2.13,INF,-1,0,7,0
880,1,1,-25.722,21.986,-2.40,2.05,-2.40,2.05,INF,-1,0,7,0
900,1,1,-26.527,21.713,-2.48,2.03,-2.48,2.03,INF,-1,1,7,0
920,1,1,-26.868,22.161,-2.51,2.07,-2.51,2.07,INF,-1,1,7,0
940,1,1,-26.723,21.671,-2.50,2.02,-2.49,2.02,INF,-1,1,7,0
960,1,1,-26.355,22.004,-2.46,2.05,-2.46,2.06,INF,-1,1,7,0
980,1,1,-27.488,20.895,-2.57,1.95,-2.57,1.95,INF,-1,1,7,0
1000,1,1,-26.691,22.433,-2.49,2.09,-2.49,2.10,INF,-1,1,7,0
1020,1,1,-26.243,21.641,-2.45,2.02,-2.45,2.02,INF,-1,1,7,0
1040,1,1,-27.310,21.416,-2.55,2.00,-2.55,2.00,INF,-1,1,7,0
1060,1,1,-26.189,21.373,-2.45,2.00,-2.44,2.00,INF,-1,1,7,0
1080,1,1,-26.873,21.577,-2.51,2.01,-2.51,2.02,INF,-1,1,7,0
1100,1,1,-26.767,21.438,-2.50,2.00,-2.50,2.00,INF,-1,1,7,0
1120,1,1,-26.908,21.827,-2.51,2.04,-2.51,2.04,INF,-1,1,7,0
1140,1,1,-27.214,20.676,-2.54,1.93,-2.54,1.93,INF,-1,1,7,0
1160,1,1,-27.174,22.576,-2.54,2.11,-2.54,2.11,INF,-1,1,7,0
1180,1,1,-27.092,23.934,-2.53,2.23,-2.53,2.24,INF,-1,1,7,0
