"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.20871
CalibrationParameters_A12,0.08727
CalibrationParameters_A13,0.02202
CalibrationParameters_A21,0.05949
CalibrationParameters_A22,-1.22813
CalibrationParameters_A23,0.02032
CalibrationParameters_A31,0.00017
CalibrationParameters_A32,0.00307
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,0.00006
CalibrationParameters_E21,0.00017
CalibrationParameters_E22,0.19997
CalibrationParameters_X,-18.31815
CalibrationParameters_Y,47.27933
CalibrationParameters_Rpc,82.00259
CalibrationParameters_MeanX,134.13426
CalibrationParameters_MeanY,111.82457
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-18.708,-13.799,-1.75,-1.29,-1.75,-1.29,INF,-1,0,7,0
20,1,1,-19.075,-12.155,-1.78,-1.14,-1.78,-1.14,INF,-1,0,7,0
40,1,1,-19.574,-12.766,-1.83,-1.19,-1.83,-1.19,INF,-1,0,7,0
60,1,1,-17.834,-13.752,-1.67,-1.28,-1.67,-1.29,INF,-1,0,7,0
80,1,1,-19.166,-13.050,-1.79,-1.22,-1.79,-1.22,INF,-1,0,7,0
100,1,1,-18.938,-13.879,-1.77,-1.30,-1.77,-1.30,INF,-1,0,7,0
120,1,1,-18.597,-13.673,-1.74,-1.28,-1.74,-1.28,INF,-1,0,7,0
140,1,1,-18.183,-14.720,-1.70,-1.37,-1.70,-1.38,INF,-1,0,7,0
160,1,1,-18.218,-12.636,-1.70,-1.18,-1.70,-1.18,INF,-1,0,7,0
180,1,1,-18.328,-13.951,-1.71,-1.30,-1.71,-1.30,INF,-1,0,7,0
200,1,1,-17.748,-13.602,-1.66,-1.27,-1.66,-1.27,INF,-1,0,7,0
220,1,1,-17.351,-14.264,-1.62,-1.33,-1.62,-1.33,INF,-1,0,7,0
240,1,1,-17.602,-13.276,-1.64,-1.24,-1.64,-1.24,INF,-1,0,7,0
260,1,1,-17.816,-14.217,-1.66,-1.33,-1.66,-1.33,INF,-1,0,7,0
280,1,1,-18.238,-13.670,-1.70,-1.28,-1.70,-1.28,INF,-1,1,7,0
300,1,1,-18.260,-13.589,-1.71,-1.27,-1.71,-1.27,INF,-1,1,7,0
320,1,1,-18.522,-14.197,-1.73,-1.33,-1.73,-1.33,INF,-1,1,7,0
340,1,1,-17.708,-12.685,-1.65,-1.19,-1.65,-1.19,INF,-1,1,7,0
360,1,1,-17.755,-14.212,-1.66,-1.33,-1.66,-1.33,INF,-1,1,7,0
380,1,1,-18.578,-12.844,-1.74,-1.20,-1.74,-1.20,INF,-1,1,7,0
400,1,1,-18.528,-13.690,-1.73,-1.28,-1.73,-1.28,INF,-1,1,7,0
420,1,1,-12.610,-13.950,-1.18,-1.30,-1.18,-1.30,INF,-1,1,7,0
440,1,1,-2.883,-5.768,-0.27,-0.54,-0.27,-0.54,INF,-1,1,7,0
460,1,1,-3.659,-5.230,-0.34,-0.49,-0.34,-0.49,INF,-1,1,7,0
480,1,1,-3.356,-4.597,-0.31,-0.43,-0.31,-0.43,INF,-1,0,7,0
500,1,1,-3.412,-4.531,-0.32,-0.42,-0.32,-0.42,INF,-1,0,7,0
520,1,1,-4.553,-5.300,-0.43,-0.50,-0.43,-0.50,INF,-1,0,7,0
540,1,1,-3.685,-5.958,-0.34,-0.56,-0.34,-0.56,INF,-1,0,7,0
560,1,1,-3.064,-5.664,-0.29,-0.53,-0.29,-0.53,INF,-1,0,7,0
580,1,1,-2.820,-4.700,-0.26,-0.44,-0.26,-0.44,INF,-1,0,7,0
600,1,1,-3.633,-5.189,-0.34,-0.48,-0.34,-0.48,INF,-1,0,7,0
620,1,1,-3.668,-5.645,-0.34,-0.53,-0.34,-0.53,INF,-1,0,7,0
640,1,1,-2.921,-5.292,-0.27,-0.49,-0.27,-0.49,INF,-1,0,7,0
660,1,1,-2.544,-4.450,-0.24,-0.42,-0.24,-0.42,INF,-1,0,7,0
680,1,1,-2.087,-4.201,-0.20,-0.39,-0.20,-0.39,INF,-1,0,7,0
700,1,1,-2.165,-5.276,-0.20,-0.49,-0.20,-0.49,INF,-1,0,7,0
720,1,1,-1.814,-4.905,-0.17,-0.46,-0.17,-0.46,INF,-1,1,7,0
740,1,1,-1.726,-4.490,-0.16,-0.42,-0.16,-0.42,INF,-1,1,7,0
760,1,1,-2.528,-4.758,-0.24,-0.44,-0.24,-0.44,INF,-1,1,7,0
780,1,1,-2.575,-3.751,-0.24,-0.35,-0.24,-0.35,INF,-1,1,7,0
800,1,1,-2.307,-3.399,-0.22,-0.32,-0.22,-0.32,INF,-1,1,7,0
820,1,1,-2.692,-3.903,-0.25,-0.36,-0.25,-0.36,INF,-1,1,7,0
840,1,1,-3.163,-3.297,-0.30,-0.31,-0.30,-0.31,INF,-1,1,7,0
860,1,1,-2.512,-5.067,-0.23,-0.47,-0.23,-0.47,INF,-1,1,7,0
880,1,1,-1.690,-5.093,-0.16,-0.48,-0.16,-0.48,INF,-1,1,7,0
