"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.22569
CalibrationParameters_A12,0.08071
CalibrationParameters_A13,0.00072
CalibrationParameters_A21,0.08981
CalibrationParameters_A22,-1.25390
CalibrationParameters_A23,-0.01185
CalibrationParameters_A31,-0.00013
CalibrationParameters_A32,0.00431
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00025
CalibrationParameters_E22,0.20009
CalibrationParameters_X,-21.81930
CalibrationParameters_Y,49.35743
CalibrationParameters_Rpc,84.18159
CalibrationParameters_MeanX,142.61969
CalibrationParameters_MeanY,119.70158
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-3.256,5.317,-0.30,0.50,-0.30,0.50,INF,-1,0,7,0
20,1,1,-3.475,5.915,-0.32,0.55,-0.32,0.55,INF,-1,0,7,0
40,1,1,-2.259,6.729,-0.21,0.63,-0.21,0.63,INF,-1,0,7,0
60,1,1,-2.760,6.249,-0.26,0.58,-0.26,0.58,INF,-1,0,7,0
80,1,1,-2.444,5.205,-0.23,0.49,-0.23,0.49,INF,-1,0,7,0
100,1,1,-3.302,5.808,-0.31,0.54,-0.31,0.54,INF,-1,0,7,0
120,1,1,-2.757,4.477,-0.26,0.42,-0.26,0.42,INF,-1,0,7,0
140,1,1,-3.804,3.927,-0.36,0.37,-0.36,0.37,INF,-1,0,7,0
160,1,1,-2.283,3.306,-0.21,0.31,-0.21,0.31,INF,-1,0,7,0
180,1,1,-2.141,3.151,-0.20,0.29,-0.20,0.29,INF,-1,0,7,0
200,1,1,-2.870,3.036,-0.27,0.28,-0.27,0.28,INF,-1,0,7,0
220,1,1,-2.561,2.947,-0.24,0.28,-0.24,0.28,INF,-1,0,7,0
240,1,1,-2.827,2.344,-0.26,0.22,-0.26,0.22,INF,-1,0,7,0
260,1,1,-1.598,1.841,-0.15,0.17,-0.15,0.17,INF,-1,0,7,0
280,1,1,-2.133,2.074,-0.20,0.19,-0.20,0.19,INF,-1,1,7,0
300,1,1,-2.365,1.306,-0.22,0.12,-0.22,0.12,INF,-1,1,7,0
320,1,1,4.436,-2.243,0.41,-0.21,0.41,-0.21,INF,-1,1,7,0
340,1,1,9.410,-7.003,0.88,-0.65,0.88,-0.65,INF,-1,1,7,0
360,1,1,8.872,-5.413,0.83,-0.51,0.83,-0.51,INF,-1,1,7,0
380,1,1,8.675,-5.750,0.81,-0.54,0.81,-0.54,INF,-1,0,7,0
400,1,1,9.346,-6.537,0.87,-0.61,0.87,-0.61,INF,-1,0,7,0
420,1,1,9.059,-6.720,0.85,-0.63,0.85,-0.63,INF,-1,0,7,0
440,1,1,9.606,-4.934,0.90,-0.46,0.90,-0.46,INF,-1,0,7,0
460,1,1,8.624,-6.676,0.81,-0.62,0.81,-0.62,INF,-1,0,7,0
480,1,1,9.205,-5.816,0.86,-0.54,0.86,-0.54,INF,-1,0,7,0
500,1,1,9.978,-6.411,0.93,-0.60,0.93,-0.60,INF,-1,0,7,0
520,1,1,9.577,-6.574,0.90,-0.61,0.90,-0.61,INF,-1,0,7,0
540,1,1,9.166,-6.704,0.86,-0.63,0.86,-0.63,INF,-1,0,7,0
560,1,1,9.216,-6.262,0.86,-0.59,0.86,-0.59,INF,-1,0,7,0
580,1,1,9.815,-6.002,0.92,-0.56,0.92,-0.56,INF,-1,0,7,0
600,1,1,10.534,-6.361,0.98,-0.59,0.98,-0.59,INF,-1,0,7,0
620,1,1,11.613,-6.758,1.09,-0.63,1.09,-0.63,INF,-1,1,7,0
640,1,1,8.654,-5.728,0.81,-0.54,0.81,-0.54,INF,-1,1,7,0
660,1,1,10.160,-5.979,0.95,-0.56,0.95,-0.56,INF,-1,1,7,0
680,1,1,10.387,-6.757,0.97,-0.63,0.97,-0.63,INF,-1,1,7,0
700,1,1,11.297,-7.087,1.06,-0.66,1.06,-0.66,INF,-1,1,7,0
720,1,1,9.820,-5.831,0.92,-0.54,0.92,-0.54,INF,-1,1,7,0
740,1,1,10.051,-5.005,0.94,-0.47,0.94,-0.47,INF,-1,1,7,0
760,1,1,10.008,-6.197,0.94,-0.58,0.94,-0.58,INF,-1,1,7,0
780,1,1,10.113,-7.658,0.95,-0.72,0.95,-0.72,INF,-1,1,7,0
800,1,1,9.983,-7.421,0.93,-0.69,0.93,-0.69,INF,-1,1,7,0
820,1,1,10.485,-6.129,0.98,-0.57,0.98,-0.57,INF,-1,1,7,0
840,1,1,9.671,-6.426,0.90,-0.60,0.90,-0.60,INF,-1,1,7,0
860,1,1,10.002,-6.917,0.93,-0.65,0.93,-0.65,INF,-1,1,7,0
880,1,1,-3.785,-5.843,-0.35,-0.55,-0.35,-0.55,INF,-1,1,7,0
900,1,1,-3.465,-3.883,-0.32,-0.36,-0.32,-0.36,INF,-1,1,7,0
920,1,1,-3.741,-4.958,-0.35,-0.46,-0.35,-0.46,INF,-1,0,7,0
940,1,1,-4.608,-5.963,-0.43,-0.56,-0.43,-0.56,INF,-1,0,7,0
960,1,1,-4.833,-5.310,-0.45,-0.50,-0.45,-0.50,INF,-1,0,7,0
980,1,1,-4.416,-4.499,-0.41,-0.42,-0.41,-0.42,INF,-1,0,7,0
1000,1,1,-3.918,-6.016,-0.37,-0.56,-0.37,-0.56,INF,-1,0,7,0
1020,1,1,-5.286,-5.526,-0.49,-0.52,-0.49,-0.52,INF,-1,0,7,0
1040,1,1,-4.660,-5.438,-0.44,-0.51,-0.44,-0.51,INF,-1,0,7,0
1060,1,1,-4.875,-5.392,-0.46,-0.50,-0.46,-0.50,INF,-1,0,7,0
1080,1,1,-5.216,-6.083,-0.49,-0.57,-0.49,-0.57,INF,-1,0,7,0
1100,1,1,-4.191,-5.483,-0.39,-0.51,-0.39,-0.51,INF,-1,0,7,0
1120,1,1,-3.147,-5.988,-0.29,-0.56,-0.29,-0.56,INF,-1,0,7,0
1140,1,1,-5.009,-5.177,-0.47,-0.48,-0.47,-0.48,INF,-1,0,7,0
1160,1,1,-2.685,-6.124,-0.25,-0.57,-0.25,-0.57,INF,-1,1,7,0
1180,1,1,-3.429,-6.108,-0.32,-0.57,-0.32,-0.57,INF,-1,1,7,0
1200,1,1,-4.589,-5.261,-0.43,-0.49,-0.43,-0.49,INF,-1,1,7,0
1220,1,1,-4.490,-5.094,-0.42,-0.48,-0.42,-0.48,INF,-1,1,7,0
1240,1,1,-4.542,-5.554,-0.42,-0.52,-0.42,-0.52,INF,-1,1,7,0
1260,1,1,-4.577,-6.460,-0.43,-0.60,-0.43,-0.60,INF,-1,1,7,0
1280,1,1,-3.688,-5.695,-0.34,-0.53,-0.34,-0.53,INF,-1,1,7,0
1300,1,1,-2.858,-5.000,-0.27,-0.47,-0.27,-0.47,INF,-1,1,7,0
1320,1,1,-2.898,-5.075,-0.27,-0.47,-0.27,-0.47,INF,-1,1,7,0
1340,1,1,-3.215,-5.414,-0.30,-0.51,-0.30,-0.51,INF,-1,1,7,0
1360,1,1,-3.113,-6.270,-0.29,-0.59,-0.29,-0.59,INF,-1,1,7,0
1380,1,1,-2.734,-6.204,-0.26,-0.58,-0.26,-0.58,INF,-1,1,7,0
1400,1,1,-3.956,-5.112,-0.37,-0.48,-0.37,-0.48,INF,-1,1,7,0
1420,1,1,-3.440,-4.298,-0.32,-0.40,-0.32,-0.40,INF,-1,1,7,0
1440,1,1,-3.385,-5.979,-0.32,-0.56,-0.32,-0.56,INF,-1,1,7,0
1460,1,1,-2.918,-4.707,-0.27,-0.44,-0.27,-0.44,INF,-1,1,7,0
1480,1,1,-3.584,-5.705,-0.34,-0.53,-0.33,-0.53,INF,-1,1,7,0
1500,1,1,-3.771,-5.141,-0.35,-0.48,-0.35,-0.48,INF,-1,1,7,0
1520,1,1,-4.239,-5.217,-0.40,-0.49,-0.40,-0.49,INF,-1,1,7,0
1540,1,1,-2.350,-4.879,-0.22,-0.46,-0.22,-0.46,INF,-1,1,7,0
1560,1,1,-2.075,-4.794,-0.19,-0.45,-0.19,-0.45,INF,-1,1,7,0
1580,1,1,-6.293,-2.410,-0.59,-0.23,-0.59,-0.23,INF,-1,1,7,0
1600,1,1,-25.960,28.501,-2.42,2.66,-2.42,2.66,INF,-1,1,7,0
1620,1,1,-28.096,30.925,-2.62,2.89,-2.62,2.89,INF,-1,1,7,0
1640,1,1,-28.013,30.671,-2.62,2.86,-2.61,2.86,INF,-1,0,7,0
1660,1,1,-28.775,31.183,-2.69,2.91,-2.68,2.91,INF,-1,0,7,0
1680,1,1,-28.745,30.617,-2.68,2.86,-2.68,2.86,INF,-1,0,7,0
1700,1,1,-29.126,30.962,-2.72,2.89,-2.72,2.89,INF,-1,0,7,0
1720,1,1,-29.635,30.362,-2.77,2.83,-2.76,2.84,INF,-1,0,7,0
1740,1,1,-30.164,30.311,-2.82,2.83,-2.81,2.83,INF,-1,0,7,0
1760,1,1,-28.843,31.727,-2.69,2.96,-2.69,2.96,INF,-1,0,7,0
1780,1,1,-28.330,31.208,-2.65,2.91,-2.64,2.91,INF,-1,0,7,0
1800,1,1,-29.751,30.373,-2.78,2.83,-2.78,2.84,INF,-1,0,7,0
1820,1,1,-29.168,29.930,-2.72,2.79,-2.72,2.80,INF,-1,0,7,0
1840,1,1,-29.007,29.620,-2.71,2.76,-2.71,2.77,INF,-1,0,7,0
1860,1,1,-29.319,30.204,-2.74,2.82,-2.74,2.82,INF,-1,0,7,0
1880,1,1,-29.167,29.427,-2.72,2.75,-2.72,2.75,INF,-1,1,7,0
1900,1,1,-27.932,28.895,-2.61,2.70,-2.61,2.70,INF,-1,1,7,0
1920,1,1,-10.813,25.637,-1.01,2.39,-1.01,2.39,INF,-1,1,7,0
1940,1,1,12.594,17.126,1.18,1.60,1.18,1.60,INF,-1,1,7,0
1960,1,1,12.686,18.331,1.19,1.71,1.19,1.71,INF,-1,0,7,0
1980,1,1,12.305,19.646,1.15,1.84,1.15,1.84,INF,-1,0,7,0
2000,1,1,12.353,18.751,1.15,1.75,1.15,1.75,INF,-1,0,7,0
2020,1,1,13.130,17.689,1.23,1.65,1.23,1.65,INF,-1,0,7,0
2040,1,1,12.334,19.192,1.15,1.79,1.15,1.79,INF,-1,0,7,0
2060,1,1,12.162,18.363,1.14,1.72,1.14,1.72,INF,-1,0,7,0
2080,1,1,13.111,17.960,1.23,1.68,1.22,1.68,INF,-1,0,7,0
2100,1,1,12.461,18.269,1.16,1.71,1.16,1.71,INF,-1,0,7,0
2120,1,1,12.678,18.998,1.18,1.77,1.18,1.78,INF,-1,0,7,0
2140,1,1,14.068,18.826,1.31,1.76,1.31,1.76,INF,-1,0,7,0
2160,1,1,12.603,18.182,1.18,1.70,1.18,1.70,INF,-1,0,7,0
2180,1,1,18.188,15.106,1.70,1.41,1.70,1.41,INF,-1,0,7,0
2200,1,1,38.101,19.111,3.56,1.78,3.55,1.79,INF,-1,0,7,0
2220,1,1,37.176,19.029,3.47,1.77,3.47,1.78,INF,-1,1,7,0
2240,1,1,37.093,18.789,3.46,1.75,3.46,1.76,INF,-1,0,7,0
2260,1,1,37.476,19.968,3.50,1.86,3.50,1.87,INF,-1,0,7,0
