"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07326
CalibrationParameters_A12,0.04781
CalibrationParameters_A13,-0.00684
CalibrationParameters_A21,0.07299
CalibrationParameters_A22,-1.13151
CalibrationParameters_A23,-0.01909
CalibrationParameters_A31,0.00003
CalibrationParameters_A32,-0.00382
CalibrationParameters_E11,-0.18001
CalibrationParameters_E12,-0.00022
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19989
CalibrationParameters_X,-15.99998
CalibrationParameters_Y,-41.29426
CalibrationParameters_Rpc,91.84053
CalibrationParameters_MeanX,140.60301
CalibrationParameters_MeanY,149.46791
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,90.422,184.865,8.39,16.61,8.04,16.78,INF,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,-19.929,61.384,-1.86,5.72,-1.85,5.72,INF,-1,0,7,0
60,1,1,-20.379,60.539,-1.90,5.64,-1.89,5.64,INF,-1,0,7,0
80,1,1,-19.249,59.431,-1.80,5.53,-1.79,5.54,INF,-1,0,7,0
100,1,1,-17.778,59.952,-1.66,5.58,-1.65,5.59,INF,-1,0,7,0
120,1,1,-20.096,59.445,-1.88,5.54,-1.87,5.54,INF,-1,0,7,0
140,1,1,-20.193,58.484,-1.89,5.45,-1.88,5.45,INF,-1,0,7,0
160,1,1,-19.440,46.650,-1.82,4.35,-1.81,4.35,INF,-1,0,7,0
180,1,1,-32.395,14.979,-3.03,1.40,-3.02,1.40,INF,-1,0,7,0
200,1,1,-26.081,17.538,-2.44,1.64,-2.44,1.64,INF,-1,0,7,0
220,1,1,-30.639,16.198,-2.86,1.51,-2.86,1.51,INF,-1,0,7,0
240,1,1,-27.217,17.234,-2.54,1.61,-2.54,1.61,INF,-1,0,7,0
260,1,1,-27.378,15.593,-2.56,1.46,-2.56,1.46,INF,-1,0,7,0
280,1,1,-27.664,14.522,-2.58,1.36,-2.58,1.36,INF,-1,0,7,0
300,1,1,-28.057,16.999,-2.62,1.59,-2.62,1.59,INF,-1,0,7,0
320,1,1,-10.463,12.959,-0.98,1.21,-0.98,1.21,INF,-1,0,7,0
340,1,1,8.143,7.448,0.76,0.70,0.76,0.70,INF,-1,0,7,0
360,1,1,5.841,9.805,0.55,0.92,0.55,0.92,INF,-1,0,7,0
380,1,1,8.056,8.897,0.75,0.83,0.75,0.83,INF,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,1,1,7.404,10.745,0.69,1.00,0.69,1.00,INF,-1,0,7,0
440,1,1,10.443,10.382,0.98,0.97,0.98,0.97,INF,-1,0,7,0
460,1,1,8.676,7.548,0.81,0.71,0.81,0.71,INF,-1,0,7,0
480,1,1,9.224,10.195,0.86,0.95,0.86,0.95,INF,-1,0,7,0
500,1,1,8.784,10.009,0.82,0.94,0.82,0.94,INF,-1,0,7,0
520,1,1,8.470,9.464,0.79,0.88,0.79,0.88,INF,-1,0,7,0
540,1,1,7.197,9.995,0.67,0.93,0.67,0.93,INF,-1,0,7,0
560,1,1,9.984,8.980,0.93,0.84,0.93,0.84,INF,-1,0,7,0
580,1,1,0.615,6.036,0.06,0.56,0.06,0.56,INF,-1,1,7,0
600,1,1,0.448,5.252,0.04,0.49,0.04,0.49,INF,-1,1,7,0
620,1,1,-0.726,2.640,-0.07,0.25,-0.07,0.25,INF,-1,1,7,0
640,1,1,-0.898,4.254,-0.08,0.40,-0.08,0.40,INF,-1,1,7,0
660,1,1,1.625,4.612,0.15,0.43,0.15,0.43,INF,-1,1,7,0
680,1,1,-1.288,3.668,-0.12,0.34,-0.12,0.34,INF,-1,1,7,0
700,1,1,-0.843,1.747,-0.08,0.16,-0.08,0.16,INF,-1,1,7,0
720,1,1,0.797,2.089,0.07,0.20,0.07,0.20,INF,-1,1,7,0
740,1,1,-0.527,3.400,-0.05,0.32,-0.05,0.32,INF,-1,1,7,0
760,1,1,-0.602,3.508,-0.06,0.33,-0.06,0.33,INF,-1,1,7,0
780,1,1,-1.110,3.168,-0.10,0.30,-0.10,0.30,INF,-1,1,7,0
800,1,1,-1.591,3.324,-0.15,0.31,-0.15,0.31,INF,-1,1,7,0
820,1,1,1.111,0.066,0.10,0.01,0.10,0.01,INF,-1,1,7,0
840,1,1,0.082,3.254,0.01,0.30,0.01,0.30,INF,-1,1,7,0
860,1,1,0.049,2.030,0.00,0.19,0.00,0.19,INF,-1,1,7,0
880,1,1,0.826,2.488,0.08,0.23,0.08,0.23,INF,-1,1,7,0
900,1,1,0.727,2.316,0.07,0.22,0.07,0.22,INF,-1,1,7,0
920,1,1,-6.677,0.250,-0.62,0.02,-0.62,0.02,INF,-1,1,7,0
940,1,1,-10.349,-0.375,-0.97,-0.04,-0.97,-0.04,INF,-1,1,7,0
960,1,1,-10.712,-1.221,-1.00,-0.11,-1.00,-0.11,INF,-1,0,7,0
980,1,1,-12.312,-2.514,-1.15,-0.23,-1.15,-0.23,INF,-1,0,7,0
1000,1,1,-10.591,-2.225,-0.99,-0.21,-0.99,-0.21,INF,-1,0,7,0
1020,1,1,-11.461,-1.647,-1.07,-0.15,-1.07,-0.15,INF,-1,0,7,0
1040,1,1,-10.392,-3.108,-0.97,-0.29,-0.97,-0.29,INF,-1,0,7,0
1060,1,1,-11.160,-0.517,-1.04,-0.05,-1.04,-0.05,INF,-1,0,7,0
1080,1,1,-10.285,-3.418,-0.96,-0.32,-0.96,-0.32,INF,-1,0,7,0
1100,1,1,-11.138,-2.942,-1.04,-0.27,-1.04,-0.27,INF,-1,0,7,0
1120,1,1,-10.064,-3.688,-0.94,-0.34,-0.94,-0.34,INF,-1,0,7,0
1140,1,1,-16.046,-2.481,-1.50,-0.23,-1.50,-0.23,INF,-1,0,7,0
1160,1,1,-20.441,-3.791,-1.91,-0.35,-1.91,-0.35,INF,-1,0,7,0
1180,1,1,-16.494,-5.742,-1.54,-0.54,-1.54,-0.54,INF,-1,0,7,0
1200,1,1,-17.724,-7.935,-1.66,-0.74,-1.66,-0.74,INF,-1,1,7,0
1220,1,1,-18.498,-3.988,-1.73,-0.37,-1.73,-0.37,INF,-1,1,7,0
1240,1,1,-19.317,-2.245,-1.80,-0.21,-1.80,-0.21,INF,-1,1,7,0
1260,1,1,-15.338,-9.068,-1.43,-0.85,-1.43,-0.85,INF,-1,1,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
