"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.08066
CalibrationParameters_A12,0.06095
CalibrationParameters_A13,0.05460
CalibrationParameters_A21,0.06150
CalibrationParameters_A22,-1.11349
CalibrationParameters_A23,-0.01438
CalibrationParameters_A31,0.00042
CalibrationParameters_A32,-0.00305
CalibrationParameters_E11,-0.17978
CalibrationParameters_E12,-0.00017
CalibrationParameters_E21,-0.00028
CalibrationParameters_E22,0.19991
CalibrationParameters_X,-18.95736
CalibrationParameters_Y,-40.09615
CalibrationParameters_Rpc,90.07720
CalibrationParameters_MeanX,133.24211
CalibrationParameters_MeanY,137.40206
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-132.916,134.637,-12.23,12.11,-11.96,12.39,INF,-1,0,7,0
20,1,1,-28.625,33.033,-2.67,3.08,-2.67,3.08,INF,-1,0,7,0
40,1,1,-27.555,32.106,-2.57,3.00,-2.57,3.00,INF,-1,0,7,0
60,1,1,-28.548,32.237,-2.67,3.01,-2.66,3.01,INF,-1,0,7,0
80,1,1,-27.781,31.896,-2.59,2.98,-2.59,2.98,INF,-1,0,7,0
100,1,1,-25.998,31.305,-2.43,2.92,-2.43,2.92,INF,-1,0,7,0
120,1,1,-26.399,30.845,-2.47,2.88,-2.46,2.88,INF,-1,0,7,0
140,1,1,-26.280,31.107,-2.45,2.90,-2.45,2.90,INF,-1,0,7,0
160,1,1,-27.210,27.677,-2.54,2.58,-2.54,2.59,INF,-1,0,7,0
180,1,1,11.264,15.685,1.05,1.47,1.05,1.47,INF,-1,0,7,0
200,1,1,8.106,17.238,0.76,1.61,0.76,1.61,INF,-1,0,7,0
220,1,1,8.927,16.319,0.83,1.52,0.83,1.52,INF,-1,0,7,0
240,1,1,10.084,15.884,0.94,1.48,0.94,1.48,INF,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,1,1,9.639,14.811,0.90,1.38,0.90,1.38,INF,-1,0,7,0
300,1,1,8.839,15.284,0.83,1.43,0.83,1.43,INF,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,1,1,1.276,15.593,0.12,1.46,0.12,1.46,INF,-1,0,7,0
360,1,1,-8.009,20.480,-0.75,1.91,-0.75,1.91,INF,-1,0,7,0
380,1,1,-6.289,19.423,-0.59,1.81,-0.59,1.81,INF,-1,0,7,0
400,1,1,-5.724,18.297,-0.54,1.71,-0.53,1.71,INF,-1,0,7,0
420,1,1,-6.281,18.407,-0.59,1.72,-0.59,1.72,INF,-1,0,7,0
440,1,1,-5.917,17.701,-0.55,1.65,-0.55,1.65,INF,-1,0,7,0
460,1,1,-5.638,17.416,-0.53,1.63,-0.53,1.63,INF,-1,0,7,0
480,1,1,-6.394,17.560,-0.60,1.64,-0.60,1.64,INF,-1,0,7,0
500,1,1,-5.662,17.122,-0.53,1.60,-0.53,1.60,INF,-1,0,7,0
520,1,1,-5.516,18.216,-0.52,1.70,-0.52,1.70,INF,-1,0,7,0
540,1,1,-0.824,21.973,-0.08,2.05,-0.08,2.05,INF,-1,0,7,0
560,1,1,-1.997,21.770,-0.19,2.03,-0.19,2.03,INF,-1,0,7,0
580,1,1,-1.663,21.339,-0.16,1.99,-0.16,1.99,INF,-1,0,7,0
600,1,1,-1.532,20.876,-0.14,1.95,-0.14,1.95,INF,-1,0,7,0
620,1,1,-1.538,20.667,-0.14,1.93,-0.14,1.93,INF,-1,1,7,0
640,1,1,-1.253,21.401,-0.12,2.00,-0.12,2.00,INF,-1,1,7,0
660,1,1,-0.734,19.714,-0.07,1.84,-0.07,1.84,INF,-1,1,7,0
680,1,1,-2.249,20.460,-0.21,1.91,-0.21,1.91,INF,-1,1,7,0
700,1,1,-0.770,21.020,-0.07,1.96,-0.07,1.96,INF,-1,1,7,0
720,1,1,-1.571,21.548,-0.15,2.01,-0.15,2.01,INF,-1,1,7,0
740,1,1,-0.651,20.994,-0.06,1.96,-0.06,1.96,INF,-1,1,7,0
760,1,1,-0.718,21.031,-0.07,1.96,-0.07,1.96,INF,-1,1,7,0
780,1,1,-0.541,21.683,-0.05,2.03,-0.05,2.03,INF,-1,1,7,0
800,1,1,-1.420,20.451,-0.13,1.91,-0.13,1.91,INF,-1,1,7,0
820,1,1,-0.459,19.242,-0.04,1.80,-0.04,1.80,INF,-1,1,7,0
840,1,1,-0.610,18.911,-0.06,1.77,-0.06,1.77,INF,-1,1,7,0
860,1,1,-0.147,18.812,-0.01,1.76,-0.01,1.76,INF,-1,1,7,0
880,1,1,-1.171,19.156,-0.11,1.79,-0.11,1.79,INF,-1,1,7,0
900,1,1,-0.209,19.485,-0.02,1.82,-0.02,1.82,INF,-1,1,7,0
920,1,1,-0.669,19.744,-0.06,1.84,-0.06,1.84,INF,-1,1,7,0
940,1,1,-1.031,19.558,-0.10,1.83,-0.10,1.83,INF,-1,1,7,0
960,1,1,0.188,18.646,0.02,1.74,0.02,1.74,INF,-1,1,7,0
980,1,1,-0.829,18.552,-0.08,1.73,-0.08,1.73,INF,-1,1,7,0
1000,1,1,-0.897,18.818,-0.08,1.76,-0.08,1.76,INF,-1,1,7,0
1020,1,1,-0.631,18.904,-0.06,1.77,-0.06,1.77,INF,-1,1,7,0
1040,1,1,-12.716,18.102,-1.19,1.69,-1.19,1.69,INF,-1,1,7,0
1060,1,1,-12.095,17.883,-1.13,1.67,-1.13,1.67,INF,-1,1,7,0
1080,1,1,-12.704,18.994,-1.19,1.77,-1.19,1.77,INF,-1,1,7,0
1100,1,1,-13.284,18.272,-1.24,1.71,-1.24,1.71,INF,-1,1,7,0
1120,1,1,-13.981,18.116,-1.31,1.69,-1.31,1.69,INF,-1,1,7,0
1140,1,1,-13.196,18.044,-1.23,1.69,-1.23,1.69,INF,-1,1,7,0
1160,1,1,-13.914,17.246,-1.30,1.61,-1.30,1.61,INF,-1,1,7,0
1180,1,1,-13.855,18.782,-1.29,1.75,-1.29,1.75,INF,-1,1,7,0
1200,1,1,-14.037,18.054,-1.31,1.69,-1.31,1.69,INF,-1,1,7,0
1220,1,1,-12.268,16.531,-1.15,1.54,-1.15,1.54,INF,-1,1,7,0
1240,1,1,-5.666,15.980,-0.53,1.49,-0.53,1.49,INF,-1,1,7,0
1260,1,1,-7.339,15.861,-0.69,1.48,-0.69,1.48,INF,-1,1,7,0
1280,1,1,-5.843,15.627,-0.55,1.46,-0.55,1.46,INF,-1,1,7,0
1300,1,1,-7.074,16.146,-0.66,1.51,-0.66,1.51,INF,-1,1,7,0
1320,1,1,-6.542,16.042,-0.61,1.50,-0.61,1.50,INF,-1,1,7,0
1340,1,1,-6.809,17.049,-0.64,1.59,-0.64,1.59,INF,-1,1,7,0
1360,1,1,-6.662,16.015,-0.62,1.50,-0.62,1.50,INF,-1,1,7,0
1380,1,1,-6.372,14.987,-0.60,1.40,-0.60,1.40,INF,-1,1,7,0
1400,1,1,-6.764,16.073,-0.63,1.50,-0.63,1.50,INF,-1,1,7,0
1420,1,1,-6.740,17.233,-0.63,1.61,-0.63,1.61,INF,-1,1,7,0
1440,1,1,-6.604,16.854,-0.62,1.57,-0.62,1.57,INF,-1,1,7,0
1460,1,1,-6.090,15.799,-0.57,1.48,-0.57,1.48,INF,-1,1,7,0
1480,1,1,-6.722,15.430,-0.63,1.44,-0.63,1.44,INF,-1,1,7,0
1500,1,1,-6.924,15.991,-0.65,1.49,-0.65,1.49,INF,-1,1,7,0
1520,1,1,-6.609,15.603,-0.62,1.46,-0.62,1.46,INF,-1,1,7,0
1540,1,1,-8.769,15.782,-0.82,1.47,-0.82,1.47,INF,-1,1,7,0
1560,1,1,-15.321,16.266,-1.43,1.52,-1.43,1.52,INF,-1,1,7,0
1580,1,1,-13.799,17.536,-1.29,1.64,-1.29,1.64,INF,-1,1,7,0
1600,1,1,-13.703,17.180,-1.28,1.60,-1.28,1.61,INF,-1,1,7,0
1620,1,1,-13.713,17.072,-1.28,1.59,-1.28,1.60,INF,-1,1,7,0
1640,1,1,-14.182,17.238,-1.33,1.61,-1.32,1.61,INF,-1,1,7,0
1660,1,1,-13.718,16.563,-1.28,1.55,-1.28,1.55,INF,-1,1,7,0
1680,1,1,-13.768,16.287,-1.29,1.52,-1.29,1.52,INF,-1,1,7,0
1700,1,1,-14.490,17.708,-1.35,1.65,-1.35,1.65,INF,-1,1,7,0
1720,1,1,-13.786,16.797,-1.29,1.57,-1.29,1.57,INF,-1,1,7,0
1740,1,1,-13.464,17.167,-1.26,1.60,-1.26,1.60,INF,-1,1,7,0
1760,1,1,-22.715,18.323,-2.12,1.71,-2.12,1.71,INF,-1,1,7,0
1780,1,1,-36.803,30.210,-3.44,2.82,-3.43,2.82,INF,-1,1,7,0
1800,1,1,-35.665,28.637,-3.33,2.67,-3.33,2.67,INF,-1,0,7,0
1820,1,1,-35.996,28.572,-3.36,2.66,-3.36,2.67,INF,-1,0,7,0
1840,1,1,-36.043,28.232,-3.36,2.63,-3.36,2.64,INF,-1,0,7,0
1860,1,1,-37.249,28.173,-3.48,2.63,-3.47,2.63,INF,-1,0,7,0
1880,1,1,-36.984,27.742,-3.45,2.59,-3.45,2.59,INF,-1,0,7,0
1900,1,1,-35.769,27.734,-3.34,2.59,-3.34,2.59,INF,-1,0,7,0
1920,1,1,-36.730,27.044,-3.43,2.52,-3.43,2.53,INF,-1,0,7,0
1940,1,1,-35.590,27.512,-3.32,2.57,-3.32,2.57,INF,-1,0,7,0
1960,1,1,-36.967,27.575,-3.45,2.57,-3.45,2.58,INF,-1,0,7,0
1980,1,1,-35.755,27.388,-3.34,2.55,-3.33,2.56,INF,-1,0,7,0
2000,1,1,-36.144,28.638,-3.37,2.67,-3.37,2.67,INF,-1,0,7,0
2020,1,1,-37.084,28.579,-3.46,2.66,-3.46,2.67,INF,-1,0,7,0
2040,1,1,-36.207,27.288,-3.38,2.54,-3.38,2.55,INF,-1,0,7,0
2060,1,1,-34.221,26.604,-3.20,2.48,-3.19,2.49,INF,-1,1,7,0
2080,1,1,-28.044,29.250,-2.62,2.73,-2.62,2.73,INF,-1,1,7,0
2100,1,1,-28.542,29.386,-2.67,2.74,-2.66,2.74,INF,-1,1,7,0
2120,1,1,-28.360,29.916,-2.65,2.79,-2.65,2.79,INF,-1,1,7,0
2140,1,1,-28.829,28.854,-2.69,2.69,-2.69,2.69,INF,-1,1,7,0
2160,1,1,-27.764,29.854,-2.59,2.79,-2.59,2.79,INF,-1,1,7,0
2180,1,1,-28.624,29.860,-2.67,2.79,-2.67,2.79,INF,-1,1,7,0
2200,1,1,-29.160,30.296,-2.72,2.83,-2.72,2.83,INF,-1,1,7,0
2220,1,1,-27.877,30.452,-2.60,2.84,-2.60,2.84,INF,-1,1,7,0
2240,1,1,-26.981,29.344,-2.52,2.74,-2.52,2.74,INF,-1,1,7,0
2260,1,1,-28.145,29.230,-2.63,2.73,-2.63,2.73,INF,-1,1,7,0
2280,1,1,-28.453,30.246,-2.66,2.82,-2.65,2.82,INF,-1,1,7,0
2300,1,1,-59.000,35.995,-5.50,3.35,-5.49,3.36,INF,-1,1,7,0
2320,1,1,-59.458,38.523,-5.54,3.58,-5.53,3.60,INF,-1,1,7,0
2340,1,1,-59.281,37.791,-5.52,3.51,-5.51,3.53,INF,-1,0,7,0
2360,1,1,-58.527,38.133,-5.45,3.54,-5.44,3.56,INF,-1,0,7,0
2380,1,1,-58.487,38.056,-5.45,3.54,-5.44,3.55,INF,-1,0,7,0
2400,1,1,-58.289,38.651,-5.43,3.59,-5.42,3.61,INF,-1,0,7,0
2420,1,1,-57.565,36.721,-5.36,3.41,-5.36,3.43,INF,-1,0,7,0
2440,1,1,-58.126,37.970,-5.42,3.53,-5.41,3.54,INF,-1,0,7,0
2460,1,1,-59.205,37.686,-5.52,3.50,-5.51,3.52,INF,-1,0,7,0
2480,1,1,-59.166,37.889,-5.51,3.52,-5.50,3.54,INF,-1,0,7,0
2500,1,1,-57.765,37.641,-5.38,3.50,-5.37,3.51,INF,-1,0,7,0
2520,1,1,-57.695,38.385,-5.38,3.57,-5.37,3.58,INF,-1,0,7,0
2540,1,1,-58.807,38.467,-5.48,3.57,-5.47,3.59,INF,-1,0,7,0
2560,1,1,-58.298,38.651,-5.43,3.59,-5.42,3.61,INF,-1,0,7,0
2580,1,1,-58.482,38.772,-5.45,3.60,-5.44,3.62,INF,-1,1,7,0
