"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06139
CalibrationParameters_A12,0.07899
CalibrationParameters_A13,-0.00630
CalibrationParameters_A21,0.06327
CalibrationParameters_A22,-1.10462
CalibrationParameters_A23,-0.00499
CalibrationParameters_A31,-0.00005
CalibrationParameters_A32,-0.00123
CalibrationParameters_E11,-0.18007
CalibrationParameters_E12,-0.00027
CalibrationParameters_E21,-0.00009
CalibrationParameters_E22,0.19996
CalibrationParameters_X,-20.58965
CalibrationParameters_Y,-35.74684
CalibrationParameters_Rpc,90.93409
CalibrationParameters_MeanX,128.01451
CalibrationParameters_MeanY,159.84193
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,-20.638,13.173,-1.93,1.23,-1.93,1.23,INF,-1,0,7,0
60,1,1,-19.009,12.887,-1.78,1.20,-1.78,1.20,INF,-1,0,7,0
80,1,1,-18.345,17.735,-1.71,1.66,-1.71,1.66,INF,-1,0,7,0
100,1,1,-19.507,16.300,-1.82,1.52,-1.82,1.52,INF,-1,0,7,0
120,1,1,-19.822,15.642,-1.85,1.46,-1.85,1.46,INF,-1,0,7,0
140,1,1,-17.973,14.877,-1.68,1.39,-1.68,1.39,INF,-1,0,7,0
160,1,1,-18.230,13.934,-1.70,1.30,-1.70,1.30,INF,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,1,1,-16.661,10.500,-1.56,0.98,-1.56,0.98,INF,-1,0,7,0
220,1,1,2.955,9.125,0.28,0.85,0.28,0.85,INF,-1,0,7,0
240,1,1,-0.946,9.731,-0.09,0.91,-0.09,0.91,INF,-1,0,7,0
260,1,1,0.189,7.831,0.02,0.73,0.02,0.73,INF,-1,0,7,0
280,1,1,0.686,8.261,0.06,0.77,0.06,0.77,INF,-1,0,7,0
300,1,1,0.227,7.671,0.02,0.72,0.02,0.72,INF,-1,0,7,0
320,1,1,1.066,7.504,0.10,0.70,0.10,0.70,INF,-1,0,7,0
340,1,1,0.924,6.847,0.09,0.64,0.09,0.64,INF,-1,0,7,0
360,1,1,1.669,5.663,0.16,0.53,0.16,0.53,INF,-1,0,7,0
380,1,1,2.055,5.003,0.19,0.47,0.19,0.47,INF,-1,0,7,0
400,1,1,3.240,4.646,0.30,0.43,0.30,0.43,INF,-1,0,7,0
420,1,1,2.862,4.597,0.27,0.43,0.27,0.43,INF,-1,0,7,0
440,1,1,2.111,3.181,0.20,0.30,0.20,0.30,INF,-1,0,7,0
460,1,1,24.861,14.694,2.32,1.37,2.32,1.37,INF,-1,0,7,0
480,1,1,22.670,13.530,2.12,1.26,2.12,1.26,INF,-1,0,7,0
500,1,1,24.568,12.803,2.30,1.20,2.29,1.20,INF,-1,0,7,0
520,1,1,23.443,12.805,2.19,1.20,2.19,1.20,INF,-1,0,7,0
540,1,1,24.984,11.326,2.33,1.06,2.33,1.06,INF,-1,0,7,0
560,1,1,24.486,11.533,2.29,1.08,2.29,1.08,INF,-1,0,7,0
580,1,1,24.999,11.946,2.34,1.12,2.33,1.12,INF,-1,0,7,0
600,1,1,25.383,10.553,2.37,0.99,2.37,0.99,INF,-1,0,7,0
620,1,1,25.261,9.184,2.36,0.86,2.36,0.86,INF,-1,1,7,0
640,1,1,24.673,10.059,2.30,0.94,2.30,0.94,INF,-1,1,7,0
660,1,1,25.556,8.410,2.39,0.79,2.39,0.79,INF,-1,1,7,0
680,1,1,23.133,4.974,2.16,0.46,2.16,0.46,INF,-1,1,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
780,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
920,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1020,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1040,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1060,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
