"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04804
CalibrationParameters_A12,0.05046
CalibrationParameters_A13,0.01053
CalibrationParameters_A21,0.08520
CalibrationParameters_A22,-1.07550
CalibrationParameters_A23,0.02182
CalibrationParameters_A31,0.00019
CalibrationParameters_A32,-0.00124
CalibrationParameters_E11,-0.17985
CalibrationParameters_E12,0.00006
CalibrationParameters_E21,-0.00003
CalibrationParameters_E22,0.19998
CalibrationParameters_X,-9.45369
CalibrationParameters_Y,-34.79324
CalibrationParameters_Rpc,90.50215
CalibrationParameters_MeanX,104.56221
CalibrationParameters_MeanY,161.54460
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-11.888,31.075,-1.11,2.90,-1.11,2.90,INF,-1,0,7,0
20,1,1,-10.598,31.198,-0.99,2.91,-0.99,2.91,INF,-1,0,7,0
40,1,1,-8.182,33.899,-0.76,3.16,-0.76,3.17,INF,-1,0,7,0
60,1,1,-9.077,28.376,-0.85,2.65,-0.85,2.65,INF,-1,0,7,0
80,1,1,-12.151,30.947,-1.14,2.89,-1.13,2.89,INF,-1,0,7,0
100,1,1,-12.212,31.175,-1.14,2.91,-1.14,2.91,INF,-1,0,7,0
120,1,1,-6.852,28.868,-0.64,2.70,-0.64,2.70,INF,-1,0,7,0
140,1,1,-12.281,30.558,-1.15,2.85,-1.15,2.85,INF,-1,0,7,0
160,1,1,-10.113,29.829,-0.95,2.79,-0.94,2.79,INF,-1,0,7,0
180,1,1,-10.176,28.427,-0.95,2.65,-0.95,2.66,INF,-1,0,7,0
200,1,1,-11.572,11.699,-1.08,1.09,-1.08,1.09,INF,-1,0,7,0
220,1,1,-11.751,5.034,-1.10,0.47,-1.10,0.47,INF,-1,0,7,0
240,1,1,-12.793,4.616,-1.20,0.43,-1.20,0.43,INF,-1,0,7,0
260,1,1,-14.894,5.540,-1.39,0.52,-1.39,0.52,INF,-1,0,7,0
280,1,1,-11.520,4.034,-1.08,0.38,-1.08,0.38,INF,-1,0,7,0
300,1,1,-13.536,3.862,-1.26,0.36,-1.26,0.36,INF,-1,0,7,0
320,1,1,-14.720,4.495,-1.38,0.42,-1.38,0.42,INF,-1,0,7,0
340,1,1,-13.993,3.887,-1.31,0.36,-1.31,0.36,INF,-1,0,7,0
360,1,1,-5.940,-0.314,-0.56,-0.03,-0.56,-0.03,INF,-1,0,7,0
380,1,1,-11.893,1.265,-1.11,0.12,-1.11,0.12,INF,-1,1,7,0
400,1,1,-10.960,-0.320,-1.02,-0.03,-1.02,-0.03,INF,-1,0,7,0
420,1,1,-13.051,0.264,-1.22,0.02,-1.22,0.02,INF,-1,0,7,0
440,1,1,-11.416,2.522,-1.07,0.24,-1.07,0.24,INF,-1,0,7,0
460,1,1,-16.833,1.887,-1.57,0.18,-1.57,0.18,INF,-1,0,7,0
480,1,1,-24.804,0.411,-2.32,0.04,-2.32,0.04,INF,-1,0,7,0
500,1,1,-22.224,2.990,-2.08,0.28,-2.08,0.28,INF,-1,0,7,0
520,1,1,-22.567,3.050,-2.11,0.28,-2.11,0.29,INF,-1,0,7,0
540,1,1,-22.288,-0.784,-2.08,-0.07,-2.08,-0.07,INF,-1,0,7,0
560,1,1,-20.743,-0.209,-1.94,-0.02,-1.94,-0.02,INF,-1,0,7,0
580,1,1,-24.049,-0.805,-2.25,-0.08,-2.25,-0.08,INF,-1,0,7,0
600,1,1,-22.344,-2.532,-2.09,-0.24,-2.09,-0.24,INF,-1,0,7,0
620,1,1,-21.649,0.567,-2.02,0.05,-2.02,0.05,INF,-1,0,7,0
640,1,1,-20.317,-0.404,-1.90,-0.04,-1.90,-0.04,INF,-1,0,7,0
660,1,1,-21.618,-1.468,-2.02,-0.14,-2.02,-0.14,INF,-1,1,7,0
680,1,1,-25.673,2.593,-2.40,0.24,-2.40,0.24,INF,-1,1,7,0
700,1,1,-26.685,2.558,-2.49,0.24,-2.49,0.24,INF,-1,1,7,0
720,1,1,-26.030,1.747,-2.43,0.16,-2.43,0.16,INF,-1,1,7,0
740,1,1,-25.528,1.680,-2.38,0.16,-2.38,0.16,INF,-1,1,7,0
760,1,1,-25.611,1.546,-2.39,0.14,-2.39,0.14,INF,-1,1,7,0
780,1,1,-27.343,-0.104,-2.55,-0.01,-2.55,-0.01,INF,-1,1,7,0
800,1,1,-27.271,1.482,-2.55,0.14,-2.55,0.14,INF,-1,1,7,0
820,1,1,-23.849,1.299,-2.23,0.12,-2.23,0.12,INF,-1,1,7,0
840,1,1,-24.770,1.276,-2.31,0.12,-2.31,0.12,INF,-1,1,7,0
860,1,1,-25.338,1.949,-2.37,0.18,-2.37,0.18,INF,-1,1,7,0
880,1,1,-23.230,0.516,-2.17,0.05,-2.17,0.05,INF,-1,1,7,0
900,1,1,-28.189,-0.444,-2.63,-0.04,-2.63,-0.04,INF,-1,1,7,0
920,1,1,-22.700,-1.066,-2.12,-0.10,-2.12,-0.10,INF,-1,1,7,0
940,1,1,-27.739,1.028,-2.59,0.10,-2.59,0.10,INF,-1,1,7,0
960,1,1,-26.261,-0.782,-2.45,-0.07,-2.45,-0.07,INF,-1,1,7,0
980,1,1,-23.523,-0.100,-2.20,-0.01,-2.20,-0.01,INF,-1,1,7,0
