"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06139
CalibrationParameters_A12,0.07899
CalibrationParameters_A13,-0.00630
CalibrationParameters_A21,0.06327
CalibrationParameters_A22,-1.10462
CalibrationParameters_A23,-0.00499
CalibrationParameters_A31,-0.00005
CalibrationParameters_A32,-0.00123
CalibrationParameters_E11,-0.18007
CalibrationParameters_E12,-0.00027
CalibrationParameters_E21,-0.00009
CalibrationParameters_E22,0.19996
CalibrationParameters_X,-20.58965
CalibrationParameters_Y,-35.74684
CalibrationParameters_Rpc,90.93409
CalibrationParameters_MeanX,128.01451
CalibrationParameters_MeanY,159.84193
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,1,1,8.656,3.898,0.81,0.36,0.81,0.36,INF,-1,0,7,0
300,1,1,9.796,2.837,0.92,0.27,0.92,0.27,INF,-1,0,7,0
320,1,1,8.329,2.501,0.78,0.23,0.78,0.23,INF,-1,0,7,0
340,1,1,9.541,0.256,0.89,0.02,0.89,0.02,INF,-1,0,7,0
360,1,1,9.359,-0.246,0.87,-0.02,0.87,-0.02,INF,-1,0,7,0
380,1,1,10.001,-1.042,0.93,-0.10,0.93,-0.10,INF,-1,0,7,0
400,1,1,9.364,-1.595,0.88,-0.15,0.88,-0.15,INF,-1,0,7,0
420,1,1,10.260,-3.225,0.96,-0.30,0.96,-0.30,INF,-1,0,7,0
440,1,1,8.775,-3.537,0.82,-0.33,0.82,-0.33,INF,-1,0,7,0
460,1,1,10.405,-4.272,0.97,-0.40,0.97,-0.40,INF,-1,0,7,0
480,1,1,9.234,-7.882,0.86,-0.74,0.86,-0.74,INF,-1,0,7,0
500,1,1,7.879,3.866,0.74,0.36,0.74,0.36,INF,-1,0,7,0
520,1,1,5.075,7.335,0.47,0.69,0.47,0.69,INF,-1,0,7,0
540,1,1,5.692,3.819,0.53,0.36,0.53,0.36,INF,-1,0,7,0
560,1,1,5.716,2.897,0.53,0.27,0.53,0.27,INF,-1,1,7,0
580,1,1,5.500,2.638,0.51,0.25,0.51,0.25,INF,-1,1,7,0
600,1,1,6.066,1.961,0.57,0.18,0.57,0.18,INF,-1,1,7,0
620,1,1,5.726,0.727,0.54,0.07,0.54,0.07,INF,-1,1,7,0
640,1,1,5.826,0.156,0.54,0.01,0.54,0.01,INF,-1,1,7,0
660,1,1,4.861,-0.274,0.45,-0.03,0.45,-0.03,INF,-1,1,7,0
680,1,1,4.826,-1.632,0.45,-0.15,0.45,-0.15,INF,-1,1,7,0
700,1,1,-38.460,1.928,-3.59,0.18,-3.59,0.18,INF,-1,1,7,0
720,1,1,-31.706,0.148,-2.96,0.01,-2.96,0.01,INF,-1,1,7,0
740,1,1,-32.060,-0.027,-2.99,0.00,-2.99,0.00,INF,-1,0,7,0
760,1,1,-32.662,-0.785,-3.05,-0.07,-3.05,-0.07,INF,-1,0,7,0
780,1,1,-32.768,-1.738,-3.06,-0.16,-3.06,-0.16,INF,-1,0,7,0
800,1,1,-33.640,-2.124,-3.14,-0.20,-3.14,-0.20,INF,-1,0,7,0
820,1,1,-33.270,-2.523,-3.11,-0.24,-3.11,-0.24,INF,-1,0,7,0
840,1,1,-33.170,-1.611,-3.10,-0.15,-3.10,-0.15,INF,-1,0,7,0
860,1,1,-33.268,-2.225,-3.11,-0.21,-3.11,-0.21,INF,-1,0,7,0
880,1,1,-33.275,-3.300,-3.11,-0.31,-3.11,-0.31,INF,-1,0,7,0
900,1,1,-32.595,-2.751,-3.04,-0.26,-3.04,-0.26,INF,-1,0,7,0
920,1,1,-33.457,-2.846,-3.12,-0.27,-3.12,-0.27,INF,-1,0,7,0
940,1,1,-32.803,-3.128,-3.06,-0.29,-3.06,-0.29,INF,-1,0,7,0
960,1,1,-32.870,-4.077,-3.07,-0.38,-3.07,-0.38,INF,-1,0,7,0
980,1,1,-33.545,-3.902,-3.13,-0.36,-3.13,-0.36,INF,-1,1,7,0
1000,1,1,-33.293,-3.356,-3.11,-0.31,-3.11,-0.31,INF,-1,1,7,0
1020,1,1,-32.379,-3.544,-3.02,-0.33,-3.02,-0.33,INF,-1,1,7,0
1040,1,1,-27.636,-14.130,-2.58,-1.32,-2.58,-1.32,INF,-1,1,7,0
1060,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1340,1,1,8.667,-70.921,0.81,-6.60,0.80,-6.60,INF,-1,0,7,0
1360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1380,1,1,20.953,20.220,1.96,1.89,1.96,1.89,INF,-1,0,7,0
