"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04580
CalibrationParameters_A12,0.05241
CalibrationParameters_A13,-0.03090
CalibrationParameters_A21,0.06645
CalibrationParameters_A22,-1.08439
CalibrationParameters_A23,0.02891
CalibrationParameters_A31,-0.00020
CalibrationParameters_A32,-0.00106
CalibrationParameters_E11,-0.17975
CalibrationParameters_E12,-0.00021
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.20009
CalibrationParameters_X,-12.13538
CalibrationParameters_Y,-34.15856
CalibrationParameters_Rpc,92.48767
CalibrationParameters_MeanX,114.20335
CalibrationParameters_MeanY,162.71262
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,-25.629,17.606,-2.39,1.64,-2.39,1.65,INF,-1,0,7,0
60,1,1,-25.780,23.125,-2.41,2.16,-2.41,2.16,INF,-1,0,7,0
80,1,1,-26.517,20.925,-2.48,1.95,-2.48,1.96,INF,-1,0,7,0
100,1,1,-25.294,20.005,-2.36,1.87,-2.36,1.87,INF,-1,0,7,0
120,1,1,-24.391,20.550,-2.28,1.92,-2.28,1.92,INF,-1,0,7,0
140,1,1,-25.063,18.778,-2.34,1.75,-2.34,1.75,INF,-1,0,7,0
160,1,1,-25.343,16.871,-2.37,1.58,-2.37,1.58,INF,-1,0,7,0
180,1,1,-1.939,2.950,-0.18,0.28,-0.18,0.28,INF,-1,0,7,0
200,1,1,10.996,0.672,1.03,0.06,1.03,0.06,INF,-1,0,7,0
220,1,1,8.601,2.869,0.80,0.27,0.80,0.27,INF,-1,0,7,0
240,1,1,7.444,2.054,0.70,0.19,0.70,0.19,INF,-1,0,7,0
260,1,1,5.134,3.191,0.48,0.30,0.48,0.30,INF,-1,0,7,0
280,1,1,7.094,0.146,0.66,0.01,0.66,0.01,INF,-1,0,7,0
300,1,1,7.469,2.260,0.70,0.21,0.70,0.21,INF,-1,0,7,0
320,1,1,5.088,-0.694,0.48,-0.06,0.48,-0.06,INF,-1,0,7,0
340,1,1,5.285,0.763,0.49,0.07,0.49,0.07,INF,-1,0,7,0
360,1,1,5.269,0.465,0.49,0.04,0.49,0.04,INF,-1,0,7,0
380,1,1,7.994,-0.548,0.75,-0.05,0.75,-0.05,INF,-1,0,7,0
400,1,1,-2.152,24.882,-0.20,2.32,-0.20,2.32,INF,-1,0,7,0
420,1,1,-0.232,17.242,-0.02,1.61,-0.02,1.61,INF,-1,0,7,0
440,1,1,1.725,16.310,0.16,1.52,0.16,1.52,INF,-1,0,7,0
460,1,1,1.621,17.234,0.15,1.61,0.15,1.61,INF,-1,0,7,0
480,1,1,4.584,15.921,0.43,1.49,0.43,1.49,INF,-1,0,7,0
500,1,1,2.515,16.505,0.24,1.54,0.23,1.54,INF,-1,1,7,0
520,1,1,2.240,16.999,0.21,1.59,0.21,1.59,INF,-1,1,7,0
540,1,1,3.545,15.144,0.33,1.42,0.33,1.42,INF,-1,1,7,0
560,1,1,3.083,16.237,0.29,1.52,0.29,1.52,INF,-1,1,7,0
580,1,1,2.930,16.340,0.27,1.53,0.27,1.53,INF,-1,1,7,0
600,1,1,2.756,15.400,0.26,1.44,0.26,1.44,INF,-1,1,7,0
620,1,1,4.640,16.892,0.43,1.58,0.43,1.58,INF,-1,1,7,0
640,1,1,4.453,15.183,0.42,1.42,0.42,1.42,INF,-1,1,7,0
660,1,1,2.152,17.423,0.20,1.63,0.20,1.63,INF,-1,1,7,0
680,1,1,3.070,15.754,0.29,1.47,0.29,1.47,INF,-1,1,7,0
700,1,1,1.542,16.593,0.14,1.55,0.14,1.55,INF,-1,1,7,0
720,1,1,2.923,14.919,0.27,1.39,0.27,1.39,INF,-1,1,7,0
740,1,1,4.800,16.210,0.45,1.51,0.45,1.51,INF,-1,1,7,0
760,1,1,3.845,16.008,0.36,1.50,0.36,1.50,INF,-1,1,7,0
780,1,1,1.155,16.539,0.11,1.55,0.11,1.55,INF,-1,1,7,0
800,1,1,2.865,15.223,0.27,1.42,0.27,1.42,INF,-1,1,7,0
820,1,1,2.415,18.308,0.23,1.71,0.23,1.71,INF,-1,1,7,0
840,1,1,4.514,16.675,0.42,1.56,0.42,1.56,INF,-1,1,7,0
860,1,1,2.739,17.409,0.26,1.63,0.26,1.63,INF,-1,1,7,0
880,1,1,3.194,17.066,0.30,1.59,0.30,1.59,INF,-1,1,7,0
900,1,1,4.733,15.307,0.44,1.43,0.44,1.43,INF,-1,1,7,0
920,1,1,2.007,17.739,0.19,1.66,0.19,1.66,INF,-1,1,7,0
940,1,1,2.038,21.585,0.19,2.02,0.19,2.02,INF,-1,1,7,0
960,1,1,2.833,19.631,0.26,1.83,0.26,1.83,INF,-1,0,7,0
980,1,1,1.923,20.306,0.18,1.90,0.18,1.90,INF,-1,0,7,0
1000,1,1,1.307,21.055,0.12,1.97,0.12,1.97,INF,-1,0,7,0
1020,1,1,1.456,18.498,0.14,1.73,0.14,1.73,INF,-1,0,7,0
1040,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1060,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
