"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.01982
CalibrationParameters_A12,0.08003
CalibrationParameters_A13,0.01271
CalibrationParameters_A21,0.06160
CalibrationParameters_A22,-1.06277
CalibrationParameters_A23,0.01417
CalibrationParameters_A31,0.00012
CalibrationParameters_A32,-0.00032
CalibrationParameters_E11,-0.17997
CalibrationParameters_E12,0.00003
CalibrationParameters_E21,-0.00011
CalibrationParameters_E22,0.20009
CalibrationParameters_X,-5.51301
CalibrationParameters_Y,-27.76481
CalibrationParameters_Rpc,88.65352
CalibrationParameters_MeanX,83.17672
CalibrationParameters_MeanY,170.20128
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-15.672,20.058,-1.46,1.87,-1.46,1.87,INF,-1,0,7,0
40,1,1,-16.116,19.836,-1.51,1.85,-1.51,1.85,INF,-1,0,7,0
60,1,1,-16.450,19.465,-1.54,1.82,-1.54,1.82,INF,-1,0,7,0
80,1,1,-16.676,19.987,-1.56,1.87,-1.56,1.87,INF,-1,0,7,0
100,1,1,-15.669,20.280,-1.46,1.89,-1.46,1.89,INF,-1,0,7,0
120,1,1,-15.650,19.769,-1.46,1.85,-1.46,1.85,INF,-1,0,7,0
140,1,1,-15.768,19.347,-1.47,1.81,-1.47,1.81,INF,-1,0,7,0
160,1,1,-16.178,19.073,-1.51,1.78,-1.51,1.78,INF,-1,0,7,0
180,1,1,-15.302,18.412,-1.43,1.72,-1.43,1.72,INF,-1,0,7,0
200,1,1,-15.544,18.703,-1.45,1.75,-1.45,1.75,INF,-1,0,7,0
220,1,1,-15.341,19.000,-1.43,1.77,-1.43,1.78,INF,-1,0,7,0
240,1,1,-15.478,16.964,-1.45,1.58,-1.45,1.59,INF,-1,0,7,0
260,1,1,-15.212,17.480,-1.42,1.63,-1.42,1.63,INF,-1,0,7,0
280,1,1,-15.175,15.861,-1.42,1.48,-1.42,1.48,INF,-1,0,7,0
300,1,1,-15.736,15.963,-1.47,1.49,-1.47,1.49,INF,-1,1,7,0
320,1,1,-17.206,15.500,-1.61,1.45,-1.61,1.45,INF,-1,1,7,0
340,1,1,21.504,20.793,2.01,1.94,2.01,1.94,INF,-1,1,7,0
360,1,1,16.245,20.586,1.52,1.92,1.52,1.92,INF,-1,1,7,0
380,1,1,18.001,18.715,1.68,1.75,1.68,1.75,INF,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
440,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
460,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
480,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
500,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
520,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
540,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
560,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
580,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
600,1,1,1.256,15.499,0.12,1.45,0.12,1.45,INF,-1,0,7,0
620,1,1,2.253,16.376,0.21,1.53,0.21,1.53,INF,-1,0,7,0
640,1,1,1.517,15.874,0.14,1.48,0.14,1.48,INF,-1,0,7,0
660,1,1,1.248,15.730,0.12,1.47,0.12,1.47,INF,-1,0,7,0
680,1,1,1.882,15.037,0.18,1.41,0.18,1.41,INF,-1,0,7,0
700,1,1,2.853,14.960,0.27,1.40,0.27,1.40,INF,-1,0,7,0
720,1,1,3.467,15.283,0.32,1.43,0.32,1.43,INF,-1,0,7,0
740,1,1,7.449,11.340,0.70,1.06,0.70,1.06,INF,-1,0,7,0
760,1,1,56.295,22.056,5.25,2.05,5.24,2.06,INF,-1,0,7,0
780,1,1,67.448,26.560,6.28,2.47,6.27,2.48,INF,-1,0,7,0
800,1,1,68.868,24.823,6.41,2.30,6.40,2.32,INF,-1,0,7,0
820,1,1,68.893,23.764,6.41,2.21,6.41,2.22,INF,-1,0,7,0
840,1,1,69.881,23.336,6.50,2.17,6.50,2.18,INF,-1,0,7,0
860,1,1,68.662,23.746,6.39,2.20,6.39,2.22,INF,-1,0,7,0
880,1,1,68.972,23.382,6.42,2.17,6.42,2.18,INF,-1,0,7,0
900,1,1,69.831,23.533,6.50,2.18,6.49,2.20,INF,-1,0,7,0
920,1,1,69.016,24.514,6.42,2.28,6.42,2.29,INF,-1,0,7,0
940,1,1,68.495,23.430,6.38,2.18,6.37,2.19,INF,-1,0,7,0
960,1,1,68.552,22.267,6.38,2.07,6.38,2.08,INF,-1,0,7,0
980,1,1,67.934,22.138,6.32,2.06,6.32,2.07,INF,-1,0,7,0
