"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.08066
CalibrationParameters_A12,0.06095
CalibrationParameters_A13,0.05460
CalibrationParameters_A21,0.06150
CalibrationParameters_A22,-1.11349
CalibrationParameters_A23,-0.01438
CalibrationParameters_A31,0.00042
CalibrationParameters_A32,-0.00305
CalibrationParameters_E11,-0.17978
CalibrationParameters_E12,-0.00017
CalibrationParameters_E21,-0.00028
CalibrationParameters_E22,0.19991
CalibrationParameters_X,-18.95736
CalibrationParameters_Y,-40.09615
CalibrationParameters_Rpc,90.07720
CalibrationParameters_MeanX,133.24211
CalibrationParameters_MeanY,137.40206
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-8.714,12.103,-0.81,1.13,-0.81,1.13,INF,-1,0,7,0
20,1,1,-9.475,13.600,-0.89,1.27,-0.89,1.27,INF,-1,0,7,0
40,1,1,-9.018,12.508,-0.84,1.17,-0.84,1.17,INF,-1,0,7,0
60,1,1,-9.242,12.534,-0.86,1.17,-0.86,1.17,INF,-1,0,7,0
80,1,1,-9.240,12.759,-0.86,1.19,-0.86,1.19,INF,-1,0,7,0
100,1,1,-8.627,12.454,-0.81,1.16,-0.81,1.16,INF,-1,0,7,0
120,1,1,-7.790,11.446,-0.73,1.07,-0.73,1.07,INF,-1,0,7,0
140,1,1,-7.810,10.825,-0.73,1.01,-0.73,1.01,INF,-1,0,7,0
160,1,1,-7.668,11.121,-0.72,1.04,-0.72,1.04,INF,-1,0,7,0
180,1,1,-8.173,10.794,-0.76,1.01,-0.76,1.01,INF,-1,0,7,0
200,1,1,-8.115,10.164,-0.76,0.95,-0.76,0.95,INF,-1,0,7,0
220,1,1,-8.007,9.621,-0.75,0.90,-0.75,0.90,INF,-1,0,7,0
240,1,1,11.246,-8.510,1.05,-0.80,1.05,-0.80,INF,-1,0,7,0
260,1,1,6.823,-8.259,0.64,-0.77,0.64,-0.77,INF,-1,0,7,0
280,1,1,7.951,-8.609,0.74,-0.80,0.74,-0.80,INF,-1,0,7,0
300,1,1,7.788,-9.598,0.73,-0.90,0.73,-0.90,INF,-1,0,7,0
320,1,1,7.287,-9.674,0.68,-0.90,0.68,-0.90,INF,-1,0,7,0
340,1,1,7.470,-9.639,0.70,-0.90,0.70,-0.90,INF,-1,0,7,0
360,1,1,6.633,-10.724,0.62,-1.00,0.62,-1.00,INF,-1,0,7,0
380,1,1,7.453,-10.899,0.70,-1.02,0.70,-1.02,INF,-1,0,7,0
400,1,1,6.493,-12.124,0.61,-1.13,0.61,-1.13,INF,-1,0,7,0
420,1,1,6.896,-11.266,0.64,-1.05,0.64,-1.05,INF,-1,1,7,0
440,1,1,9.507,-15.459,0.89,-1.44,0.89,-1.44,INF,-1,1,7,0
460,1,1,9.497,-17.287,0.89,-1.62,0.89,-1.62,INF,-1,1,7,0
480,1,1,9.341,-18.070,0.87,-1.69,0.87,-1.69,INF,-1,0,7,0
500,1,1,9.872,-18.011,0.92,-1.68,0.92,-1.68,INF,-1,0,7,0
520,1,1,10.643,-18.217,0.99,-1.70,0.99,-1.70,INF,-1,0,7,0
540,1,1,9.819,-18.436,0.92,-1.72,0.92,-1.72,INF,-1,0,7,0
560,1,1,10.641,-19.069,0.99,-1.78,0.99,-1.78,INF,-1,0,7,0
580,1,1,9.482,-18.191,0.89,-1.70,0.89,-1.70,INF,-1,0,7,0
600,1,1,10.010,-19.066,0.94,-1.78,0.94,-1.78,INF,-1,0,7,0
620,1,1,-5.236,-3.158,-0.49,-0.30,-0.49,-0.30,INF,-1,0,7,0
640,1,1,-2.549,-5.285,-0.24,-0.49,-0.24,-0.49,INF,-1,0,7,0
660,1,1,-3.736,-4.432,-0.35,-0.41,-0.35,-0.41,INF,-1,0,7,0
680,1,1,-3.507,-4.846,-0.33,-0.45,-0.33,-0.45,INF,-1,0,7,0
700,1,1,-3.172,-5.731,-0.30,-0.54,-0.30,-0.54,INF,-1,0,7,0
720,1,1,-3.935,-5.052,-0.37,-0.47,-0.37,-0.47,INF,-1,0,7,0
740,1,1,-4.830,-4.348,-0.45,-0.41,-0.45,-0.41,INF,-1,1,7,0
760,1,1,-4.385,-4.040,-0.41,-0.38,-0.41,-0.38,INF,-1,0,7,0
780,1,1,-3.435,-3.735,-0.32,-0.35,-0.32,-0.35,INF,-1,0,7,0
800,1,1,-3.302,-4.789,-0.31,-0.45,-0.31,-0.45,INF,-1,0,7,0
820,1,1,-3.103,-3.093,-0.29,-0.29,-0.29,-0.29,INF,-1,0,7,0
840,1,1,-3.364,-2.872,-0.31,-0.27,-0.31,-0.27,INF,-1,0,7,0
860,1,1,-3.588,-4.913,-0.34,-0.46,-0.34,-0.46,INF,-1,0,7,0
880,1,1,-2.484,-4.848,-0.23,-0.45,-0.23,-0.45,INF,-1,0,7,0
900,1,1,-2.449,-3.707,-0.23,-0.35,-0.23,-0.35,INF,-1,0,7,0
920,1,1,-3.142,-3.181,-0.29,-0.30,-0.29,-0.30,INF,-1,0,7,0
940,1,1,-2.285,-2.499,-0.21,-0.23,-0.21,-0.23,INF,-1,0,7,0
960,1,1,-2.784,-3.992,-0.26,-0.37,-0.26,-0.37,INF,-1,0,7,0
980,1,1,-2.165,-3.825,-0.20,-0.36,-0.20,-0.36,INF,-1,0,7,0
1000,1,1,-2.240,-3.887,-0.21,-0.36,-0.21,-0.36,INF,-1,1,7,0
1020,1,1,-1.561,-3.848,-0.15,-0.36,-0.15,-0.36,INF,-1,1,7,0
1040,1,1,-2.332,-3.198,-0.22,-0.30,-0.22,-0.30,INF,-1,1,7,0
1060,1,1,-1.955,-2.092,-0.18,-0.20,-0.18,-0.20,INF,-1,1,7,0
1080,1,1,-2.613,-2.158,-0.24,-0.20,-0.24,-0.20,INF,-1,1,7,0
1100,1,1,-2.365,-2.336,-0.22,-0.22,-0.22,-0.22,INF,-1,1,7,0
1120,1,1,-1.739,-1.985,-0.16,-0.19,-0.16,-0.19,INF,-1,1,7,0
1140,1,1,-2.368,-1.490,-0.22,-0.14,-0.22,-0.14,INF,-1,1,7,0
1160,1,1,-2.617,-1.543,-0.24,-0.14,-0.24,-0.14,INF,-1,1,7,0
1180,1,1,-1.816,-2.710,-0.17,-0.25,-0.17,-0.25,INF,-1,1,7,0
1200,1,1,-2.016,-1.672,-0.19,-0.16,-0.19,-0.16,INF,-1,1,7,0
1220,1,1,-2.140,-3.377,-0.20,-0.32,-0.20,-0.32,INF,-1,1,7,0
1240,1,1,2.687,-3.730,0.25,-0.35,0.25,-0.35,INF,-1,1,7,0
1260,1,1,7.041,-8.786,0.66,-0.82,0.66,-0.82,INF,-1,1,7,0
1280,1,1,7.517,-7.094,0.70,-0.66,0.70,-0.66,INF,-1,1,7,0
