"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07326
CalibrationParameters_A12,0.04781
CalibrationParameters_A13,-0.00684
CalibrationParameters_A21,0.07299
CalibrationParameters_A22,-1.13151
CalibrationParameters_A23,-0.01909
CalibrationParameters_A31,0.00003
CalibrationParameters_A32,-0.00382
CalibrationParameters_E11,-0.18001
CalibrationParameters_E12,-0.00022
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19989
CalibrationParameters_X,-15.99998
CalibrationParameters_Y,-41.29426
CalibrationParameters_Rpc,91.84053
CalibrationParameters_MeanX,140.60301
CalibrationParameters_MeanY,149.46791
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-54.100,4.928,-5.04,0.46,-5.04,0.46,INF,-1,0,7,0
20,1,1,-55.620,2.691,-5.18,0.25,-5.18,0.25,INF,-1,0,7,0
40,1,1,-56.811,4.625,-5.29,0.43,-5.29,0.43,INF,-1,0,7,0
60,1,1,-55.547,4.414,-5.18,0.41,-5.18,0.41,INF,-1,0,7,0
80,1,1,-55.430,3.125,-5.17,0.29,-5.17,0.29,INF,-1,0,7,0
100,1,1,-59.382,8.958,-5.53,0.83,-5.53,0.84,INF,-1,0,7,0
120,1,1,-61.502,7.248,-5.73,0.67,-5.73,0.68,INF,-1,0,7,0
140,1,1,-62.926,6.494,-5.86,0.60,-5.86,0.61,INF,-1,0,7,0
160,1,1,-59.253,6.952,-5.52,0.65,-5.52,0.65,INF,-1,0,7,0
180,1,1,-44.881,-4.793,-4.19,-0.45,-4.19,-0.45,INF,-1,0,7,0
200,1,1,-5.989,-15.396,-0.56,-1.44,-0.56,-1.44,INF,-1,0,7,0
220,1,1,-6.237,-12.533,-0.58,-1.17,-0.58,-1.17,INF,-1,0,7,0
240,1,1,-1.960,-13.560,-0.18,-1.27,-0.18,-1.27,INF,-1,0,7,0
260,1,1,-0.115,-13.877,-0.01,-1.30,-0.01,-1.30,INF,-1,0,7,0
280,1,1,1.455,-14.276,0.14,-1.33,0.14,-1.33,INF,-1,0,7,0
300,1,1,2.608,-13.307,0.24,-1.24,0.24,-1.24,INF,-1,0,7,0
320,1,1,1.071,-13.750,0.10,-1.28,0.10,-1.28,INF,-1,0,7,0
340,1,1,-16.793,-4.913,-1.57,-0.46,-1.57,-0.46,INF,-1,0,7,0
