"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.25115
CalibrationParameters_A12,0.07019
CalibrationParameters_A13,-0.06988
CalibrationParameters_A21,0.07562
CalibrationParameters_A22,-1.30096
CalibrationParameters_A23,0.01530
CalibrationParameters_A31,-0.00219
CalibrationParameters_A32,-0.00225
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,0.00017
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.20004
CalibrationParameters_X,-62.63859
CalibrationParameters_Y,-39.02758
CalibrationParameters_Rpc,87.46048
CalibrationParameters_MeanX,143.73535
CalibrationParameters_MeanY,161.42506
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-8.402,32.842,-0.79,3.07,-0.78,3.07,INF,-1,0,7,0
20,1,1,-8.606,31.682,-0.80,2.96,-0.80,2.96,INF,-1,0,7,0
40,1,1,-9.452,33.276,-0.88,3.11,-0.88,3.11,INF,-1,0,7,0
60,1,1,-10.001,33.357,-0.93,3.11,-0.93,3.11,INF,-1,0,7,0
80,1,1,-11.360,32.272,-1.06,3.01,-1.06,3.01,INF,-1,0,7,0
100,1,1,-8.844,32.536,-0.83,3.04,-0.83,3.04,INF,-1,0,7,0
120,1,1,-8.030,32.279,-0.75,3.01,-0.75,3.01,INF,-1,0,7,0
140,1,1,-10.481,33.256,-0.98,3.10,-0.98,3.11,INF,-1,0,7,0
160,1,1,-9.573,32.339,-0.89,3.02,-0.89,3.02,INF,-1,0,7,0
180,1,1,-8.065,31.095,-0.75,2.90,-0.75,2.90,INF,-1,0,7,0
200,1,1,-5.795,28.053,-0.54,2.62,-0.54,2.62,INF,-1,0,7,0
220,1,1,-1.486,24.337,-0.14,2.27,-0.14,2.27,INF,-1,0,7,0
240,1,1,-1.627,25.139,-0.15,2.35,-0.15,2.35,INF,-1,0,7,0
260,1,1,-1.363,25.539,-0.13,2.39,-0.13,2.39,INF,-1,0,7,0
280,1,1,-1.942,24.347,-0.18,2.27,-0.18,2.27,INF,-1,1,7,0
300,1,1,-0.978,25.432,-0.09,2.38,-0.09,2.38,INF,-1,1,7,0
320,1,1,-2.428,24.967,-0.23,2.33,-0.23,2.33,INF,-1,1,7,0
340,1,1,-1.313,24.884,-0.12,2.32,-0.12,2.32,INF,-1,1,7,0
360,1,1,-3.217,25.402,-0.30,2.37,-0.30,2.37,INF,-1,1,7,0
380,1,1,-2.196,24.792,-0.21,2.32,-0.21,2.32,INF,-1,1,7,0
400,1,1,-1.468,22.826,-0.14,2.13,-0.14,2.13,INF,-1,1,7,0
420,1,1,-2.997,23.967,-0.28,2.24,-0.28,2.24,INF,-1,1,7,0
440,1,1,-20.407,16.033,-1.91,1.50,-1.91,1.50,INF,-1,1,7,0
460,1,1,-14.619,16.291,-1.37,1.52,-1.37,1.52,INF,-1,1,7,0
480,1,1,-13.756,16.753,-1.29,1.57,-1.29,1.57,INF,-1,0,7,0
500,1,1,-14.001,15.029,-1.31,1.40,-1.31,1.40,INF,-1,0,7,0
520,1,1,-17.216,16.794,-1.61,1.57,-1.61,1.57,INF,-1,0,7,0
540,1,1,-17.125,16.945,-1.60,1.58,-1.60,1.58,INF,-1,0,7,0
560,1,1,-16.810,16.207,-1.57,1.51,-1.57,1.51,INF,-1,0,7,0
580,1,1,-17.298,16.568,-1.62,1.55,-1.62,1.55,INF,-1,0,7,0
600,1,1,-14.877,14.156,-1.39,1.32,-1.39,1.32,INF,-1,0,7,0
620,1,1,-16.077,15.254,-1.50,1.42,-1.50,1.43,INF,-1,0,7,0
640,1,1,-17.778,15.715,-1.66,1.47,-1.66,1.47,INF,-1,0,7,0
660,1,1,-18.088,16.306,-1.69,1.52,-1.69,1.52,INF,-1,0,7,0
680,1,1,-16.964,15.161,-1.59,1.42,-1.58,1.42,INF,-1,0,7,0
700,1,1,-18.066,15.028,-1.69,1.40,-1.69,1.40,INF,-1,0,7,0
720,1,1,-18.319,15.421,-1.71,1.44,-1.71,1.44,INF,-1,1,7,0
740,1,1,-17.534,15.818,-1.64,1.48,-1.64,1.48,INF,-1,1,7,0
760,1,1,-18.440,15.347,-1.72,1.43,-1.72,1.43,INF,-1,1,7,0
780,1,1,-25.794,11.243,-2.41,1.05,-2.41,1.05,INF,-1,1,7,0
800,1,1,-25.263,10.286,-2.36,0.96,-2.36,0.96,INF,-1,1,7,0
820,1,1,-26.854,11.947,-2.51,1.12,-2.51,1.12,INF,-1,0,7,0
840,1,1,-26.780,9.599,-2.50,0.90,-2.50,0.90,INF,-1,0,7,0
860,1,1,-26.826,11.734,-2.51,1.10,-2.51,1.10,INF,-1,0,7,0
880,1,1,-26.910,11.812,-2.51,1.10,-2.51,1.10,INF,-1,0,7,0
900,1,1,-26.388,11.980,-2.46,1.12,-2.46,1.12,INF,-1,0,7,0
