"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.27421
CalibrationParameters_A12,0.06223
CalibrationParameters_A13,0.01589
CalibrationParameters_A21,0.09316
CalibrationParameters_A22,-1.31189
CalibrationParameters_A23,-0.01394
CalibrationParameters_A31,-0.00223
CalibrationParameters_A32,-0.00196
CalibrationParameters_E11,-0.17984
CalibrationParameters_E12,-0.00026
CalibrationParameters_E21,-0.00010
CalibrationParameters_E22,0.20019
CalibrationParameters_X,-62.23182
CalibrationParameters_Y,-39.29553
CalibrationParameters_Rpc,87.35402
CalibrationParameters_MeanX,137.49427
CalibrationParameters_MeanY,153.64417
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-29.254,18.235,-2.73,1.70,-2.73,1.70,INF,-1,0,7,0
20,1,1,-27.930,18.776,-2.61,1.75,-2.61,1.75,INF,-1,0,7,0
40,1,1,-29.565,22.867,-2.76,2.13,-2.76,2.14,INF,-1,0,7,0
60,1,1,-27.483,20.053,-2.57,1.87,-2.57,1.87,INF,-1,0,7,0
80,1,1,-23.962,20.619,-2.24,1.93,-2.24,1.93,INF,-1,0,7,0
100,1,1,-26.911,20.997,-2.51,1.96,-2.51,1.96,INF,-1,0,7,0
120,1,1,-25.950,18.276,-2.42,1.71,-2.42,1.71,INF,-1,0,7,0
140,1,1,-26.213,20.752,-2.45,1.94,-2.45,1.94,INF,-1,0,7,0
160,1,1,-6.968,13.104,-0.65,1.22,-0.65,1.22,INF,-1,0,7,0
180,1,1,-1.996,9.120,-0.19,0.85,-0.19,0.85,INF,-1,0,7,0
200,1,1,-3.536,13.328,-0.33,1.25,-0.33,1.25,INF,-1,0,7,0
220,1,1,-2.914,10.419,-0.27,0.97,-0.27,0.97,INF,-1,0,7,0
240,1,1,-2.933,15.216,-0.27,1.42,-0.27,1.42,INF,-1,0,7,0
260,1,1,-1.322,12.095,-0.12,1.13,-0.12,1.13,INF,-1,0,7,0
280,1,1,-1.506,11.292,-0.14,1.06,-0.14,1.06,INF,-1,0,7,0
300,1,1,-3.794,9.928,-0.35,0.93,-0.35,0.93,INF,-1,0,7,0
320,1,1,-1.628,9.282,-0.15,0.87,-0.15,0.87,INF,-1,0,7,0
340,1,1,-2.087,12.106,-0.20,1.13,-0.20,1.13,INF,-1,0,7,0
360,1,1,-0.406,10.677,-0.04,1.00,-0.04,1.00,INF,-1,0,7,0
380,1,1,-1.861,11.407,-0.17,1.07,-0.17,1.07,INF,-1,0,7,0
400,1,1,-2.592,11.993,-0.24,1.12,-0.24,1.12,INF,-1,0,7,0
420,1,1,-1.780,7.688,-0.17,0.72,-0.17,0.72,INF,-1,0,7,0
440,1,1,1.891,6.630,0.18,0.62,0.18,0.62,INF,-1,1,7,0
460,1,1,8.629,5.334,0.81,0.50,0.81,0.50,INF,-1,1,7,0
480,1,1,8.848,6.021,0.83,0.56,0.83,0.56,INF,-1,1,7,0
500,1,1,10.042,6.036,0.94,0.56,0.94,0.56,INF,-1,0,7,0
520,1,1,10.491,5.022,0.98,0.47,0.98,0.47,INF,-1,0,7,0
540,1,1,9.792,4.400,0.92,0.41,0.92,0.41,INF,-1,0,7,0
560,1,1,10.370,5.400,0.97,0.50,0.97,0.50,INF,-1,0,7,0
580,1,1,5.358,4.795,0.50,0.45,0.50,0.45,INF,-1,0,7,0
600,1,1,3.859,6.592,0.36,0.62,0.36,0.62,INF,-1,0,7,0
620,1,1,6.633,6.514,0.62,0.61,0.62,0.61,INF,-1,0,7,0
640,1,1,9.000,5.051,0.84,0.47,0.84,0.47,INF,-1,0,7,0
660,1,1,6.653,4.967,0.62,0.46,0.62,0.46,INF,-1,0,7,0
680,1,1,6.929,3.558,0.65,0.33,0.65,0.33,INF,-1,0,7,0
700,1,1,4.037,5.855,0.38,0.55,0.38,0.55,INF,-1,0,7,0
720,1,1,7.003,4.313,0.65,0.40,0.65,0.40,INF,-1,0,7,0
740,1,1,5.891,4.605,0.55,0.43,0.55,0.43,INF,-1,1,7,0
760,1,1,5.014,4.374,0.47,0.41,0.47,0.41,INF,-1,1,7,0
780,1,1,-5.912,5.001,-0.55,0.47,-0.55,0.47,INF,-1,1,7,0
800,1,1,-5.970,2.964,-0.56,0.28,-0.56,0.28,INF,-1,1,7,0
