"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.31072
CalibrationParameters_A12,0.05547
CalibrationParameters_A13,0.03485
CalibrationParameters_A21,0.06986
CalibrationParameters_A22,-1.31758
CalibrationParameters_A23,-0.00168
CalibrationParameters_A31,-0.00313
CalibrationParameters_A32,-0.00317
CalibrationParameters_E11,-0.17992
CalibrationParameters_E12,-0.00004
CalibrationParameters_E21,-0.00023
CalibrationParameters_E22,0.19951
CalibrationParameters_X,-65.84323
CalibrationParameters_Y,-41.09891
CalibrationParameters_Rpc,83.77408
CalibrationParameters_MeanX,88.77360
CalibrationParameters_MeanY,150.50771
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,1,1,23.161,-26.826,2.16,-2.50,2.16,-2.51,INF,-1,0,7,0
140,1,1,17.238,4.801,1.61,0.45,1.61,0.45,INF,-1,0,7,0
160,1,1,17.278,4.152,1.61,0.39,1.61,0.39,INF,-1,0,7,0
180,1,1,16.051,7.244,1.50,0.68,1.50,0.68,INF,-1,0,7,0
200,1,1,20.666,7.675,1.93,0.72,1.93,0.72,INF,-1,0,7,0
220,1,1,20.270,5.593,1.89,0.52,1.89,0.52,INF,-1,0,7,0
240,1,1,13.867,7.925,1.30,0.74,1.30,0.74,INF,-1,0,7,0
260,1,1,14.378,8.382,1.34,0.78,1.34,0.78,INF,-1,0,7,0
280,1,1,14.873,7.773,1.39,0.73,1.39,0.73,INF,-1,0,7,0
300,1,1,14.468,8.614,1.35,0.80,1.35,0.81,INF,-1,0,7,0
320,1,1,14.015,9.010,1.31,0.84,1.31,0.84,INF,-1,0,7,0
340,1,1,14.807,8.737,1.38,0.82,1.38,0.82,INF,-1,0,7,0
360,1,1,14.226,10.274,1.33,0.96,1.33,0.96,INF,-1,0,7,0
380,1,1,-2.085,7.461,-0.19,0.70,-0.19,0.70,INF,-1,0,7,0
400,1,1,3.681,3.961,0.34,0.37,0.34,0.37,INF,-1,0,7,0
420,1,1,-1.115,4.795,-0.10,0.45,-0.10,0.45,INF,-1,1,7,0
440,1,1,0.386,3.213,0.04,0.30,0.04,0.30,INF,-1,1,7,0
460,1,1,-0.108,3.904,-0.01,0.36,-0.01,0.36,INF,-1,0,7,0
480,1,1,-0.074,3.491,-0.01,0.33,-0.01,0.33,INF,-1,0,7,0
500,1,1,-3.704,3.937,-0.35,0.37,-0.35,0.37,INF,-1,0,7,0
520,1,1,-1.345,4.367,-0.13,0.41,-0.13,0.41,INF,-1,0,7,0
540,1,1,-1.186,4.615,-0.11,0.43,-0.11,0.43,INF,-1,0,7,0
560,1,1,-1.990,1.866,-0.19,0.17,-0.19,0.17,INF,-1,0,7,0
580,1,1,-3.778,5.023,-0.35,0.47,-0.35,0.47,INF,-1,0,7,0
600,1,1,-7.085,-19.810,-0.66,-1.85,-0.66,-1.85,INF,-1,0,7,0
620,1,1,-1.316,-20.703,-0.12,-1.93,-0.12,-1.93,INF,-1,0,7,0
640,1,1,-5.375,-21.601,-0.50,-2.02,-0.50,-2.02,INF,-1,0,7,0
660,1,1,-2.121,-21.103,-0.20,-1.97,-0.20,-1.97,INF,-1,0,7,0
680,1,1,-5.129,-25.472,-0.48,-2.38,-0.48,-2.38,INF,-1,0,7,0
700,1,1,-2.569,-22.617,-0.24,-2.11,-0.24,-2.11,INF,-1,0,7,0
720,1,1,-4.215,-22.058,-0.39,-2.06,-0.39,-2.06,INF,-1,0,7,0
740,1,1,-2.973,-25.170,-0.28,-2.35,-0.28,-2.35,INF,-1,0,7,0
760,1,1,-4.376,-25.458,-0.41,-2.38,-0.41,-2.38,INF,-1,0,7,0
780,1,1,-2.602,-25.002,-0.24,-2.34,-0.24,-2.34,INF,-1,0,7,0
800,1,1,-5.961,-25.688,-0.56,-2.40,-0.56,-2.40,INF,-1,0,7,0
820,1,1,-3.199,-22.915,-0.30,-2.14,-0.30,-2.14,INF,-1,0,7,0
840,1,1,-2.678,-23.820,-0.25,-2.23,-0.25,-2.23,INF,-1,1,7,0
860,1,1,-2.453,-21.755,-0.23,-2.03,-0.23,-2.03,INF,-1,1,7,0
880,1,1,-4.132,-25.515,-0.39,-2.38,-0.39,-2.38,INF,-1,1,7,0
900,1,1,0.350,-25.007,0.03,-2.34,0.03,-2.34,INF,-1,1,7,0
920,1,1,-1.754,-23.089,-0.16,-2.16,-0.16,-2.16,INF,-1,1,7,0
940,1,1,-4.608,-24.952,-0.43,-2.33,-0.43,-2.33,INF,-1,1,7,0
960,1,1,-2.900,-23.108,-0.27,-2.16,-0.27,-2.16,INF,-1,1,7,0
980,1,1,-0.088,-24.074,-0.01,-2.25,-0.01,-2.25,INF,-1,1,7,0
1000,1,1,-6.099,-24.910,-0.57,-2.33,-0.57,-2.33,INF,-1,1,7,0
1020,1,1,0.021,-23.380,0.00,-2.18,0.00,-2.18,INF,-1,1,7,0
1040,1,1,-0.320,-26.669,-0.03,-2.49,-0.03,-2.49,INF,-1,1,7,0
1060,1,1,-1.178,-27.939,-0.11,-2.61,-0.11,-2.61,INF,-1,1,7,0
1080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
1340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
