"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06019
CalibrationParameters_A12,0.10798
CalibrationParameters_A13,-0.00692
CalibrationParameters_A21,0.05850
CalibrationParameters_A22,-1.09836
CalibrationParameters_A23,-0.01520
CalibrationParameters_A31,-0.00009
CalibrationParameters_A32,-0.00030
CalibrationParameters_E11,-0.17994
CalibrationParameters_E12,0.00004
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.20001
CalibrationParameters_X,-23.63416
CalibrationParameters_Y,-29.03496
CalibrationParameters_Rpc,84.43203
CalibrationParameters_MeanX,132.44382
CalibrationParameters_MeanY,150.37990
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-1.588,-15.512,-0.15,-1.45,-0.15,-1.45,INF,-1,0,7,0
40,1,1,-0.760,-13.480,-0.07,-1.26,-0.07,-1.26,INF,-1,0,7,0
60,1,1,0.516,-12.209,0.05,-1.14,0.05,-1.14,INF,-1,0,7,0
80,1,1,2.100,-13.912,0.20,-1.30,0.20,-1.30,INF,-1,0,7,0
100,1,1,2.690,-13.031,0.25,-1.22,0.25,-1.22,INF,-1,0,7,0
120,1,1,0.086,-13.625,0.01,-1.27,0.01,-1.27,INF,-1,0,7,0
140,1,1,0.424,-14.231,0.04,-1.33,0.04,-1.33,INF,-1,0,7,0
160,1,1,2.515,-12.807,0.24,-1.20,0.23,-1.20,INF,-1,0,7,0
180,1,1,1.285,-13.163,0.12,-1.23,0.12,-1.23,INF,-1,0,7,0
200,1,1,1.926,-12.861,0.18,-1.20,0.18,-1.20,INF,-1,0,7,0
220,1,1,0.326,-13.777,0.03,-1.29,0.03,-1.29,INF,-1,0,7,0
240,1,1,2.190,-12.256,0.20,-1.15,0.20,-1.15,INF,-1,0,7,0
260,1,1,2.475,-13.544,0.23,-1.27,0.23,-1.27,INF,-1,0,7,0
280,1,1,3.593,-13.285,0.34,-1.24,0.34,-1.24,INF,-1,0,7,0
