"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05170
CalibrationParameters_A12,0.06893
CalibrationParameters_A13,0.01391
CalibrationParameters_A21,0.05060
CalibrationParameters_A22,-1.10632
CalibrationParameters_A23,-0.00060
CalibrationParameters_A31,0.00008
CalibrationParameters_A32,-0.00031
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,-0.00003
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20000
CalibrationParameters_X,-23.19219
CalibrationParameters_Y,-28.98307
CalibrationParameters_Rpc,82.86575
CalibrationParameters_MeanX,119.42242
CalibrationParameters_MeanY,134.81725
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-7.777,13.545,-0.73,1.27,-0.73,1.27,INF,-1,0,7,0
20,1,1,-10.171,14.689,-0.95,1.37,-0.95,1.37,INF,-1,0,7,0
40,1,1,-8.582,13.880,-0.80,1.30,-0.80,1.30,INF,-1,0,7,0
60,1,1,-8.553,13.465,-0.80,1.26,-0.80,1.26,INF,-1,0,7,0
80,1,1,-10.774,13.902,-1.01,1.30,-1.01,1.30,INF,-1,0,7,0
100,1,1,-9.696,14.032,-0.91,1.31,-0.91,1.31,INF,-1,0,7,0
120,1,1,-9.489,12.972,-0.89,1.21,-0.89,1.21,INF,-1,0,7,0
140,1,1,-8.579,13.312,-0.80,1.24,-0.80,1.24,INF,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,1,1,-10.151,12.959,-0.95,1.21,-0.95,1.21,INF,-1,0,7,0
200,1,1,-9.777,13.182,-0.91,1.23,-0.91,1.23,INF,-1,0,7,0
220,1,1,-8.457,12.473,-0.79,1.17,-0.79,1.17,INF,-1,0,7,0
240,1,1,-9.579,13.645,-0.90,1.28,-0.90,1.28,INF,-1,0,7,0
260,1,1,-9.736,11.543,-0.91,1.08,-0.91,1.08,INF,-1,0,7,0
280,1,1,7.870,23.718,0.74,2.22,0.74,2.22,INF,-1,1,7,0
300,1,1,5.726,20.524,0.54,1.92,0.53,1.92,INF,-1,1,7,0
320,1,1,7.170,20.511,0.67,1.92,0.67,1.92,INF,-1,0,7,0
340,1,1,5.928,19.975,0.55,1.87,0.55,1.87,INF,-1,0,7,0
360,1,1,6.982,23.018,0.65,2.15,0.65,2.15,INF,-1,0,7,0
380,1,1,8.100,22.447,0.76,2.10,0.76,2.10,INF,-1,0,7,0
400,1,1,7.564,21.848,0.71,2.04,0.71,2.04,INF,-1,0,7,0
420,1,1,7.063,22.546,0.66,2.11,0.66,2.11,INF,-1,0,7,0
440,1,1,9.324,22.170,0.87,2.07,0.87,2.07,INF,-1,0,7,0
460,1,1,6.663,22.628,0.62,2.11,0.62,2.11,INF,-1,0,7,0
480,1,1,9.312,24.406,0.87,2.28,0.87,2.28,INF,-1,0,7,0
500,1,1,8.368,23.630,0.78,2.21,0.78,2.21,INF,-1,0,7,0
520,1,1,8.600,22.396,0.80,2.09,0.80,2.09,INF,-1,0,7,0
540,1,1,9.824,22.572,0.92,2.11,0.92,2.11,INF,-1,0,7,0
560,1,1,8.399,24.340,0.79,2.27,0.78,2.27,INF,-1,1,7,0
580,1,1,8.168,22.549,0.76,2.11,0.76,2.11,INF,-1,1,7,0
600,1,1,8.865,22.081,0.83,2.06,0.83,2.06,INF,-1,1,7,0
