"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05170
CalibrationParameters_A12,0.06893
CalibrationParameters_A13,0.01391
CalibrationParameters_A21,0.05060
CalibrationParameters_A22,-1.10632
CalibrationParameters_A23,-0.00060
CalibrationParameters_A31,0.00008
CalibrationParameters_A32,-0.00031
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,-0.00003
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20000
CalibrationParameters_X,-23.19219
CalibrationParameters_Y,-28.98307
CalibrationParameters_Rpc,82.86575
CalibrationParameters_MeanX,119.42242
CalibrationParameters_MeanY,134.81725
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,5.404,0.349,0.51,0.03,0.51,0.03,INF,-1,0,7,0
20,1,1,4.737,0.818,0.44,0.08,0.44,0.08,INF,-1,0,7,0
40,1,1,4.273,1.660,0.40,0.16,0.40,0.16,INF,-1,0,7,0
60,1,1,7.464,-0.589,0.70,-0.06,0.70,-0.06,INF,-1,0,7,0
80,1,1,16.801,2.183,1.57,0.20,1.57,0.20,INF,-1,0,7,0
100,1,1,17.135,2.170,1.60,0.20,1.60,0.20,INF,-1,0,7,0
120,1,1,15.465,3.396,1.45,0.32,1.45,0.32,INF,-1,0,7,0
140,1,1,15.454,3.366,1.44,0.31,1.44,0.31,INF,-1,0,7,0
160,1,1,16.502,2.942,1.54,0.27,1.54,0.28,INF,-1,0,7,0
180,1,1,16.870,2.685,1.58,0.25,1.58,0.25,INF,-1,0,7,0
200,1,1,15.544,3.262,1.45,0.30,1.45,0.30,INF,-1,0,7,0
220,1,1,14.316,4.212,1.34,0.39,1.34,0.39,INF,-1,0,7,0
240,1,1,16.736,3.554,1.56,0.33,1.56,0.33,INF,-1,0,7,0
260,1,1,16.047,4.084,1.50,0.38,1.50,0.38,INF,-1,0,7,0
280,1,1,16.026,3.598,1.50,0.34,1.50,0.34,INF,-1,1,7,0
300,1,1,15.204,4.321,1.42,0.40,1.42,0.40,INF,-1,1,7,0
320,1,1,3.615,5.411,0.34,0.51,0.34,0.51,INF,-1,1,7,0
340,1,1,4.507,7.076,0.42,0.66,0.42,0.66,INF,-1,1,7,0
360,1,1,5.024,5.685,0.47,0.53,0.47,0.53,INF,-1,1,7,0
380,1,1,2.984,6.970,0.28,0.65,0.28,0.65,INF,-1,1,7,0
400,1,1,5.813,6.601,0.54,0.62,0.54,0.62,INF,-1,1,7,0
420,1,1,5.347,6.235,0.50,0.58,0.50,0.58,INF,-1,1,7,0
440,1,1,5.639,5.917,0.53,0.55,0.53,0.55,INF,-1,1,7,0
460,1,1,5.610,8.852,0.52,0.83,0.52,0.83,INF,-1,1,7,0
480,1,1,6.899,5.686,0.64,0.53,0.64,0.53,INF,-1,1,7,0
500,1,1,6.129,7.933,0.57,0.74,0.57,0.74,INF,-1,1,7,0
520,1,1,7.056,7.282,0.66,0.68,0.66,0.68,INF,-1,1,7,0
540,1,1,6.597,6.470,0.62,0.60,0.62,0.60,INF,-1,1,7,0
560,1,1,6.360,6.795,0.59,0.64,0.59,0.64,INF,-1,1,7,0
580,1,1,7.422,7.470,0.69,0.70,0.69,0.70,INF,-1,1,7,0
600,1,1,9.039,8.138,0.84,0.76,0.84,0.76,INF,-1,1,7,0
620,1,1,7.653,8.706,0.72,0.81,0.72,0.81,INF,-1,1,7,0
640,1,1,6.590,8.895,0.62,0.83,0.62,0.83,INF,-1,1,7,0
660,1,1,4.336,9.123,0.41,0.85,0.41,0.85,INF,-1,1,7,0
680,1,1,4.213,11.624,0.39,1.09,0.39,1.09,INF,-1,1,7,0
700,1,1,5.753,11.299,0.54,1.06,0.54,1.06,INF,-1,0,7,0
720,1,1,4.223,10.590,0.39,0.99,0.39,0.99,INF,-1,0,7,0
740,1,1,4.700,11.116,0.44,1.04,0.44,1.04,INF,-1,0,7,0
760,1,1,3.330,12.125,0.31,1.13,0.31,1.13,INF,-1,0,7,0
780,1,1,5.497,10.738,0.51,1.00,0.51,1.00,INF,-1,0,7,0
800,1,1,5.942,12.337,0.56,1.15,0.56,1.15,INF,-1,0,7,0
820,1,1,6.963,11.055,0.65,1.03,0.65,1.03,INF,-1,0,7,0
840,1,1,4.518,11.540,0.42,1.08,0.42,1.08,INF,-1,0,7,0
860,1,1,4.338,12.504,0.41,1.17,0.41,1.17,INF,-1,0,7,0
880,1,1,5.782,12.017,0.54,1.12,0.54,1.12,INF,-1,0,7,0
900,1,1,4.773,11.984,0.45,1.12,0.45,1.12,INF,-1,0,7,0
920,1,1,8.558,11.604,0.80,1.08,0.80,1.08,INF,-1,0,7,0
940,1,1,5.375,10.262,0.50,0.96,0.50,0.96,INF,-1,1,7,0
960,1,1,7.598,11.152,0.71,1.04,0.71,1.04,INF,-1,1,7,0
980,1,1,6.426,10.509,0.60,0.98,0.60,0.98,INF,-1,1,7,0
1000,1,1,5.820,11.254,0.54,1.05,0.54,1.05,INF,-1,1,7,0
1020,1,1,5.740,12.706,0.54,1.19,0.54,1.19,INF,-1,1,7,0
1040,1,1,7.706,12.242,0.72,1.14,0.72,1.14,INF,-1,1,7,0
1060,1,1,6.998,11.815,0.65,1.10,0.65,1.10,INF,-1,1,7,0
1080,1,1,7.887,12.065,0.74,1.13,0.74,1.13,INF,-1,1,7,0
1100,1,1,8.877,10.749,0.83,1.00,0.83,1.00,INF,-1,1,7,0
1120,1,1,19.839,9.817,1.85,0.92,1.85,0.92,INF,-1,1,7,0
1140,1,1,18.916,7.947,1.77,0.74,1.77,0.74,INF,-1,1,7,0
1160,1,1,19.888,7.905,1.86,0.74,1.86,0.74,INF,-1,0,7,0
1180,1,1,19.350,7.036,1.81,0.66,1.81,0.66,INF,-1,0,7,0
1200,1,1,19.769,9.142,1.85,0.85,1.85,0.85,INF,-1,0,7,0
1220,1,1,21.231,8.100,1.98,0.76,1.98,0.76,INF,-1,0,7,0
1240,1,1,22.251,6.693,2.08,0.63,2.08,0.63,INF,-1,0,7,0
1260,1,1,20.165,8.722,1.88,0.81,1.88,0.82,INF,-1,0,7,0
1280,1,1,21.045,6.291,1.97,0.59,1.97,0.59,INF,-1,0,7,0
1300,1,1,20.605,7.287,1.93,0.68,1.93,0.68,INF,-1,0,7,0
1320,1,1,20.480,6.399,1.91,0.60,1.91,0.60,INF,-1,0,7,0
1340,1,1,19.491,6.608,1.82,0.62,1.82,0.62,INF,-1,0,7,0
1360,1,1,20.261,6.812,1.89,0.64,1.89,0.64,INF,-1,0,7,0
1380,1,1,21.539,6.282,2.01,0.59,2.01,0.59,INF,-1,0,7,0
