"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.30596
CalibrationParameters_A12,0.06994
CalibrationParameters_A13,-0.04095
CalibrationParameters_A21,0.06988
CalibrationParameters_A22,-1.29387
CalibrationParameters_A23,0.01634
CalibrationParameters_A31,-0.00158
CalibrationParameters_A32,-0.00901
CalibrationParameters_E11,-0.17979
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,0.00035
CalibrationParameters_E22,0.20015
CalibrationParameters_X,-58.14741
CalibrationParameters_Y,-47.70878
CalibrationParameters_Rpc,86.31714
CalibrationParameters_MeanX,150.37327
CalibrationParameters_MeanY,127.93556
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,9.763,1.571,0.91,0.15,0.91,0.15,INF,-1,0,7,0
20,1,1,12.679,2.209,1.18,0.21,1.18,0.21,INF,-1,0,7,0
40,1,1,16.105,5.841,1.50,0.55,1.50,0.55,INF,-1,0,7,0
60,1,1,16.860,6.631,1.58,0.62,1.58,0.62,INF,-1,0,7,0
80,1,1,15.816,8.423,1.48,0.79,1.48,0.79,INF,-1,0,7,0
100,1,1,17.348,7.440,1.62,0.70,1.62,0.70,INF,-1,0,7,0
120,1,1,16.512,7.383,1.54,0.69,1.54,0.69,INF,-1,0,7,0
140,1,1,18.189,8.927,1.70,0.83,1.70,0.83,INF,-1,0,7,0
160,1,1,14.812,6.913,1.38,0.65,1.38,0.65,INF,-1,0,7,0
180,1,1,13.494,5.677,1.26,0.53,1.26,0.53,INF,-1,0,7,0
200,1,1,14.480,6.008,1.35,0.56,1.35,0.56,INF,-1,0,7,0
220,1,1,15.067,5.908,1.41,0.55,1.41,0.55,INF,-1,0,7,0
240,1,1,13.372,5.261,1.25,0.49,1.25,0.49,INF,-1,0,7,0
260,1,1,-5.133,11.320,-0.48,1.06,-0.48,1.06,INF,-1,0,7,0
280,1,1,-7.016,12.575,-0.66,1.18,-0.66,1.18,INF,-1,1,7,0
300,1,1,-5.784,13.819,-0.54,1.29,-0.54,1.29,INF,-1,0,7,0
320,1,1,-6.242,12.418,-0.58,1.16,-0.58,1.16,INF,-1,0,7,0
340,1,1,-8.163,14.218,-0.76,1.33,-0.76,1.33,INF,-1,0,7,0
360,1,1,-5.350,12.990,-0.50,1.21,-0.50,1.21,INF,-1,0,7,0
380,1,1,-5.679,13.321,-0.53,1.24,-0.53,1.24,INF,-1,0,7,0
400,1,1,-7.019,13.192,-0.66,1.23,-0.66,1.23,INF,-1,0,7,0
420,1,1,6.694,11.559,0.63,1.08,0.63,1.08,INF,-1,0,7,0
440,1,1,13.422,15.531,1.25,1.45,1.25,1.45,INF,-1,0,7,0
460,1,1,11.617,14.921,1.09,1.39,1.09,1.39,INF,-1,0,7,0
480,1,1,10.430,15.355,0.97,1.43,0.97,1.43,INF,-1,0,7,0
500,1,1,9.113,13.576,0.85,1.27,0.85,1.27,INF,-1,0,7,0
520,1,1,9.851,15.066,0.92,1.41,0.92,1.41,INF,-1,0,7,0
540,1,1,9.510,15.419,0.89,1.44,0.89,1.44,INF,-1,1,7,0
560,1,1,9.121,15.911,0.85,1.49,0.85,1.49,INF,-1,1,7,0
580,1,1,9.889,15.174,0.92,1.42,0.92,1.42,INF,-1,1,7,0
600,1,1,11.134,14.995,1.04,1.40,1.04,1.40,INF,-1,1,7,0
620,1,1,10.103,13.780,0.94,1.29,0.94,1.29,INF,-1,1,7,0
640,1,1,10.198,14.712,0.95,1.37,0.95,1.37,INF,-1,1,7,0
660,1,1,7.471,15.636,0.70,1.46,0.70,1.46,INF,-1,1,7,0
680,1,1,8.260,13.806,0.77,1.29,0.77,1.29,INF,-1,1,7,0
700,1,1,10.672,14.472,1.00,1.35,1.00,1.35,INF,-1,1,7,0
720,1,1,8.993,14.983,0.84,1.40,0.84,1.40,INF,-1,1,7,0
