"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.23246
CalibrationParameters_A12,0.05913
CalibrationParameters_A13,0.00685
CalibrationParameters_A21,0.10181
CalibrationParameters_A22,-1.20630
CalibrationParameters_A23,0.06550
CalibrationParameters_A31,-0.00031
CalibrationParameters_A32,-0.00428
CalibrationParameters_E11,-0.18016
CalibrationParameters_E12,-0.00041
CalibrationParameters_E21,-0.00013
CalibrationParameters_E22,0.19997
CalibrationParameters_X,-50.37233
CalibrationParameters_Y,-44.41848
CalibrationParameters_Rpc,84.77007
CalibrationParameters_MeanX,126.46340
CalibrationParameters_MeanY,136.09333
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-0.210,10.063,-0.02,0.94,-0.02,0.94,INF,-1,0,7,0
20,1,1,0.260,10.370,0.02,0.97,0.02,0.97,INF,-1,0,7,0
40,1,1,0.028,10.458,0.00,0.98,0.00,0.98,INF,-1,0,7,0
60,1,1,0.311,9.694,0.03,0.91,0.03,0.91,INF,-1,0,7,0
80,1,1,0.960,9.093,0.09,0.85,0.09,0.85,INF,-1,0,7,0
100,1,1,0.411,9.096,0.04,0.85,0.04,0.85,INF,-1,0,7,0
120,1,1,0.779,10.062,0.07,0.94,0.07,0.94,INF,-1,0,7,0
140,1,1,-0.778,10.486,-0.07,0.98,-0.07,0.98,INF,-1,0,7,0
160,1,1,0.334,10.465,0.03,0.98,0.03,0.98,INF,-1,0,7,0
180,1,1,1.305,10.627,0.12,0.99,0.12,0.99,INF,-1,0,7,0
200,1,1,1.723,9.990,0.16,0.93,0.16,0.93,INF,-1,0,7,0
220,1,1,-0.134,10.905,-0.01,1.02,-0.01,1.02,INF,-1,0,7,0
240,1,1,1.191,9.681,0.11,0.90,0.11,0.90,INF,-1,0,7,0
260,1,1,-0.710,10.765,-0.07,1.01,-0.07,1.01,INF,-1,0,7,0
280,1,1,-0.700,11.073,-0.07,1.03,-0.07,1.03,INF,-1,1,7,0
300,1,1,1.068,10.830,0.10,1.01,0.10,1.01,INF,-1,1,7,0
320,1,1,-11.703,8.790,-1.09,0.82,-1.09,0.82,INF,-1,1,7,0
340,1,1,-10.099,8.386,-0.94,0.78,-0.94,0.78,INF,-1,1,7,0
360,1,1,-10.525,8.163,-0.98,0.76,-0.98,0.76,INF,-1,0,7,0
380,1,1,-9.533,8.140,-0.89,0.76,-0.89,0.76,INF,-1,0,7,0
400,1,1,-10.045,7.791,-0.94,0.73,-0.94,0.73,INF,-1,0,7,0
420,1,1,-11.501,9.494,-1.07,0.89,-1.07,0.89,INF,-1,0,7,0
440,1,1,-10.053,9.294,-0.94,0.87,-0.94,0.87,INF,-1,0,7,0
460,1,1,-9.613,9.003,-0.90,0.84,-0.90,0.84,INF,-1,0,7,0
480,1,1,-10.992,8.314,-1.03,0.78,-1.03,0.78,INF,-1,0,7,0
500,1,1,-10.555,9.318,-0.99,0.87,-0.99,0.87,INF,-1,0,7,0
520,1,1,-9.961,9.651,-0.93,0.90,-0.93,0.90,INF,-1,0,7,0
540,1,1,-10.798,10.423,-1.01,0.97,-1.01,0.97,INF,-1,0,7,0
560,1,1,-10.168,9.434,-0.95,0.88,-0.95,0.88,INF,-1,0,7,0
580,1,1,-9.911,9.820,-0.93,0.92,-0.93,0.92,INF,-1,0,7,0
600,1,1,-10.634,9.527,-0.99,0.89,-0.99,0.89,INF,-1,1,7,0
620,1,1,-10.452,9.075,-0.98,0.85,-0.98,0.85,INF,-1,1,7,0
640,1,1,-9.104,8.773,-0.85,0.82,-0.85,0.82,INF,-1,1,7,0
660,1,1,-11.211,9.258,-1.05,0.87,-1.05,0.87,INF,-1,1,7,0
680,1,1,-10.394,8.538,-0.97,0.80,-0.97,0.80,INF,-1,1,7,0
700,1,1,-11.433,9.544,-1.07,0.89,-1.07,0.89,INF,-1,1,7,0
720,1,1,-11.816,9.113,-1.10,0.85,-1.10,0.85,INF,-1,1,7,0
740,1,1,-10.906,10.470,-1.02,0.98,-1.02,0.98,INF,-1,1,7,0
760,1,1,-9.905,9.082,-0.93,0.85,-0.93,0.85,INF,-1,1,7,0
780,1,1,-11.086,8.460,-1.04,0.79,-1.04,0.79,INF,-1,1,7,0
800,1,1,-11.602,9.992,-1.08,0.93,-1.08,0.93,INF,-1,1,7,0
820,1,1,-11.860,9.284,-1.11,0.87,-1.11,0.87,INF,-1,1,7,0
840,1,1,-10.624,9.250,-0.99,0.86,-0.99,0.86,INF,-1,1,7,0
860,1,1,-11.238,7.440,-1.05,0.70,-1.05,0.70,INF,-1,1,7,0
880,1,1,-8.937,2.347,-0.84,0.22,-0.84,0.22,INF,-1,1,7,0
900,1,1,-10.647,3.936,-1.00,0.37,-0.99,0.37,INF,-1,1,7,0
920,1,1,-9.792,3.446,-0.92,0.32,-0.92,0.32,INF,-1,1,7,0
940,1,1,-11.330,4.499,-1.06,0.42,-1.06,0.42,INF,-1,1,7,0
960,1,1,-10.817,3.901,-1.01,0.36,-1.01,0.36,INF,-1,1,7,0
