"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19172
CalibrationParameters_A12,0.09118
CalibrationParameters_A13,0.01406
CalibrationParameters_A21,0.04975
CalibrationParameters_A22,-1.24742
CalibrationParameters_A23,0.06522
CalibrationParameters_A31,-0.00006
CalibrationParameters_A32,-0.00673
CalibrationParameters_E11,-0.18038
CalibrationParameters_E12,0.00042
CalibrationParameters_E21,0.00044
CalibrationParameters_E22,0.19992
CalibrationParameters_X,-47.05343
CalibrationParameters_Y,-45.07549
CalibrationParameters_Rpc,85.28228
CalibrationParameters_MeanX,140.35997
CalibrationParameters_MeanY,147.38031
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-0.588,-1.054,-0.05,-0.10,-0.05,-0.10,INF,-1,0,7,0
20,1,1,-2.267,0.881,-0.21,0.08,-0.21,0.08,INF,-1,0,7,0
40,1,1,-2.504,0.305,-0.23,0.03,-0.23,0.03,INF,-1,0,7,0
60,1,1,-2.207,0.617,-0.21,0.06,-0.21,0.06,INF,-1,0,7,0
80,1,1,-3.199,-0.207,-0.30,-0.02,-0.30,-0.02,INF,-1,0,7,0
100,1,1,-2.369,0.044,-0.22,0.00,-0.22,0.00,INF,-1,0,7,0
120,1,1,-2.436,-1.242,-0.23,-0.12,-0.23,-0.12,INF,-1,0,7,0
140,1,1,-1.627,-0.653,-0.15,-0.06,-0.15,-0.06,INF,-1,0,7,0
160,1,1,-2.259,-0.605,-0.21,-0.06,-0.21,-0.06,INF,-1,0,7,0
180,1,1,-2.124,-1.721,-0.20,-0.16,-0.20,-0.16,INF,-1,0,7,0
200,1,1,-1.782,-2.739,-0.17,-0.26,-0.17,-0.26,INF,-1,0,7,0
220,1,1,-2.038,-1.870,-0.19,-0.17,-0.19,-0.17,INF,-1,0,7,0
240,1,1,-2.244,-1.143,-0.21,-0.11,-0.21,-0.11,INF,-1,0,7,0
260,1,1,-9.255,-1.260,-0.87,-0.12,-0.87,-0.12,INF,-1,0,7,0
280,1,1,51.704,-21.824,4.82,-2.03,4.82,-2.04,INF,-1,1,7,0
300,1,1,45.824,-18.609,4.28,-1.73,4.27,-1.74,INF,-1,0,7,0
320,1,1,43.749,-18.955,4.08,-1.77,4.08,-1.77,INF,-1,0,7,0
340,1,1,43.784,-17.335,4.09,-1.62,4.08,-1.62,INF,-1,0,7,0
360,1,1,44.518,-19.330,4.15,-1.80,4.15,-1.81,INF,-1,0,7,0
380,1,1,43.862,-19.148,4.09,-1.78,4.09,-1.79,INF,-1,0,7,0
400,1,1,43.075,-18.160,4.02,-1.69,4.02,-1.70,INF,-1,0,7,0
420,1,1,42.914,-17.707,4.00,-1.65,4.00,-1.65,INF,-1,0,7,0
440,1,1,42.346,-18.454,3.95,-1.72,3.95,-1.72,INF,-1,0,7,0
460,1,1,42.915,-18.284,4.00,-1.70,4.00,-1.71,INF,-1,0,7,0
480,1,1,41.670,-18.975,3.89,-1.77,3.89,-1.77,INF,-1,0,7,0
500,1,1,40.785,-18.107,3.81,-1.69,3.80,-1.69,INF,-1,0,7,0
520,1,1,41.853,-18.135,3.91,-1.69,3.90,-1.69,INF,-1,0,7,0
