"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.16497
CalibrationParameters_A12,0.09130
CalibrationParameters_A13,0.00548
CalibrationParameters_A21,0.06807
CalibrationParameters_A22,-1.22696
CalibrationParameters_A23,-0.00840
CalibrationParameters_A31,-0.00011
CalibrationParameters_A32,-0.00640
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,0.00006
CalibrationParameters_E22,0.19976
CalibrationParameters_X,-42.86705
CalibrationParameters_Y,-45.61417
CalibrationParameters_Rpc,82.14636
CalibrationParameters_MeanX,124.58031
CalibrationParameters_MeanY,140.72951
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-2.408,1.790,-0.23,0.17,-0.23,0.17,INF,-1,0,7,0
20,1,1,-2.510,1.152,-0.23,0.11,-0.23,0.11,INF,-1,0,7,0
40,1,1,-2.878,1.030,-0.27,0.10,-0.27,0.10,INF,-1,0,7,0
60,1,1,-2.083,1.246,-0.19,0.12,-0.19,0.12,INF,-1,0,7,0
80,1,1,-2.932,1.547,-0.27,0.14,-0.27,0.14,INF,-1,0,7,0
100,1,1,-2.739,1.009,-0.26,0.09,-0.26,0.09,INF,-1,0,7,0
120,1,1,-2.365,1.630,-0.22,0.15,-0.22,0.15,INF,-1,0,7,0
140,1,1,-2.275,-0.028,-0.21,0.00,-0.21,0.00,INF,-1,0,7,0
160,1,1,-2.577,-0.276,-0.24,-0.03,-0.24,-0.03,INF,-1,0,7,0
180,1,1,-2.732,-0.756,-0.26,-0.07,-0.26,-0.07,INF,-1,0,7,0
200,1,1,-3.347,-0.653,-0.31,-0.06,-0.31,-0.06,INF,-1,0,7,0
220,1,1,-2.523,-0.847,-0.24,-0.08,-0.24,-0.08,INF,-1,0,7,0
240,1,1,2.467,8.380,0.23,0.78,0.23,0.78,INF,-1,0,7,0
260,1,1,0.947,7.240,0.09,0.68,0.09,0.68,INF,-1,0,7,0
280,1,1,3.018,7.529,0.28,0.70,0.28,0.70,INF,-1,1,7,0
300,1,1,1.632,7.565,0.15,0.71,0.15,0.71,INF,-1,1,7,0
320,1,1,0.201,8.150,0.02,0.76,0.02,0.76,INF,-1,1,7,0
340,1,1,1.175,7.142,0.11,0.67,0.11,0.67,INF,-1,1,7,0
360,1,1,1.439,7.588,0.13,0.71,0.13,0.71,INF,-1,1,7,0
380,1,1,4.066,11.993,0.38,1.12,0.38,1.12,INF,-1,1,7,0
400,1,1,4.138,12.936,0.39,1.21,0.39,1.21,INF,-1,1,7,0
420,1,1,2.822,13.325,0.26,1.25,0.26,1.25,INF,-1,0,7,0
440,1,1,3.811,14.117,0.36,1.32,0.36,1.32,INF,-1,0,7,0
460,1,1,2.911,14.630,0.27,1.37,0.27,1.37,INF,-1,0,7,0
480,1,1,2.618,14.656,0.24,1.37,0.24,1.37,INF,-1,0,7,0
500,1,1,1.314,14.484,0.12,1.35,0.12,1.35,INF,-1,0,7,0
520,1,1,2.316,15.042,0.22,1.41,0.22,1.41,INF,-1,0,7,0
540,1,1,2.424,14.711,0.23,1.37,0.23,1.37,INF,-1,0,7,0
560,1,1,2.120,15.442,0.20,1.44,0.20,1.44,INF,-1,0,7,0
580,1,1,2.096,14.979,0.20,1.40,0.20,1.40,INF,-1,0,7,0
600,1,1,2.250,15.488,0.21,1.45,0.21,1.45,INF,-1,0,7,0
620,1,1,2.082,14.835,0.19,1.39,0.19,1.39,INF,-1,0,7,0
640,1,1,2.070,14.293,0.19,1.34,0.19,1.34,INF,-1,0,7,0
660,1,1,1.652,14.175,0.15,1.32,0.15,1.32,INF,-1,1,7,0
680,1,1,2.349,14.826,0.22,1.39,0.22,1.39,INF,-1,1,7,0
700,1,1,0.975,15.304,0.09,1.43,0.09,1.43,INF,-1,1,7,0
720,1,1,2.844,16.818,0.27,1.57,0.27,1.57,INF,-1,1,7,0
740,1,1,2.217,16.457,0.21,1.54,0.21,1.54,INF,-1,1,7,0
