"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.17696
CalibrationParameters_A12,0.10310
CalibrationParameters_A13,0.01243
CalibrationParameters_A21,0.05664
CalibrationParameters_A22,-1.25359
CalibrationParameters_A23,-0.01316
CalibrationParameters_A31,-0.00029
CalibrationParameters_A32,-0.00682
CalibrationParameters_E11,-0.17997
CalibrationParameters_E12,0.00012
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.19969
CalibrationParameters_X,-45.93291
CalibrationParameters_Y,-45.74223
CalibrationParameters_Rpc,82.62157
CalibrationParameters_MeanX,128.92893
CalibrationParameters_MeanY,139.28117
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.106,12.883,-0.94,1.20,-0.94,1.20,INF,-1,0,7,0
20,1,1,-10.234,11.772,-0.96,1.10,-0.96,1.10,INF,-1,0,7,0
40,1,1,-11.189,12.211,-1.05,1.14,-1.05,1.14,INF,-1,0,7,0
60,1,1,-10.825,11.360,-1.01,1.06,-1.01,1.06,INF,-1,0,7,0
80,1,1,-9.864,11.626,-0.92,1.09,-0.92,1.09,INF,-1,0,7,0
100,1,1,-10.450,11.616,-0.98,1.09,-0.98,1.09,INF,-1,0,7,0
120,1,1,-10.813,11.085,-1.01,1.04,-1.01,1.04,INF,-1,0,7,0
140,1,1,-9.790,11.468,-0.91,1.07,-0.91,1.07,INF,-1,0,7,0
160,1,1,-10.115,11.631,-0.95,1.09,-0.95,1.09,INF,-1,0,7,0
180,1,1,-9.801,11.145,-0.92,1.04,-0.92,1.04,INF,-1,0,7,0
200,1,1,-9.625,11.129,-0.90,1.04,-0.90,1.04,INF,-1,0,7,0
220,1,1,-10.346,11.821,-0.97,1.10,-0.97,1.10,INF,-1,0,7,0
240,1,1,-10.371,11.281,-0.97,1.05,-0.97,1.05,INF,-1,0,7,0
260,1,1,-19.830,8.573,-1.85,0.80,-1.85,0.80,INF,-1,0,7,0
280,1,1,-25.602,4.662,-2.39,0.44,-2.39,0.44,INF,-1,1,7,0
300,1,1,-25.525,6.201,-2.38,0.58,-2.38,0.58,INF,-1,1,7,0
320,1,1,-24.699,4.994,-2.31,0.47,-2.31,0.47,INF,-1,0,7,0
340,1,1,-23.659,6.196,-2.21,0.58,-2.21,0.58,INF,-1,0,7,0
