"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.26352
CalibrationParameters_A12,0.08171
CalibrationParameters_A13,-0.05653
CalibrationParameters_A21,0.03303
CalibrationParameters_A22,-1.27528
CalibrationParameters_A23,-0.01749
CalibrationParameters_A31,-0.00169
CalibrationParameters_A32,-0.00654
CalibrationParameters_E11,-0.18014
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,0.00002
CalibrationParameters_E22,0.20021
CalibrationParameters_X,-57.66701
CalibrationParameters_Y,-44.68467
CalibrationParameters_Rpc,85.95220
CalibrationParameters_MeanX,128.92796
CalibrationParameters_MeanY,137.72401
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-15.646,-0.238,-1.46,-0.02,-1.46,-0.02,INF,-1,0,7,0
20,1,1,-17.102,0.131,-1.60,0.01,-1.60,0.01,INF,-1,0,7,0
40,1,1,-15.567,0.576,-1.45,0.05,-1.45,0.05,INF,-1,0,7,0
60,1,1,-15.709,0.350,-1.47,0.03,-1.47,0.03,INF,-1,0,7,0
80,1,1,-14.684,-0.077,-1.37,-0.01,-1.37,-0.01,INF,-1,0,7,0
100,1,1,-15.375,0.998,-1.44,0.09,-1.44,0.09,INF,-1,0,7,0
120,1,1,-14.592,0.312,-1.36,0.03,-1.36,0.03,INF,-1,0,7,0
140,1,1,-14.725,0.406,-1.38,0.04,-1.38,0.04,INF,-1,0,7,0
160,1,1,-14.405,0.436,-1.35,0.04,-1.35,0.04,INF,-1,0,7,0
180,1,1,-14.453,0.157,-1.35,0.01,-1.35,0.01,INF,-1,0,7,0
200,1,1,-13.688,0.607,-1.28,0.06,-1.28,0.06,INF,-1,0,7,0
220,1,1,-13.801,-0.048,-1.29,0.00,-1.29,0.00,INF,-1,0,7,0
240,1,1,-13.807,-0.291,-1.29,-0.03,-1.29,-0.03,INF,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,1,1,-29.759,6.505,-2.78,0.61,-2.78,0.61,INF,-1,1,7,0
300,1,1,-30.543,5.664,-2.85,0.53,-2.85,0.53,INF,-1,1,7,0
320,1,1,-30.178,5.332,-2.82,0.50,-2.82,0.50,INF,-1,1,7,0
340,1,1,-29.774,6.253,-2.78,0.58,-2.78,0.58,INF,-1,0,7,0
360,1,1,-30.509,5.882,-2.85,0.55,-2.85,0.55,INF,-1,0,7,0
380,1,1,-30.211,5.207,-2.82,0.49,-2.82,0.49,INF,-1,0,7,0
