"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19752
CalibrationParameters_A12,0.10727
CalibrationParameters_A13,0.00557
CalibrationParameters_A21,0.07899
CalibrationParameters_A22,-1.21780
CalibrationParameters_A23,0.03665
CalibrationParameters_A31,-0.00001
CalibrationParameters_A32,-0.00688
CalibrationParameters_E11,-0.18000
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,-0.00022
CalibrationParameters_E22,0.19958
CalibrationParameters_X,-44.61511
CalibrationParameters_Y,-46.16944
CalibrationParameters_Rpc,83.38144
CalibrationParameters_MeanX,126.52948
CalibrationParameters_MeanY,139.29528
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-11.088,15.427,-1.04,1.44,-1.04,1.44,INF,-1,0,7,0
20,1,1,-12.245,15.426,-1.14,1.44,-1.14,1.44,INF,-1,0,7,0
40,1,1,-12.017,14.292,-1.12,1.34,-1.12,1.34,INF,-1,0,7,0
60,1,1,-12.524,14.154,-1.17,1.32,-1.17,1.32,INF,-1,0,7,0
80,1,1,-11.391,14.233,-1.06,1.33,-1.06,1.33,INF,-1,0,7,0
100,1,1,-10.422,13.673,-0.97,1.28,-0.97,1.28,INF,-1,0,7,0
120,1,1,-11.534,14.147,-1.08,1.32,-1.08,1.32,INF,-1,0,7,0
140,1,1,-12.296,14.010,-1.15,1.31,-1.15,1.31,INF,-1,0,7,0
160,1,1,-13.868,12.638,-1.30,1.18,-1.30,1.18,INF,-1,0,7,0
180,1,1,-12.678,13.217,-1.18,1.23,-1.18,1.24,INF,-1,0,7,0
200,1,1,-12.192,12.614,-1.14,1.18,-1.14,1.18,INF,-1,0,7,0
220,1,1,-13.143,13.618,-1.23,1.27,-1.23,1.27,INF,-1,0,7,0
240,1,1,9.675,19.046,0.90,1.78,0.90,1.78,INF,-1,0,7,0
260,1,1,9.516,18.193,0.89,1.70,0.89,1.70,INF,-1,0,7,0
280,1,1,8.853,19.484,0.83,1.82,0.83,1.82,INF,-1,0,7,0
300,1,1,8.867,18.758,0.83,1.75,0.83,1.75,INF,-1,0,7,0
320,1,1,8.057,18.473,0.75,1.73,0.75,1.73,INF,-1,0,7,0
340,1,1,8.382,19.370,0.78,1.81,0.78,1.81,INF,-1,0,7,0
360,1,1,7.926,18.819,0.74,1.76,0.74,1.76,INF,-1,0,7,0
380,1,1,9.365,18.887,0.88,1.76,0.87,1.76,INF,-1,0,7,0
400,1,1,9.578,18.961,0.90,1.77,0.89,1.77,INF,-1,1,7,0
420,1,1,9.110,19.710,0.85,1.84,0.85,1.84,INF,-1,1,7,0
