"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.19752
CalibrationParameters_A12,0.10727
CalibrationParameters_A13,0.00557
CalibrationParameters_A21,0.07899
CalibrationParameters_A22,-1.21780
CalibrationParameters_A23,0.03665
CalibrationParameters_A31,-0.00001
CalibrationParameters_A32,-0.00688
CalibrationParameters_E11,-0.18000
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,-0.00022
CalibrationParameters_E22,0.19958
CalibrationParameters_X,-44.61511
CalibrationParameters_Y,-46.16944
CalibrationParameters_Rpc,83.38144
CalibrationParameters_MeanX,126.52948
CalibrationParameters_MeanY,139.29528
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-8.772,3.647,-0.82,0.34,-0.82,0.34,INF,-1,0,7,0
20,1,1,-8.618,2.664,-0.81,0.25,-0.81,0.25,INF,-1,0,7,0
40,1,1,-7.654,3.532,-0.72,0.33,-0.72,0.33,INF,-1,0,7,0
60,1,1,-7.966,3.753,-0.74,0.35,-0.74,0.35,INF,-1,0,7,0
80,1,1,-7.917,3.081,-0.74,0.29,-0.74,0.29,INF,-1,0,7,0
100,1,1,-7.475,3.090,-0.70,0.29,-0.70,0.29,INF,-1,0,7,0
120,1,1,-7.120,2.794,-0.67,0.26,-0.67,0.26,INF,-1,0,7,0
140,1,1,-6.944,1.183,-0.65,0.11,-0.65,0.11,INF,-1,0,7,0
160,1,1,-6.873,1.546,-0.64,0.14,-0.64,0.14,INF,-1,0,7,0
180,1,1,-6.856,1.976,-0.64,0.18,-0.64,0.18,INF,-1,0,7,0
200,1,1,-7.281,1.725,-0.68,0.16,-0.68,0.16,INF,-1,0,7,0
220,1,1,-7.823,1.437,-0.73,0.13,-0.73,0.13,INF,-1,0,7,0
240,1,1,-7.121,0.664,-0.67,0.06,-0.67,0.06,INF,-1,0,7,0
260,1,1,-6.528,1.068,-0.61,0.10,-0.61,0.10,INF,-1,0,7,0
280,1,1,-6.521,2.686,-0.61,0.25,-0.61,0.25,INF,-1,1,7,0
300,1,1,-6.715,1.858,-0.63,0.17,-0.63,0.17,INF,-1,1,7,0
320,1,1,15.926,0.403,1.49,0.04,1.49,0.04,INF,-1,1,7,0
340,1,1,24.214,3.761,2.26,0.35,2.26,0.35,INF,-1,1,7,0
360,1,1,21.415,3.520,2.00,0.33,2.00,0.33,INF,-1,0,7,0
380,1,1,21.504,2.514,2.01,0.23,2.01,0.23,INF,-1,0,7,0
400,1,1,21.205,2.737,1.98,0.26,1.98,0.26,INF,-1,0,7,0
420,1,1,21.351,3.091,1.99,0.29,1.99,0.29,INF,-1,0,7,0
440,1,1,20.512,1.570,1.92,0.15,1.92,0.15,INF,-1,0,7,0
460,1,1,20.681,3.179,1.93,0.30,1.93,0.30,INF,-1,0,7,0
480,1,1,20.672,4.206,1.93,0.39,1.93,0.39,INF,-1,0,7,0
500,1,1,19.846,3.583,1.85,0.33,1.85,0.33,INF,-1,0,7,0
520,1,1,-4.441,-11.127,-0.42,-1.04,-0.42,-1.04,INF,-1,0,7,0
540,1,1,-0.584,-8.379,-0.05,-0.78,-0.05,-0.78,INF,-1,0,7,0
560,1,1,-1.690,-7.648,-0.16,-0.71,-0.16,-0.71,INF,-1,0,7,0
580,1,1,-1.059,-8.698,-0.10,-0.81,-0.10,-0.81,INF,-1,0,7,0
600,1,1,-0.261,-7.458,-0.02,-0.70,-0.02,-0.70,INF,-1,0,7,0
620,1,1,-1.528,-7.342,-0.14,-0.69,-0.14,-0.69,INF,-1,0,7,0
640,1,1,-1.259,-8.629,-0.12,-0.81,-0.12,-0.81,INF,-1,0,7,0
660,1,1,-1.150,-7.185,-0.11,-0.67,-0.11,-0.67,INF,-1,0,7,0
680,1,1,-1.642,-7.014,-0.15,-0.66,-0.15,-0.66,INF,-1,1,7,0
700,1,1,-1.927,-7.448,-0.18,-0.70,-0.18,-0.70,INF,-1,1,7,0
720,1,1,-1.061,-7.571,-0.10,-0.71,-0.10,-0.71,INF,-1,1,7,0
740,1,1,-1.866,-7.401,-0.17,-0.69,-0.17,-0.69,INF,-1,1,7,0
760,1,1,-1.650,-6.122,-0.15,-0.57,-0.15,-0.57,INF,-1,1,7,0
780,1,1,-1.457,-7.093,-0.14,-0.66,-0.14,-0.66,INF,-1,1,7,0
800,1,1,2.596,-5.529,0.24,-0.52,0.24,-0.52,INF,-1,1,7,0
820,1,1,2.646,-5.775,0.25,-0.54,0.25,-0.54,INF,-1,1,7,0
840,1,1,2.236,-7.120,0.21,-0.67,0.21,-0.67,INF,-1,1,7,0
860,1,1,2.520,-6.035,0.24,-0.56,0.24,-0.56,INF,-1,1,7,0
880,1,1,2.021,-5.486,0.19,-0.51,0.19,-0.51,INF,-1,1,7,0
900,1,1,1.857,-6.337,0.17,-0.59,0.17,-0.59,INF,-1,1,7,0
920,1,1,2.482,-5.011,0.23,-0.47,0.23,-0.47,INF,-1,1,7,0
940,1,1,38.690,17.728,3.61,1.65,3.61,1.66,INF,-1,1,7,0
960,1,1,41.929,20.010,3.91,1.87,3.91,1.87,INF,-1,1,7,0
