"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.26352
CalibrationParameters_A12,0.08171
CalibrationParameters_A13,-0.05653
CalibrationParameters_A21,0.03303
CalibrationParameters_A22,-1.27528
CalibrationParameters_A23,-0.01749
CalibrationParameters_A31,-0.00169
CalibrationParameters_A32,-0.00654
CalibrationParameters_E11,-0.18014
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,0.00002
CalibrationParameters_E22,0.20021
CalibrationParameters_X,-57.66701
CalibrationParameters_Y,-44.68467
CalibrationParameters_Rpc,85.95220
CalibrationParameters_MeanX,128.92796
CalibrationParameters_MeanY,137.72401
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-7.518,22.399,-0.70,2.09,-0.70,2.09,INF,-1,0,7,0
20,1,1,-13.788,21.818,-1.29,2.04,-1.29,2.04,INF,-1,0,7,0
40,1,1,-15.452,21.700,-1.44,2.03,-1.44,2.03,INF,-1,0,7,0
60,1,1,-15.481,23.530,-1.45,2.20,-1.45,2.20,INF,-1,0,7,0
80,1,1,-14.908,21.835,-1.39,2.04,-1.39,2.04,INF,-1,0,7,0
100,1,1,-14.388,22.142,-1.34,2.07,-1.34,2.07,INF,-1,0,7,0
120,1,1,-14.780,21.403,-1.38,2.00,-1.38,2.00,INF,-1,0,7,0
140,1,1,-14.249,21.811,-1.33,2.04,-1.33,2.04,INF,-1,0,7,0
160,1,1,-14.391,21.381,-1.34,2.00,-1.34,2.00,INF,-1,0,7,0
180,1,1,-14.700,21.465,-1.37,2.00,-1.37,2.01,INF,-1,0,7,0
200,1,1,-15.513,20.696,-1.45,1.93,-1.45,1.93,INF,-1,0,7,0
220,1,1,-14.650,20.233,-1.37,1.89,-1.37,1.89,INF,-1,0,7,0
240,1,1,-14.518,20.730,-1.36,1.94,-1.36,1.94,INF,-1,0,7,0
260,1,1,-13.890,21.131,-1.30,1.97,-1.30,1.97,INF,-1,0,7,0
280,1,1,-14.142,20.577,-1.32,1.92,-1.32,1.92,INF,-1,1,7,0
300,1,1,-14.088,20.901,-1.32,1.95,-1.32,1.95,INF,-1,1,7,0
320,1,1,-14.242,21.204,-1.33,1.98,-1.33,1.98,INF,-1,1,7,0
340,1,1,-14.472,21.970,-1.35,2.05,-1.35,2.05,INF,-1,1,7,0
360,1,1,-14.370,20.919,-1.34,1.95,-1.34,1.95,INF,-1,1,7,0
380,1,1,-13.985,21.737,-1.31,2.03,-1.31,2.03,INF,-1,1,7,0
400,1,1,-14.151,21.525,-1.32,2.01,-1.32,2.01,INF,-1,1,7,0
420,1,1,-13.787,22.217,-1.29,2.08,-1.29,2.08,INF,-1,1,7,0
440,1,1,-14.435,22.617,-1.35,2.11,-1.35,2.11,INF,-1,1,7,0
460,1,1,-14.823,21.820,-1.39,2.04,-1.38,2.04,INF,-1,1,7,0
480,1,1,-15.837,22.168,-1.48,2.07,-1.48,2.07,INF,-1,1,7,0
500,1,1,-16.225,21.168,-1.52,1.98,-1.52,1.98,INF,-1,1,7,0
520,1,1,-15.865,20.449,-1.48,1.91,-1.48,1.91,INF,-1,1,7,0
540,1,1,-15.261,21.478,-1.43,2.01,-1.43,2.01,INF,-1,1,7,0
560,1,1,-15.836,22.013,-1.48,2.06,-1.48,2.06,INF,-1,1,7,0
580,1,1,-15.133,22.194,-1.41,2.07,-1.41,2.07,INF,-1,1,7,0
600,1,1,-15.860,21.957,-1.48,2.05,-1.48,2.05,INF,-1,1,7,0
620,1,1,-17.170,21.812,-1.60,2.04,-1.60,2.04,INF,-1,1,7,0
640,1,1,-16.127,24.455,-1.51,2.28,-1.51,2.28,INF,-1,1,7,0
660,1,1,-16.979,23.044,-1.59,2.15,-1.59,2.15,INF,-1,1,7,0
680,1,1,-15.858,23.535,-1.48,2.20,-1.48,2.20,INF,-1,1,7,0
700,1,1,-16.990,22.207,-1.59,2.07,-1.59,2.07,INF,-1,1,7,0
720,1,1,-16.248,22.687,-1.52,2.12,-1.52,2.12,INF,-1,1,7,0
740,1,1,-16.349,22.207,-1.53,2.07,-1.53,2.07,INF,-1,1,7,0
760,1,1,-17.031,22.355,-1.59,2.09,-1.59,2.09,INF,-1,1,7,0
780,1,1,-17.190,21.969,-1.61,2.05,-1.61,2.05,INF,-1,1,7,0
800,1,1,-16.677,22.302,-1.56,2.08,-1.56,2.08,INF,-1,1,7,0
820,1,1,-16.829,21.334,-1.57,1.99,-1.57,1.99,INF,-1,1,7,0
840,1,1,-17.640,22.736,-1.65,2.12,-1.65,2.12,INF,-1,1,7,0
860,1,1,-17.003,22.406,-1.59,2.09,-1.59,2.09,INF,-1,1,7,0
880,1,1,-17.286,22.405,-1.62,2.09,-1.61,2.09,INF,-1,1,7,0
900,1,1,-17.309,22.051,-1.62,2.06,-1.62,2.06,INF,-1,1,7,0
920,1,1,-16.947,22.602,-1.58,2.11,-1.58,2.11,INF,-1,1,7,0
940,1,1,-17.156,22.563,-1.60,2.11,-1.60,2.11,INF,-1,1,7,0
960,1,1,-16.866,23.112,-1.58,2.16,-1.57,2.16,INF,-1,1,7,0
980,1,1,-16.886,21.964,-1.58,2.05,-1.58,2.05,INF,-1,1,7,0
1000,1,1,-17.590,22.615,-1.64,2.11,-1.64,2.11,INF,-1,1,7,0
1020,1,1,-17.463,23.443,-1.63,2.19,-1.63,2.19,INF,-1,1,7,0
1040,1,1,-17.120,23.568,-1.60,2.20,-1.60,2.20,INF,-1,1,7,0
1060,1,1,-17.974,23.411,-1.68,2.19,-1.68,2.19,INF,-1,1,7,0
1080,1,1,-18.197,23.072,-1.70,2.15,-1.70,2.16,INF,-1,1,7,0
1100,1,1,-17.747,21.677,-1.66,2.02,-1.66,2.03,INF,-1,1,7,0
1120,1,1,-17.003,22.184,-1.59,2.07,-1.59,2.07,INF,-1,1,7,0
1140,1,1,-17.755,21.583,-1.66,2.02,-1.66,2.02,INF,-1,1,7,0
1160,1,1,-17.860,22.137,-1.67,2.07,-1.67,2.07,INF,-1,1,7,0
1180,1,1,-18.412,21.733,-1.72,2.03,-1.72,2.03,INF,-1,1,7,0
1200,1,1,-16.316,21.408,-1.52,2.00,-1.52,2.00,INF,-1,1,7,0
1220,1,1,-17.441,22.757,-1.63,2.13,-1.63,2.13,INF,-1,1,7,0
1240,1,1,-17.661,22.099,-1.65,2.06,-1.65,2.06,INF,-1,1,7,0
1260,1,1,-17.044,22.406,-1.59,2.09,-1.59,2.09,INF,-1,1,7,0
1280,1,1,-17.728,22.137,-1.66,2.07,-1.66,2.07,INF,-1,1,7,0
1300,1,1,-17.632,22.148,-1.65,2.07,-1.65,2.07,INF,-1,1,7,0
1320,1,1,-16.424,22.738,-1.53,2.12,-1.53,2.12,INF,-1,1,7,0
1340,1,1,-17.901,22.228,-1.67,2.08,-1.67,2.08,INF,-1,1,7,0
1360,1,1,-17.953,21.617,-1.68,2.02,-1.68,2.02,INF,-1,1,7,0
1380,1,1,-17.768,22.096,-1.66,2.06,-1.66,2.06,INF,-1,1,7,0
1400,1,1,-17.629,22.253,-1.65,2.08,-1.65,2.08,INF,-1,1,7,0
1420,1,1,-17.380,23.075,-1.62,2.15,-1.62,2.16,INF,-1,1,7,0
1440,1,1,-16.439,23.428,-1.54,2.19,-1.54,2.19,INF,-1,1,7,0
1460,1,1,-17.729,23.301,-1.66,2.18,-1.66,2.18,INF,-1,1,7,0
1480,1,1,-16.792,22.848,-1.57,2.13,-1.57,2.13,INF,-1,1,7,0
1500,1,1,-17.233,22.411,-1.61,2.09,-1.61,2.09,INF,-1,1,7,0
1520,1,1,-17.024,21.581,-1.59,2.02,-1.59,2.02,INF,-1,1,7,0
1540,1,1,-17.224,22.702,-1.61,2.12,-1.61,2.12,INF,-1,1,7,0
1560,1,1,-17.927,22.467,-1.68,2.10,-1.67,2.10,INF,-1,1,7,0
1580,1,1,-18.330,22.417,-1.71,2.09,-1.71,2.09,INF,-1,1,7,0
1600,1,1,-17.117,21.776,-1.60,2.03,-1.60,2.03,INF,-1,1,7,0
1620,1,1,-16.595,22.675,-1.55,2.12,-1.55,2.12,INF,-1,1,7,0
1640,1,1,-16.322,22.496,-1.53,2.10,-1.52,2.10,INF,-1,1,7,0
1660,1,1,-17.443,22.470,-1.63,2.10,-1.63,2.10,INF,-1,1,7,0
1680,1,1,-16.778,23.036,-1.57,2.15,-1.57,2.15,INF,-1,1,7,0
1700,1,1,-15.609,21.936,-1.46,2.05,-1.46,2.05,INF,-1,1,7,0
1720,1,1,-16.260,21.732,-1.52,2.03,-1.52,2.03,INF,-1,1,7,0
1740,1,1,-16.915,22.230,-1.58,2.08,-1.58,2.08,INF,-1,1,7,0
1760,1,1,-16.481,21.859,-1.54,2.04,-1.54,2.04,INF,-1,1,7,0
1780,1,1,-8.138,7.541,-0.76,0.70,-0.76,0.70,INF,-1,1,7,0
1800,1,1,-9.648,5.590,-0.90,0.52,-0.90,0.52,INF,-1,1,7,0
1820,1,1,-9.396,6.132,-0.88,0.57,-0.88,0.57,INF,-1,0,7,0
1840,1,1,-10.277,5.621,-0.96,0.53,-0.96,0.53,INF,-1,0,7,0
1860,1,1,-9.849,5.775,-0.92,0.54,-0.92,0.54,INF,-1,0,7,0
1880,1,1,-9.625,5.715,-0.90,0.53,-0.90,0.53,INF,-1,0,7,0
1900,1,1,-10.222,5.553,-0.96,0.52,-0.96,0.52,INF,-1,0,7,0
1920,1,1,-8.964,5.672,-0.84,0.53,-0.84,0.53,INF,-1,0,7,0
1940,1,1,-9.432,5.726,-0.88,0.54,-0.88,0.54,INF,-1,0,7,0
1960,1,1,-9.540,5.625,-0.89,0.53,-0.89,0.53,INF,-1,0,7,0
1980,1,1,-9.005,6.122,-0.84,0.57,-0.84,0.57,INF,-1,0,7,0
2000,1,1,-9.330,5.480,-0.87,0.51,-0.87,0.51,INF,-1,0,7,0
2020,1,1,-10.395,6.033,-0.97,0.56,-0.97,0.56,INF,-1,0,7,0
