"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.16497
CalibrationParameters_A12,0.09130
CalibrationParameters_A13,0.00548
CalibrationParameters_A21,0.06807
CalibrationParameters_A22,-1.22696
CalibrationParameters_A23,-0.00840
CalibrationParameters_A31,-0.00011
CalibrationParameters_A32,-0.00640
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,0.00006
CalibrationParameters_E22,0.19976
CalibrationParameters_X,-42.86705
CalibrationParameters_Y,-45.61417
CalibrationParameters_Rpc,82.14636
CalibrationParameters_MeanX,124.58031
CalibrationParameters_MeanY,140.72951
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,16.189,14.374,1.51,1.34,1.51,1.34,INF,-1,0,7,0
20,1,1,17.294,13.897,1.62,1.30,1.62,1.30,INF,-1,0,7,0
40,1,1,17.430,13.507,1.63,1.26,1.63,1.26,INF,-1,0,7,0
60,1,1,16.209,13.989,1.51,1.31,1.51,1.31,INF,-1,0,7,0
80,1,1,15.855,12.902,1.48,1.21,1.48,1.21,INF,-1,0,7,0
100,1,1,15.601,12.667,1.46,1.18,1.46,1.18,INF,-1,0,7,0
120,1,1,15.343,13.892,1.43,1.30,1.43,1.30,INF,-1,0,7,0
140,1,1,14.577,12.082,1.36,1.13,1.36,1.13,INF,-1,0,7,0
160,1,1,13.279,13.015,1.24,1.22,1.24,1.22,INF,-1,0,7,0
180,1,1,12.883,11.443,1.20,1.07,1.20,1.07,INF,-1,0,7,0
200,1,1,13.462,13.450,1.26,1.26,1.26,1.26,INF,-1,0,7,0
220,1,1,14.146,13.275,1.32,1.24,1.32,1.24,INF,-1,0,7,0
240,1,1,12.851,13.240,1.20,1.24,1.20,1.24,INF,-1,0,7,0
260,1,1,-15.757,0.078,-1.47,0.01,-1.47,0.01,INF,-1,0,7,0
280,1,1,-10.716,-0.862,-1.00,-0.08,-1.00,-0.08,INF,-1,1,7,0
300,1,1,-11.035,0.254,-1.03,0.02,-1.03,0.02,INF,-1,0,7,0
320,1,1,-11.001,-0.540,-1.03,-0.05,-1.03,-0.05,INF,-1,0,7,0
340,1,1,-10.194,0.042,-0.95,0.00,-0.95,0.00,INF,-1,0,7,0
360,1,1,-11.050,0.718,-1.03,0.07,-1.03,0.07,INF,-1,0,7,0
380,1,1,-11.582,0.440,-1.08,0.04,-1.08,0.04,INF,-1,0,7,0
400,1,1,-10.964,-0.418,-1.02,-0.04,-1.02,-0.04,INF,-1,0,7,0
420,1,1,-10.497,-0.738,-0.98,-0.07,-0.98,-0.07,INF,-1,0,7,0
440,1,1,-10.524,-0.287,-0.98,-0.03,-0.98,-0.03,INF,-1,0,7,0
460,1,1,-11.292,-0.216,-1.06,-0.02,-1.06,-0.02,INF,-1,0,7,0
480,1,1,-11.452,0.034,-1.07,0.00,-1.07,0.00,INF,-1,0,7,0
500,1,1,-12.075,-2.058,-1.13,-0.19,-1.13,-0.19,INF,-1,0,7,0
520,1,1,-11.733,-2.180,-1.10,-0.20,-1.10,-0.20,INF,-1,0,7,0
540,1,1,-11.883,-2.040,-1.11,-0.19,-1.11,-0.19,INF,-1,1,7,0
560,1,1,-11.649,-1.998,-1.09,-0.19,-1.09,-0.19,INF,-1,1,7,0
580,1,1,-12.013,-1.483,-1.12,-0.14,-1.12,-0.14,INF,-1,1,7,0
600,1,1,-12.693,-4.282,-1.19,-0.40,-1.19,-0.40,INF,-1,1,7,0
620,1,1,-36.453,-37.633,-3.40,-3.51,-3.40,-3.51,INF,-1,1,7,0
640,1,1,-30.163,-29.095,-2.82,-2.71,-2.81,-2.72,INF,-1,1,7,0
660,1,1,-30.600,-28.784,-2.86,-2.69,-2.85,-2.69,INF,-1,0,7,0
680,1,1,-30.794,-29.592,-2.88,-2.76,-2.87,-2.76,INF,-1,0,7,0
700,1,1,-30.433,-29.918,-2.84,-2.79,-2.84,-2.79,INF,-1,0,7,0
720,1,1,-30.604,-29.328,-2.86,-2.74,-2.85,-2.74,INF,-1,0,7,0
740,1,1,-29.902,-29.401,-2.79,-2.74,-2.79,-2.75,INF,-1,0,7,0
760,1,1,-31.554,-28.697,-2.95,-2.68,-2.94,-2.68,INF,-1,0,7,0
780,1,1,-30.988,-28.351,-2.89,-2.64,-2.89,-2.65,INF,-1,0,7,0
800,1,1,-30.150,-29.883,-2.82,-2.79,-2.81,-2.79,INF,-1,0,7,0
820,1,1,-21.637,-29.333,-2.02,-2.74,-2.02,-2.74,INF,-1,0,7,0
840,1,1,-22.875,-29.067,-2.14,-2.71,-2.13,-2.71,INF,-1,0,7,0
860,1,1,-22.417,-29.505,-2.09,-2.75,-2.09,-2.76,INF,-1,0,7,0
880,1,1,-22.897,-29.525,-2.14,-2.76,-2.14,-2.76,INF,-1,0,7,0
900,1,1,-22.698,-30.192,-2.12,-2.82,-2.12,-2.82,INF,-1,0,7,0
920,1,1,-23.499,-29.908,-2.20,-2.79,-2.19,-2.79,INF,-1,1,7,0
940,1,1,-23.645,-29.878,-2.21,-2.79,-2.21,-2.79,INF,-1,1,7,0
960,1,1,-24.117,-30.245,-2.25,-2.82,-2.25,-2.82,INF,-1,1,7,0
980,1,1,-24.180,-29.937,-2.26,-2.79,-2.26,-2.80,INF,-1,1,7,0
1000,1,1,-23.996,-30.532,-2.24,-2.85,-2.24,-2.85,INF,-1,1,7,0
1020,1,1,-24.089,-30.454,-2.25,-2.84,-2.25,-2.84,INF,-1,1,7,0
1040,1,1,-23.319,-30.246,-2.18,-2.82,-2.18,-2.82,INF,-1,1,7,0
1060,1,1,-24.151,-30.018,-2.26,-2.80,-2.25,-2.80,INF,-1,1,7,0
1080,1,1,-24.726,-30.950,-2.31,-2.89,-2.31,-2.89,INF,-1,1,7,0
1100,1,1,-23.851,-30.058,-2.23,-2.81,-2.23,-2.81,INF,-1,1,7,0
1120,1,1,-23.297,-28.389,-2.18,-2.65,-2.17,-2.65,INF,-1,1,7,0
1140,1,1,-23.564,-28.337,-2.20,-2.64,-2.20,-2.65,INF,-1,1,7,0
1160,1,1,-23.556,-29.203,-2.20,-2.73,-2.20,-2.73,INF,-1,1,7,0
1180,1,1,-22.123,-28.694,-2.07,-2.68,-2.06,-2.68,INF,-1,1,7,0
1200,1,1,-22.980,-28.845,-2.15,-2.69,-2.14,-2.69,INF,-1,1,7,0
1220,1,1,-22.879,-29.333,-2.14,-2.74,-2.14,-2.74,INF,-1,1,7,0
1240,1,1,-23.578,-28.486,-2.20,-2.66,-2.20,-2.66,INF,-1,1,7,0
1260,1,1,-23.130,-28.988,-2.16,-2.71,-2.16,-2.71,INF,-1,1,7,0
1280,1,1,-23.097,-28.824,-2.16,-2.69,-2.16,-2.69,INF,-1,1,7,0
1300,1,1,-22.947,-29.588,-2.14,-2.76,-2.14,-2.76,INF,-1,1,7,0
1320,1,1,-22.672,-30.205,-2.12,-2.82,-2.12,-2.82,INF,-1,1,7,0
1340,1,1,-23.499,-29.887,-2.20,-2.79,-2.19,-2.79,INF,-1,1,7,0
1360,1,1,-23.250,-30.385,-2.17,-2.84,-2.17,-2.84,INF,-1,1,7,0
1380,1,1,-23.275,-29.383,-2.17,-2.74,-2.17,-2.74,INF,-1,1,7,0
1400,1,1,-25.491,-27.998,-2.38,-2.61,-2.38,-2.62,INF,-1,1,7,0
1420,1,1,-25.074,-27.208,-2.34,-2.54,-2.34,-2.54,INF,-1,1,7,0
1440,1,1,-24.696,-27.915,-2.31,-2.61,-2.30,-2.61,INF,-1,1,7,0
1460,1,1,-24.794,-29.698,-2.32,-2.77,-2.31,-2.77,INF,-1,1,7,0
1480,1,1,-25.544,-30.009,-2.39,-2.80,-2.38,-2.80,INF,-1,1,7,0
1500,1,1,-24.925,-28.950,-2.33,-2.70,-2.33,-2.70,INF,-1,1,7,0
1520,1,1,-24.219,-29.772,-2.26,-2.78,-2.26,-2.78,INF,-1,1,7,0
1540,1,1,-23.866,-29.042,-2.23,-2.71,-2.23,-2.71,INF,-1,1,7,0
1560,1,1,-24.552,-29.733,-2.29,-2.77,-2.29,-2.78,INF,-1,1,7,0
1580,1,1,-24.562,-29.325,-2.29,-2.74,-2.29,-2.74,INF,-1,1,7,0
